serial_timesteps,ep_len_mean,value_loss,fps,approxkl,clipfrac,ep_reward_mean,n_updates,policy_loss,total_timesteps,policy_entropy,explained_variance,time_elapsed
2048,1022.0,9.793191,409,0.0056283926,0.06850586,570.368438,1,-0.005427321,2048,2.6905572,0.9085497483611107,2.86102294921875e-06
4096,1190.0,8.148027,431,0.0043102903,0.04736328,704.759628,2,-0.0034070103,4096,2.693337,0.8781985118985176,5.005086898803711
6144,1217.0,16.427633,475,0.0063333833,0.07133789,700.22966275,3,-0.0016716415,6144,2.6952763,0.8557606935501099,9.748528242111206
8192,1331.6666666666667,20.171312,473,0.0034704164,0.03642578,758.6687569999999,4,-0.0035953824,8192,2.694776,0.8096027970314026,14.058619022369385
10240,1434.142857142857,9.400919,454,0.004958213,0.05654297,822.6058018571429,5,-0.0053377263,10240,2.6909153,0.8946304172277451,18.38721203804016
12288,1333.7777777777778,13.143788,456,0.0030028168,0.0328125,763.6149057777778,6,-0.0025156657,12288,2.6915746,0.8952299505472183,22.893414735794067
14336,1300.4545454545455,16.600224,437,0.0052451547,0.05605469,740.4928520909091,7,-0.004698152,14336,2.6974,0.8004375398159027,27.376426219940186
16384,1362.8333333333333,11.938494,456,0.004815995,0.058642577,778.59796525,8,-0.0035089243,16384,2.705193,0.8626265078783035,32.06214904785156
18432,1415.6153846153845,12.705896,435,0.005026245,0.05620117,815.8615474615385,9,-0.0057440866,18432,2.718114,0.8577173352241516,36.55023908615112
20480,1422.857142857143,6.63482,454,0.005630185,0.05703125,818.0588300714286,10,-0.0023105177,20480,2.7207513,0.9170828834176064,41.25364065170288
22528,1318.764705882353,16.919361,450,0.004495243,0.055859376,744.4620622941176,11,-0.0036578856,22528,2.7256932,0.8332137763500214,45.76335334777832
24576,1317.0555555555557,7.757089,468,0.0040918617,0.047802735,742.6048255000001,12,-0.0054446375,24576,2.7382565,0.9034273698925972,50.30767107009888
26624,1295.15,14.999921,444,0.0031791038,0.034082033,725.9506557000001,13,-0.0020157902,26624,2.7437186,0.8365027904510498,54.68122720718384
28672,1325.6190476190477,6.808168,449,0.0030294613,0.034423828,746.8127035238095,14,-0.0019488882,28672,2.746642,0.9214177653193474,59.293182373046875
30720,1358.5,12.155651,396,0.005444755,0.057861328,774.7731683181818,15,-0.0012032541,30720,2.7384849,0.8928850069642067,63.84768271446228
