#{"t_start": 1747912813.5872595, "env_id": null}
r,l,t
1238.545573,2049,4.3858
1549.445128,1913,7.675992
437.70836,741,9.148225
1291.428452,2049,12.712279
1302.730276,2049,16.181773
1452.826467,1794,19.478481
1436.517008,1782,22.707081
1363.850639,1729,25.559828
1548.01439,2049,29.174412
1725.693078,2049,33.04792
1103.064857,1453,35.738293
1549.93921,2049,39.436646
1302.095967,2049,42.988166
1312.657973,2049,46.523816
1285.580283,2049,50.062845
1308.12152,2049,53.579835
1242.324773,1639,56.660675
1651.071456,2049,60.358851
1405.229709,2049,63.925406
710.374123,1075,65.586086
1664.324417,2049,69.298669
1147.947572,1517,72.146134
1629.563979,2049,75.877597
1328.739133,2049,79.41754
1627.182041,2049,83.060372
979.092842,1292,85.475759
1572.249091,2049,89.042861
1326.07021,2049,92.543103
1356.685913,2049,96.056748
1373.48361,2049,99.545222
1261.19067,1714,102.598005
400.655146,708,103.668547
1625.95054,2049,107.349335
1590.068327,1874,111.005004
1356.989781,2049,114.417886
1110.194649,1525,117.176721
908.111302,1249,119.199921
1457.710417,1783,122.553798
1475.279626,1887,125.967377
513.309725,831,127.233225
1132.569608,1514,130.037072
1274.689756,1753,133.159619
480.09072,805,134.386224
1232.782894,1563,137.276683
618.209854,995,139.072789
1268.532292,1620,141.806954
1383.131709,1740,145.058829
1505.706264,2049,148.642328
1129.851217,1424,151.318199
321.756816,572,152.198028
1372.931402,2049,155.676483
844.380363,1189,157.937671
1039.317342,1337,160.533459
1286.995276,1926,163.51233
895.49492,1202,165.738273
1723.510061,2049,169.50946
342.123453,591,170.439471
360.488297,604,171.676741
826.579766,1065,173.479451
1202.694132,1598,176.379234
1300.34472,2049,179.878031
1619.169633,2049,183.574978
652.357194,1050,185.168728
776.332503,1053,187.227153
983.388308,1264,189.664906
1083.235058,1431,192.072238
1682.938866,2049,195.781988
914.686187,1296,198.133484
877.917157,1183,200.363464
1487.365888,1806,203.391944
1693.711032,2049,207.19299
1320.756529,2049,210.677198
1294.364953,2049,214.254467
1552.405193,2049,217.947715
1282.399629,2049,221.519818
973.705162,1286,223.898583
1307.973092,2049,227.43251
1497.980598,1867,230.803333
440.09416,740,231.959149
1609.888773,2049,235.800217
1246.386147,1659,238.821765
1199.767777,1516,241.726516
1359.711279,2049,245.225279
551.544529,935,246.644604
1756.80854,2049,250.55188
1268.730611,2049,253.95484
1277.867585,2049,257.382521
1610.809397,2049,260.999645
840.630353,1184,263.221513
907.299231,1280,265.571654
1741.277818,2049,269.377363
761.092129,1046,271.079362
1656.113639,2049,274.762755
1256.493656,1518,277.643494
1331.598993,1743,280.925503
436.132166,738,282.071977
1374.403523,2049,285.552798
1658.765323,2049,289.250291
1704.323445,2049,293.030966
1254.85213,1533,295.906779
1264.956113,2049,299.509475
1286.681802,2049,303.096867
1292.010345,2049,306.602268
1448.501567,2049,310.184555
715.571425,1015,311.881985
1411.706976,2049,315.328635
1403.961699,1715,318.537411
1744.717311,2049,322.354806
1414.846646,2049,325.81843
1078.750462,1485,328.536469
1640.55514,2049,332.18454
1206.659726,1479,335.029856
1429.535692,1867,338.039133
867.24523,1349,340.400879
759.43468,1105,342.489845
1513.29233,1839,345.887569
1416.265248,1946,348.929452
1459.726374,2049,352.492594
1233.32428,1667,355.646349
1591.973022,2049,359.360959
912.869309,1355,361.847967
1493.434319,2049,365.443011
1629.539618,2049,369.137722
1368.614767,2049,372.75313
1081.664072,1524,375.533637
794.299586,1075,377.367526
1640.233723,2049,381.180403
345.257139,615,382.42595
536.458285,904,383.844952
1099.693443,1545,386.567892
822.992894,1108,388.410716
1389.816107,2049,391.869267
759.757213,1047,393.903417
1758.751797,2049,397.673695
1367.884707,2049,401.283005
832.120241,1097,403.13507
1581.364703,1970,406.781444
1306.177493,2049,410.34578
1306.272853,2049,413.846773
1773.153296,2049,417.618064
1398.647722,1853,420.936657
1701.500282,2049,424.693683
1078.780558,1349,427.263133
1474.800649,1747,430.768475
926.410018,1255,432.813752
925.690179,1437,435.303707
1270.075421,1729,438.420844
671.675557,1065,440.055743
1189.511609,1693,443.047684
115.188095,282,443.48593
1503.606751,1997,447.022853
597.17217,851,448.705926
1341.1844,2049,452.162534
1633.688446,2049,455.825969
933.437995,1233,457.844769
1744.172575,2049,461.634168
1339.861313,1684,464.720468
1682.386747,2049,468.463515
981.277251,1332,470.944432
1480.730848,2049,474.464342
546.768846,889,475.81971
