serial_timesteps,clipfrac,value_loss,fps,approxkl,n_updates,policy_loss,total_timesteps,policy_entropy,explained_variance,time_elapsed,ep_len_mean,ep_reward_mean
2048,0.109228514,0.518744,543,0.008591021,1,-0.008057391,2048,3.9710152,0.9825903903692961,1.9073486328125e-06,,
4096,0.035595704,3.6589825,536,0.003347459,2,-0.0046523246,4096,3.9603372,0.9828860238194466,3.7665889263153076,1981.0,1393.9953505
6144,0.03725586,2.5861747,578,0.0032694458,3,-0.0059568444,6144,3.952685,0.9506548792123795,7.5823869705200195,1567.6666666666667,1075.2330203333333
8192,0.031835936,10.210091,587,0.002986376,4,-0.0031081955,8192,3.9555104,0.8140988498926163,11.12295651435852,1688.0,1129.28187825
10240,0.062841795,9.772467,567,0.0052114613,5,-0.0031585922,10240,3.9502766,0.9346701875329018,14.608293056488037,1760.2,1163.9715578
12288,0.05834961,2.2612834,551,0.004963866,6,-0.0045609646,12288,3.9312081,0.9853656915947795,18.215604782104492,1765.8333333333333,1212.1140426666668
14336,0.043408204,3.0877388,554,0.003903979,7,-0.0022195694,14336,3.921351,0.9837027955800295,21.93134832382202,1763.25,1259.131487875
16384,0.039501954,12.632452,567,0.003600364,8,-0.0036269338,16384,3.9176311,0.9005840346217155,25.62417721748352,1795.0,1291.229588111111
18432,0.09443359,7.9757032,531,0.0071965493,9,-0.0069802897,18432,3.927084,0.9394524097442627,29.231613159179688,1820.4,1334.6759371
20480,0.04018555,2.147067,564,0.0037321958,10,-0.0035580546,20480,3.9270988,0.9803548008203506,33.087310791015625,1787.0,1313.6203843636363
22528,0.022460938,18.09318,552,0.0024604313,11,-0.0015128318,22528,3.911532,0.8648846745491028,36.717615842819214,1808.8333333333333,1333.3136198333334
24576,0.07675781,9.493676,579,0.0060056285,12,-0.0035224813,24576,3.8993344,0.7455872595310211,40.42571449279785,1827.3076923076924,1330.9122619230768
26624,0.04243164,10.7623625,586,0.0040232977,13,-0.005588273,26624,3.8984313,0.7571619153022766,43.95989918708801,1843.142857142857,1329.6083841428572
28672,0.062304687,9.19247,580,0.0050856373,14,-0.0026302831,28672,3.9001899,0.7381558120250702,47.45388722419739,1856.8666666666666,1326.6731774
30720,0.04272461,13.459396,570,0.0037154905,15,-0.00234767,30720,3.902285,0.75638148188591,50.98486065864563,1868.875,1325.5136988125
32768,0.039941408,2.3450494,554,0.0034538067,16,-0.005124236,32768,3.9036305,0.9841839242726564,54.57700991630554,1855.3529411764705,1320.6202325882352
34816,0.027685547,21.421673,547,0.0026131333,17,-0.0014957369,34816,3.9039884,0.8582743555307388,58.27357363700867,1866.111111111111,1338.978633888889
36864,0.033251952,14.509628,586,0.0032012337,18,-0.0018793211,36864,3.8940506,0.875366784632206,62.01679348945618,1835.7,1310.8609621
38912,0.0515625,18.444952,553,0.0042868652,19,-0.0022152797,38912,3.8826847,0.8937545865774155,65.51169109344482,1845.857142857143,1327.6925551904762
40960,0.025585938,1.5145595,556,0.002540185,20,-0.0032965182,40960,3.8773112,0.9880602117627859,69.21352958679199,1830.909090909091,1319.5223286818184
43008,0.07763672,1.6097977,554,0.0062194457,21,-0.0033968997,43008,3.8669834,0.988636870868504,72.8918445110321,1840.391304347826,1333.0024004347827
45056,0.05229492,10.418916,579,0.00440809,22,-0.003274026,45056,3.8604927,0.7991677820682526,76.58648872375488,1849.0833333333333,1332.8247642916667
47104,0.057128906,17.65298,556,0.00501565,23,-0.0027663447,47104,3.8589082,0.8664536625146866,80.12373518943787,1857.08,1344.59905536
49152,0.07075195,2.3270276,572,0.005884055,24,-0.0063076233,49152,3.865691,0.9788100849837065,83.80562329292297,1835.3461538461538,1330.541124076923
51200,0.047021486,19.967691,576,0.004376716,25,-0.0038693056,51200,3.8816097,0.8394385725259781,87.38041806221008,1843.2592592592594,1339.4932709999998
53248,0.059814453,11.733379,580,0.0058642225,26,-0.0018902065,53248,3.8860936,0.7558446526527405,90.94370675086975,1850.607142857143,1339.0138759642855
55296,0.07539062,11.474372,586,0.006183626,27,-0.005896732,55296,3.8958964,0.7481696605682373,94.47033333778381,1857.448275862069,1339.6232565517241
57344,0.082373045,9.9872,574,0.0062335297,28,-0.0056411326,57344,3.9038308,0.8822593465447426,97.96072936058044,1863.8333333333333,1340.751935
59392,0.04272461,12.6850195,596,0.0041851443,29,-0.0027046392,59392,3.9106183,0.8825744464993477,101.5257797241211,1823.03125,1308.8876208125
61440,0.09013672,15.943293,519,0.008136442,30,-0.0041708727,61440,3.883744,0.8908150047063828,104.95961785316467,1829.878787878788,1318.495588060606
63488,0.07563476,7.159715,559,0.0063733906,31,-0.008807114,63488,3.8567784,0.9389791861176491,108.90141773223877,1831.1764705882354,1326.4830215588236
65536,0.02055664,10.996975,590,0.0022220078,32,-0.0034678578,65536,3.846883,0.8666132241487503,112.56239938735962,1837.4,1327.3546432571427
67584,0.086083986,2.425002,561,0.007027083,33,-0.005577398,67584,3.8426635,0.98179373703897,116.02894926071167,1813.054054054054,1310.1545531081078
69632,0.046923827,7.7401876,545,0.004399272,34,-0.0037601602,69632,3.8430367,0.9528378136456013,119.67572212219238,1812.2631578947369,1314.0376021578945
71680,0.054296874,14.249245,563,0.0043897787,35,-0.004919094,71680,3.8463256,0.9175823777914047,123.43284106254578,1789.6,1298.050455825
73728,0.04272461,1.5832384,561,0.0036969855,36,-0.004846973,73728,3.851073,0.9875347251072526,127.06620287895203,1782.878048780488,1294.0143375853659
75776,0.05053711,8.132414,578,0.004493163,37,-0.00490896,75776,3.8523412,0.9423078447580338,130.71348643302917,1759.4418604651162,1274.6364724883722
77824,0.06987305,4.9055195,567,0.0058752876,38,-0.0017182253,77824,3.851336,0.9695205111056566,134.2537603378296,1754.9772727272727,1273.6852547954547
79872,0.059521485,6.572422,556,0.0051867357,39,-0.004609883,79872,3.8410096,0.9641763679683208,137.86259412765503,1735.5217391304348,1259.3237686304349
81920,0.07416992,3.9436927,548,0.0062128976,40,-0.0046065166,81920,3.8266442,0.9779553469270468,141.5428283214569,1735.6170212765958,1261.9579801276598
83968,0.020361328,17.093365,572,0.0023892394,41,-0.001782476,83968,3.8171272,0.8580415695905685,145.2758345603943,1742.1458333333333,1267.036069375
86016,0.04638672,3.705047,559,0.0041320035,42,-0.0076479064,86016,3.817667,0.9804244246333838,148.85061502456665,1712.38,1245.38678726
88064,0.041992188,11.926684,588,0.004706225,43,-0.0051182928,88064,3.811015,0.8177817016839981,152.51166582107544,1718.9803921568628,1247.8876620588235
90112,0.087939456,1.9216982,537,0.00816639,44,-0.0072201206,90112,3.7883873,0.9863998619839549,155.98938536643982,1708.7884615384614,1240.1279063076922
92160,0.07553711,9.446824,593,0.0073423153,45,-0.0035198585,92160,3.7872276,0.9093662649393082,159.80175805091858,1705.9259259259259,1237.2771064074072
94208,0.06723633,1.23004,572,0.005384967,46,-0.004041993,94208,3.79975,0.9915763344615698,163.25060725212097,1696.7636363636364,1231.0628848363635
96256,0.047949217,22.365627,543,0.004462686,47,-0.0018390106,96256,3.7827926,0.8970612734556198,166.82852220535278,1683.5438596491229,1224.106880350877
98304,0.019824218,9.218851,572,0.0023028771,48,-0.0014340256,98304,3.7621708,0.9405797943472862,170.59595274925232,1654.7627118644068,1202.7315295423728
100352,0.045214843,2.7694762,567,0.0040273704,49,-0.0030334948,100352,3.7498703,0.9697325620800257,174.17667603492737,1653.8166666666666,1202.7309062499999
102400,0.05678711,13.02978,582,0.004928884,50,-0.007608568,102400,3.7450378,0.8078944236040115,177.78529453277588,1660.295081967213,1204.3311327049178
104448,0.05625,6.34698,558,0.005053404,51,-0.004286443,104448,3.752367,0.955483466386795,181.30216908454895,1656.7777777777778,1202.1543797142854
106496,0.10078125,1.3149068,549,0.008980575,52,-0.008435846,106496,3.7395134,0.9920518286526203,184.9674563407898,1647.34375,1195.500912890625
108544,0.07563476,2.801419,552,0.0062783943,53,-0.007944124,108544,3.7226086,0.9796703606843948,188.696533203125,1638.2575757575758,1190.586087742424
110592,0.07241211,18.270489,553,0.005952482,54,-0.0034403647,110592,3.7293124,0.8831356018781662,192.40204858779907,1644.3880597014925,1197.9346366716418
112640,0.039257813,3.074397,565,0.0035685238,55,-0.005215989,112640,3.732104,0.9738576989620924,196.1017460823059,1639.264705882353,1193.7692182941175
114688,0.071826175,2.775972,549,0.006256287,56,-0.0053097075,114688,3.729443,0.9864047123119235,199.72234725952148,1635.1285714285714,1193.4512841285714
116736,0.031542968,16.144657,543,0.002954262,57,-0.0020038325,116736,3.737315,0.8982157930731773,203.45053386688232,1640.9577464788733,1200.4971960704227
118784,0.0296875,10.689217,578,0.0028455188,58,-0.0015974569,118784,3.7502053,0.7997639328241348,207.22147631645203,1646.625,1202.1674645833332
120832,0.045703124,13.66246,579,0.0038802214,59,-0.00230787,120832,3.756331,0.7034408450126648,210.7626838684082,1652.13698630137,1203.4304438767122
122880,0.059472658,19.047031,554,0.0048442064,60,-0.0029823019,122880,3.7659938,0.8720983862876892,214.2985122203827,1657.5,1208.1463188648647
124928,0.068115234,10.332884,576,0.005556209,61,0.00062518177,124928,3.776392,0.7383789718151093,217.99057626724243,1662.72,1209.1363629999998
126976,0.045898438,1.9161098,570,0.004190285,62,-0.0027630075,126976,3.7802193,0.9773014187812805,221.54376602172852,1657.7631578947369,1206.0385840394736
129024,0.09487305,10.73783,588,0.008115431,63,-0.0030519622,129024,3.7814407,0.8509007543325424,225.13599371910095,1662.844155844156,1207.3624088181818
131072,0.080322266,7.8033037,550,0.011675384,64,-0.010248087,131072,3.7914681,0.9580012336373329,228.61504006385803,1653.746835443038,1201.3288637594935
133120,0.030761719,13.335483,535,0.0030082387,65,-0.0014612573,133120,3.787595,0.9049583747982979,232.33467960357666,1658.6875,1206.435862625
135168,0.046826173,2.0807722,564,0.003988772,66,-0.004365738,135168,3.7839718,0.9810297023504972,236.16303038597107,1658.6913580246915,1206.9290760123456
137216,0.061279297,1.1185813,550,0.0052570757,67,-0.005859197,137216,3.7837367,0.9883473571389914,239.78846383094788,1656.9512195121952,1206.841743097561
139264,0.025048828,25.761755,588,0.002857112,68,-0.0033108313,139264,3.785281,0.6928412616252899,243.50804591178894,1653.0238095238096,1200.8604612142856
141312,0.06069336,17.854614,526,0.0051018326,69,-0.0011954475,141312,3.7971203,0.8451386541128159,246.98757219314575,1657.6823529411765,1207.4010268470588
143360,0.061328124,10.480842,604,0.0053730207,70,-0.0036504027,143360,3.8117719,0.7377595007419586,250.87766194343567,1662.2325581395348,1208.1141615465117
145408,0.067919925,11.142195,594,0.0068297037,71,-0.0024993336,145408,3.8257709,0.7508167028427124,254.2646734714508,1666.6781609195402,1208.9159250344828
147456,0.051220704,17.513624,565,0.0046965997,72,-0.0053179846,147456,3.8172772,0.844507560133934,257.7114667892456,1671.0227272727273,1213.4828963068182
149504,0.031640626,2.2089918,568,0.003235444,73,-0.0027374136,149504,3.8058598,0.9757627844810486,261.3337736129761,1665.5505617977528,1209.2935418876405
151552,0.06435547,1.5285118,540,0.0054678502,74,-0.0060689664,151552,3.7968678,0.9895403580740094,264.93659710884094,1661.2666666666667,1205.9380495444445
153600,0.056152344,8.361963,579,0.004953123,75,-0.006447649,153600,3.7933228,0.9364848732948303,268.7257647514343,1658.7934782608695,1206.921678326087
155648,0.07758789,18.841053,537,0.006109252,76,-0.0023910129,155648,3.7894542,0.8503510355949402,272.2629566192627,1662.989247311828,1211.7516994086022
157696,0.05722656,1.6288147,535,0.004884941,77,-0.0035208887,157696,3.7909722,0.9862122144550085,276.0741982460022,1661.4468085106382,1212.2276776702129
159744,0.050488282,11.787499,573,0.004315528,78,-0.0048911097,159744,3.7909026,0.8574628084897995,279.89749455451965,1652.6770833333333,1205.3868006249998
161792,0.041259766,11.98623,596,0.003655896,79,-0.003946322,161792,3.7864738,0.8662334233522415,283.46722292900085,1656.7628865979382,1207.1292410618555
163840,0.072265625,18.652449,542,0.0060055577,80,-0.0025688272,163840,3.7814338,0.8857826068997383,286.9032301902771,1660.765306122449,1211.737772510204
165888,0.056884766,8.5457115,538,0.004637719,81,-0.0007123988,165888,3.778005,0.9369739443063736,290.67856454849243,1664.6868686868686,1216.7133853636362
167936,0.072705075,1.9009025,562,0.006273092,82,-0.0034716309,167936,3.788835,0.9721224140375853,294.4822106361389,1663.37,1217.0947728099998
169984,0.0809082,12.579323,564,0.0070386664,83,-0.0055095893,169984,3.7977176,0.7011848390102386,298.12678050994873,1663.37,1217.35887821
172032,0.072216794,11.127401,578,0.005967813,84,-0.004583345,172032,3.8080165,0.7066166400909424,301.7522716522217,1664.73,1214.73124495
174080,0.029345702,13.991236,579,0.0027715848,85,-0.0023736844,174080,3.8213768,0.7335894405841827,305.2907090187073,1677.81,1223.2742647999999
176128,0.03364258,21.032536,564,0.0030628399,86,-0.0036726114,176128,3.8255353,0.8563347011804581,308.82661628723145,1667.47,1218.97340744
178176,0.06533203,10.807772,595,0.005407655,87,-0.0060339263,178176,3.8338153,0.8477082550525665,312.4569525718689,1670.02,1218.56221253
180224,0.061523438,1.6063496,538,0.004921856,88,-0.0045889732,180224,3.8440413,0.9889261340722442,315.8988137245178,1669.35,1218.2366594400003
182272,0.058007814,16.114489,549,0.005704643,89,-0.0042928266,182272,3.8605583,0.8783357962965965,319.70345163345337,1672.55,1222.04532616
184320,0.04067383,12.973015,588,0.0031459325,90,-0.0041377745,184320,3.8842244,0.8097970336675644,323.4313704967499,1672.55,1220.7136487200003
186368,0.029833984,1.8805586,568,0.0032417192,91,-0.003642404,186368,3.879065,0.9855741476640105,326.9113347530365,1666.91,1214.2442225600003
188416,0.08916016,15.546167,526,0.006866566,92,-0.0052410048,188416,3.86756,0.9006289541721344,330.5138990879059,1672.87,1219.61912539
190464,0.043164063,10.005552,570,0.0039314497,93,-0.0054593165,190464,3.8600757,0.9420801475644112,334.40131735801697,1665.35,1217.4607278
192512,0.044921875,7.486337,580,0.004216428,94,-0.0037433438,192512,3.8572872,0.9102346524596214,337.99061703681946,1658.35,1213.0066003700001
194560,0.03793945,8.431166,551,0.0036077579,95,-0.0026883152,194560,3.86104,0.9571767151355743,341.5165593624115,1648.91,1207.74514434
196608,0.052099608,12.327505,585,0.0067069097,96,-0.0074021267,196608,3.8668835,0.8955589681863785,345.22756481170654,1649.88,1211.5362571899998
198656,0.025537109,18.105007,575,0.0023815183,97,-0.0030833974,198656,3.8716233,0.8095194548368454,348.7286059856415,1649.88,1209.6228063700003
200704,0.06762695,7.5005274,534,0.0054300097,98,-0.0048737163,200704,3.8718948,0.9451981633901596,352.2867045402527,1646.06,1207.90375208
202752,0.057714842,18.247332,567,0.0046650055,99,-0.004917175,202752,3.8737216,0.8644816726446152,356.12096881866455,1655.8,1216.71974107
204800,0.04111328,8.141152,573,0.0035965615,100,-0.005201713,204800,3.8718224,0.914940282702446,359.73284792900085,1648.86,1209.20518999
206848,0.066259764,12.581872,570,0.0052673733,101,-0.003749086,206848,3.8762174,0.8769853860139847,363.30771231651306,1654.18,1212.6600574600002
208896,0.07646485,14.699629,542,0.0063761575,102,-0.00410862,208896,3.898178,0.8737230896949768,366.9001212120056,1654.18,1212.65981385
210944,0.021923829,11.7129,570,0.0020928835,103,-0.0026974962,210944,3.921634,0.8813745453953743,370.67555046081543,1654.18,1213.05857019
212992,0.040966798,16.571457,548,0.0038216147,104,-0.005018117,212992,3.9234104,0.9116985872387886,374.26364517211914,1646.76,1205.7554579399998
215040,0.08735351,12.56016,542,0.006673417,105,-0.0056245117,215040,3.9201176,0.9199907705187798,378.0006721019745,1646.76,1206.43530426
217088,0.022900391,16.317087,582,0.0022648617,106,-0.0018926586,217088,3.9169183,0.8446970582008362,381.77466654777527,1620.97,1188.42489727
219136,0.048291016,9.87661,569,0.004468177,107,-0.005872263,219136,3.9288826,0.940457534044981,385.28869581222534,1609.87,1181.30501784
221184,0.03671875,19.013903,582,0.0034695722,108,-0.0013322828,221184,3.9386063,0.7228089869022369,388.88224506378174,1623.28,1191.19662745
223232,0.027392577,8.216686,549,0.002387299,109,-0.0035283323,223232,3.933377,0.9560174606740475,392.39585757255554,1613.26,1182.53469418
225280,0.091308594,19.984785,554,0.006850168,110,-0.004069174,225280,3.9212518,0.82989901304245,396.12105798721313,1615.01,1184.22152888
227328,0.06171875,16.212288,557,0.005116071,111,-0.0044393768,227328,3.9204552,0.8894971907138824,399.81819200515747,1610.73,1181.54973406
229376,0.059375,8.938483,546,0.005273497,112,-0.0033469326,229376,3.9187322,0.9374924004077911,403.4899170398712,1617.94,1188.28226807
231424,0.08666992,10.950708,576,0.0069200345,113,-0.005568024,231424,3.9147725,0.7660791426897049,407.2390866279602,1620.6,1186.76693883
233472,0.11699219,11.509588,587,0.00991733,114,-0.006203345,233472,3.9262092,0.7156500816345215,410.79028153419495,1622.22,1185.0768711
235520,0.047607422,18.700888,538,0.003956539,115,-0.0012471541,235520,3.939549,0.8669152408838272,414.2757556438446,1634.4,1197.67530681
237568,0.01796875,6.6332083,559,0.002003276,116,-0.0024694423,237568,3.9386678,0.94614477455616,418.08266139030457,1637.79,1200.33608795
239616,0.07817383,19.394775,548,0.0063171373,117,-0.002558501,239616,3.936504,0.8633972108364105,421.7411093711853,1640.75,1204.60419321
241664,0.04736328,9.466042,509,0.0039621172,118,-0.0022931206,241664,3.9403782,0.937541488558054,425.4792764186859,1646.19,1210.59109159
243712,0.03696289,6.721077,559,0.0034289132,119,-0.004191197,243712,3.9511814,0.9603911973536015,429.5033452510834,1650.63,1216.0932707799998
245760,0.017041016,8.953099,591,0.0017965849,120,-0.0016734172,245760,3.9500852,0.8487082123756409,433.1663212776184,1648.8,1212.66484965
247808,0.040966798,11.237543,572,0.0038123229,121,-0.004230844,247808,3.9561558,0.9245107099413872,436.6269290447235,1638.85,1203.1939797
249856,0.04638672,15.803561,574,0.0041586133,122,-0.005780369,249856,3.9582798,0.850419893860817,440.20275950431824,1638.64,1201.72489641
251904,0.029589843,4.5078726,569,0.0029256768,123,-0.0024097224,251904,3.9585571,0.9671209156513214,443.7688539028168,1638.12,1203.0316498999998
253952,0.03046875,9.799753,581,0.0030224593,124,-0.0023431121,253952,3.9572558,0.8609150350093842,447.3684883117676,1634.74,1200.55956797
256000,0.039501954,19.034128,574,0.0034737524,125,-0.0039582653,256000,3.9561756,0.8516548573970795,450.8897080421448,1641.86,1203.5782385500002
258048,0.03930664,22.011911,556,0.003508754,126,-0.00213322,258048,3.9594696,0.8949549198150635,454.4564266204834,1643.4,1207.424601
260096,0.08500977,18.35099,540,0.006707024,127,-0.0030354746,260096,3.949438,0.8741655945777893,458.13770627975464,1643.4,1207.6312261399999
262144,0.049365234,3.399477,560,0.0044192607,128,-0.0032470818,262144,3.9311779,0.9765822719782591,461.92990040779114,1654.33,1217.6086047400001
264192,0.033154298,16.910969,548,0.0032343455,129,-0.0013890045,264192,3.926971,0.8871316388249397,465.58296751976013,1668.78,1230.82758924
266240,0.056152344,4.068383,573,0.004976365,130,-0.005558471,266240,3.9252675,0.9584347493946552,469.3175220489502,1671.45,1232.3745640900001
268288,0.027734375,16.8493,584,0.0026688646,131,-0.0031303503,268288,3.9205594,0.8447781056165695,472.8868179321289,1664.36,1227.6191725100002
270336,0.053271484,8.743738,588,0.0054222066,132,-0.0043872716,270336,3.9279914,0.8605079650878906,476.39385867118835,1655.49,1218.4773012
272384,0.048095703,17.700895,578,0.0043618465,133,-0.0036816462,272384,3.9328303,0.8599947541952133,479.87374806404114,1663.55,1223.98007896
274432,0.08427735,19.206242,572,0.0064757625,134,-0.006069918,274432,3.933805,0.8520985394716263,483.413361787796,1671.4,1229.25777432
276480,0.071875,18.94149,562,0.00545196,135,-0.003231459,276480,3.9401333,0.8437848687171936,486.9909620285034,1677.58,1233.89652813
278528,0.036035158,9.963488,557,0.0032229547,136,-0.0030287497,278528,3.9607952,0.9345254674553871,490.6300117969513,1677.58,1233.4522983900001
280576,0.05263672,12.713743,589,0.004360083,137,-0.0043901145,280576,3.9699872,0.8631454408168793,494.30721616744995,1685.11,1238.4006474999999
282624,0.079833984,18.575441,550,0.008050993,138,-0.008663773,282624,3.9655032,0.8697807341814041,497.7802166938782,1693.77,1247.00500602
284672,0.043652344,26.962936,562,0.0037810723,139,-0.003929612,284672,3.9647095,0.8803065568208694,501.5035135746002,1678.43,1233.61365758
286720,0.08554687,19.142832,545,0.00680999,140,-0.0023765906,286720,3.9689183,0.854236975312233,505.1458320617676,1678.43,1238.18690758
288768,0.02998047,18.54925,591,0.0029002877,141,-0.0031185346,288768,3.968554,0.7965633422136307,508.901896238327,1638.08,1209.1986110100001
290816,0.06416015,12.275447,569,0.005227885,142,-0.0054264083,290816,3.9740303,0.8520493060350418,512.3674919605255,1645.71,1214.13433426
292864,0.061621092,12.533619,582,0.005254986,143,-0.0057023587,292864,3.9827518,0.8348918408155441,515.961954832077,1645.71,1214.74857934
294912,0.03149414,18.297329,555,0.002934948,144,-0.0019692874,294912,3.98578,0.8559473156929016,519.4801857471466,1647.53,1216.2797462800002
296960,0.060791016,18.390574,544,0.0048226253,145,-0.0050836294,296960,3.988669,0.8683865368366241,523.1668787002563,1660.62,1229.52813092
299008,0.030761719,12.171853,564,0.0028483816,146,-0.0012481458,299008,3.99019,0.8857990279793739,526.9265077114105,1660.62,1228.65784795
301056,0.05595703,13.404104,575,0.0051393234,147,-0.0020097701,301056,3.9948049,0.7108483910560608,530.5521020889282,1664.52,1228.81674299
303104,0.04042969,24.669811,587,0.0036793281,148,-0.0061673913,303104,4.000987,0.8414953798055649,534.1117277145386,1640.12,1210.6632883700001
305152,0.07241211,11.363932,551,0.0057726637,149,-0.002665266,305152,4.006749,0.7589610069990158,537.5954442024231,1640.12,1205.60667356
307200,0.050439455,10.283252,566,0.0044066617,150,-0.0034270685,307200,4.006543,0.7742020934820175,541.3111524581909,1625.08,1195.6508799599999
309248,0.05522461,11.086204,557,0.0048485105,151,-0.0030014436,309248,4.0074863,0.7172359228134155,544.9270665645599,1625.08,1195.3116044199999
311296,0.083300784,11.73458,569,0.006721788,152,-0.0057613,311296,4.008256,0.713095486164093,548.603996515274,1625.08,1191.55451487
313344,0.058691405,11.771917,558,0.0049960436,153,-0.0027010625,313344,4.013041,0.7149024307727814,552.2018475532532,1633.73,1195.4540674300001
315392,0.0609375,11.42624,560,0.0050441045,154,-0.004564349,315392,4.017232,0.7199792265892029,555.8707146644592,1641.42,1198.6189912
317440,0.046044923,11.239817,571,0.0040074545,155,-0.0014971382,317440,4.0145416,0.7281555235385895,559.5268182754517,1641.42,1193.56385139
319488,0.05996094,10.650606,556,0.00517851,156,-0.0035749506,319488,4.0231714,0.7234653234481812,563.113924741745,1651.45,1198.4668412800002
321536,0.038427733,11.036443,555,0.003502033,157,-0.003291839,321536,4.041684,0.9285677522420883,566.7945282459259,1651.45,1194.263379
323584,0.043798827,27.451944,567,0.0039003282,158,-0.0048022196,323584,4.0519896,0.8538048267364502,570.4847176074982,1646.61,1189.94244774
325632,0.034472656,21.595978,536,0.0032434105,159,-0.002766401,325632,4.0517454,0.8749516755342484,574.0908780097961,1649.16,1196.03676679
327680,0.054052733,10.591265,566,0.0046262103,160,-0.0012994704,327680,4.050094,0.7116023898124695,577.9051859378815,1649.16,1191.8168105099999
329728,0.027001953,11.86374,561,0.0026178411,161,-0.0029600095,329728,4.054858,0.7647911310195923,581.5191648006439,1649.16,1187.55789816
