value_loss,time_elapsed,policy_entropy,total_timesteps,serial_timesteps,fps,explained_variance,policy_loss,clipfrac,approxkl,n_updates,ep_len_mean,ep_reward_mean
15.324275,1.9073486328125e-06,4.484584,2048,2048,451,0.4062656760215759,-0.005122537,0.054589845,0.0045753918,1,,
16.404078,4.539104223251343,4.4956937,4096,4096,495,0.6551693975925446,-0.0018358754,0.042089842,0.0039926,2,1537.0,829.796071
20.781147,8.676703929901123,4.490076,6144,6144,494,0.49148595333099365,-0.003781877,0.024267578,0.00246416,3,1472.25,795.80906225
14.830574,12.815306901931763,4.4846625,8192,8192,495,0.6628275811672211,-0.0038896645,0.034228515,0.0030600769,4,1587.6,868.2314286000001
17.249166,16.95108985900879,4.476886,10240,10240,488,0.7577518224716187,-0.0030751256,0.028710937,0.0027609994,5,1664.5,939.5865715
7.0285316,21.140895128250122,4.468787,12288,12288,487,0.8309189081192017,-0.0017965663,0.04951172,0.0045170705,6,1705.7142857142858,959.9135399999999
9.096359,25.345388889312744,4.4625473,14336,14336,479,0.7214124500751495,-0.0052545737,0.042578124,0.0037560065,7,1700.5,955.5448544999999
8.923128,29.6152446269989,4.4610124,16384,16384,496,0.7210418283939362,-0.004982735,0.03237305,0.0030108078,8,1665.4444444444443,936.5890548888888
9.826125,33.73765993118286,4.4572306,18432,18432,487,0.6718717217445374,-0.002241014,0.029101562,0.0029367371,9,1703.8,960.0698843
8.545499,37.93973255157471,4.4318438,20480,20480,487,0.8656649887561798,-0.009725856,0.05805664,0.004906168,10,1698.1818181818182,955.75091
22.674366,42.13864612579346,4.4132605,22528,22528,480,0.5691534280776978,-0.0041764947,0.039697267,0.0035672481,11,1598.9285714285713,909.1370060714286
7.375787,46.399513721466064,4.401561,24576,24576,469,0.8875417783856392,-0.003881699,0.043798827,0.003972316,12,1506.4,854.3031633999999
17.52139,50.76637268066406,4.3870897,26624,26624,477,0.815732330083847,-0.004688246,0.047509767,0.004177698,13,1414.5555555555557,810.3144082222223
13.162786,55.0543110370636,4.3859963,28672,28672,496,0.6483493447303772,-0.0058155,0.038085938,0.0035459243,14,1447.9473684210527,838.3988658421054
10.881213,59.181599855422974,4.390287,30720,30720,485,0.8292188197374344,-0.005612931,0.06894531,0.0058400217,15,1443.904761904762,830.4136726190476
10.093396,63.40308928489685,4.392743,32768,32768,461,0.7301490008831024,-0.004180987,0.041894533,0.0040457537,16,1471.409090909091,852.2796305
