total_timesteps,approxkl,explained_variance,clipfrac,policy_entropy,n_updates,fps,value_loss,policy_loss,time_elapsed,serial_timesteps,ep_len_mean,ep_reward_mean
2048,0.005620884,0.9914208361878991,0.07001953,3.671706,1,498,0.47177348,-0.006066785,1.430511474609375e-06,2048,,
4096,0.003248629,0.7573482990264893,0.03339844,3.6577964,2,492,17.475208,-0.0052860095,4.109743118286133,4096,902.0,514.8109975
6144,0.0034086958,0.8369021266698837,0.035839844,3.6454024,3,490,20.170216,-0.0057768747,8.271868467330933,6144,766.375,423.28250975000003
8192,0.006180377,0.8545793890953064,0.05756836,3.6617293,4,481,17.84624,-0.007933248,12.445719957351685,8192,600.5833333333334,314.5383515833334
10240,0.001959009,0.8837318941950798,0.020166015,3.6722062,5,478,23.380112,-0.004603806,16.695430994033813,10240,628.625,343.0306705625
12288,0.0024697308,0.7887561768293381,0.028759766,3.6805024,6,507,22.0272,-0.005269701,20.979644536972046,12288,610.1,326.92626014999996
14336,0.0035976209,0.8618911951780319,0.04086914,3.684791,7,526,9.435175,-0.004851434,25.012946128845215,14336,678.6190476190476,376.3898153333333
16384,0.00403793,0.9583476521074772,0.04194336,3.6848652,8,519,3.6334343,-0.0037722066,28.9014630317688,16384,660.4545454545455,364.11244209090904
18432,0.0031177842,0.8508812040090561,0.034570314,3.6868412,9,488,15.786197,-0.004776476,32.84645986557007,18432,698.04,391.6188924
20480,0.0013646263,0.8482743054628372,0.009033203,3.6878598,10,506,14.346379,-0.003851151,37.035969734191895,20480,722.7777777777778,408.842808111111
22528,0.0019845432,0.8559880554676056,0.020507812,3.684264,11,496,13.735098,-0.0011097698,41.07915449142456,22528,767.1379310344828,438.96580713793094
24576,0.0034568678,0.8376386165618896,0.03779297,3.6738732,12,519,8.780186,-0.0029484716,45.20243525505066,24576,809.8666666666667,468.36501986666656
26624,0.003938255,0.8936289548873901,0.04511719,3.6711586,13,509,9.428846,-0.0054790406,49.14277529716492,26624,849.8387096774194,500.65442148387086
28672,0.0023347095,0.9088165462017059,0.023779297,3.6743312,14,502,5.823225,-0.0033895592,53.16090416908264,28672,876.875,518.1341579687501
30720,0.0037758802,0.8832612335681915,0.040625,3.6663628,15,510,11.59334,-0.0025956056,57.237476110458374,30720,857.4705882352941,503.6447348529412
32768,0.0029270153,0.8823415189981461,0.03276367,3.6590047,16,502,8.991068,-0.0021781554,61.24699640274048,32768,882.8285714285714,521.7172544285714
34816,0.0035668344,0.8461586982011795,0.039453126,3.6673946,17,485,15.42663,-0.00434657,65.32477831840515,34816,920.4054054054054,550.8252134864864
36864,0.0026384103,0.9125934019684792,0.03354492,3.6812477,18,498,9.633601,-0.0038249872,69.54119873046875,36864,923.2564102564103,554.2109329487179
38912,0.0035817283,0.886147141456604,0.039501954,3.687194,19,502,9.61298,-0.0029870416,73.65363454818726,38912,951.4,576.39834425
40960,0.004141801,0.8452191650867462,0.04526367,3.683527,20,515,17.097567,-0.0047187814,77.73191165924072,40960,961.6428571428571,585.3658114761905
43008,0.0033496222,0.8944671750068665,0.038916014,3.681137,21,504,16.98558,-0.0036283438,81.70831632614136,43008,951.2,579.6088607111112
45056,0.0026762623,0.9368644878268242,0.02631836,3.6744008,22,513,5.593263,-0.0042824997,85.77161931991577,45056,971.304347826087,595.0965997391305
47104,0.0050149127,0.9057900905609131,0.06044922,3.6702785,23,494,6.7886825,-0.0031867947,89.76044392585754,47104,970.7872340425532,594.3238554468086
49152,0.005380026,0.8164739161729813,0.061279297,3.6664193,24,491,12.420461,-0.006022434,93.89882206916809,49152,993.25,610.1876357083333
51200,0.0041675232,0.9194207563996315,0.04272461,3.6575637,25,495,8.508697,-0.006348031,98.07014560699463,51200,1004.84,619.29644098
53248,0.005130056,0.882744163274765,0.059912108,3.6489036,26,491,8.5159855,-0.006456211,102.22125911712646,53248,1010.3137254901961,623.335812
55296,0.0032831822,0.9280871674418449,0.036376953,3.644507,27,495,7.7000628,-0.004300101,106.39055490493774,55296,1030.2075471698113,638.6718850754718
57344,0.0045531723,0.8471496254205704,0.051074218,3.6447823,28,503,13.430048,-0.0040355297,110.52151370048523,57344,1049.0740740740741,653.250063925926
59392,0.00632535,0.8406336158514023,0.08208008,3.6479003,29,502,16.470692,-0.0072522513,114.59238982200623,59392,1051.3214285714287,656.161760892857
61440,0.008334442,0.8480286747217178,0.09506836,3.6525548,30,494,17.657337,-0.007911446,118.66505837440491,61440,1053.1724137931035,659.0092801206896
63488,0.003981338,0.8776462376117706,0.04423828,3.6499646,31,505,13.724289,-0.004830469,122.81132459640503,63488,1054.3833333333334,659.6580993333333
65536,0.0052618617,0.9035153239965439,0.06123047,3.6520417,32,505,12.473841,-0.009943118,126.86036014556885,65536,1054.0,659.7447034516128
67584,0.0024564604,0.8452779054641724,0.027246093,3.6607146,33,517,13.016832,-0.00362502,130.91583466529846,67584,1050.328125,656.0861096875001
69632,0.003432645,0.9529840350151062,0.038232423,3.6596596,34,496,4.26389,-0.0070871413,134.8771414756775,69632,1054.3538461538462,659.614736523077
71680,0.0031700009,0.8582904785871506,0.035351563,3.6545959,35,513,11.485607,-0.0029253517,139.00115251541138,71680,1069.4242424242425,671.5055545909092
73728,0.0039928565,0.9776682127267122,0.043261718,3.6467252,36,514,1.8408445,-0.0053853304,142.99212956428528,73728,1070.089552238806,672.4029707313434
75776,0.0073077613,0.8129956275224686,0.083935544,3.6407504,37,500,14.685353,-0.008191882,146.9698634147644,75776,1084.485294117647,683.4493244852943
77824,0.006415765,0.8850610628724098,0.074072264,3.6239529,38,481,10.17804,-0.0045489604,151.0586130619049,77824,1098.463768115942,694.1193248260871
79872,0.0021618144,0.8698363304138184,0.021582032,3.6173778,39,492,19.598392,-0.0025278379,155.30944561958313,79872,1107.875,702.679257625
81920,0.0035309116,0.9385753199458122,0.036035158,3.6143017,40,503,9.339294,-0.00432521,159.47002792358398,81920,1105.6891891891892,701.9073078513513
83968,0.004089769,0.9603014104068279,0.042675782,3.604257,41,492,4.982044,-0.0033806984,163.53830456733704,83968,1097.3466666666666,695.61269656
86016,0.0063932263,0.8500903099775314,0.079394534,3.5993552,42,488,23.887745,-0.0057391585,167.69559836387634,86016,1113.4415584415585,709.861325987013
88064,0.0034998138,0.9234509319067001,0.039257813,3.6075535,43,501,5.635338,-0.006440035,171.8923749923706,88064,1118.2051282051282,713.0956059358974
90112,0.004836795,0.8648423254489899,0.058300782,3.6114254,44,477,11.901136,-0.0035589181,175.9746789932251,90112,1129.987341772152,723.0077989873417
92160,0.0021179616,0.8648774474859238,0.02109375,3.6152186,45,509,18.826933,-0.0025005662,180.2643699645996,92160,1135.7037037037037,727.6361552592592
94208,0.0054985085,0.9015998467803001,0.06347656,3.6070838,46,486,10.105126,-0.00095377647,184.2882149219513,94208,1146.841463414634,737.3226680365852
96256,0.004288952,0.8975337073206902,0.04584961,3.5841763,47,505,9.554816,-0.005568297,188.49486827850342,96256,1151.8192771084337,741.2952308192771
98304,0.0029310866,0.9037682861089706,0.030126953,3.5831008,48,520,8.543272,-0.0043039033,192.54670095443726,98304,1150.9404761904761,740.3076770357142
100352,0.0035166652,0.8648860305547714,0.040283203,3.5940495,49,527,14.633942,-0.0023186565,196.4838137626648,100352,1157.6279069767443,745.8231243139534
102400,0.005276975,0.9171831086277962,0.064697266,3.5924911,50,502,7.660556,-0.005253383,200.37064123153687,102400,1155.4367816091954,743.3893522298849
104448,0.0028285305,0.8165195733308792,0.032714844,3.5897796,51,540,21.156277,-0.002266536,204.4456503391266,104448,1161.4157303370787,748.4331104606741
106496,0.004800533,0.8576376140117645,0.06015625,3.598446,52,517,14.005678,-0.004948902,208.2378339767456,106496,1171.2777777777778,755.9534546555556
108544,0.0035554327,0.8499448746442795,0.036132812,3.5985992,53,496,13.967386,-0.0007133685,212.19641780853271,108544,1180.923076923077,763.6686660329669
