fps,serial_timesteps,ep_len_mean,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,ep_reward_mean,value_loss,time_elapsed
386,2048,534.0,2.7854629,0.064208984,0.8677583187818527,0.0057077548,1,-0.004845922,2048,239.723701,6.623645,2.384185791015625e-06
404,4096,1086.0,2.7922904,0.04472656,0.809672087430954,0.0037132453,2,-0.0024613275,4096,596.8858393333334,13.370344,5.305289268493652
423,6144,1326.75,2.8044915,0.053271484,0.820248618721962,0.0047518043,3,-0.002284778,6144,778.9126140000001,8.297605,10.363090515136719
360,8192,1471.2,2.8106647,0.12456055,0.7620214223861694,0.010104926,4,-0.0042501357,8192,864.4628700000001,8.020066,15.197322368621826
382,10240,1567.5,2.831718,0.058691405,0.7693022936582565,0.005032082,5,-0.0025524541,10240,926.4262788333334,9.180619,20.874804496765137
403,12288,1518.0,2.8510146,0.053613283,0.6686054468154907,0.0045582857,6,-0.0018443586,12288,889.25692475,18.05854,26.225019931793213
378,14336,1577.0,2.8575435,0.066064455,0.7586053758859634,0.0055320244,7,-0.0039787013,14336,928.6375001111111,9.21483,31.300678730010986
381,16384,1624.2,2.856358,0.06557617,0.7253141403198242,0.0053426237,8,-0.0033100727,16384,956.623079,8.947228,36.70750880241394
380,18432,1662.8181818181818,2.8561225,0.066259764,0.6646183133125305,0.0057030963,9,-0.0032863226,18432,979.959822,8.62157,42.07211112976074
388,20480,1695.0,2.8551812,0.07792969,0.8189858049154282,0.006909333,10,-0.00511709,20480,1007.2922194166667,8.844599,47.457483530044556
433,22528,1471.2666666666667,2.8571448,0.048583984,0.5897023677825928,0.004238433,11,-0.008134231,22528,861.7791772666667,21.705008,52.731261014938354
410,24576,1433.235294117647,2.8588686,0.04584961,0.7551946491003036,0.004123648,12,-0.003145983,24576,838.8880023529413,14.157722,57.45774841308594
391,26624,1467.4444444444443,2.8491435,0.054589845,0.6787580251693726,0.0046585673,13,-0.0043510213,26624,859.8108104444445,9.799001,62.44257712364197
436,28672,1419.5263157894738,2.846126,0.040527344,0.7992085367441177,0.00389627,14,-0.0046031,28672,829.0554897894738,7.920514,67.68014216423035
392,30720,1400.952380952381,2.854368,0.06708984,0.7574420124292374,0.0055097593,15,-0.0067508137,30720,820.5206265714286,14.942896,72.36897397041321
410,32768,1430.409090909091,2.8545403,0.064404294,0.7874357551336288,0.006145366,16,-0.005415323,32768,841.189331409091,7.8501005,77.59230208396912
412,34816,1457.304347826087,2.8465364,0.036865234,0.716817706823349,0.0034484752,17,-0.0033647858,34816,862.6553733478262,9.6657505,82.58718419075012
392,36864,1481.9583333333333,2.8501303,0.07109375,0.7466631233692169,0.005776665,18,-0.0016024979,36864,881.506918875,7.6667128,87.55779790878296
391,38912,1504.64,2.8590982,0.030957032,0.802107647061348,0.0029107586,19,-0.0021459858,38912,898.69589456,10.109725,92.7758116722107
411,40960,1483.0740740740741,2.8600583,0.04272461,0.8016130030155182,0.003495016,20,-0.003732271,40960,889.6072889629629,14.80067,98.00423455238342
377,43008,1503.2857142857142,2.8635468,0.08222656,0.8136276602745056,0.006770519,21,-0.00440862,43008,905.6433241785714,8.2184105,102.97791981697083
370,45056,1494.8333333333333,2.8718467,0.07866211,0.6861996054649353,0.0060472637,22,-0.0044303304,45056,900.0765662333334,16.160847,108.40949654579163
430,47104,1479.9032258064517,2.8765123,0.03017578,0.8754915073513985,0.002811694,23,-0.003854466,47104,892.2406277419356,7.3326178,113.9354100227356
388,49152,1442.8529411764705,2.8777559,0.027148437,0.5984739065170288,0.0025036552,24,-0.004001173,49152,866.2786351176471,27.86967,118.69120573997498
416,51200,1460.1714285714286,2.8772979,0.07670899,0.6627140045166016,0.006372237,25,-0.0026390282,51200,876.5127720285715,10.046402,123.95926594734192
417,53248,1432.4722222222222,2.8848932,0.048046876,0.8503856807947159,0.0042561884,26,-0.0030399852,53248,858.064394638889,6.4235473,128.8836543560028
404,55296,1372.75,2.896514,0.044873048,0.565775454044342,0.003700874,27,-0.004867113,55296,818.0055098749999,28.796219,133.79347825050354
384,57344,1332.6904761904761,2.9050772,0.040380858,0.8076355904340744,0.0034728628,28,-0.0034810528,57344,789.8969431428571,11.437092,138.86149263381958
390,59392,1349.3488372093022,2.9148717,0.030273438,0.8083099275827408,0.0027425778,29,-0.000975601,59392,801.2567814186045,10.997711,144.1876347064972
399,61440,1323.8260869565217,2.9124255,0.043164063,0.7731084674596786,0.0041188556,30,-0.0058718016,61440,787.7119423043478,20.110065,149.42844676971436
476,63488,1310.3191489361702,2.912294,0.049902342,0.9021336585283279,0.0045331367,31,-0.004899681,63488,778.7245025106382,6.131134,154.55842971801758
448,65536,1285.68,2.9129086,0.037353516,0.7596099525690079,0.0036023606,32,-0.0065411264,65536,764.5819602800001,21.196463,158.85576272010803
481,67584,1300.6470588235295,2.9129906,0.07353516,0.777124747633934,0.0059971637,33,-0.0025445665,67584,774.9035916274511,10.700598,163.41899466514587
458,69632,1315.0384615384614,2.9182105,0.09921875,0.7708362340927124,0.007953336,34,-0.005164501,69632,784.5336545000001,9.584213,167.67745566368103
463,71680,1328.8867924528302,2.921277,0.07470703,0.7787215262651443,0.006044115,35,-0.005071024,71680,793.5656820943398,8.683235,172.1488311290741
396,73728,1342.2222222222222,2.9221103,0.024609376,0.8234939575195312,0.002560574,36,-0.0020594208,73728,802.4230458148149,11.6442795,176.5725166797638
416,75776,1355.0727272727272,2.915492,0.05805664,0.8294913172721863,0.00463335,37,-0.004594472,75776,812.7889933454546,10.866841,181.74052333831787
421,77824,1367.4642857142858,2.8973048,0.040722657,0.7440752685070038,0.0038884692,38,-0.0040259482,77824,821.6090402678572,11.001785,186.6612708568573
383,79872,1379.421052631579,2.8913534,0.0597168,0.8000173568725586,0.0050542415,39,-0.002758968,79872,830.3013265964912,9.460605,191.51750445365906
387,81920,1375.6610169491526,2.896485,0.053955078,0.8002130687236786,0.00446664,40,-0.0026406236,81920,828.0784233559322,16.22026,196.85462164878845
399,83968,1386.8833333333334,2.9063783,0.029248048,0.7906948179006577,0.002595015,41,-0.0051867133,83968,836.2605998500001,11.643103,202.14589095115662
416,86016,1397.7377049180327,2.9105167,0.04633789,0.7663761526346207,0.003884167,42,-0.0031053757,86016,844.5669746229509,10.025955,207.26962661743164
393,88064,1391.5873015873017,2.9165478,0.04472656,0.7807992100715637,0.003674635,43,-0.0065899207,88064,841.1017945714285,14.346941,212.1862244606018
380,90112,1401.859375,2.9280682,0.107373044,0.7717945873737335,0.008825411,44,-0.0057491795,90112,847.8960073124999,10.570867,217.39165472984314
375,92160,1411.8153846153846,2.9357574,0.04560547,0.8262935429811478,0.003962803,45,-0.0016505953,92160,855.3225078923076,12.501095,222.77303767204285
386,94208,1421.469696969697,2.92925,0.020068359,0.8019261807203293,0.0020488375,46,-0.002774249,94208,861.6728560606059,11.49304,228.23500180244446
373,96256,1409.9850746268658,2.9200811,0.039111327,0.8836184218525887,0.0036554486,47,-0.0043706186,96256,853.623871402985,7.584984,233.54103422164917
402,98304,1407.2753623188405,2.9227545,0.048291016,0.7478137314319611,0.0041507343,48,-0.0030562424,98304,852.2178153913042,17.919147,239.02140355110168
392,100352,1416.442857142857,2.9378417,0.05595703,0.8306227475404739,0.005724175,49,-0.005130169,100352,858.5093628285713,7.9658995,244.1109390258789
371,102400,1425.3521126760563,2.9371169,0.04526367,0.8688311129808426,0.0039217416,50,-0.0041579236,102400,865.392996366197,8.71213,249.32796669006348
387,104448,1434.013888888889,2.9358783,0.06303711,0.782993882894516,0.0051962086,51,-0.005381783,104448,871.1414970277777,10.069745,254.83951687812805
390,106496,1442.4383561643835,2.9324846,0.039746094,0.8552711755037308,0.0037748993,52,-0.003698958,106496,877.1229106575342,8.56553,260.1241111755371
378,108544,1435.3066666666666,2.9261546,0.032421876,0.7726294249296188,0.0029920992,53,-0.0034783322,108544,872.6232368,17.599148,265.36395740509033
414,110592,1433.909090909091,2.9327533,0.06147461,0.8228719681501389,0.0059122005,54,-0.0048621288,110592,871.4779175844154,14.396016,270.78236413002014
383,112640,1418.8461538461538,2.9474857,0.06201172,0.8919763714075089,0.005630555,55,-0.0013827572,112640,861.5542478333332,5.6640935,275.72428464889526
369,114688,1403.0,2.957116,0.048876952,0.753988727927208,0.0041581476,56,-0.0041475114,114688,850.9007380617286,22.198647,281.06461238861084
347,116736,1410.878048780488,2.9644153,0.052978516,0.8657419979572296,0.0042507593,57,-0.0028932255,116736,857.0200802073172,8.577217,286.6090974807739
415,118784,1418.566265060241,2.9635875,0.059570312,0.8047495931386948,0.0048400275,58,-0.0053563155,118784,862.8768399879518,9.56064,292.50006675720215
391,120832,1413.8470588235293,2.9789205,0.061816406,0.7622415125370026,0.005226811,59,-0.002416202,120832,859.5210118117648,17.35959,297.43416118621826
362,122880,1421.2325581395348,3.002653,0.029736329,0.8107984811067581,0.00290403,60,-0.0017613576,122880,865.4010512209303,11.138913,302.66058444976807
418,124928,1428.448275862069,3.014048,0.07114258,0.8253304213285446,0.006010554,61,-0.009153517,124928,870.590401770115,9.364389,308.3046975135803
377,126976,1435.5,3.0089033,0.029541016,0.7756818532943726,0.0028340495,62,0.0001307138,126976,875.8930243522726,10.920989,313.20300817489624
