n_updates,policy_loss,value_loss,total_timesteps,approxkl,serial_timesteps,time_elapsed,clipfrac,explained_variance,policy_entropy,fps,ep_reward_mean,ep_len_mean
1,-0.012691203,0.3317769,2048,0.00947977,2048,2.1457672119140625e-06,0.1362793,0.9974420277867466,4.735649,382,,
2,-0.0041701915,1.5377239,4096,0.004453452,4096,5.358973741531372,0.049072266,0.9901076834648848,4.712544,400,1754.89041,2049.0
3,-0.0024881423,5.265263,6144,0.005385014,6144,10.467666387557983,0.068554685,0.9671935439109802,4.6955857,423,1771.10041,2049.0
4,-0.002790498,6.977567,8192,0.0037556298,8192,15.306540250778198,0.036865234,0.9661361426115036,4.692147,408,1759.816186,2049.0
5,-0.0063202204,8.042386,10240,0.0062199766,10240,20.31671714782715,0.07084961,0.9531124532222748,4.6805754,413,1744.6810110000001,2049.0
6,-0.004022112,9.321434,12288,0.005031878,12288,25.26499652862549,0.0597168,0.9444173686206341,4.6653743,399,1749.2865219999999,2049.0
7,-0.0059345635,10.873973,14336,0.009059509,14336,30.387694835662842,0.118945315,0.9380715377628803,4.651135,400,1751.6664128333332,2049.0
8,-0.0036141393,11.831154,16384,0.0031407431,16384,35.499415159225464,0.028564453,0.9241150692105293,4.6262913,403,1749.700855142857,2049.0
9,-0.0038570534,13.817535,18432,0.002011157,18432,40.57958626747131,0.020703126,0.9177778512239456,4.6175814,411,1752.931912125,2049.0
10,-0.007965136,13.2083235,20480,0.0065027038,20480,45.5588698387146,0.076611325,0.9197697937488556,4.6023836,416,1743.4128224444444,2049.0
11,-0.006981647,13.911822,22528,0.010400799,22528,50.4822039604187,0.14550781,0.9084141179919243,4.579694,407,1747.1431057000002,2049.0
12,-0.0057724537,14.538884,24576,0.011610584,24576,55.508740186691284,0.15664062,0.9033186137676239,4.5659766,413,1753.7195024545456,2049.0
13,-0.003157455,15.565845,26624,0.008751648,26624,60.457462549209595,0.119189456,0.9009793549776077,4.558701,404,1759.8240883333335,2049.0
14,-0.0019891334,16.422722,28672,0.0082037505,28672,65.51570057868958,0.10625,0.8904580548405647,4.5540805,415,1765.8792690769233,2049.0
15,-0.001769349,16.85422,30720,0.0032192438,30720,70.44955587387085,0.03173828,0.880320355296135,4.5327396,428,1768.2374837142856,2049.0
16,-0.0037491634,17.83514,32768,0.002924562,32768,75.23496007919312,0.028125,0.8946391493082047,4.519202,411,1773.1749308666665,2049.0
17,-0.005091197,17.570599,34816,0.0059682345,34816,80.20810961723328,0.06479492,0.8847735524177551,4.496515,394,1769.9522599375,2049.0
18,-0.003298188,18.087452,36864,0.0030734402,36864,85.40529823303223,0.029833984,0.8847730606794357,4.476945,380,1773.5365262941177,2049.0
19,-0.0020161965,17.992529,38912,0.005017302,38912,90.7937536239624,0.058447264,0.8876920938491821,4.4708757,412,1774.838782888889,2049.0
20,-0.0035864643,19.240042,40960,0.0052064606,40960,95.75804090499878,0.068603516,0.8760061264038086,4.469116,435,1775.9700105789475,2049.0
21,-0.004986548,18.821604,43008,0.0056866324,43008,100.46039485931396,0.046582032,0.8940078392624855,4.4698553,421,1768.5310013000003,2049.0
22,-0.0042791385,38.603085,45056,0.0028084207,45056,105.31878757476807,0.03413086,0.5998024046421051,4.474972,453,1657.031998608696,1946.7826086956522
23,-0.0015674155,20.83574,47104,0.004406067,47104,109.83222699165344,0.05292969,0.8822926729917526,4.4829187,408,1661.1404659166667,1951.0416666666667
24,-0.0011197198,20.148596,49152,0.003299316,49152,114.85228824615479,0.031591795,0.8845889717340469,4.4822474,414,1664.8339604400003,1954.96
25,-0.0049547516,19.342953,51200,0.0076615973,51200,119.79283857345581,0.1027832,0.8803442642092705,4.48331,402,1667.9336905769233,1958.576923076923
26,-0.004664636,20.352655,53248,0.0065771514,53248,124.89113759994507,0.08886719,0.8821030184626579,4.487803,415,1672.6508201111112,1961.9259259259259
27,-0.0012218518,20.317844,55296,0.003658684,55296,129.82102704048157,0.042138673,0.8793591260910034,4.48553,410,1675.8686178214286,1965.0357142857142
28,-0.0023585525,20.232254,57344,0.0041572424,57344,134.81649923324585,0.046435546,0.8757668510079384,4.487994,413,1680.0472502068967,1967.9310344827586
29,-0.0074761026,12.187895,59392,0.00743806,59392,139.76972150802612,0.07167969,0.9269659742712975,4.4907923,447,1633.2876263666667,1920.6666666666667
30,-0.0032891762,20.346119,61440,0.0048798965,61440,144.35081553459167,0.061035156,0.8890561535954475,4.5078135,406,1634.9296241935485,1924.8064516129032
31,-0.0041190605,30.349957,63488,0.003996468,63488,149.3910665512085,0.047460936,0.8781429082155228,4.513588,422,1598.168908757576,1886.3939393939395
32,-0.0017501708,32.169624,65536,0.003339893,65536,154.23541855812073,0.03828125,0.8537848144769669,4.5164895,416,1580.1284685714286,1871.0
33,-0.000921026,20.470541,67584,0.0024333168,67584,159.15702772140503,0.023779297,0.8709816187620163,4.512341,396,1586.1691653611113,1875.9444444444443
34,-0.0021262278,20.364943,69632,0.0041292417,69632,164.32556867599487,0.04511719,0.8814781457185745,4.505039,417,1591.8638397297298,1880.6216216216217
35,-0.0044237087,7.6145654,71680,0.006156794,71680,169.2275722026825,0.05913086,0.9656413421034813,4.496319,434,1553.8930663157896,1839.7368421052631
36,-0.0029147803,20.332596,73728,0.0044678403,73728,173.93920803070068,0.05673828,0.8845475018024445,4.498279,410,1561.0810611794873,1845.1025641025642
37,-0.0041152565,28.848074,75776,0.004050021,75776,178.929270029068,0.04863281,0.8908136487007141,4.49553,429,1537.3099533658537,1822.219512195122
38,-0.0039637755,36.687626,77824,0.0034925558,77824,183.6940734386444,0.040380858,0.8843946382403374,4.498972,407,1483.16642325,1765.9545454545455
39,-0.00408841,25.158136,79872,0.0026611143,79872,188.72160840034485,0.031201173,0.7585387676954269,4.498638,454,1405.5586934680848,1686.4255319148936
40,-0.001704491,19.944498,81920,0.003808481,81920,193.22345519065857,0.041894533,0.8826166912913322,4.4887915,405,1412.5872979791668,1693.9791666666667
41,-0.0025543328,29.12153,83968,0.0035532224,83968,198.2739133834839,0.039746094,0.890815794467926,4.486438,409,1394.2062115,1672.46
42,-0.0055165356,26.12471,86016,0.003443235,86016,203.27465796470642,0.038720705,0.8090187013149261,4.483996,442,1336.1259566603776,1615.2264150943397
43,-0.005235485,24.830204,88064,0.002550235,88064,207.89960289001465,0.024169922,0.8165236115455627,4.4871607,463,1262.432429982456,1540.1052631578948
44,-0.0018181838,19.691835,90112,0.0077609285,90112,212.31687831878662,0.10576172,0.873116061091423,4.469327,391,1272.3010971379308,1548.8793103448277
45,-0.0019872529,20.229519,92160,0.0050854986,92160,217.55182695388794,0.062304687,0.8744684308767319,4.466605,416,1281.8264833050844,1557.3559322033898
46,-0.006398788,34.64301,94208,0.0031785965,94208,222.4696888923645,0.034082033,0.618355393409729,4.482663,449,1197.2619720468751,1468.140625
47,-0.0011830851,19.729057,96256,0.004306684,96256,227.02723860740662,0.04501953,0.8817916363477707,4.4784923,417,1206.3474786769232,1477.076923076923
48,-0.003910276,19.998951,98304,0.006955251,98304,231.93748998641968,0.09145508,0.8699773699045181,4.470779,420,1215.3250201818184,1485.7424242424242
49,-0.005668178,22.692486,100352,0.0035189944,100352,236.80668020248413,0.042871095,0.7894669771194458,4.4803247,464,1177.291713724638,1448.3623188405797
50,-0.0054529365,25.773462,102400,0.0040492574,102400,241.21560788154602,0.047851562,0.7243811190128326,4.482992,454,1146.0467102777777,1420.6666666666667
51,-0.0042491234,19.8414,104448,0.0050437637,104448,245.7247965335846,0.06171875,0.8760341554880142,4.48042,403,1155.469455041096,1429.2739726027398
52,-0.0017213734,12.589141,106496,0.0034988052,106496,250.79494500160217,0.038867187,0.9527144394814968,4.475728,420,1130.78836996,1403.6933333333334
53,-0.0032682125,34.935574,108544,0.0039313105,108544,255.66595101356506,0.044628907,0.8727976530790329,4.4726124,384,1118.7339339487178,1390.8076923076924
54,2.3367023e-05,20.046997,110592,0.0029978068,110592,260.9940984249115,0.031152343,0.8685434311628342,4.476067,391,1127.7473646075948,1399.139240506329
55,-0.0014178602,20.02238,112640,0.0048932806,112640,266.2291934490204,0.060302734,0.8404424488544464,4.4815235,407,1137.1236050875,1407.2625
56,-0.0019821166,19.87511,114688,0.005888229,114688,271.25683975219727,0.0746582,0.8745892196893692,4.483268,422,1145.2383064197531,1415.1851851851852
57,-0.0009528526,20.154299,116736,0.0049832286,116736,276.10572934150696,0.063085936,0.8732457011938095,4.4859953,403,1153.5600279756097,1422.9146341463415
58,-0.002973416,20.530106,118784,0.0059265806,118784,281.18176531791687,0.07128906,0.8859942555427551,4.482751,412,1160.9810014096386,1430.4578313253012
59,-0.0046697455,18.174997,120832,0.0024550848,120832,286.1412675380707,0.026611328,0.8896462321281433,4.481411,451,1129.1046434651162,1397.7906976744187
60,-0.0040948363,26.786224,122880,0.0047443905,122880,290.67603492736816,0.048339844,0.8850423693656921,4.498103,415,1127.230933818182,1396.0454545454545
61,-0.0031684502,20.254255,124928,0.0070380294,124928,295.6053378582001,0.09370117,0.8771793022751808,4.5211477,422,1134.5100083707864,1403.3820224719102
62,-0.003483902,22.622196,126976,0.002334296,126976,300.4535245895386,0.023974609,0.7357082068920135,4.523223,431,1106.1639525326086,1375.2826086956522
63,-0.008670649,30.820957,129024,0.0028089588,129024,305.20570826530457,0.027441407,0.6856760084629059,4.527709,449,1060.395230329897,1327.7422680412371
64,-0.0050399387,6.9890223,131072,0.0025309806,131072,309.7590968608856,0.021728516,0.9599314071238041,4.529578,406,1050.702738244898,1317.0510204081634
65,-0.00033783662,20.183117,133120,0.0028256827,133120,314.796448469162,0.029101562,0.8724511563777924,4.5326867,408,1058.6076922323232,1324.4444444444443
