serial_timesteps,policy_entropy,fps,total_timesteps,ep_reward_mean,explained_variance,ep_len_mean,time_elapsed,policy_loss,approxkl,value_loss,clipfrac,n_updates
2048,1.4224344,468,2048,177.591208,-0.020518779754638672,936.5,3.0994415283203125e-06,-0.0021887266,0.002628188,4.441032,0.024121094,1
4096,1.4204508,497,4096,104.38344457142857,-0.27090394496917725,542.5714285714286,4.371738433837891,-0.002671041,0.0029434322,4.433868,0.026660156,2
6144,1.4038882,520,6144,114.75389618181818,-0.1209331750869751,555.1818181818181,8.488240718841553,-0.0037073896,0.0037721258,6.608901,0.03569336,3
8192,1.4021381,533,8192,127.69561991666667,0.0027660131454467773,585.8333333333334,12.426124095916748,-0.0026742765,0.0030519143,10.617389,0.03203125,4
10240,1.4208878,527,10240,159.80678964285715,0.09772598743438721,661.2857142857143,16.265673875808716,-0.0010565215,0.0019933903,12.617913,0.014208985,5
12288,1.4315495,520,12288,155.33778542105264,0.11707103252410889,629.421052631579,20.15140175819397,-0.0017458803,0.0021534688,6.338932,0.015673827,6
14336,1.4269556,523,14336,150.9906111818182,0.16310906410217285,613.8181818181819,24.084481477737427,-0.00082095154,0.0024669997,4.854286,0.017529298,7
16384,1.435863,531,16384,152.77126296153844,0.1379757523536682,622.5,27.99418330192566,-0.002513925,0.0017446954,6.1762204,0.014257813,8
18432,1.4437305,532,18432,165.8641052222222,0.19937992095947266,675.3333333333334,31.848623514175415,-0.0030990674,0.0040844576,5.347483,0.04169922,9
20480,1.4413044,538,20480,153.51457346666666,0.4524857997894287,631.0,35.697322607040405,-0.0041862363,0.0032536238,3.3735428,0.033447266,10
22528,1.4426146,483,22528,163.738482516129,0.47695738077163696,676.741935483871,39.50148868560791,-0.0005613288,0.0015338424,3.6760173,0.006982422,11
24576,1.4494977,469,24576,165.31623885294115,0.26314860582351685,688.5,43.73566722869873,-0.0026706783,0.0025129756,3.3539135,0.02709961,12
26624,1.4605898,463,26624,175.42526502857143,-0.041825294494628906,727.3714285714286,48.09982490539551,-0.004656277,0.0034551746,5.4703636,0.036376953,13
28672,1.4520929,446,28672,187.37899725,0.11250811815261841,764.0833333333334,52.51639986038208,-0.0010861382,0.0026384168,6.131298,0.019628907,14
30720,1.4446049,414,30720,198.06306556756755,-0.04171550273895264,798.8108108108108,57.09914994239807,-0.0011183352,0.0025177863,6.525223,0.020751953,15
32768,1.4425654,423,32768,210.45305034210523,0.06742322444915771,831.7105263157895,62.040225982666016,-0.0028890865,0.0036316954,6.5246115,0.04111328,16
34816,1.4437587,421,34816,220.95830364102562,-0.020247220993041992,862.9230769230769,66.87858462333679,-0.0032942363,0.0042843223,5.0430765,0.044921875,17
36864,1.4314064,407,36864,229.68328630000002,-0.060994625091552734,892.575,71.73828935623169,-0.001249011,0.0017422229,3.500441,0.01040039,18
38912,1.4254342,407,38912,236.8790783414634,0.06781834363937378,920.780487804878,76.75941705703735,-0.0035240543,0.0038891,2.8926635,0.042675782,19
40960,1.4290905,391,40960,244.11285821428572,0.11417382955551147,947.6428571428571,81.78652667999268,-0.001154056,0.0023763864,3.1053388,0.020947266,20
43008,1.4294147,391,43008,251.8598111395349,0.07256460189819336,973.2558139534884,87.02020525932312,-0.0016248077,0.004621037,3.8654785,0.054101564,21
45056,1.4294333,417,45056,260.01440079545455,-0.01674354076385498,997.7045454545455,92.24669027328491,-0.0017062537,0.0033787913,4.2048163,0.032080077,22
47104,1.4251007,430,47104,268.65292064444446,0.16421866416931152,1021.0666666666667,97.15379691123962,-0.0034132674,0.0035906602,4.5950575,0.03754883,23
49152,1.4298046,400,49152,276.8514857173913,-0.059739112854003906,1043.4130434782608,101.91183114051819,-0.0030261725,0.0043843533,4.608233,0.055078126,24
51200,1.4421606,406,51200,285.27519331914897,-0.03163182735443115,1064.8085106382978,107.02490210533142,-0.0019806281,0.0027004313,4.3388233,0.026757812,25
53248,1.4477012,376,53248,292.1149607708333,0.20816481113433838,1085.3125,112.07694864273071,-0.0011694729,0.0026919346,4.124366,0.024365235,26
55296,1.4496434,431,55296,299.63470157142854,0.403333842754364,1104.9795918367347,117.51390361785889,-0.0015124878,0.0036395441,5.200908,0.039355468,27
57344,1.4470575,406,57344,308.27597646,0.23825836181640625,1123.86,122.25959324836731,-0.0024400332,0.0039436175,5.156698,0.044384766,28
59392,1.4421145,399,59392,315.8590811568627,0.3132776618003845,1142.0,127.29255867004395,-0.0014866616,0.0034946003,4.1469884,0.03745117,29
61440,1.4410554,413,61440,314.7251768703703,0.32659584283828735,1133.037037037037,132.41565918922424,-0.0022360422,0.0035173495,2.8934767,0.040234376,30
63488,1.4387094,410,63488,313.20715967857143,0.538822203874588,1129.8392857142858,137.36683559417725,-0.0023247772,0.0014359977,1.7458607,0.0077636717,31
65536,1.4418266,391,65536,311.98730170175435,0.5480417609214783,1125.017543859649,142.35617566108704,-0.0007334521,0.002519722,1.4908279,0.023144532,32
