serial_timesteps,policy_entropy,fps,total_timesteps,time_elapsed,explained_variance,approxkl,policy_loss,value_loss,clipfrac,n_updates,ep_len_mean,ep_reward_mean
2048,4.726234,450,2048,3.337860107421875e-06,0.9923119619488716,0.0028739418,-0.0033262386,0.4035937,0.030664062,1,,
4096,4.714979,466,4096,4.550328254699707,0.9677072241902351,0.0031771068,-0.0033275844,1.7345415,0.03227539,2,2049.0,1443.153114
6144,4.6967,458,6144,8.93823504447937,0.9484269581735134,0.0032784776,-0.0056695743,2.728625,0.034716796,3,2049.0,1426.512289
8192,4.67537,480,8192,13.404017686843872,0.9401421770453453,0.0037850705,-0.009019881,4.018012,0.039794922,4,2049.0,1416.5334866666665
10240,4.6536603,471,10240,17.671139240264893,0.9182710200548172,0.0033531922,-0.0033559657,3.6626575,0.038427733,5,2049.0,1424.12224875
12288,4.642033,490,12288,22.018498420715332,0.8982892483472824,0.0031904292,-0.004258691,5.6027493,0.03540039,6,2049.0,1410.3851095999999
14336,4.631702,485,14336,26.19766354560852,0.8825347200036049,0.00353784,-0.004798875,6.60728,0.0418457,7,2049.0,1407.9130406666666
16384,4.6237564,478,16384,30.415989875793457,0.7706856727600098,0.0064773997,-0.009541186,9.280263,0.06826172,8,2049.0,1401.8776305714287
18432,4.624429,470,18432,34.693960189819336,0.9016948044300079,0.0066394806,-0.006650789,6.5535445,0.07333984,9,2049.0,1388.015391875
20480,4.6311736,479,20480,39.04790782928467,0.8502890914678574,0.00473871,-0.0055436674,13.90698,0.04790039,10,2000.6,1360.1941256999999
22528,4.6428614,472,22528,43.31568455696106,0.819019228219986,0.010023301,-0.0034955568,10.302605,0.11420898,11,2005.0,1360.1996781818182
24576,4.6525617,486,24576,47.64757466316223,0.7448838651180267,0.0051431865,-0.0024758563,11.8261175,0.06171875,12,2008.6666666666667,1357.49045125
26624,4.6566396,511,26624,51.860623598098755,0.842703714966774,0.0030468209,-0.004850761,15.688196,0.032666016,13,1895.142857142857,1278.3774122857142
28672,4.662282,490,28672,55.86628293991089,0.8789628371596336,0.003602861,-0.004573387,11.367482,0.037109375,14,1752.6875,1175.9691082499999
30720,4.6741066,476,30720,60.0430862903595,0.9237305298447609,0.0020205858,-0.004194771,5.714645,0.020410156,15,1690.8823529411766,1129.9216055294116
32768,4.673094,478,32768,64.33726596832275,0.8597176969051361,0.0040664864,-0.0041831443,11.435801,0.043115236,16,1710.7777777777778,1146.0160838888887
34816,4.6728783,504,34816,68.62206315994263,0.7406139075756073,0.0024901184,-0.00528998,22.61349,0.022900391,17,1664.75,1116.8550360499999
36864,4.681522,511,36864,72.68382596969604,0.749153345823288,0.0060465327,0.0016234132,10.208433,0.06416015,18,1683.047619047619,1127.9653196190475
38912,4.694318,495,38912,76.6898729801178,0.7736766934394836,0.0061921505,-0.0068093874,12.059303,0.07133789,19,1699.6818181818182,1136.5782155454544
40960,4.691748,510,40960,80.8252682685852,0.8128658682107925,0.002985287,-0.0029413572,10.663332,0.032910157,20,1711.9565217391305,1144.0837518260869
43008,4.6758122,487,43008,84.83895063400269,0.8257971554994583,0.0045533897,-0.0033426571,10.399453,0.04814453,21,1726.0,1156.053769125
45056,4.669642,505,45056,89.03890013694763,0.80482617020607,0.002299379,-0.0022641951,13.682918,0.022070313,22,1738.92,1166.61364744
47104,4.6715827,478,47104,93.08917570114136,0.7348120808601379,0.0031018134,-0.0037925888,14.762373,0.034716796,23,1750.8461538461538,1174.0888511153846
49152,4.6727433,500,49152,97.37243390083313,0.7829441428184509,0.0057886555,-0.00204934,11.798543,0.06416015,24,1761.888888888889,1181.6909465185186
51200,4.667282,490,51200,101.46575880050659,0.8706857115030289,0.0039017524,-0.0034627672,9.248903,0.04477539,25,1772.142857142857,1188.9304333214288
53248,4.6601877,480,53248,105.65514898300171,0.8341691642999649,0.0035297,-0.004850245,9.05355,0.037597656,26,1781.6896551724137,1195.4653502758622
55296,4.6545663,460,55296,109.91500544548035,0.7858057618141174,0.0021207416,-0.0015016728,13.513835,0.022265624,27,1790.6,1202.3988209000004
