serial_timesteps,ep_len_mean,policy_loss,policy_entropy,n_updates,ep_reward_mean,total_timesteps,approxkl,time_elapsed,value_loss,fps,explained_variance,clipfrac
2048,452.25,-0.00353458,1.4245548,1,80.5334565,2048,0.004358965,1.9073486328125e-06,3.8127568,505,-0.1433037519454956,0.048339844
4096,580.4285714285714,-0.0012446865,1.4225118,2,102.12273914285713,4096,0.0027657864,4.054593086242676,3.6114821,485,-0.03636670112609863,0.016796876
6144,630.1111111111111,-0.0025900328,1.411671,3,111.25979511111112,6144,0.0035808403,8.274180889129639,3.7314143,511,-0.2853144407272339,0.034228515
8192,708.7,-0.0017039187,1.406513,4,124.5640018,8192,0.0021292672,12.281949043273926,3.7233722,502,0.28938889503479004,0.020214844
10240,769.6363636363636,-0.0036077723,1.3924365,5,137.1543169090909,10240,0.003977734,16.354671001434326,4.645422,519,-0.024425148963928223,0.039404295
12288,870.0,-0.0011629959,1.3776664,6,160.12429008333334,12288,0.0029106806,20.298667907714844,4.974141,539,-0.07072234153747559,0.031445313
14336,960.6923076923077,-0.0024683373,1.376661,7,183.09048592307693,14336,0.0026196127,24.096474647521973,4.9519663,556,0.10986548662185669,0.02758789
16384,861.6842105263158,-0.0019761894,1.3758776,8,169.54066642105263,16384,0.0024866406,27.776395320892334,3.9136472,515,-0.028470754623413086,0.020898437
18432,794.9130434782609,-0.00693315,1.3863006,9,157.40721947826088,18432,0.0046844753,31.753573894500732,3.0873885,510,0.589633584022522,0.058447264
20480,785.3846153846154,-0.0001279477,1.391937,10,155.15329234615385,20480,0.0018949233,35.763995885849,2.5799088,541,0.6966127455234528,0.012597656
22528,778.0714285714286,-0.0013848568,1.3782179,11,154.4545142142857,22528,0.0021718652,39.548482179641724,3.0477245,561,0.6827704906463623,0.015380859
24576,809.8666666666667,-0.0049527623,1.3552561,12,162.95351553333333,24576,0.0047281836,43.19678330421448,3.8946643,508,0.5719388425350189,0.054003906
26624,849.8387096774194,-0.003297021,1.3464353,13,171.60969938709678,26624,0.0040270565,47.22437286376953,2.3958247,477,0.6050707995891571,0.046142578
28672,887.3125,-0.0038622252,1.3533561,14,179.02515965625003,28672,0.004985284,51.5149359703064,1.8888204,459,0.6567811965942383,0.06333008
30720,922.5151515151515,-0.0027547698,1.3572254,15,187.45624321212125,30720,0.0034819837,55.97079086303711,2.0865765,466,0.33617067337036133,0.040527344
32768,955.6470588235294,-0.0049221977,1.3618448,16,196.7252017647059,32768,0.0048791054,60.358341693878174,2.664033,478,0.16152358055114746,0.062060546
34816,986.8857142857142,-0.0035002953,1.3727052,17,205.04267794285718,34816,0.0041804584,64.643319606781,2.1958847,419,0.09046471118927002,0.051708985
36864,1016.3888888888889,-0.0033625022,1.3855965,18,213.5587477777778,36864,0.004272929,69.52061486244202,2.148267,444,0.0738334059715271,0.055078126
38912,1044.2972972972973,-0.0041795643,1.395845,19,220.6293155945946,38912,0.0048395074,74.13237500190735,1.6147623,456,0.053178369998931885,0.054882813
40960,1070.7368421052631,-0.004287963,1.4110117,20,228.16726992105268,40960,0.00425997,78.61697459220886,1.9488674,403,0.15624266862869263,0.049365234
43008,1095.820512820513,-0.0015714339,1.4201187,21,234.5023017948718,43008,0.0027893032,83.69193935394287,1.4236597,395,0.07526952028274536,0.026708985
45056,1119.65,-0.0028941785,1.4161679,22,240.02579007500003,45056,0.005477848,88.87035083770752,1.2107681,379,0.09032350778579712,0.07426758
47104,1142.3170731707316,-0.0018156755,1.423207,23,245.8542882682927,47104,0.0036289394,94.26177406311035,1.3461691,413,-0.03731858730316162,0.041992188
49152,1163.904761904762,-0.0024437737,1.4367957,24,251.995472,49152,0.0052888035,99.21465182304382,1.6162142,437,0.03380948305130005,0.06821289
51200,1184.4883720930231,-0.0013147984,1.4329382,25,257.710895744186,51200,0.003600503,103.8963234424591,1.4009917,431,0.09440338611602783,0.041064452
53248,1204.1363636363637,-0.0051921764,1.4353966,26,262.86233875,53248,0.0060931654,108.65721821784973,1.3474724,420,0.009005367755889893,0.07792969
55296,1222.911111111111,-0.0019305935,1.4386929,27,268.32047086666665,55296,0.0047860653,113.52636861801147,1.5653626,442,0.19812124967575073,0.05698242
57344,1240.8695652173913,0.00015775645,1.4367663,28,273.53745515217395,57344,0.0023497706,118.15488266944885,1.3465397,370,-0.002727508544921875,0.021289062
59392,1258.063829787234,-0.0053417115,1.4408358,29,278.3507660425532,59392,0.006892517,123.68763422966003,1.389929,445,-0.022795915603637695,0.093164064
61440,1274.5416666666667,-0.0014393674,1.4503715,30,282.7095033125,61440,0.004911678,128.290189743042,1.1552734,441,0.01999521255493164,0.06542969
63488,1290.3469387755101,-0.003814885,1.4462777,31,287.5327208367347,63488,0.0058895787,132.9316074848175,1.3663385,432,0.159079909324646,0.07880859
65536,1305.52,-0.002682825,1.4495474,32,293.11187164,65536,0.003956432,137.67118763923645,1.8190235,432,0.10784780979156494,0.046435546
67584,1320.0980392156862,-0.00023316682,1.4585639,33,297.9403467254902,67584,0.0034020196,142.40673995018005,1.5186936,438,0.05353379249572754,0.039697267
69632,1334.1153846153845,-0.0032407052,1.4533811,34,303.3986799615385,69632,0.004420431,147.08062624931335,1.8350452,372,0.05058068037033081,0.05288086
71680,1347.6037735849056,-0.002237723,1.4556726,35,308.81689088679246,71680,0.004969575,152.57401752471924,1.9520184,430,0.02198261022567749,0.061181642
73728,1360.5925925925926,-0.0019045006,1.469021,36,313.5624123703704,73728,0.0033624514,157.3293652534485,1.5780013,398,0.03564894199371338,0.034960937
75776,1373.1090909090908,-0.0021484927,1.4759221,37,318.0904295818182,75776,0.004823828,162.4633994102478,1.4898796,404,0.03433412313461304,0.06342773
77824,1385.1785714285713,-0.0012113684,1.4686904,38,322.42783301785715,77824,0.0034397081,167.53167986869812,1.4010575,446,0.04422962665557861,0.03046875
79872,1396.8245614035088,-0.0029600288,1.4536396,39,326.591742631579,79872,0.004325985,172.12394666671753,1.3755033,448,0.029357850551605225,0.050488282
81920,1408.0689655172414,-0.002346857,1.462352,40,330.66962434482764,81920,0.0030988283,176.68854928016663,1.4294833,465,0.09029364585876465,0.03251953
83968,1418.9322033898304,-0.0011254845,1.4732113,41,334.6303325932204,83968,0.0028618448,181.08502078056335,1.4645404,460,0.0576704740524292,0.029492188
86016,1429.4333333333334,-0.0007109209,1.4716582,42,338.46187305,86016,0.002534206,185.53540420532227,1.4199187,476,0.09600752592086792,0.024267578
88064,1439.5901639344263,-0.00058733614,1.4803572,43,342.6790550163935,88064,0.003369398,189.82981538772583,1.5796896,431,0.07102000713348389,0.036328126
90112,1449.4193548387098,-0.0014243067,1.4859676,44,346.9627907096775,90112,0.0039643575,194.57147073745728,1.7297366,451,0.009614944458007812,0.043554686
92160,1458.936507936508,-0.0011410895,1.4933347,45,351.0342730158731,92160,0.0033871282,199.10523509979248,1.7315934,437,0.05443692207336426,0.037060548
94208,1468.15625,-0.0004728542,1.5143352,46,355.31262573437493,94208,0.0036590558,203.790776014328,1.8136762,456,0.04094552993774414,0.037402343
96256,1477.0923076923077,-0.0041529965,1.5192308,47,358.7019964923076,96256,0.005078542,208.28227138519287,1.3486974,478,0.03802692890167236,0.05234375
