serial_timesteps,policy_loss,policy_entropy,n_updates,total_timesteps,approxkl,time_elapsed,value_loss,fps,explained_variance,clipfrac,ep_len_mean,ep_reward_mean
2048,-0.005961733,3.9455745,1,2048,0.0041942983,2.86102294921875e-06,0.5157091,434,0.9866893785074353,0.043359376,,
4096,-0.0035207097,3.935635,2,4096,0.0042303437,4.713236331939697,1.3224872,477,0.9721889849752188,0.047167968,2049.0,1319.86392
6144,-0.0059473542,3.9295535,3,6144,0.004458571,9.00058913230896,2.7147927,426,0.9402279146015644,0.04916992,2049.0,1346.29635
8192,-0.0042869328,3.9283803,4,8192,0.003067139,13.800005197525024,10.948701,432,0.8990470767021179,0.03671875,1667.5,1041.0229227500001
10240,-0.0019995908,3.9350815,5,10240,0.0030332473,18.53190302848816,9.676944,451,0.8588102757930756,0.03359375,1743.8,1111.7478042
12288,-0.0038518566,3.9301605,6,12288,0.004211902,23.07189154624939,19.23353,462,0.7841362506151199,0.049707033,1607.142857142857,1027.4306907142857
14336,-0.0040800534,3.9265316,7,14336,0.0060386267,27.49778652191162,11.19475,448,0.822919949889183,0.06660156,1662.375,1055.4225705
16384,-0.0037776537,3.9368165,8,16384,0.0051639723,32.06766057014465,9.948579,450,0.852476954460144,0.062109374,1705.3333333333333,1098.74468
18432,-0.0048795836,3.940239,9,18432,0.0046296334,36.61590600013733,10.037781,458,0.9045239314436913,0.050878905,1634.909090909091,1051.1558257272727
20480,-0.0027278573,3.937194,10,20480,0.0046907733,41.086225748062134,10.22715,449,0.8570804446935654,0.054296874,1669.4166666666667,1086.5654690833333
22528,-0.003332629,3.9419148,11,22528,0.003801467,45.64286184310913,18.927057,465,0.7772949039936066,0.046240233,1607.642857142857,1048.9211055
24576,-0.005199176,3.948906,12,24576,0.004418204,50.041654109954834,6.3344316,453,0.8957721889019012,0.055029295,1536.8,997.639427
26624,-0.0048721726,3.9640121,13,26624,0.00504665,54.55961751937866,10.618208,450,0.7482983469963074,0.05996094,1568.8125,1013.5423846250001
28672,-0.0043156752,3.9745705,14,28672,0.004850424,59.10682535171509,11.696257,445,0.7581655085086823,0.059472658,1597.0588235294117,1026.705357
