approxkl,time_elapsed,clipfrac,policy_entropy,total_timesteps,serial_timesteps,fps,value_loss,policy_loss,n_updates,explained_variance,ep_reward_mean,ep_len_mean
0.004696966,2.6226043701171875e-06,0.042236328,1.4165156,2048,2048,502,4.836977,-0.0028851707,1,-0.5849577188491821,,
0.003250695,4.080013751983643,0.033984374,1.416128,4096,4096,485,4.034748,-0.0034021512,2,-0.19049406051635742,147.39679600000002,778.6
0.0038079184,8.29649019241333,0.034326173,1.4153821,6144,6144,513,4.5987387,-0.0037006163,3,-0.05019378662109375,136.26441685714286,724.5714285714286
0.003334323,12.287102460861206,0.034814455,1.4211757,8192,8192,532,7.5718293,-0.002663308,4,-0.09797525405883789,166.05172100000001,816.6666666666666
0.0024018995,16.131143808364868,0.019384766,1.4188195,10240,10240,555,7.2967196,-0.002430588,5,-0.13532757759094238,170.9919395,830.3
0.0032733479,19.820423364639282,0.036328126,1.4094689,12288,12288,563,5.252262,-0.0038799092,6,0.09943884611129761,189.4548649285714,877.6428571428571
0.00206033,23.457839488983154,0.016308594,1.4038652,14336,14336,547,7.9764214,-0.0013379472,7,-0.13826990127563477,213.7097191333333,955.7333333333333
0.0038967337,27.199829578399658,0.04526367,1.4120959,16384,16384,539,6.944182,-0.0028333787,8,-0.2751774787902832,213.7097191333333,955.7333333333333
0.0023868182,30.995299577713013,0.017529298,1.4182035,18432,18432,561,5.886971,-0.0018161451,9,-0.17213618755340576,233.75471262500002,1024.0625
0.004261654,34.64496445655823,0.04902344,1.4169061,20480,20480,571,3.9160182,-0.0021147146,10,-0.29691457748413086,249.9991154705883,1084.3529411764705
0.0028473763,38.23002362251282,0.024560547,1.417328,22528,22528,545,4.7504663,-0.0024239821,11,-0.13160669803619385,261.14277894444444,1137.9444444444443
0.0022184432,41.98547625541687,0.019677734,1.4156373,24576,24576,486,4.1555734,-0.0008221391,12,3.629922866821289e-05,273.68468921052636,1185.8947368421052
0.0025044957,46.199726581573486,0.022558594,1.426328,26624,26624,493,2.746568,-0.0025059667,13,-0.27630388736724854,285.4004792857143,1242.857142857143
0.003281836,50.354198694229126,0.024902344,1.4256619,28672,28672,473,2.632095,-0.0012477661,14,-0.2794768810272217,292.33798395454545,1279.5
0.0034709065,54.68287897109985,0.032714844,1.4204652,30720,30720,476,2.1232967,-0.0024774463,15,-0.3258756399154663,297.11923282608694,1312.9565217391305
0.0050457222,58.984838008880615,0.05810547,1.4202135,32768,32768,442,3.3795033,-0.002012174,16,-0.31485021114349365,305.53173695833334,1343.625
0.002753155,63.61573576927185,0.021142578,1.4212196,34816,34816,442,2.3085625,-0.0015833017,17,-0.08950531482696533,311.63124132,1371.84
0.0026712778,68.24938106536865,0.02475586,1.4135693,36864,36864,461,1.8520523,-0.001047537,18,0.18034052848815918,315.8381659615385,1397.8846153846155
0.0027261735,72.6892671585083,0.02216797,1.4115078,38912,38912,458,2.6175306,-0.0011562363,19,-0.16431033611297607,322.1003311481482,1422.0
0.0044278153,77.15669417381287,0.053222656,1.4217908,40960,40960,366,2.4489055,-0.0027714213,20,-0.005612611770629883,327.45103625,1444.392857142857
0.0026987283,82.75172591209412,0.024414062,1.4292996,43008,43008,414,2.8762348,-0.001857733,21,0.2477908730506897,333.7670529655172,1465.2413793103449
0.00189159,87.6919252872467,0.013476563,1.4227028,45056,45056,424,2.5599136,-3.0381192e-05,22,0.19839107990264893,339.8157698333333,1484.7
0.003869415,92.51313281059265,0.042919923,1.4176934,47104,47104,411,2.73904,-0.003910578,23,-0.008773088455200195,345.7093202903226,1502.9032258064517
0.0044855657,97.48706817626953,0.05102539,1.4141833,49152,49152,436,2.192796,-0.0020848562,24,0.026652038097381592,350.45330203124996,1519.96875
0.0033090455,102.18081784248352,0.03173828,1.4179568,51200,51200,449,2.8842125,-0.0010984689,25,0.17549705505371094,356.9363855757575,1536.0
0.004151472,106.75251746177673,0.047802735,1.4314034,53248,53248,419,3.3963933,-0.0025424515,26,0.1625397801399231,363.54241179411764,1551.0882352941176
0.0022017902,111.63411903381348,0.015478516,1.4301182,55296,55296,390,2.3222187,-0.0016171491,27,0.1886494755744934,368.22477591428566,1565.3142857142857
0.0035115746,116.87513518333435,0.0390625,1.4261616,57344,57344,424,3.9964588,-0.0016967278,28,-0.024108290672302246,375.40221452777774,1578.75
0.0048949067,121.70549964904785,0.058154296,1.4271524,59392,59392,467,2.5804677,-0.004570946,29,0.1066628098487854,380.13445632432433,1591.4594594594594
0.0022394485,126.08738088607788,0.017724609,1.4202304,61440,61440,426,3.6636715,-0.0013883007,30,9.72747802734375e-05,387.01954155263155,1603.5
0.0028329303,130.88787579536438,0.023291016,1.4104044,63488,63488,424,2.876913,-3.8239195e-05,31,0.11436283588409424,392.6774286153846,1614.923076923077
0.00360709,135.7152419090271,0.03691406,1.3993523,65536,65536,456,2.0306416,-0.0040593687,32,0.1386541724205017,396.66081699999995,1625.775
0.0023706667,140.20083689689636,0.021777343,1.3951677,67584,67584,438,1.6425097,-0.001261648,33,0.1373702883720398,400.0231486829268,1636.0975609756097
0.004733414,144.8684585094452,0.052197266,1.3995329,69632,69632,403,2.1278267,-0.0019663428,34,0.06301385164260864,404.11766599999993,1645.9285714285713
0.0033352592,149.94270968437195,0.03779297,1.3978722,71680,71680,448,2.3445363,-0.0015987803,35,0.14142835140228271,408.23450811627896,1655.3023255813953
0.002847781,154.5100073814392,0.02866211,1.4013723,73728,73728,368,2.0705323,-0.0015546058,36,0.18314939737319946,412.3063287272726,1664.25
0.0035257258,160.0667860507965,0.038671874,1.400244,75776,75776,449,2.8093052,-0.0024849253,37,0.10885030031204224,417.1520002888888,1672.8
0.002922788,164.61959838867188,0.029443359,1.3983076,77824,77824,461,2.757848,-0.0027813,38,0.0701451301574707,421.92183102173914,1680.9782608695652
0.0035409306,169.060067653656,0.038720705,1.4010907,79872,79872,462,2.202881,-0.0020659822,39,0.024748921394348145,425.93670895744674,1688.8085106382978
0.0047021722,173.4897005558014,0.05644531,1.4063921,81920,81920,492,1.7729505,-0.0018327879,40,0.08862769603729248,429.02857266666666,1696.3125
0.0044856337,177.65247654914856,0.05258789,1.4090921,83968,83968,477,2.0962334,-0.0027505138,41,0.04439818859100342,432.5567563469388,1703.5102040816328
0.003283732,181.94277930259705,0.031201173,1.4030459,86016,86016,465,2.8450327,-0.0018797864,42,0.0022386908531188965,437.44036532000007,1710.42
0.002550867,186.34602618217468,0.022900391,1.3953075,88064,88064,453,1.7003593,-0.0008603741,43,-0.000558018684387207,440.44633290196083,1717.0588235294117
0.001510362,190.8658323287964,0.009326172,1.3938727,90112,90112,475,2.1766298,-0.00033654386,44,0.04147303104400635,444.1561650384616,1723.4423076923076
0.0031988036,195.17498230934143,0.032128908,1.3975337,92160,92160,457,2.0674684,-0.002942868,45,0.09157747030258179,447.6950816415095,1729.5849056603774
0.0049142316,199.65603470802307,0.062451173,1.4097513,94208,94208,471,1.350362,-0.0035970218,46,0.030524015426635742,450.1521965555556,1735.5
0.006286271,204.0013165473938,0.08183594,1.4215671,96256,96256,486,1.3371751,-0.0039431183,47,0.01522606611251831,452.18559127272727,1741.2
0.0035164158,208.21186327934265,0.03671875,1.4209769,98304,98304,499,1.4095752,-0.0016197271,48,0.03016573190689087,454.4681266428571,1746.6964285714287
0.0030566978,212.3164312839508,0.031542968,1.4216815,100352,100352,478,2.0075564,-0.0009506076,49,0.0601232647895813,457.46927231578945,1752.0
0.0028040276,216.59982466697693,0.027636718,1.4293596,102400,102400,487,1.5944262,-0.00081654557,50,0.05229145288467407,460.0079971206896,1757.1206896551723
0.0025858697,220.80681252479553,0.024365235,1.4331388,104448,104448,495,1.3833072,-0.00063279766,51,0.03216373920440674,461.9378801694915,1762.0677966101696
0.0028974374,224.93925094604492,0.031103516,1.4341867,106496,106496,483,1.4536351,-0.00026352835,52,0.016586124897003174,464.10280548333327,1766.85
0.0063308785,229.17469906806946,0.08842774,1.4404926,108544,108544,456,1.8485476,-0.005350921,53,0.09491163492202759,466.98886857377045,1771.4754098360656
0.0022865993,233.66586899757385,0.018310547,1.4497981,110592,110592,492,2.1426702,-0.0002421523,54,0.07794266939163208,469.9521913225806,1775.9516129032259
0.0051012286,237.82385087013245,0.06367187,1.449403,112640,112640,481,1.8387814,-0.0027352278,55,0.024779200553894043,472.64587449206346,1780.2857142857142
0.0036781803,242.07453608512878,0.039990235,1.4463106,114688,114688,497,1.6553638,-0.0014656223,56,-0.002812027931213379,474.84797387500004,1784.484375
0.0033886726,246.18959546089172,0.03725586,1.4486477,116736,116736,454,1.5013468,-0.0017466734,57,0.029852688312530518,476.8291820615385,1788.553846153846
0.0055193393,250.69822239875793,0.068847656,1.446789,118784,118784,430,1.8943462,-0.003049015,58,0.02369844913482666,479.4563329545455,1792.5
0.0025317124,255.45102906227112,0.023291016,1.4425757,120832,120832,436,1.762241,-0.00013924422,59,-0.001134037971496582,481.7341151791045,1796.3283582089553
0.0068460973,260.14402294158936,0.09399414,1.4491041,122880,122880,469,1.3717303,-0.0030936855,60,0.004396915435791016,483.26941611764704,1800.0441176470588
0.0061515523,264.5091052055359,0.07910156,1.460725,124928,124928,499,1.4281301,-0.0032433036,61,0.03110724687576294,484.81262321739126,1803.6521739130435
0.004572022,268.61233925819397,0.051611327,1.4598287,126976,126976,443,1.4294654,-0.0013084062,62,0.01762223243713379,486.5137204571429,1807.1571428571428
0.0036246597,273.2310218811035,0.04345703,1.45913,129024,129024,451,1.3042637,-0.00042933138,63,0.04722684621810913,487.9356181690141,1810.5633802816901
0.002666342,277.76544189453125,0.020507812,1.4540986,131072,131072,505,1.4510173,0.0001867958,64,0.009345054626464844,489.1455492916666,1813.875
0.0036123712,281.8195698261261,0.041015625,1.4609585,133120,133120,502,1.4050505,-0.00092696754,65,0.036162495613098145,490.276465219178,1817.0958904109589
0.0053690085,285.89353132247925,0.06733398,1.4779508,135168,135168,489,1.43721,-0.0030622655,66,0.04965692758560181,491.3537691621621,1820.2297297297298
0.0038929458,290.0750856399536,0.04511719,1.4832392,137216,137216,492,1.4906956,-0.0020684893,67,0.027470409870147705,492.57614442666664,1823.28
0.004699926,294.2313120365143,0.05419922,1.4898832,139264,139264,474,1.5196162,-0.00095612055,68,0.05068409442901611,493.9518938421052,1826.25
0.005055244,298.55110001564026,0.06391601,1.5005147,141312,141312,416,1.6864065,-0.0032950654,69,0.0674886703491211,495.8682263376623,1829.142857142857
0.0027971317,303.46512746810913,0.027441407,1.5123413,143360,143360,434,1.9372667,-0.0008517283,70,0.09316104650497437,498.03923948717943,1831.9615384615386
0.0058688098,308.17403769493103,0.080322266,1.5195887,145408,145408,433,1.8882992,-0.004571953,71,0.1877477765083313,500.35724003797463,1834.7088607594937
0.0047442233,312.89839243888855,0.05517578,1.5163847,147456,147456,414,1.8121868,-0.0028322707,72,0.10269510746002197,502.0048446625,1837.3875
0.0027156547,317.8450574874878,0.025244141,1.5146909,149504,149504,419,2.6747954,-0.0018481605,73,0.14300537109375,505.1713295679013,1840.0
0.0026992753,322.72604990005493,0.025195312,1.5120414,151552,151552,438,2.8914552,-0.0018065681,74,0.22961324453353882,508.3153180853659,1842.5487804878048
