#{"t_start": 1748002892.2081542, "env_id": null}
r,l,t
1610.974152,2049,7.114685
236.841172,510,8.02299
289.03292,548,9.213906
1714.54872,2049,14.485288
103.180828,266,15.016403
1672.132012,2049,19.973318
278.777755,589,21.17989
1711.279543,2049,26.21153
96.723237,268,27.032249
304.524371,615,28.203491
345.568717,663,29.632477
1680.178158,2049,34.348496
287.48725,609,35.66204
320.886849,639,37.146053
342.826088,648,38.576266
368.584257,664,39.927944
245.568315,504,41.18929
1736.637839,2049,46.231365
270.927029,543,47.26123
1765.56788,2049,52.025155
1578.893541,2049,56.793363
247.922245,516,57.863114
302.328729,611,59.458467
213.328744,446,60.254268
1733.788918,2049,65.35531
400.315697,747,66.847697
226.792907,505,67.862258
1195.191405,2049,72.668673
227.889697,499,74.008554
250.602724,507,74.902385
108.407076,288,75.515879
1432.250124,2049,80.178254
1615.203699,2049,84.768201
1623.813494,2049,89.523199
720.295455,1137,92.172454
1759.002082,2049,97.303184
1743.433104,2049,102.238533
114.426322,280,102.782287
112.674155,294,103.298459
308.704932,628,104.581977
1724.810974,2049,109.423394
1670.091403,2049,114.395215
391.556392,743,115.952867
198.519133,432,117.143537
1850.910811,2049,122.016304
1814.238782,2049,126.926485
546.560385,942,128.835192
51.543735,179,129.295594
1772.790615,2049,134.273946
195.869785,414,135.070533
1787.193363,2049,139.842367
1193.786464,2049,144.666847
1203.906834,2049,149.731399
1796.768913,2049,154.532219
1793.752621,2049,159.466253
1795.425377,2049,164.408231
110.494402,282,165.316938
1786.877615,2049,170.308172
1147.0565,2009,175.32427
1778.761665,2049,180.153154
210.683039,434,181.117086
1832.706785,2049,185.990144
1825.852218,2049,190.763163
111.068486,275,191.251423
1332.002447,2049,196.338547
1773.839439,2049,201.085588
104.044028,270,201.569024
1153.768998,2049,206.791167
1146.720034,2007,211.815853
112.511688,281,212.391952
108.166113,274,213.005838
1760.486953,2049,217.877445
1726.645948,2049,222.53359
276.779469,572,224.021118
97.166458,240,224.471542
1769.24628,2049,229.282659
1788.569842,2049,233.974816
1164.071048,2049,239.283273
1158.970936,2049,244.715481
91.12701,236,245.269645
98.930978,261,245.77373
1423.949589,2049,250.593262
1371.348505,2049,255.616916
109.858421,278,256.156996
1168.377721,2049,261.446379
1763.541724,2049,266.201787
1781.057767,2049,271.250308
1152.951099,2049,277.064801
345.537425,657,278.581109
757.189208,1349,282.004035
56.072293,174,282.389335
1790.131452,2049,287.21561
1184.821365,2049,292.536919
1203.147302,2049,297.431888
191.757302,422,298.220235
212.698725,435,299.374976
1792.317208,2049,304.171988
1777.562428,2049,308.959663
252.159767,524,309.917046
323.912372,616,311.171182
133.368019,304,311.717069
804.452763,1458,315.173597
1782.636686,2049,320.110983
996.781405,1740,324.343132
53.816233,173,324.699204
254.277767,519,325.827328
44.812673,162,326.235696
236.829622,517,327.240196
430.643563,710,328.890998
289.329593,604,330.135741
1162.334612,2049,335.409883
1792.990109,2049,340.189114
346.625192,614,341.440221
137.39289,369,342.526565
282.294334,552,343.65984
1162.564003,2049,348.623805
51.075005,170,348.927638
1173.223956,2049,354.009501
1180.654383,2049,359.068791
216.817715,490,360.078073
289.863522,592,361.2027
1171.22493,2049,366.307662
42.149202,149,366.943315
110.899926,289,367.510803
232.830116,516,368.626275
266.515431,579,369.760044
328.377777,588,371.179145
107.969895,282,371.774201
106.296597,279,372.320668
1177.371874,2049,377.552655
100.874384,276,378.113883
53.972704,175,378.447924
1186.606932,2049,383.625468
97.833061,279,384.138112
599.771504,1087,386.772108
1173.675247,2049,391.835181
1768.4138,2049,396.668078
43.221662,151,397.022896
319.238198,637,398.235279
1781.520024,2049,403.082283
1177.993995,2049,408.017239
1177.983259,2049,412.939919
85.198295,230,413.436772
1193.141819,2049,418.399095
201.145665,481,419.234873
264.272834,542,420.666227
114.083146,285,421.196862
211.908346,430,422.080909
279.751784,554,423.20682
103.885206,278,423.715384
1168.582897,2049,428.769622
107.66708,281,429.653268
245.980815,514,430.738612
1183.069261,2049,435.872955
106.757689,274,436.337651
1184.562494,2049,441.384461
315.103887,665,442.760402
306.302576,581,444.252648
99.984146,259,444.762223
246.771232,526,445.747439
106.388377,276,446.321137
1253.738412,2049,451.169439
226.527378,500,452.04442
1816.019257,2049,457.00694
267.605814,569,458.5386
1190.308152,2049,463.686728
318.805025,629,464.95228
39.021651,149,465.234504
1173.950529,2049,470.245293
1182.229748,2049,475.199908
1177.218337,2049,480.275124
83.9634,237,480.690312
1737.643791,2049,485.336874
256.89199,537,486.364398
300.364757,605,487.994199
1158.008741,2049,492.993459
1376.402584,2049,497.881653
339.647476,658,499.143599
1191.229838,2049,503.912058
1260.321402,2049,508.743236
223.5346,509,509.828001
995.890484,1739,514.107966
1751.936929,2049,518.746374
1170.203813,2049,523.452469
43.115344,156,523.77628
54.793821,175,524.196494
51.034284,177,524.618762
1763.246233,2049,529.596038
285.646505,557,531.021777
186.946362,405,531.73435
1773.272276,2049,536.519512
331.750291,679,537.871054
1617.712608,2049,542.306519
1553.224232,2049,546.991353
314.285702,635,548.386613
295.904457,604,549.855355
1659.548079,2049,554.581169
1645.576549,2049,559.226527
286.991165,611,560.354539
1597.481981,2049,564.934493
297.257797,605,566.189614
1504.073889,2049,570.912278
1554.920929,2049,575.512628
1631.393656,2049,580.180499
1254.523945,2049,584.552078
1670.950369,2049,589.25573
1672.894965,2049,593.957377
1624.626632,1986,598.484682
101.918433,267,599.016142
1634.829198,2049,603.674711
1745.261139,2049,608.569033
1481.865824,2049,613.142696
1269.72354,2049,617.547375
1315.528901,2049,622.002716
588.854651,948,624.186203
330.461468,659,625.45573
1707.805504,2049,630.110249
1673.380584,2049,634.836208
345.028954,679,636.746886
1741.990023,2049,641.607811
1602.802722,2049,646.483337
209.786098,427,647.298087
1641.720838,2049,651.922366
115.420067,286,652.450914
1532.101999,2049,656.899998
291.17344,593,658.077049
1387.041243,2049,662.610938
123.021532,297,663.264819
197.110683,416,664.374358
326.660477,629,665.716557
1737.717288,2049,670.411408
318.66823,625,671.720188
1768.264696,2049,676.475294
117.494486,298,676.992874
289.384458,587,678.503094
313.177499,614,679.797092
102.516896,262,680.325275
1644.265259,2049,684.926691
180.511081,390,685.630249
1073.792671,1395,688.826522
122.699395,294,689.485135
207.624519,411,690.238821
237.913912,512,691.543619
365.454588,691,692.884765
130.406038,304,693.499225
1788.573529,2049,698.248155
549.195465,980,700.041189
120.39911,287,700.948156
1751.557586,2049,705.691843
357.002409,609,706.888946
171.038414,378,707.581384
1791.371562,2049,712.317564
291.898645,589,713.518363
272.474552,578,715.001979
184.858045,376,715.718287
1268.677709,2049,720.219221
1752.696187,2049,725.019517
176.770126,388,725.802727
1760.066227,2049,730.597054
348.839338,648,731.947076
84.481985,242,732.450188
234.339478,508,733.70898
1289.850164,2049,738.133055
202.533886,431,738.894367
1826.281052,2049,743.772077
100.166779,260,744.222889
200.294521,473,745.171517
620.443339,1008,747.530744
1783.555851,2049,752.312268
295.267566,607,753.360966
235.099802,498,754.398392
183.33703,389,755.465886
475.718748,828,757.103652
294.803654,602,758.134763
100.553793,260,758.625093
1290.583437,2049,763.062431
221.323091,497,764.569953
1524.673886,2049,769.218878
102.5978,274,769.786907
95.493021,256,770.319616
248.477727,515,771.250469
262.541665,529,772.252531
1715.480916,2049,776.858581
167.211567,386,777.964966
1746.063306,2049,782.729749
209.22554,439,783.645904
307.490725,620,784.783087
