total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed,explained_variance,clipfrac,fps,value_loss
2048,2.4149528,-0.0041528763,0.0059625907,1,2048,186.211571,396.5,2.1457672119140625e-06,0.81085504591465,0.06708984,506,14.694017
4096,2.4114783,-0.0028807912,0.0043471353,2,4096,587.9771089999999,947.3333333333334,4.044977903366089,0.7442024648189545,0.054492187,585,14.562546
6144,2.4191551,-0.00039809392,0.005699846,3,6144,567.5810003333332,901.0,7.542338609695435,0.7777913212776184,0.06772461,531,23.734432
8192,2.4339595,-0.0063099437,0.0039005335,4,8192,567.4401924444444,901.6666666666666,11.399514198303223,0.7912089824676514,0.04790039,556,21.458641
10240,2.4604323,-0.0024346185,0.003067859,5,10240,411.0218213571429,686.5714285714286,15.081384420394897,0.716488242149353,0.03359375,559,29.833588
12288,2.4838622,-0.0040449807,0.0039101695,6,12288,356.1097242,608.05,18.739840984344482,0.5507149994373322,0.04584961,555,37.601997
14336,2.4885638,-0.003704266,0.0040949066,7,14336,344.0682852608696,592.0434782608696,22.424659729003906,0.8094314485788345,0.047802735,515,20.701296
16384,2.48562,-0.0032352258,0.0035638742,8,16384,306.7985847,539.9,26.39776062965393,0.6492790877819061,0.041503906,496,28.673222
18432,2.4781084,-0.0057327524,0.0061589153,9,18432,300.0811499354839,530.516129032258,30.51991319656372,0.9423080123960972,0.07749023,446,4.697139
20480,2.4783661,-0.0050285673,0.0040963134,10,20480,304.19803489189184,534.1081081081081,35.10889911651611,0.7024624347686768,0.043896485,500,33.570286
22528,2.4794307,-0.0018795568,0.0032612712,11,22528,320.4860055641025,557.9487179487179,39.19779348373413,0.8089533150196075,0.033154298,499,13.119438
24576,2.4733489,-0.0053727757,0.0036253817,12,24576,321.4769924390244,561.560975609756,43.30132722854614,0.8958487659692764,0.041552734,504,10.201178
26624,2.464023,-0.006096128,0.0032083124,13,26624,334.75503108888887,581.4888888888889,47.3598268032074,0.726937472820282,0.03378906,526,28.215885
28672,2.4641185,-0.0044390922,0.0051337946,14,28672,357.5215650652174,613.3913043478261,51.24678039550781,0.8030903190374374,0.063964844,508,11.557511
30720,2.4639087,-0.0037159617,0.003659545,15,30720,372.7857048333333,635.875,55.27801442146301,0.8147381842136383,0.04536133,494,16.897022
32768,2.4633868,-0.0038669228,0.0063340515,16,32768,392.8676168979591,664.7142857142857,59.42263960838318,0.7737245857715607,0.070654295,453,11.306566
34816,2.4593954,-0.0013118943,0.0074306517,17,34816,411.96712161999994,692.4,63.93872284889221,0.7752328217029572,0.08564453,451,9.775919
36864,2.4547381,-0.003802505,0.004520795,18,36864,431.41464386274504,719.0,68.47091341018677,0.790400505065918,0.052685548,458,11.575463
38912,2.4631305,-0.004946649,0.006164693,19,38912,450.198552076923,744.5769230769231,72.94029784202576,0.790475994348526,0.07792969,476,10.910674
40960,2.4725204,-0.005337935,0.0059385775,20,40960,467.95978752830183,769.188679245283,77.23565864562988,0.8374986350536346,0.064208984,462,9.56203
43008,2.466874,7.7281635e-05,0.0067050206,21,43008,485.856835,792.8888888888889,81.66607213020325,0.8325633406639099,0.07319336,455,11.340434
45056,2.469313,-0.0016823895,0.0050580557,22,45056,502.47221838181815,815.7272727272727,86.16355347633362,0.7673960328102112,0.054785155,452,15.104792
47104,2.4708915,-0.0017096009,0.0046909084,23,47104,519.1771293035714,837.75,90.6896858215332,0.8383376747369766,0.05292969,458,10.428372
49152,2.4653792,-0.005098195,0.003891717,24,49152,512.8642915438596,829.1929824561404,95.15682125091553,0.8976064622402191,0.043554686,467,5.943163
51200,2.4700027,-0.002460442,0.0034132898,25,51200,520.0904986949153,840.0677966101695,99.53972506523132,0.8452356606721878,0.03857422,468,14.307573
53248,2.4759505,-0.0023733058,0.0027034923,26,53248,516.3774768730159,834.6984126984127,103.93468499183655,0.7971014529466629,0.028857421,468,24.42795
55296,2.4740171,-0.0041577495,0.0055186553,27,55296,516.4356937727272,835.5757575757576,108.30506801605225,0.8412148207426071,0.06772461,473,19.455597
57344,2.4666662,-0.0026755314,0.0041672806,28,57344,530.4300731343283,853.6865671641791,112.63488841056824,0.8297122716903687,0.04741211,497,11.798285
59392,2.4584696,-0.00093345746,0.00580451,29,59392,541.6461152205882,871.2647058823529,116.75325798988342,0.7583595514297485,0.066503905,491,10.57737
61440,2.4585946,-0.0027558084,0.0046514785,30,61440,536.6511009855072,864.695652173913,120.91815114021301,0.8363915234804153,0.048779298,469,7.834849
