total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,time_elapsed,explained_variance,clipfrac,fps,value_loss,ep_len_mean,ep_reward_mean
2048,3.6420484,-0.006555137,0.004925226,1,2048,3.0994415283203125e-06,0.9767690766602755,0.05625,439,1.0371091,,
4096,3.639789,-0.003000995,0.0027286333,2,4096,4.659661531448364,0.8604347109794617,0.029003907,458,17.562792,769.0,441.32998475
6144,3.637281,-0.005278307,0.003711645,3,6144,9.13065481185913,0.876873254776001,0.042626955,450,10.246197,1025.0,647.7012758
8192,3.6299903,-0.0047161872,0.004457529,4,8192,13.674238443374634,0.9340890720486641,0.054589845,449,6.239613,1119.3333333333333,732.6421251666667
10240,3.6317642,-0.0022580582,0.0041445037,5,10240,18.22664165496826,0.7916716784238815,0.04790039,460,12.483383,1252.142857142857,824.9895221428571
12288,3.630607,-0.001521233,0.00313905,6,12288,22.66999840736389,0.7269358336925507,0.03339844,446,11.665355,1351.75,877.282723125
14336,3.6327572,-0.004890141,0.0035479772,7,14336,27.261173725128174,0.9124079123139381,0.038916014,459,15.577545,1236.4545454545455,796.9420593636364
16384,3.628535,-0.0053694956,0.0056935227,8,16384,31.7186119556427,0.908070981502533,0.060595702,423,9.971256,1304.1666666666667,856.2837378333334
18432,3.637941,-0.004358536,0.0046273107,9,18432,36.56038761138916,0.6618357002735138,0.056591798,391,18.80721,1295.0714285714287,836.6067748571429
20480,3.655745,-0.0017514654,0.004815392,10,20480,41.79871225357056,0.7052159309387207,0.05703125,359,16.53471,1278.75,816.702203375
22528,3.6626182,-0.0013732298,0.0043349783,11,22528,47.49741172790527,0.6337171494960785,0.047460936,345,10.752707,1324.0588235294117,840.225733
24576,3.6710289,-0.0021000432,0.0041344655,12,24576,53.43407893180847,0.7037188708782196,0.050048828,365,10.481335,1364.3333333333333,863.5673243888889
26624,3.6698632,-0.004106223,0.0035689243,13,26624,59.037718772888184,0.9471222013235092,0.03955078,355,5.7734494,1373.2105263157894,872.6923229999999
28672,3.6653314,-0.0024230531,0.0022463717,14,28672,64.793301820755,0.831706240773201,0.019873047,372,13.779467,1323.142857142857,836.6416688571427
30720,3.668529,-0.0025901007,0.0024943203,15,30720,70.2936065196991,0.911548987030983,0.025537109,353,9.519557,1356.1363636363637,865.7389047272726
32768,3.669267,-0.0032688219,0.0031292804,16,32768,76.09479355812073,0.9204746559262276,0.03364258,386,5.826053,1357.608695652174,868.1248066521738
34816,3.668639,-0.0059605385,0.0028378754,17,34816,81.38957047462463,0.8485675603151321,0.031689454,400,11.846047,1356.44,867.4785110400001
36864,3.6596847,-0.005204729,0.002640616,18,36864,86.50673365592957,0.8213495165109634,0.024560547,402,13.639511,1320.9259259259259,840.7469466296296
38912,3.6486309,-0.0051757745,0.0037494148,19,38912,91.59944987297058,0.9309569075703621,0.042578124,383,6.1742015,1323.642857142857,841.59271775
40960,3.6538055,-0.0028320814,0.00207889,20,40960,96.93850445747375,0.7367570102214813,0.022851562,362,16.712515,1341.1333333333334,857.9153065666667
43008,3.661673,-0.0045631053,0.0035087324,21,43008,102.58986902236938,0.7810770124197006,0.041308593,293,13.299359,1363.967741935484,874.7047413225806
45056,3.6586146,-0.0016533618,0.0034178211,22,45056,109.55754041671753,0.7907507866621017,0.03642578,380,13.154524,1385.375,888.8052842812501
47104,3.6479106,-0.0032746107,0.0034702301,23,47104,114.94646072387695,0.7665554583072662,0.04121094,392,19.502455,1338.057142857143,851.0995263428572
49152,3.6517577,-0.003658614,0.0031777793,24,49152,120.15917181968689,0.7741704434156418,0.036083985,315,20.61754,1289.7631578947369,816.3664127368421
51200,3.6587558,-0.0053815665,0.003808653,25,51200,126.64529967308044,0.9148429706692696,0.04243164,302,7.9978614,1279.7692307692307,809.5002878461539
53248,3.6654224,-0.00030915238,0.0031412996,26,53248,133.42517066001892,0.8400203287601471,0.03413086,346,12.821216,1299.0,825.0284750000001
55296,3.660818,-0.004840645,0.003977174,27,55296,139.32986521720886,0.8448897451162338,0.03730469,366,16.025816,1293.142857142857,821.9102128333335
57344,3.6549048,-0.0027088858,0.0041309292,28,57344,144.92128801345825,0.8950943350791931,0.047216795,385,11.477307,1310.7209302325582,839.1552670465119
59392,3.6517696,-0.0049915626,0.0055694487,29,59392,150.24084544181824,0.8117024153470993,0.07114258,375,18.467627,1316.7555555555555,843.9293853333335
61440,3.6652863,-0.004494922,0.003249983,30,61440,155.6981132030487,0.8580694198608398,0.037744142,393,12.3051815,1303.1063829787233,832.2648235744683
63488,3.6696868,-0.003235526,0.0031745664,31,63488,160.90555000305176,0.9037560746073723,0.034472656,380,14.185117,1318.6458333333333,847.5641744166668
65536,3.6693223,-0.0036089562,0.0021074982,32,65536,166.29102778434753,0.9222436398267746,0.020703126,390,7.598282,1313.3061224489795,843.1706480204083
67584,3.6637695,-0.0041693877,0.0035425064,33,67584,171.5310730934143,0.8727558702230453,0.039160155,389,9.548419,1328.02,857.76296404
69632,3.6700783,-0.0036582723,0.0033102303,34,69632,176.79666662216187,0.8939556926488876,0.03276367,358,15.969666,1333.5384615384614,863.0278354807692
71680,3.6839194,-0.002805252,0.0030000901,35,71680,182.5091483592987,0.8480918407440186,0.032568358,376,11.508738,1324.9814814814815,855.117500537037
73728,3.6866138,-0.002037637,0.0034870866,36,73728,187.95177388191223,0.9255066737532616,0.039355468,381,11.595608,1294.9107142857142,832.0687648214285
75776,3.6786754,-0.0063166143,0.0019396732,37,75776,193.3210027217865,0.810634046792984,0.01796875,335,10.587351,1308.140350877193,843.8402139122805
77824,3.6712556,-0.002690249,0.001805217,38,77824,199.42547059059143,0.7618719339370728,0.019140625,333,17.623138,1279.6333333333334,821.4244073333332
79872,3.6761317,-0.004541326,0.0025344968,39,79872,205.57508897781372,0.9015872180461884,0.027148437,305,6.032586,1289.8360655737704,826.4654521967211
81920,3.669051,-0.0075207083,0.0068033873,40,81920,212.27667212486267,0.8738146722316742,0.074365236,386,14.778925,1285.3174603174602,823.7200830317457
83968,3.6665554,-0.0020075724,0.0017168401,41,83968,217.57776284217834,0.7456313073635101,0.017041016,397,21.737307,1248.2686567164178,795.8928836119403
86016,3.6666179,-0.0049761264,0.0037330515,42,86016,222.72905659675598,0.9136950746178627,0.042041015,403,11.532859,1243.1304347826087,792.0294983623188
88064,3.6632779,-0.0032511211,0.0022197445,43,88064,227.80720973014832,0.9361161068081856,0.020751953,381,7.432631,1235.9571428571428,785.9632246571427
90112,3.6626687,-0.0015778787,0.0021728869,44,90112,233.17542815208435,0.7961895316839218,0.021386718,393,29.80247,1174.9868421052631,745.3918654078948
92160,3.6524234,-0.0012511316,0.0033904593,45,92160,238.37851858139038,0.9157236665487289,0.035302736,368,7.375628,1179.2597402597403,749.3063080779222
94208,3.6444416,-0.0058995415,0.0047509163,46,94208,243.92935132980347,0.8963035494089127,0.05263672,379,18.9874,1181.7974683544303,750.8720140379747
96256,3.6381488,-0.0028526625,0.0042262664,47,96256,249.32493376731873,0.9483998864889145,0.04584961,356,9.785738,1187.469135802469,758.7849722592592
98304,3.6236904,-0.0023012252,0.0026629737,48,98304,255.07048392295837,0.8873206749558449,0.03125,375,11.851479,1182.6385542168675,754.3335391807228
100352,3.6260638,-0.0024039573,0.0026822235,49,100352,260.52538442611694,0.9030369892716408,0.027685547,392,10.661151,1165.235294117647,741.2620320588235
102400,3.622993,-0.0022321704,0.0029332472,50,102400,265.74178814888,0.9239670559763908,0.029833984,377,16.24509,1160.215909090909,739.544073909091
104448,3.6327903,-0.004112763,0.0031066812,51,104448,271.17600083351135,0.9488612674176693,0.03676758,393,5.879107,1162.0898876404494,741.4915485617978
106496,3.638163,-0.0032880749,0.0028029303,52,106496,276.3855583667755,0.890205055475235,0.027392577,336,15.491272,1171.9444444444443,749.8902049333334
108544,3.6400402,-0.0075661903,0.007001406,53,108544,282.47187089920044,0.955721739679575,0.07749023,341,5.944038,1177.8461538461538,754.9988155274726
110592,3.6399636,-0.003740441,0.0020338967,54,110592,288.46496629714966,0.8834170252084732,0.020703126,397,11.717455,1179.8387096774193,756.9088021612904
112640,3.6382408,-0.0029183635,0.0027835858,55,112640,293.62437176704407,0.9469266831874847,0.027685547,335,6.447831,1188.840425531915,765.2991392446809
114688,3.6395085,-0.0016448628,0.0021224727,56,114688,299.7298069000244,0.8788601234555244,0.02084961,335,14.605806,1190.1458333333333,766.8717529166667
116736,3.647803,-0.0026607043,0.0036032174,57,116736,305.83710527420044,0.9305859282612801,0.040966798,337,10.695328,1186.3775510204082,764.5455134183674
