policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,ep_len_mean,approxkl,ep_reward_mean,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps
-0.005831863,4.544902,-0.2357264757156372,1.9073486328125e-06,0.04272461,662.5,0.0037052468,124.408552,1.429146,479,1,2048,2048
-0.0019619553,3.6898448,-0.02985548973083496,4.2745561599731445,0.0203125,510.125,0.002327239,94.83071312499999,1.4485825,430,2,4096,4096
-0.0032580397,4.3036585,-0.10960948467254639,9.033256530761719,0.03276367,417.35714285714283,0.003009511,78.4270532142857,1.4574673,416,3,6144,6144
-0.003051448,3.875644,0.15192162990570068,13.94855546951294,0.03828125,371.5,0.0035155222,71.0046480909091,1.4638603,443,4,8192,8192
-0.0024637564,3.2328954,0.26902884244918823,18.561936140060425,0.019042969,307.8484848484849,0.0022752904,58.996435090909095,1.4663618,447,5,10240,10240
-0.001685996,2.7689939,0.512077808380127,23.140159368515015,0.020898437,283.25581395348837,0.0028892574,54.18128916279069,1.46805,482,6,12288,12288
-0.005433272,2.2174168,0.674620509147644,27.384319305419922,0.050097656,260.0181818181818,0.004250943,49.75495516363637,1.4756839,459,7,14336,14336
-0.004146023,2.106977,0.7858308702707291,31.84217405319214,0.03276367,254.484375,0.0030198665,48.637723203125,1.4894687,447,8,16384,16384
-0.007411995,1.4558246,0.8212951123714447,36.423646688461304,0.05239258,245.26666666666668,0.004142246,46.63350823999999,1.4944189,453,9,18432,18432
-0.004374242,1.06299,0.9015809670090675,40.93649744987488,0.04296875,240.64705882352942,0.0040350123,45.4842815882353,1.4863913,473,10,20480,20480
-0.0020712004,0.9094326,0.9267419576644897,45.26347303390503,0.03300781,239.29787234042553,0.0031987634,44.93538092553192,1.4734074,454,11,22528,22528
-0.0028663706,1.0411935,0.9351134225726128,49.77083945274353,0.045996092,240.49,0.0037322328,45.095114649999985,1.4668214,482,12,24576,24576
-0.004865492,0.89802396,0.9481114000082016,54.014755725860596,0.06289063,223.66,0.005144042,41.82458312,1.4593414,475,13,26624,26624
-0.0051324,1.3878889,0.9388486482203007,58.32247853279114,0.06645508,229.89,0.0053111142,42.61513250000001,1.4555029,509,14,28672,28672
-0.0063864454,0.8648368,0.9469585344195366,62.34561777114868,0.06538086,239.0,0.0052331337,43.79260071000001,1.4564106,485,15,30720,30720
-0.0056457557,1.6393042,0.9058302566409111,66.56116318702698,0.058496095,253.33,0.004827819,46.13508772000001,1.4579618,517,16,32768,32768
-0.0021646204,1.0971843,0.945845153182745,70.51881217956543,0.052099608,263.81,0.0045356257,47.80139151,1.4452103,463,17,34816,34816
-0.004309221,1.2055428,0.952322568744421,74.93984723091125,0.042382814,284.27,0.003773871,51.107927489999994,1.4362036,452,18,36864,36864
-0.001951663,1.0638834,0.9092458039522171,79.46395754814148,0.049365234,301.53,0.0041419338,53.71300094999999,1.4408573,507,19,38912,38912
-0.0017329643,1.4856066,0.8471936285495758,83.50148558616638,0.038232423,320.61,0.003551615,57.14342734999998,1.4463942,523,20,40960,40960
