policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,approxkl,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps,ep_reward_mean,ep_len_mean
-0.0005135415,0.9966442,0.9602409154176712,2.384185791015625e-06,0.050585937,0.0044480986,2.132338,477,1,2048,2048,,
-0.0031195784,1.604941,0.9519154205918312,4.293676376342773,0.04042969,0.0035729236,2.130836,458,2,4096,4096,1174.988343,2049.0
-0.0061523006,2.9679644,0.888602539896965,8.756759643554688,0.058935545,0.005237035,2.138671,444,3,6144,6144,1192.6271394999999,2049.0
-0.0063013276,3.5628502,0.8719838708639145,13.35998821258545,0.06723633,0.0064943554,2.1507583,472,4,8192,8192,1203.280778,2049.0
-0.0057350956,3.9923043,0.9223255142569542,17.698688983917236,0.047070313,0.00521596,2.1414447,435,5,10240,10240,1192.11327925,2049.0
-0.0057989326,5.11192,0.8889589756727219,22.405381679534912,0.09897461,0.0075419447,2.1215086,451,6,12288,12288,1194.2429746,2049.0
-0.003824509,6.312648,0.8672486841678619,26.944693565368652,0.054638673,0.0047296877,2.1148481,453,7,14336,14336,1210.9318188333334,2049.0
-0.0034521618,6.8534575,0.829177588224411,31.464085340499878,0.06015625,0.0050134887,2.107441,452,8,16384,16384,1214.3730711428573,2049.0
-0.0075854785,7.053191,0.8574604094028473,35.99454975128174,0.07543945,0.006105003,2.1060588,458,9,18432,18432,1222.7058925000001,2049.0
-0.003995226,6.5881143,0.8802259415388107,40.46158456802368,0.06303711,0.0052797194,2.1015286,466,10,20480,20480,1223.0349044444445,2049.0
-0.005958553,6.4260545,0.8253342509269714,44.853018045425415,0.06533203,0.005921482,2.098017,454,11,22528,22528,1226.5223624,2049.0
-0.009409355,7.265712,0.7920481413602829,49.36272573471069,0.08017578,0.0065512024,2.1014802,453,12,24576,24576,1234.9522343636365,2049.0
-0.0035822124,12.686968,0.8195209354162216,53.8842236995697,0.0659668,0.005565419,2.1170044,461,13,26624,26624,1163.5104146153847,1936.0
-0.00268338,18.47622,0.8011686205863953,58.325897216796875,0.048046876,0.004006014,2.1359813,464,14,28672,28672,1035.065863875,1728.9375
-0.0039693443,11.205815,0.7811901867389679,62.7330436706543,0.066503905,0.0055133784,2.1431735,485,15,30720,30720,1053.2779180588236,1747.764705882353
-0.0009325809,19.456087,0.7970997840166092,66.95036149024963,0.05546875,0.005012529,2.141181,473,16,32768,32768,977.9767276000002,1625.45
-0.0012239367,10.6397085,0.8083834201097488,71.27450752258301,0.03803711,0.003497405,2.1415584,483,17,34816,34816,996.5671754761908,1645.6190476190477
-0.0013962744,11.694576,0.7565468847751617,75.51052165031433,0.053759765,0.0047993446,2.1492105,469,18,36864,36864,1010.4404609090911,1663.9545454545455
-0.0021682493,12.444549,0.8271044939756393,79.86913466453552,0.062402345,0.0050583994,2.1518087,471,19,38912,38912,984.8734010833333,1621.125
-0.0039910576,8.3291645,0.8210194855928421,84.2129476070404,0.06147461,0.00530102,2.1539016,482,20,40960,40960,998.49572056,1638.24
-0.007857413,7.847702,0.9237084165215492,88.45658421516418,0.046972655,0.0045767245,2.1650875,494,21,43008,43008,931.0790957407407,1535.4814814814815
-0.004125311,31.595581,0.6736534833908081,92.60235095024109,0.062451173,0.0055702818,2.1823382,496,22,45056,45056,842.5262135937501,1400.28125
-0.004761109,10.26805,0.9057882875204086,96.72791886329651,0.047070313,0.004898426,2.2138047,488,23,47104,47104,777.9500226,1302.1142857142856
-0.0041254237,36.9069,0.6793064177036285,100.92458081245422,0.04560547,0.003945885,2.2335322,483,24,49152,49152,691.454433404762,1166.3095238095239
0.0004031908,20.275726,0.8491909205913544,105.15866351127625,0.04453125,0.004413918,2.2250733,494,25,51200,51200,626.19666306383,1065.7659574468084
-0.0011447661,24.008411,0.844530776143074,109.31267499923706,0.046972655,0.003936861,2.2323763,474,26,53248,53248,598.0581153846153,1021.9038461538462
-0.006362074,24.836025,0.07501614093780518,113.63348484039307,0.049121093,0.0045505995,2.2516472,482,27,55296,55296,546.0658540689655,945.2758620689655
-0.007052701,31.924932,0.14671087265014648,117.8784830570221,0.075927734,0.0065712957,2.2780147,485,28,57344,57344,484.9755639253731,855.8656716417911
-0.007483738,35.566826,0.03627192974090576,122.10105633735657,0.061621092,0.005551149,2.3145404,487,29,59392,59392,436.0027612500001,780.421052631579
