serial_timesteps,n_updates,explained_variance,policy_entropy,total_timesteps,fps,value_loss,approxkl,clipfrac,time_elapsed,policy_loss,ep_reward_mean,ep_len_mean
2048,1,0.9185891821980476,3.8704617,2048,488,4.449271,0.005555933,0.06865235,2.1457672119140625e-06,-0.008360515,,
4096,2,0.9869346637278795,3.869831,4096,481,2.3097773,0.0033277948,0.034375,4.193936347961426,-0.005360968,1173.940415,2049.0
6144,3,0.9455755241215229,3.865937,6144,520,8.250763,0.005190098,0.06137695,8.45016622543335,-0.0076040127,1417.5385975,2049.0
8192,4,0.931926891207695,3.8559194,8192,489,9.023186,0.0029167202,0.030908203,12.387369871139526,-0.004507484,1402.6112843333333,2049.0
10240,5,0.950342059135437,3.8319077,10240,464,9.202653,0.0037236593,0.035791017,16.571407794952393,-0.005875559,1392.923214,2049.0
12288,6,0.4738748073577881,3.8160686,12288,491,26.461212,0.003378578,0.035742186,20.976977109909058,-0.005681809,983.740009,1469.5
14336,7,0.8050209432840347,3.8198764,14336,490,15.379885,0.0030440863,0.032128908,25.14842939376831,-0.0028209945,854.696978,1326.1
16384,8,0.7105765044689178,3.8191078,16384,508,28.683283,0.002287978,0.02216797,29.32194995880127,-0.0021291084,696.7269751428572,1121.857142857143
18432,9,0.9075177311897278,3.8182213,18432,495,20.754787,0.005310332,0.06772461,33.34774732589722,-0.002953705,754.8206952,1183.6666666666667
20480,10,0.9475567266345024,3.8146064,20480,499,15.314824,0.0037933812,0.03666992,37.48388600349426,-0.0032859924,695.3042814117647,1109.1176470588234
22528,11,0.9202248454093933,3.8083968,22528,496,25.332043,0.0048839278,0.058496095,41.58307981491089,-0.003766726,716.028176736842,1112.7894736842106
24576,12,0.8826404809951782,3.8080273,24576,509,33.304253,0.004308027,0.05493164,45.707793951034546,-0.002801893,723.709094590909,1115.409090909091
26624,13,0.8536048233509064,3.813805,26624,544,16.279139,0.0029841263,0.03359375,49.72441792488098,-0.0048040124,701.502051375,1093.1666666666667
28672,14,0.9029491767287254,3.8109393,28672,499,19.566492,0.004140718,0.04511719,53.485435962677,-0.004440709,738.0636135999999,1131.4
30720,15,0.9239636138081551,3.8088448,30720,513,18.894682,0.0033336754,0.035595704,57.583417654037476,-0.0053420123,697.0572868148148,1080.2962962962963
32768,16,0.8701534122228622,3.8140018,32768,525,43.928112,0.0033675754,0.035742186,61.57195591926575,-0.003164025,635.8247906060606,992.4848484848485
34816,17,0.8934765681624413,3.8158066,34816,499,19.901442,0.00481462,0.05732422,65.47150707244873,-0.0014214528,666.7005342647058,1023.5588235294117
36864,18,0.9850514698773623,3.8142066,36864,493,4.0271826,0.0032892493,0.03339844,69.5692720413208,-0.004100709,653.5012022,1008.1142857142858
38912,19,0.918714702129364,3.805421,38912,490,25.278343,0.006901285,0.09003906,73.72279357910156,-0.0040484183,666.3791088918919,1016.081081081081
40960,20,0.8987577855587006,3.807764,40960,477,19.922338,0.004510166,0.05493164,77.89759302139282,-0.002439549,694.9066854473684,1043.2631578947369
43008,21,0.9129107370972633,3.8112311,43008,469,36.45887,0.0029156753,0.03227539,82.18544030189514,-0.003892412,664.6219839302325,997.1395348837209
45056,22,0.9721696600317955,3.824546,45056,498,6.170266,0.0032284919,0.029833984,86.54726266860962,-0.0048111323,651.7432651136364,980.8636363636364
47104,23,0.8974811732769012,3.8334136,47104,493,19.51807,0.004205866,0.049853515,90.6529278755188,-0.0024927505,673.4075162888889,1004.6
49152,24,0.693316787481308,3.8376987,49152,531,45.931435,0.001862637,0.018164063,94.80508208274841,-0.0026125615,639.5412038431373,956.3529411764706
51200,25,0.9070632234215736,3.8352714,51200,483,20.188168,0.0038621475,0.042382814,98.66240954399109,-0.0022203047,660.3667266923077,977.3653846153846
53248,26,0.8507489114999771,3.8232598,53248,531,16.302525,0.0030911255,0.035449218,102.91881203651428,-0.0045790724,671.9719235283019,997.5849056603773
55296,27,0.9782617893069983,3.820736,55296,500,4.921523,0.0023768193,0.023095703,106.76901435852051,-0.003533632,663.1510882407407,987.9444444444445
57344,28,0.9199119806289673,3.819899,57344,493,25.167301,0.0060288794,0.06040039,110.86208724975586,-0.0059983693,671.7977153214285,998.0357142857143
59392,29,0.9048250317573547,3.8212147,59392,517,33.718643,0.004224357,0.053222656,115.01127672195435,-0.0063393163,662.4520018333333,982.6666666666666
61440,30,0.9856650102883577,3.8289402,61440,487,3.3995316,0.003125713,0.034326173,118.96932697296143,-0.0050737797,654.868376704918,974.6229508196722
63488,31,0.9187823534011841,3.8418438,63488,490,29.422913,0.0038025205,0.050878905,123.16745233535767,-0.0066028023,653.5994166093751,969.359375
65536,32,0.9050621166825294,3.854487,65536,516,24.972738,0.00496381,0.059521485,127.34226846694946,-0.0048176385,662.6863808333334,978.3333333333334
67584,33,0.8053468763828278,3.8533447,67584,522,17.451315,0.001088626,0.008398438,131.31043648719788,-0.0019573953,671.6268049402986,994.3134328358209
69632,34,0.902712456882,3.8576179,69632,538,18.66398,0.003096595,0.034814455,135.2295045852661,-0.005185994,672.5155919710146,998.8405797101449
71680,35,0.9048352092504501,3.8682084,71680,466,19.811264,0.0037294957,0.042333983,139.030503988266,-0.0018906442,687.8397671142858,1013.8428571428572
73728,36,0.9280711188912392,3.8702514,73728,477,23.925005,0.004928173,0.05678711,143.41754031181335,-0.0069920025,693.5014052083334,1017.7638888888889
75776,37,0.9000736474990845,3.8785386,75776,487,20.01893,0.0023820824,0.027001953,147.71171379089355,-0.0010999956,706.1431055479452,1031.890410958904
77824,38,0.8271734416484833,3.8782208,77824,537,12.017317,0.0024205928,0.025341798,151.91300415992737,-0.0027708223,699.6709237837838,1024.7702702702702
79872,39,0.9271065592765808,3.8752072,79872,521,18.84982,0.0018205654,0.018798828,155.725257396698,-0.0023166311,693.5375990259739,1022.1818181818181
81920,40,0.9051396623253822,3.880584,81920,477,19.194174,0.004814013,0.054589845,159.6529417037964,-0.0029100443,706.1284917948717,1035.3461538461538
83968,41,0.9189829379320145,3.880179,83968,491,24.665562,0.002274586,0.023486327,163.94033861160278,-0.0039142556,711.313551425,1038.3625
86016,42,0.922427773475647,3.8840308,86016,498,25.401129,0.0035985145,0.041748047,168.10391998291016,-0.0020797485,716.7179301463415,1044.2317073170732
88064,43,0.9563433192670345,3.892772,88064,511,13.752676,0.0035599165,0.040625,172.21287846565247,-0.005607235,696.0889247882352,1019.1176470588235
90112,44,0.8837869614362717,3.8995984,90112,521,38.963367,0.0041256654,0.05078125,176.220388174057,-0.0044070156,689.6985538539326,1012.2134831460675
92160,45,0.8720702826976776,3.9079452,92160,534,14.364672,0.002862118,0.035107423,180.14760732650757,-0.004371538,678.8518507582417,999.9230769230769
94208,46,0.8228026181459427,3.9127438,94208,513,24.967243,0.0044531976,0.050390624,183.97748613357544,-0.005222533,673.2600689468085,997.9148936170212
96256,47,0.9051874354481697,3.9209855,96256,496,20.172863,0.0099666985,0.13183594,187.9670660495758,-0.0074569127,684.2499765578947,1008.978947368421
98304,48,0.9114620834589005,3.9299407,98304,498,20.326014,0.0051681427,0.06352539,192.0914466381073,-0.0033577108,694.8180628333333,1019.8125
100352,49,0.9468302130699158,3.9378638,100352,503,4.838319,0.0042308336,0.050878905,196.2035527229309,-0.0049494957,689.6567151855669,1014.2164948453608
102400,50,0.9531227685511112,3.9602504,102400,457,10.7991085,0.006820623,0.046484374,200.27403450012207,-0.0126733305,695.1823873979591,1024.7755102040817
104448,51,0.8639651536941528,3.9724197,104448,530,22.511448,0.0015480607,0.013720703,204.7552342414856,-0.0012128216,705.220975050505,1035.121212121212
106496,52,0.8415907770395279,3.9667492,106496,516,20.82237,0.0027418179,0.027197266,208.61914730072021,-0.0028596225,712.2459741799998,1045.26
108544,53,0.90548275411129,3.945825,108544,486,19.49905,0.0053002005,0.054345705,212.5810923576355,-0.0027907963,714.5543770700001,1045.26
110592,54,0.8984982520341873,3.925819,110592,472,19.85036,0.0038292997,0.039941408,216.79334020614624,-0.0026468467,715.0304041300001,1045.26
112640,55,0.8867042884230614,3.9290185,112640,504,24.418034,0.0028642984,0.03310547,221.13019704818726,-0.005711384,710.9963044500001,1033.61
114688,56,0.8945406377315521,3.9268956,114688,499,19.140789,0.0022290512,0.023242187,225.18879652023315,-0.0033706613,711.3128143600001,1033.61
116736,57,0.8834461122751236,3.9222405,116736,516,18.829258,0.0025980985,0.024414062,229.2878122329712,-0.0062906197,724.17833631,1048.4
118784,58,0.8888387903571129,3.9216588,118784,511,14.80792,0.0032000397,0.037744142,233.2538619041443,-0.0022288165,735.0724185800001,1064.1
120832,59,0.9169771373271942,3.9124331,120832,499,24.066166,0.0043551656,0.048583984,237.2576858997345,-0.0043732403,749.5610636299998,1079.76
122880,60,0.8960301205515862,3.9075737,122880,498,19.463264,0.0058605415,0.07524414,241.35985445976257,-0.0038280278,762.1009065999999,1091.04
124928,61,0.7569606453180313,3.9123142,124928,503,14.873726,0.0068599256,0.079638675,245.47274947166443,-0.004269757,766.3370992900001,1097.71
126976,62,0.7716643363237381,3.9174278,126976,515,15.0088,0.0045490004,0.052001953,249.54253363609314,-0.0034500435,776.3021511800001,1112.35
129024,63,0.7905255705118179,3.9153523,129024,541,23.130901,0.003844795,0.040722657,253.51339435577393,-0.009729188,785.3822045600001,1126.53
131072,64,0.8713129460811615,3.916205,131072,498,19.874172,0.002559843,0.025,257.2956049442291,-0.0027996604,784.3122926600001,1126.53
133120,65,0.8930850774049759,3.9072728,133120,470,18.928352,0.0076123835,0.082617186,261.4022912979126,-0.0039224806,797.77491624,1138.52
135168,66,0.885455310344696,3.9008248,135168,485,19.678398,0.004253282,0.051074218,265.7581260204315,-0.0040937504,813.84139374,1156.51
137216,67,0.9002358093857765,3.9249864,137216,498,18.812468,0.010808646,0.109472655,269.9760868549347,-0.008277137,813.8788986799998,1156.51
139264,68,0.8689630329608917,3.9465687,139264,510,12.661069,0.00262546,0.028222656,274.08795738220215,-0.0023937938,825.4887319399999,1174.61
141312,69,0.8999484330415726,3.949623,141312,486,19.4445,0.0028279992,0.030419922,278.1006543636322,-0.0014040759,826.4465265099998,1174.61
143360,70,0.9226663336157799,3.9563828,143360,475,23.472347,0.0033150713,0.03515625,282.30882382392883,-0.0008651909,837.8916184600001,1184.01
145408,71,0.8212873041629791,3.9650784,145408,487,7.4326463,0.006428613,0.061523438,286.61549830436707,-0.0065091485,833.5765059800001,1177.77
147456,72,0.7354698479175568,3.9771562,147456,520,22.016258,0.0023179464,0.025683593,290.8208980560303,-0.0055629606,829.6406574800002,1177.15
149504,73,0.7010741233825684,3.9850445,149504,499,12.308302,0.005828877,0.080029294,294.7524299621582,-0.0071801096,838.85368336,1191.49
151552,74,0.9446201361715794,3.9886024,151552,488,10.391392,0.0036193822,0.039746094,298.85709261894226,-0.0022332878,850.16683072,1209.3
153600,75,0.842470720410347,3.9912167,153600,511,39.932365,0.004145196,0.04897461,303.0463671684265,-0.0076463916,856.4157319299999,1216.06
155648,76,0.8813009336590767,3.9954505,155648,511,13.461744,0.003171865,0.032177735,307.0525641441345,-0.0044093626,864.8505900900001,1228.7
157696,77,0.8951003849506378,3.9973552,157696,475,28.729488,0.0032965678,0.0340332,311.054176568985,-0.0014523903,882.07878381,1246.69
159744,78,0.8822969123721123,4.011502,159744,458,19.768024,0.0054862206,0.06459961,315.35764384269714,-0.0046615484,882.49755362,1246.69
161792,79,0.8867724388837814,4.015616,161792,472,20.169216,0.0063661053,0.07714844,319.8294789791107,-0.0058858753,897.32983751,1262.35
163840,80,0.9094877019524574,4.0160036,163840,517,17.394531,0.0030755745,0.026171874,324.1612491607666,-0.0058248537,884.5631342099998,1249.73
165888,81,0.8860771209001541,4.0120325,165888,477,18.617245,0.0050281435,0.06113281,328.11681723594666,-0.0043389034,883.4856906799998,1249.73
167936,82,0.8873580023646355,3.9986491,167936,474,18.912405,0.0048878477,0.06015625,332.4051113128662,-0.0040841326,882.9699974499998,1249.73
169984,83,0.8598518520593643,3.9869804,169984,473,19.253157,0.0049534505,0.063964844,336.72188329696655,-0.0036052465,898.2118583899999,1265.23
172032,84,0.8782374486327171,3.9886394,172032,477,18.977179,0.0051143323,0.06337891,341.0436887741089,-0.001495331,914.7894303899999,1282.95
174080,85,0.8731400966644287,3.9793835,174080,474,19.76144,0.0031740922,0.033691406,345.33342933654785,-0.0027085738,931.5365583799999,1300.91
176128,86,0.8817150369286537,3.9830494,176128,481,19.577328,0.0019073172,0.017431641,349.65440344810486,-0.0017224653,949.04624855,1319.85
178176,87,0.8841597810387611,3.9831345,178176,479,19.497627,0.007677982,0.104199216,353.91093587875366,-0.0035976209,965.2578425199999,1337.53
180224,88,0.8908482268452644,3.9786277,180224,482,27.560139,0.0035487977,0.038964845,358.1797070503235,-0.0035594446,954.08277333,1325.6
182272,89,0.8848308250308037,3.9811835,182272,418,19.72249,0.0038706665,0.04526367,362.422340631485,-0.0018714808,969.0142967700002,1340.82
184320,90,0.7769270241260529,3.979519,184320,529,22.485996,0.002867853,0.02841797,367.3193428516388,-0.005303547,975.3573515600001,1351.59
186368,91,0.6115294694900513,3.9834468,186368,508,29.460438,0.003109528,0.035205077,371.1885166168213,-0.0040393667,934.9339206999998,1303.03
188416,92,0.8994104564189911,3.9879756,188416,493,20.287724,0.004862483,0.046044923,375.21843791007996,-0.0039865607,934.3305372399998,1303.03
190464,93,0.756645455956459,3.98555,190464,534,17.164957,0.0024930849,0.02841797,379.36506485939026,-0.0041561793,946.12321019,1320.77
192512,94,0.8907587975263596,3.9800847,192512,487,19.69623,0.0036520367,0.041503906,383.1951673030853,-0.0030594126,962.6696707199999,1338.58
194560,95,0.6517166495323181,3.977029,194560,501,16.740376,0.0044963546,0.05756836,387.3989534378052,-0.0036659655,972.95282069,1354.29
196608,96,0.8155364096164703,3.987489,196608,519,11.625114,0.006567991,0.08388672,391.47997307777405,-0.0053680455,983.3080499899999,1369.86
198656,97,0.8973180204629898,3.9928017,198656,495,20.44187,0.0051425872,0.060058594,395.42461800575256,-0.0027818498,983.0523167299999,1369.86
200704,98,0.9688123650848866,3.9891353,200704,487,7.8109345,0.0027465355,0.026123047,399.5563733577728,-0.005303732,984.4628667599999,1372.84
202752,99,0.9012550041079521,3.9788482,202752,496,20.156284,0.004665442,0.050830077,403.75483870506287,-0.003486047,1000.9978852999999,1390.7
204800,100,0.8881737068295479,3.9680247,204800,474,19.76736,0.00826535,0.115478516,407.8772804737091,-0.005229438,1000.4017687599999,1390.7
206848,101,0.826199546456337,3.9733043,206848,491,36.76085,0.00359876,0.039990235,412.1981899738312,-0.0038738388,996.5496522799999,1377.67
208896,102,0.9351040869951248,3.970797,208896,503,10.575818,0.0016849323,0.01694336,416.3680031299591,-0.004938967,998.91088554,1381.39
210944,103,0.8571974784135818,3.9671943,210944,500,20.975662,0.0037611786,0.04145508,420.4322319030762,-0.0033197694,997.4770762900001,1381.39
212992,104,0.945115864276886,3.9667478,212992,493,9.848195,0.0050889873,0.06269531,424.5252947807312,-0.006758762,994.79286904,1381.39
215040,105,0.9220045432448387,3.9783943,215040,483,12.304803,0.0028487064,0.029443359,428.6766562461853,-0.0035693203,1011.28114602,1399.27
217088,106,0.7254946827888489,3.9904938,217088,498,21.348824,0.005867748,0.064404294,432.9171304702759,-0.0037669595,1013.3076605599999,1399.27
219136,107,0.9349426776170731,4.019803,219136,486,11.801489,0.0049292184,0.047070313,437.02621150016785,-0.007299509,1023.20108267,1414.71
221184,108,0.7884079962968826,4.0434175,221184,520,42.98884,0.00090377236,0.0073242188,441.2336370944977,-0.0023513422,1017.7761174800002,1403.6
223232,109,0.8447382301092148,4.046457,223232,534,16.44534,0.0014379319,0.013330078,445.17089581489563,-0.0020629927,993.1822875699999,1379.72
225280,110,0.8390125185251236,4.0464478,225280,526,20.602364,0.0025689588,0.025488282,449.00512433052063,-0.00406218,997.9037848300001,1386.29
227328,111,0.9707064777612686,4.0460687,227328,487,5.903606,0.005544113,0.05239258,452.8981206417084,-0.009535173,1000.38476141,1389.71
229376,112,0.8880291506648064,4.0451283,229376,480,20.008196,0.005019321,0.057910156,457.09727120399475,-0.0028824667,1001.9198480300001,1389.71
231424,113,0.8647073954343796,4.041504,231424,494,33.94352,0.006761315,0.08154297,461.35683369636536,-0.008928978,1017.4009652400001,1404.56
233472,114,0.8831693977117538,4.0425467,233472,442,19.73106,0.0049870657,0.061425783,465.4998104572296,-0.00095498527,1033.84472558,1422.11
235520,115,0.8924166858196259,4.0472765,235520,487,19.58123,0.0041168267,0.047314454,470.1253008842468,-0.0018435754,1050.8095433800002,1439.93
237568,116,0.9043101146817207,4.049462,237568,495,29.36736,0.0029025264,0.030517578,474.32421350479126,-0.0023707522,1056.8701598599998,1440.39
239616,117,0.9813491627573967,4.0448875,239616,501,4.17762,0.0031131513,0.030761719,478.4600398540497,-0.00537097,1059.48367981,1444.04
241664,118,0.8991937190294266,4.041404,241664,501,33.05056,0.0029253545,0.03354492,482.54608130455017,-0.005300371,1034.46713206,1411.31
243712,119,0.9812663737684488,4.0569763,243712,508,4.6958766,0.0031051475,0.033984374,486.6296465396881,-0.0054681897,1019.69550088,1395.7
245760,120,0.9048787504434586,4.070132,245760,504,25.857971,0.0032354943,0.035449218,490.6592330932617,-0.0046319943,1011.82735228,1381.19
247808,121,0.9059292003512383,4.0798016,247808,496,31.626688,0.005554978,0.05986328,494.71767354011536,-0.00603726,993.5570892600001,1362.44
249856,122,0.8844063803553581,4.091353,249856,483,20.025627,0.0059887012,0.07114258,498.8422169685364,-0.005906135,993.62032813,1362.44
251904,123,0.8815072327852249,4.083581,251904,466,20.090454,0.003123676,0.030615235,503.0745131969452,-0.0018587181,996.0972670499998,1362.44
253952,124,0.8767208904027939,4.07331,253952,504,21.267822,0.0036137376,0.045214843,507.4690923690796,-0.0025971918,999.5714445799998,1362.44
256000,125,0.8847328871488571,4.0793333,256000,531,17.395424,0.0030055982,0.035107423,511.53119587898254,-0.004771416,970.02251524,1329.41
258048,126,0.8844432607293129,4.0869365,258048,482,19.863737,0.006840507,0.07895508,515.3845307826996,-0.005079959,975.2434383699999,1329.41
260096,127,0.9054973274469376,4.093706,260096,526,18.832611,0.0014832367,0.013720703,519.6314256191254,-0.0014692019,965.9938691300001,1312.95
262144,128,0.7511284053325653,4.097611,262144,494,11.201564,0.0037717621,0.04536133,523.5223951339722,-0.0012829497,963.3130015300001,1312.95
264192,129,0.9763274881988764,4.10265,264192,503,5.027234,0.0019758402,0.02084961,527.6652908325195,-0.003185782,949.05873343,1298.78
266240,130,0.7461913228034973,4.112378,266240,499,21.636822,0.0038234717,0.04482422,531.7366230487823,-0.0035922148,949.4408805400001,1298.78
268288,131,0.7683568447828293,4.118573,268288,525,27.157589,0.0018775869,0.017529298,535.8395290374756,-0.0042322753,903.0958463200001,1250.07
270336,132,0.9304125010967255,4.1113434,270336,494,19.221434,0.0012027987,0.0108886715,539.7354686260223,-0.0028281333,895.7854614199999,1237.95
272384,133,0.9352580681443214,4.101573,272384,491,11.633679,0.007061326,0.093652345,543.8801553249359,-0.006522215,910.27635695,1253.44
274432,134,0.882819190621376,4.0930643,274432,480,19.612339,0.004397662,0.049951173,548.049747467041,-0.00076461025,915.9037640299998,1253.44
276480,135,0.9296911135315895,4.08904,276480,505,17.150648,0.0025880437,0.03017578,552.3092968463898,-0.0051675905,902.82160422,1236.58
