ep_reward_mean,policy_loss,serial_timesteps,fps,ep_len_mean,value_loss,explained_variance,n_updates,total_timesteps,approxkl,clipfrac,time_elapsed,policy_entropy
80.1331385,-0.0022588633,2048,515,236.0,11.1721325,0.9174015820026398,1,2048,0.0028248266,0.028710937,2.6226043701171875e-06,3.9505677
360.164651,-0.0023956872,4096,560,644.6666666666666,34.75038,0.6406432390213013,2,4096,0.0020270958,0.022070313,3.970850944519043,3.9664574
424.1546988571428,-0.008550758,6144,549,739.1428571428571,11.289979,0.8066747933626175,3,6144,0.0045954664,0.054589845,7.623414516448975,3.9797559
420.41936527272725,-0.0043379017,8192,517,730.2727272727273,29.132267,0.7958630919456482,4,8192,0.0031678218,0.0375,11.352144241333008,3.9856648
287.34197652631576,-0.0054186615,10240,503,536.9473684210526,47.35825,0.10767710208892822,5,10240,0.0033183931,0.038916014,15.309738636016846,3.9891331
276.9147058,-0.0034369356,12288,497,521.65,3.4110134,0.9622260108590126,6,12288,0.002955262,0.029345702,19.381909132003784,4.0017476
296.90299808333333,-0.0037434262,14336,519,551.75,27.489624,0.817959189414978,7,14336,0.0035253786,0.043115236,23.501988887786865,3.9982364
330.65407844444445,-0.0036229037,16384,531,599.2222222222222,20.129503,0.8224131166934967,8,16384,0.0026431321,0.026757812,27.445252418518066,3.9983935
336.7184733666667,-0.003832187,18432,538,609.6333333333333,19.64792,0.8348463028669357,9,18432,0.003299934,0.038330078,31.301027536392212,3.9988618
303.4402508333333,-0.0042217555,20480,499,564.1388888888889,27.626541,0.6466051638126373,10,20480,0.002658741,0.030712891,35.10294580459595,3.9989712
320.7460305526315,-0.0046538906,22528,554,588.1052631578947,15.415601,0.8623056262731552,11,22528,0.0032041725,0.036035158,39.20760798454285,3.996161
323.137447195122,-0.0013498614,24576,526,592.4634146341464,16.344286,0.8799974694848061,12,24576,0.0012195846,0.0109375,42.899133920669556,3.9892857
330.95438616666667,-0.0020116793,26624,549,603.1428571428571,5.669788,0.9251981228590012,13,26624,0.0025713562,0.025292968,46.78783702850342,3.987006
343.8156999130435,-0.0033047951,28672,537,619.7391304347826,20.559706,0.8944454342126846,14,28672,0.0028072693,0.029345702,50.514246225357056,3.9777913
355.5111573541667,-0.0060038744,30720,522,635.5833333333334,10.057162,0.9228853732347488,15,30720,0.0032025755,0.034423828,54.328296422958374,3.9637485
358.55119852941175,-0.0008291177,32768,541,640.8627450980392,11.94853,0.9141901656985283,16,32768,0.002457925,0.025195312,58.24908256530762,3.9623008
354.72027774074076,-0.0020621505,34816,541,638.9444444444445,14.233177,0.8463515341281891,17,34816,0.002443908,0.025537109,62.03420567512512,3.9609706
353.3490539122807,-0.0047323937,36864,517,638.280701754386,12.170156,0.8923533633351326,18,36864,0.0024836792,0.024951171,65.81747055053711,3.948742
358.56941067796606,-0.0042402176,38912,505,646.8644067796611,9.544905,0.9050362259149551,19,38912,0.001977622,0.018066406,69.77841973304749,3.9434998
358.4830212833333,-0.0015090968,40960,524,648.7166666666667,7.9588823,0.9167519807815552,20,40960,0.0044447714,0.051757812,73.82949709892273,3.931884
372.2534951612903,-0.0014748968,43008,539,664.7096774193549,11.95336,0.9141293838620186,21,43008,0.0026392865,0.025732422,77.73719429969788,3.9142513
389.03739223076917,-0.0042187637,45056,550,688.723076923077,21.714258,0.7889069616794586,22,45056,0.0019168524,0.021142578,81.53226709365845,3.9086666
404.0742524545454,-0.005410506,47104,539,709.3333333333334,15.878181,0.7752926200628281,23,47104,0.00441399,0.05332031,85.25448727607727,3.9071145
397.9081651714285,-0.0029386492,49152,535,702.0571428571428,17.52837,0.8816896304488182,24,49152,0.0023792689,0.023095703,89.04753875732422,3.9098468
385.9213342432433,-0.0035718612,51200,534,686.4594594594595,14.171072,0.8455811887979507,25,51200,0.0022366862,0.023974609,92.87524056434631,3.9099898
400.1252360133334,-0.0031896406,53248,532,704.6266666666667,10.231615,0.8806586116552353,26,53248,0.0033268135,0.036376953,96.72393894195557,3.9101386
413.2287823421053,-0.004831321,55296,527,722.3157894736842,15.545527,0.8172392547130585,27,55296,0.0034878445,0.03857422,100.57376265525818,3.9069405
425.88077698701306,-0.005372693,57344,524,739.5454545454545,11.240223,0.8530429899692535,28,57344,0.006582813,0.07583008,104.45497965812683,3.9118843
424.5867883333334,-0.0029245834,59392,544,738.2435897435897,6.0914793,0.9281451553106308,29,59392,0.0034434255,0.040527344,108.358638048172,3.9193053
435.270273,-0.0016989175,61440,539,753.025,15.453192,0.8613724261522293,30,61440,0.0018443812,0.01928711,112.12337470054626,3.9172413
434.821911297619,-0.002059374,63488,529,750.7619047619048,25.463324,0.8517563194036484,31,63488,0.0027287127,0.028222656,115.91925859451294,3.913892
441.93094066279065,-0.0020719746,65536,523,760.3604651162791,17.64037,0.8440641611814499,32,65536,0.0027842645,0.029882813,119.78556513786316,3.9065387
