policy_loss,serial_timesteps,fps,value_loss,explained_variance,n_updates,total_timesteps,approxkl,clipfrac,time_elapsed,policy_entropy,ep_reward_mean,ep_len_mean
-0.005851051,2048,510,3.0555005,0.9075203761458397,1,2048,0.0040500844,0.048291016,2.1457672119140625e-06,5.444087,,
-0.0010716129,4096,516,8.054151,0.9691299237310886,2,4096,0.0036252826,0.033496093,4.0084874629974365,5.446136,739.9936495,1250.0
-0.0035267523,6144,504,27.617834,0.8543413579463959,3,6144,0.0032913603,0.038916014,7.972945690155029,5.442361,837.55818025,1204.0
-0.004668628,8192,504,18.929943,0.8041329234838486,4,8192,0.0044739386,0.053808592,12.03195571899414,5.4368343,783.7142835,1190.0
-0.0029214409,10240,507,21.015158,0.8722570836544037,5,10240,0.0025247056,0.025097657,16.09510374069214,5.428779,884.0053137142856,1312.7142857142858
-0.0023072793,12288,493,19.796871,0.8725455403327942,6,12288,0.0020343778,0.01953125,20.130773305892944,5.421476,991.671462,1404.75
-0.001900607,14336,506,19.699018,0.8860328793525696,7,14336,0.0027196927,0.030078124,24.280422687530518,5.4213715,1083.8850127777778,1476.3333333333333
-0.00020256169,16384,497,20.188839,0.872824490070343,8,16384,0.0039998936,0.04536133,28.324397325515747,5.4223056,1154.018931,1533.6
-0.0027657168,18432,500,20.364403,0.875922828912735,9,18432,0.0026659667,0.032226562,32.441264629364014,5.4327264,1215.4510790909092,1580.4545454545455
-0.004204983,20480,519,20.074165,0.8794259130954742,10,20480,0.0029497384,0.03300781,36.53411078453064,5.433091,1247.5654885833335,1619.5
-0.003979034,22528,494,30.921835,0.9022216126322746,11,22528,0.0027092644,0.028466797,40.47817873954773,5.432691,1116.580982,1467.5333333333333
-0.001815713,24576,488,26.019054,0.9008509516716003,12,24576,0.0022184018,0.02368164,44.61799955368042,5.44249,1099.0965614705883,1432.0588235294117
-0.0029738143,26624,514,39.49923,0.5139528512954712,13,26624,0.0013657337,0.0089355465,48.81379461288452,5.448657,814.466667,1101.125
-0.0035301025,28672,486,19.478418,0.8807421624660492,14,28672,0.0023201774,0.025097657,52.791492223739624,5.439365,852.94773996,1139.04
-0.005341097,30720,522,39.897095,0.5981024503707886,15,30720,0.0022636268,0.022900391,57.00502967834473,5.443287,694.5776024375,958.65625
-0.0046484745,32768,502,19.320341,0.8806550949811935,16,32768,0.005146292,0.06660156,60.92520761489868,5.459154,726.6409277575757,991.6969696969697
-0.005028473,34816,495,17.652994,0.8815272971987724,17,34816,0.005948709,0.0625,65.0009913444519,5.462045,758.0672092647059,1022.7941176470588
-0.0053801336,36864,501,11.613896,0.9592448733747005,18,36864,0.0024807812,0.026806641,69.1334490776062,5.451764,724.2515684444445,985.3055555555555
-0.0017173731,38912,523,32.86341,0.89883853495121,19,38912,0.0010934706,0.007470703,73.2212963104248,5.452572,708.2819056999999,966.175
-0.0032301832,40960,504,7.1788154,0.9770082887262106,20,40960,0.0016056735,0.016601562,77.13226556777954,5.455564,682.0102969523809,937.8095238095239
-0.004927692,43008,518,38.042774,0.8749959766864777,21,43008,0.0034135662,0.03378906,81.19544816017151,5.476848,658.6867966382979,909.4042553191489
-0.0018105172,45056,528,15.218205,0.8569367378950119,22,45056,0.0014759407,0.013525391,85.14375257492065,5.4909296,613.6504574615384,862.3846153846154
-0.002392745,47104,487,20.151955,0.8768260702490807,23,47104,0.0055513782,0.0668457,89.02298521995544,5.481317,635.6150554528301,884.7735849056604
-0.0022460825,49152,489,20.033493,0.8866299465298653,24,49152,0.003163424,0.036816407,93.22117900848389,5.4798713,656.6100397222223,906.3333333333334
-0.003954578,51200,551,9.3460455,0.9166276380419731,25,51200,0.0022611176,0.022265624,97.40298128128052,5.4938755,625.8430621034483,874.7931034482758
-0.0018315127,53248,506,22.184757,0.8968259245157242,26,53248,0.001857491,0.018164063,101.1372377872467,5.497106,644.9615407118645,894.6949152542373
-0.0018812947,55296,520,10.945135,0.9626074396073818,27,55296,0.0019494842,0.02080078,105.18070530891418,5.494562,633.1609933278688,884.7868852459017
-0.003278243,57344,469,26.01691,0.9093969166278839,28,57344,0.0041023754,0.04868164,109.1175627708435,5.497506,642.280236111111,893.4444444444445
-0.0036671062,59392,480,38.2858,0.9219523370265961,29,59392,0.0032140173,0.0340332,113.47780156135559,5.5086803,626.621859514706,873.0147058823529
-0.004864811,61440,494,20.343227,0.882358506321907,30,61440,0.004566034,0.05581055,117.7420015335083,5.5300107,643.0301606086957,890.0579710144928
-0.0015374769,63488,530,4.56688,0.983490439131856,31,63488,0.0016706068,0.014257813,121.88375782966614,5.523885,638.3194721714286,886.1571428571428
-0.0026756267,65536,518,23.939056,0.9223343878984451,32,65536,0.0020663892,0.019482423,125.74721240997314,5.5088663,649.2564504722224,898.7083333333334
-0.0024451267,67584,502,24.365993,0.9230511412024498,33,67584,0.003216657,0.027978515,129.69830751419067,5.5123377,658.870116,908.8918918918919
-0.0049829343,69632,515,7.519259,0.9682510681450367,34,69632,0.0022126245,0.023046875,133.77260780334473,5.5172725,652.8099825600001,902.2133333333334
-0.002370195,71680,508,20.364986,0.8917282000184059,35,71680,0.0041931313,0.051171876,137.74518847465515,5.512126,665.9629385921054,917.3026315789474
-0.0016017519,73728,489,20.463793,0.8754338845610619,36,73728,0.0030299942,0.034082033,141.77107691764832,5.523696,680.4276676363637,932.0
-0.0023299078,75776,506,20.098389,0.8897737562656403,37,75776,0.0025781079,0.029589843,145.9572319984436,5.5480223,694.9281701153848,946.3205128205128
-0.0039006702,77824,510,28.67605,0.898575596511364,38,77824,0.0033696457,0.042089842,150.00475645065308,5.5568314,702.9301070125,954.825
-0.0029541797,79872,526,27.51438,0.8822215870022774,39,79872,0.0017153521,0.017382812,154.01311659812927,5.563257,710.8009882073171,962.6463414634146
-0.0018704114,81920,510,20.638334,0.8916115537285805,40,81920,0.0024890436,0.025634766,157.9072813987732,5.5676136,721.1793900963855,975.7349397590361
-0.004160225,83968,475,19.714792,0.8797284066677094,41,83968,0.008283025,0.107177734,161.92259764671326,5.5688443,733.2871687976191,988.5119047619048
-0.0033256568,86016,469,23.568363,0.9238468557596207,42,86016,0.0035862778,0.036474608,166.22574067115784,5.572376,738.1088536627907,992.2441860465116
-0.0034632697,88064,468,20.373308,0.9012542068958282,43,88064,0.0018602666,0.015136719,170.59161567687988,5.581092,749.5999411379311,1004.3908045977012
-0.0052497815,90112,491,26.519644,0.8953356593847275,44,90112,0.0035962302,0.040380858,174.96607613563538,5.5794573,755.3112265617976,1012.3370786516854
-0.0040317783,92160,522,6.475236,0.9725045319646597,45,92160,0.0016635194,0.016601562,179.13724088668823,5.5814276,752.6423220444443,1010.7777777777778
-0.0018169734,94208,510,20.87151,0.8994224444031715,46,94208,0.0028384891,0.03305664,183.0551142692566,5.5821886,763.6984045824174,1022.1868131868132
-0.0054964144,96256,509,20.434317,0.9088109135627747,47,96256,0.0045173177,0.054833986,187.06526231765747,5.5812116,774.3542188478258,1033.3478260869565
-0.001960007,98304,481,20.185827,0.8971270248293877,48,98304,0.0020910497,0.022265624,191.08335971832275,5.575843,783.9369137311825,1044.268817204301
-0.0021539,100352,519,29.59757,0.9110598042607307,49,100352,0.0014727624,0.013134765,195.33464312553406,5.584586,781.8309989270833,1041.71875
-0.0009054461,102400,503,19.841587,0.8986144438385963,50,102400,0.0020784389,0.022607422,199.27481293678284,5.5993967,792.241798515464,1052.1030927835052
-0.00085271505,104448,539,13.302671,0.7626133263111115,51,104448,0.002194446,0.024414062,203.34342074394226,5.609178,796.874885122449,1062.2755102040817
-0.0011564791,106496,521,22.092012,0.8873885124921799,52,106496,0.0007762037,0.0056640627,207.13780045509338,5.621513,804.4281674646465,1072.2424242424242
-0.004208796,108544,531,10.833158,0.8399555385112762,53,108544,0.0031082113,0.034375,211.0658416748047,5.635846,808.35219714,1081.23
-0.002874638,110592,544,14.330933,0.7205010056495667,54,110592,0.002987183,0.03515625,214.91865134239197,5.6507006,808.4506811000001,1081.23
-0.0032297862,112640,503,25.79891,0.9072051420807838,55,112640,0.0036921143,0.04008789,218.68063688278198,5.643256,806.54809763,1079.55
-0.0018543046,114688,550,18.280655,0.9127349555492401,56,114688,0.0011783972,0.01015625,222.74891304969788,5.618985,783.49311328,1047.65
-0.0035392395,116736,532,18.906628,0.8839261755347252,57,116736,0.004276293,0.054248046,226.46808075904846,5.614524,782.98211541,1047.65
-0.0023057272,118784,545,28.357462,0.764276385307312,58,118784,0.001487666,0.013769532,230.31190967559814,5.6195593,726.69502479,992.23
-0.003761983,120832,482,19.403942,0.8888685405254364,59,120832,0.005930296,0.08041992,234.06776547431946,5.629439,728.6896836700002,992.23
-0.0016043525,122880,540,20.27043,0.8827785402536392,60,122880,0.0025181319,0.024560547,238.31516242027283,5.634744,743.1433805900001,1009.88
-0.003988741,124928,535,4.4065394,0.9801492225378752,61,124928,0.0022236605,0.017041016,242.10531377792358,5.61965,746.4762856899999,1014.27
-0.0035379317,126976,523,20.471655,0.878837950527668,62,126976,0.003757819,0.04082031,245.9313097000122,5.6050444,745.7160396800001,1014.27
-0.0047371583,129024,517,26.22546,0.9115614965558052,63,129024,0.004359442,0.053271484,249.8409628868103,5.6053457,761.68240494,1032.14
-0.0050117755,131072,506,20.279446,0.8874716684222221,64,131072,0.0045986003,0.054492187,253.79669737815857,5.6119795,778.57791037,1050.04
-0.0061148843,133120,513,19.540205,0.8858126178383827,65,133120,0.0059393477,0.080322266,257.83931040763855,5.6259527,795.1232473599999,1067.64
-0.0025213354,135168,530,21.0892,0.8729530721902847,66,135168,0.0031562634,0.03251953,261.8286039829254,5.629855,811.91616889,1085.44
-0.0019606706,137216,549,20.409885,0.7905876934528351,67,137216,0.0026612957,0.023925781,265.6926908493042,5.625933,824.84930289,1105.68
-0.0019531955,139264,509,19.94547,0.9002689495682716,68,139264,0.0021294954,0.018310547,269.41707038879395,5.615789,841.5091450799998,1123.38
-0.0020694567,141312,520,20.061443,0.9000792056322098,69,141312,0.0043952945,0.051171876,273.44001865386963,5.6120043,841.1571679000001,1123.38
-0.0011609413,143360,517,25.777746,0.9066856056451797,70,143360,0.0016338427,0.014892578,277.3783128261566,5.6087193,857.20993352,1140.24
-0.003242752,145408,548,12.444686,0.7838353663682938,71,145408,0.0030936957,0.03691406,281.3327202796936,5.612091,869.0122296700001,1158.06
-0.0070937574,147456,511,5.7654867,0.9684450775384903,72,147456,0.004447042,0.044433594,285.06361865997314,5.621169,869.1585722200001,1158.29
-0.0068241097,149504,548,38.65332,0.6663715839385986,73,149504,0.0033847883,0.034814455,289.0659725666046,5.625188,889.3585671400001,1180.81
-0.00029939675,151552,526,8.874076,0.9513185620307922,74,151552,0.0034584336,0.037841797,292.80337262153625,5.632143,876.8722575899999,1169.26
-0.001814634,153600,508,19.898273,0.8833868354558945,75,153600,0.001043062,0.009277344,296.6919300556183,5.642012,876.6830883700001,1169.26
-0.0018309096,155648,514,19.657225,0.8847986310720444,76,155648,0.0037485946,0.043261718,300.7216737270355,5.6502542,892.98951348,1187.17
-0.0070704767,157696,544,29.705515,0.8951748088002205,77,157696,0.0045032976,0.05283203,304.70190834999084,5.661107,899.8789707899999,1193.79
-0.0027448493,159744,560,6.759926,0.9570914134383202,78,159744,0.0016010285,0.016845703,308.4636323451996,5.669707,905.40814951,1202.08
-0.0009897,161792,538,11.846656,0.9476032182574272,79,161792,0.0011807743,0.010302735,312.1174387931824,5.6728473,918.92606507,1217.62
-0.0023636646,163840,508,19.227108,0.8722481280565262,80,163840,0.0039629284,0.04350586,315.9228506088257,5.673284,936.0005369400002,1235.77
-0.0035717771,165888,522,20.615437,0.8778941035270691,81,165888,0.0039340835,0.045556642,319.95459628105164,5.673402,936.4788709400001,1235.77
-0.0037369947,167936,521,21.111898,0.8796145543456078,82,167936,0.0019560987,0.023388673,323.8726296424866,5.6770043,952.5755738500001,1253.42
