total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,approxkl,n_updates,policy_entropy,explained_variance,ep_reward_mean,ep_len_mean
2048,0.0515625,-0.004227126,496,1.9073486328125e-06,2048,2.555392,0.005115754,1,6.135395,0.9648304767906666,,
4096,0.02060547,-0.0053847088,527,4.122456312179565,4096,15.458178,0.001950213,2,6.125983,0.82593734562397,477.11831,824.75
6144,0.04863281,-0.0049796854,501,8.006201982498169,6144,19.14106,0.004097963,3,6.1333594,0.6369349658489227,551.7905288333334,968.3333333333334
8192,0.027978515,-0.008988873,501,12.087098360061646,8192,4.48994,0.005001948,4,6.1521993,0.9792197812348604,504.39390700000007,897.8571428571429
10240,0.035742186,-0.004114778,514,16.175065517425537,10240,19.238407,0.0029055285,5,6.1480527,0.6391323506832123,660.8564471249999,1041.75
12288,0.022851562,-0.0062303427,559,20.159709930419922,12288,17.547707,0.0023161764,6,6.147871,0.8593347668647766,698.8208301999999,1119.1
14336,0.043554686,-0.002853706,506,23.823508977890015,14336,8.6392,0.0037598312,7,6.1554585,0.950795866549015,747.2445599090909,1203.6363636363637
16384,0.034716796,-0.0027029188,495,27.864161729812622,16384,19.802818,0.0031228082,8,6.1513534,0.884969599545002,834.6556763333333,1274.0833333333333
18432,0.03779297,-0.0023545162,426,32.00085663795471,18432,19.938133,0.0033328668,9,6.1483817,0.8712967485189438,908.317671153846,1333.6923076923076
20480,0.021826172,-0.003180556,488,36.80169343948364,20480,20.37981,0.0023302238,10,6.147802,0.8925871178507805,973.8933894285713,1384.7857142857142
22528,0.041992188,-0.003684673,490,40.996519565582275,22528,9.035541,0.0036885913,11,6.129594,0.9319937154650688,989.4325049999999,1429.0666666666666
24576,0.01665039,-0.004032955,510,45.1744110584259,24576,32.0156,0.0018563293,12,6.1230745,0.8914614394307137,952.422885,1363.2777777777778
26624,0.030566406,-0.0023839965,490,49.18852496147156,26624,20.074232,0.0028501982,13,6.1219597,0.8711401373147964,998.093298,1399.3684210526317
28672,0.01586914,-0.002709433,554,53.3601713180542,28672,23.572178,0.0015472414,14,6.1197786,0.7894522696733475,899.5972492727273,1281.3636363636363
30720,0.053759765,-0.0038010553,498,57.05099010467529,30720,19.72206,0.0041581066,15,6.1315165,0.8753539770841599,937.7324144782608,1314.7391304347825
32768,0.021533202,-0.0012790053,469,61.157177448272705,32768,26.627726,0.0022377414,16,6.143534,0.9001657217741013,938.65192448,1302.12
34816,0.061279297,-0.0059880996,513,65.52059888839722,34816,15.101079,0.005195085,17,6.152652,0.7563804984092712,951.3648948461539,1330.8461538461538
36864,0.04453125,-0.003333709,471,69.50758814811707,36864,10.710343,0.004205916,18,6.157847,0.7704509496688843,961.5345885555556,1357.4444444444443
38912,0.014892578,-0.003472548,576,73.85402846336365,38912,7.313896,0.0013614768,19,6.1668286,0.9369344636797905,922.7918033448275,1312.3793103448277
40960,0.06542969,-0.007242809,534,77.40406060218811,40960,9.473623,0.005159189,20,6.169437,0.9256498068571091,933.2813501666666,1336.9333333333334
43008,0.016992187,-0.002520742,448,81.23939681053162,43008,24.77023,0.002187499,21,6.1689367,0.9169904366135597,938.84618625,1335.25
45056,0.014111328,-0.0043801335,463,85.80867838859558,45056,19.895065,0.0014941638,22,6.171832,0.9055425077676773,879.7171399142857,1265.7428571428572
47104,0.031640626,-0.002918842,488,90.2230966091156,47104,20.03339,0.0031442747,23,6.1692195,0.8900624141097069,905.083085361111,1287.5
49152,0.03276367,-0.004690967,537,94.41434788703918,49152,21.78319,0.0027203541,24,6.16051,0.8612891584634781,920.7308402162162,1308.081081081081
51200,0.031054687,-0.00844165,503,98.22608637809753,51200,9.639044,0.0037419838,25,6.154542,0.9439327865839005,913.0764749473683,1297.3684210526317
53248,0.01665039,-0.0049512433,571,102.30311274528503,53248,12.6177635,0.0016149597,26,6.1498404,0.8870602399110794,883.7042194047621,1261.1666666666667
55296,0.01508789,-0.0033055362,530,105.88421177864075,55296,8.38608,0.0015369531,27,6.1626596,0.9691226109862328,857.2660443863638,1230.0454545454545
57344,0.027832031,-0.0076588937,527,109.74475288391113,57344,21.909151,0.0027188794,28,6.177308,0.9394796304404736,849.6747681276598,1215.7659574468084
59392,0.013623047,-0.0023250938,522,113.63114619255066,59392,11.231385,0.0013645163,29,6.1915326,0.962101474404335,821.8878349387755,1182.6326530612246
61440,0.01586914,-0.0034729918,527,117.5483808517456,61440,32.085033,0.0015741348,30,6.199983,0.8906631767749786,820.3846284423078,1179.0192307692307
63488,0.01928711,-0.005158902,495,121.4308922290802,63488,2.1864786,0.0018080246,31,6.1903696,0.9924619528464973,807.9374084339623,1164.9811320754718
65536,0.040722657,-0.002760151,477,125.56585025787354,65536,20.6918,0.003400011,32,6.195513,0.9010938480496407,824.5076161481483,1181.351851851852
67584,0.021923829,-0.0025359618,500,129.8565809726715,67584,20.594212,0.002274783,33,6.197526,0.9026871845126152,840.6743074181819,1197.1272727272728
69632,0.020214844,-0.0035941643,533,133.9485158920288,69632,23.774805,0.001747958,34,6.183856,0.8783801198005676,856.8318965000001,1212.3392857142858
71680,0.011425781,-0.0015368295,517,137.7897446155548,71680,28.494528,0.0012008066,35,6.1756964,0.8491441756486893,849.581921881356,1205.5762711864406
73728,0.02475586,-0.004479522,524,141.74484658241272,73728,22.76,0.0023706092,36,6.1682825,0.8711921721696854,861.7632422166668,1219.6333333333334
75776,0.044189453,-0.0075915614,510,145.65256237983704,75776,24.471006,0.006626878,37,6.151118,0.9155092164874077,865.8940541451615,1220.983870967742
77824,0.017675782,-0.0023250137,483,149.66249465942383,77824,20.671888,0.0018796906,38,6.1252236,0.8933247476816177,879.1257467301589,1234.126984126984
79872,0.023339843,-0.005335854,541,153.9013741016388,79872,6.1002827,0.0024504699,39,6.113768,0.9721885118633509,869.237759578125,1223.546875
81920,0.02734375,-0.005044517,502,157.68230867385864,81920,21.98807,0.0027309456,40,6.1130476,0.8828954994678497,880.4158517384615,1236.246153846154
83968,0.043359376,-0.002715238,512,161.7617998123169,83968,20.209145,0.0035237179,41,6.114903,0.8898562714457512,888.8154955909091,1248.560606060606
86016,0.01508789,-0.0016882267,494,165.76062059402466,86016,21.916374,0.0016879191,42,6.111671,0.9077017307281494,901.8254713432835,1260.5074626865671
88064,0.029541016,-0.0034106658,486,169.89897060394287,88064,20.088646,0.002611992,43,6.117505,0.8965471461415291,911.9476453235294,1272.1029411764705
90112,0.032666016,-0.004112269,490,174.10498118400574,90112,20.841925,0.0029340126,44,6.123561,0.8837700933218002,924.1258151884058,1283.3623188405797
92160,0.021386718,-0.0060696853,534,178.276682138443,92160,38.718353,0.0021408903,45,6.130815,0.8598045408725739,903.6950707945203,1256.2602739726028
94208,0.02836914,-0.0057545635,511,182.10623836517334,94208,20.309034,0.0027560494,46,6.133235,0.8693454712629318,915.2589722837837,1266.972972972973
96256,0.023095703,-0.0017265193,525,186.10767078399658,96256,19.943968,0.0021698955,47,6.1189766,0.8965059816837311,927.5539988133332,1277.4
98304,0.015576172,-0.004745825,573,190.00467586517334,98304,8.0030155,0.0018317358,48,6.113847,0.893855445086956,918.5739894605263,1267.0
100352,0.029150391,-0.007529906,566,193.57543301582336,100352,25.355206,0.002700211,49,6.1105347,0.8614865094423294,916.3370068333332,1268.9615384615386
102400,0.03251953,-0.003078001,523,197.18814182281494,102400,20.031527,0.0027911228,50,6.1135263,0.8824367821216583,925.4736435443037,1278.8354430379748
104448,0.0076171877,-0.0013409844,529,201.10221791267395,104448,20.291655,0.0009698432,51,6.1153455,0.8857309967279434,936.4599764875,1288.4625
106496,0.04550781,-0.004743401,525,204.96894240379333,106496,20.856028,0.004115573,52,6.118398,0.8705435991287231,945.5992087037037,1297.851851851852
108544,0.031542968,-0.0038420078,536,208.86768984794617,108544,20.931433,0.0028525032,53,6.1185303,0.8920359462499619,951.5494895487805,1307.0121951219512
110592,0.12895508,-0.005318201,528,212.68292117118835,110592,20.225582,0.009725312,54,6.1127176,0.8810738921165466,960.4588974819277,1315.9518072289156
112640,0.022509765,-0.0013396924,537,216.55543041229248,112640,26.493204,0.002553404,55,6.1140046,0.9025082960724831,962.4148487647061,1316.2823529411764
114688,0.012890625,-0.0022876416,501,220.36576104164124,114688,26.267117,0.0015031596,56,6.1131926,0.9127756208181381,961.8650375287359,1312.4827586206898
116736,0.010986328,-0.002386871,527,224.4501645565033,116736,20.960926,0.0013551285,57,6.1042466,0.8832786604762077,970.9300010568182,1320.8522727272727
118784,0.032714844,-0.0025004558,509,228.33512258529663,118784,19.776167,0.0030038836,58,6.1057773,0.8885283544659615,980.1308168651686,1329.0337078651685
120832,0.052001953,-0.004990779,510,232.35695362091064,120832,20.224724,0.0043989923,59,6.1051097,0.9044052883982658,988.7578089333333,1337.0333333333333
122880,0.019580077,-0.0048957793,523,236.36914706230164,122880,4.853593,0.0059191943,60,6.085282,0.9788249246776104,980.7727492527472,1328.6923076923076
124928,0.025048828,-0.0020218585,575,240.284188747406,124928,21.92181,0.0024100633,61,6.0784407,0.6300967335700989,989.2522041195652,1336.5217391304348
126976,0.032324217,-0.0056059537,558,243.84590458869934,126976,25.26345,0.0027647424,62,6.0793858,0.8716172873973846,978.6129444842104,1329.0
129024,0.016503906,-0.0023465988,535,247.51647210121155,129024,26.140003,0.0018508339,63,6.0827074,0.9080631509423256,977.8248863711341,1325.298969072165
131072,0.018017579,-0.0014014879,529,251.34144282341003,131072,19.890974,0.0020879062,64,6.0845385,0.8800967261195183,985.9324215408163,1332.6836734693877
