serial_timesteps,value_loss,ep_reward_mean,policy_loss,approxkl,ep_len_mean,total_timesteps,n_updates,time_elapsed,clipfrac,policy_entropy,fps,explained_variance
2048,5.1117897,77.95390599999999,-0.0048492947,0.004526012,403.0,2048,1,1.9073486328125e-06,0.05131836,1.4149573,563,-0.19027864933013916
4096,5.0206494,112.41400442857143,-0.00334392,0.0031237858,555.4285714285714,4096,2,3.6365325450897217,0.032128908,1.4209672,602,-0.05915963649749756
6144,4.4331417,89.25994069230767,-0.0030332902,0.003274247,436.6923076923077,6144,3,7.037136793136597,0.04091797,1.4357618,586,-0.033074021339416504
8192,3.9131284,70.19576026086956,-0.0037955884,0.0029222367,348.5217391304348,8192,4,10.530395030975342,0.027197266,1.441986,592,0.1580495834350586
10240,3.262104,55.360986540540544,-0.0035593268,0.0034552652,275.4864864864865,10240,5,13.984823942184448,0.03461914,1.4302307,609,0.36023223400115967
12288,3.302817,50.50519524489795,-0.0026169943,0.0035218666,250.6122448979592,12288,6,17.34302830696106,0.037060548,1.418102,594,0.456932008266449
14336,3.2222054,46.80733030645161,-0.0009627325,0.0015344219,230.56451612903226,14336,7,20.790071725845337,0.00834961,1.4115773,600,0.47309446334838867
16384,3.163879,44.49825368,-0.0049332664,0.0042908806,217.06666666666666,16384,8,24.1996910572052,0.051416017,1.4141988,616,0.5302063524723053
18432,3.1742396,43.822223344827584,-0.0028001494,0.003526603,211.5977011494253,18432,9,27.5202956199646,0.039453126,1.4155192,614,0.5664378702640533
20480,2.2813268,42.71483337373737,-0.002588131,0.0031279377,205.45454545454547,20480,10,30.85539960861206,0.030957032,1.4131027,606,0.7155836224555969
22528,2.3239377,36.760597409999995,-0.002178532,0.0028615196,175.36,22528,11,34.23133373260498,0.0328125,1.4155006,586,0.7173391580581665
24576,2.272896,35.92824564,-0.004378051,0.0037781403,168.12,24576,12,37.72229075431824,0.040966798,1.4325335,586,0.7675264775753021
26624,2.8183236,37.58679806,-0.001654749,0.0035036984,172.84,26624,13,41.21359181404114,0.038476564,1.4504819,591,0.7149822413921356
28672,1.4924424,38.800017919999995,-0.0032520827,0.0035504675,177.3,28672,14,44.673746824264526,0.036035158,1.449566,621,0.8626858294010162
30720,1.2101845,39.89792966,-0.0029587152,0.0030843108,182.4,30720,15,47.9676296710968,0.03461914,1.4459034,608,0.9080551788210869
32768,0.9875063,41.20116811,-0.0023074336,0.0027347251,188.98,32768,16,51.3355872631073,0.025976563,1.4445202,614,0.932670421898365
34816,1.2664827,43.42308620000001,-0.0056975773,0.0046900837,199.74,34816,17,54.6677770614624,0.057373047,1.450558,609,0.9107993990182877
36864,0.96335346,45.574084629999994,-0.003243177,0.003300896,210.3,36864,18,58.02742099761963,0.03618164,1.4621942,608,0.9327132403850555
38912,1.3865347,48.008663219999995,-0.0043443968,0.0037730895,221.58,38912,19,61.39225196838379,0.04042969,1.4610215,606,0.9033396169543266
40960,1.5165734,50.5398277,-0.002853985,0.0043713944,233.79,40960,20,64.77216863632202,0.04848633,1.453984,596,0.9122020900249481
