#{"t_start": 1747300854.6157553, "env_id": null}
r,l,t
45.532362,242,1.079832
133.446399,641,2.059969
66.823742,360,2.593105
63.75097,335,3.1142
149.626431,794,4.818131
118.007912,537,5.596593
137.840515,633,6.543403
131.536571,772,8.083183
95.277724,453,8.762718
52.420563,292,9.227266
69.347322,344,9.753064
39.401844,196,10.038091
30.761023,163,10.381844
42.925144,223,10.706856
125.607865,566,11.879342
116.73798,500,12.625207
74.572498,368,13.166213
86.09263,401,13.839559
117.250273,583,15.026595
46.827273,239,15.362603
46.30919,273,15.777433
64.617708,317,16.224219
68.991814,300,16.686088
71.252896,337,17.203002
64.468627,325,17.712034
31.408359,175,18.284963
47.668231,218,18.594311
34.400639,176,18.846283
34.225605,164,19.083424
34.712622,163,19.314476
77.584626,340,19.809398
88.929367,389,20.363897
85.324799,372,20.96525
55.833034,251,21.60255
37.720493,198,21.908635
29.036569,141,22.108876
81.54398,369,22.644058
31.527118,145,22.86514
39.043054,189,23.131708
55.808464,270,23.513798
50.428176,248,23.933074
86.812912,391,24.804485
57.528459,264,25.190951
50.214482,240,25.532816
49.975236,247,25.88645
57.149327,278,26.327487
51.135783,257,26.755511
57.881748,302,27.403789
57.773712,301,27.984606
203.940185,728,29.526867
216.093123,757,31.110472
200.108671,779,32.829873
215.62803,949,34.193703
177.880308,762,35.349036
94.585114,451,36.308098
95.280819,445,36.944178
145.283074,602,37.814191
182.295412,741,38.993506
476.769106,2049,42.341653
476.264283,2049,45.718792
560.401121,2049,49.356757
601.541677,2049,52.851897
718.742822,2049,56.418704
461.650156,1274,58.809755
371.125558,1389,61.208886
412.844365,1525,63.928312
488.044629,1517,66.353779
613.765277,2049,69.913564
639.565703,2049,73.440483
452.989781,1320,75.840439
536.950587,1818,78.922281
639.347073,2049,82.526059
208.440666,677,83.591321
668.639224,2013,87.075204
235.832843,712,88.125822
660.801149,2049,91.686154
659.974065,2049,95.16262
469.869342,1744,97.992464
565.753594,2049,102.092916
546.639655,1621,105.283877
601.623412,2049,109.071845
545.347125,2049,112.621958
540.837438,2049,116.574015
578.595336,2049,120.072229
575.919275,2049,124.481406
588.917995,2049,128.499934
556.938173,2049,132.16847
550.065193,2049,135.642193
650.231034,2049,139.307612
716.348951,2049,143.079123
694.00989,2007,146.6831
595.132176,1713,149.75223
679.904383,1798,152.925981
181.811396,583,153.895006
311.336608,862,155.518383
275.657353,780,156.822395
229.117521,671,157.873497
879.540693,2049,161.500632
433.051179,1150,163.677374
878.441992,2049,167.327487
604.82032,1566,170.124098
504.34391,1256,172.156574
522.251447,1248,174.46257
388.840951,978,176.05609
775.225093,1756,179.332195
861.437071,2049,183.207583
808.94252,1884,186.714937
399.060652,1000,188.697842
375.821835,921,190.221717
493.61961,1167,192.429597
165.619461,462,193.126609
435.490928,1070,194.783567
436.271146,1022,196.688447
273.458049,742,197.841
618.282629,1345,200.233676
464.760333,1065,201.918343
265.899548,680,203.261855
425.782655,982,204.738057
983.009064,2049,208.285172
344.01723,854,209.997973
880.113573,1917,213.051241
508.182126,1196,215.154131
853.248003,2049,218.77915
724.296915,1656,221.672302
930.576642,2049,225.688212
487.94639,1242,227.98742
430.814531,1029,230.01368
719.90596,1547,233.057734
300.067215,764,234.440813
523.148489,1210,236.773932
326.615359,752,238.06081
320.728566,788,239.525836
215.518971,599,240.841443
761.054074,1674,244.130488
329.762065,809,245.65331
