total_timesteps,n_updates,fps,explained_variance,clipfrac,value_loss,serial_timesteps,policy_loss,ep_len_mean,time_elapsed,approxkl,ep_reward_mean,policy_entropy
2048,1,569,0.002055346965789795,0.05102539,4.9182916,2048,-0.00469285,545.6666666666666,1.9073486328125e-06,0.004176692,108.69874066666667,1.4274924
4096,2,610,-0.3616851568222046,0.049804688,5.349097,4096,-0.0044638445,791.2,3.598942279815674,0.0041619064,161.04342839999998,1.4394937
6144,3,579,-0.05391037464141846,0.035205077,3.943383,6144,-0.0028953126,465.38461538461536,6.955981016159058,0.0034937535,93.1670226923077,1.4398077
8192,4,593,-0.009289860725402832,0.042871095,4.175656,8192,-0.0038776142,387.6666666666667,10.490386247634888,0.004071106,77.79380480952379,1.4358861
10240,5,612,0.2556266784667969,0.0421875,3.8149395,10240,-0.003627782,348.51724137931035,13.944713830947876,0.0035431634,70.0201891724138,1.449099
12288,6,597,0.3148754835128784,0.051123045,4.035862,12288,-0.004633974,348.4117647058824,17.287780284881592,0.004346938,69.85994311764705,1.4692897
14336,7,613,0.3913252353668213,0.057128906,4.1236563,14336,-0.005870202,387.4594594594595,20.71555209159851,0.004575901,78.21882959459458,1.484966
16384,8,601,0.5670446753501892,0.026855469,3.8664207,16384,-0.0014790847,415.3076923076923,24.054898262023926,0.0028566576,84.23293471794871,1.496817
18432,9,615,0.42941832542419434,0.019189453,3.5374928,18432,-0.00018552851,456.15,27.460549354553223,0.0021998512,92.724466525,1.495809
20480,10,624,0.18851518630981445,0.053955078,3.6404324,20480,-0.0021400526,495.0,30.78898859024048,0.004716187,101.004159,1.4931824
22528,11,640,0.21299129724502563,0.04741211,3.7038045,22528,-0.0025113584,532.0,34.070406913757324,0.0044078953,109.67112695238096,1.4888434
24576,12,627,0.4138942360877991,0.050195314,3.5768704,24576,-0.004050007,567.2790697674419,37.26776480674744,0.004387076,117.51072697674418,1.4862564
26624,13,624,0.6413519978523254,0.06196289,2.6037762,26624,-0.0039475136,574.6,40.53226613998413,0.005380957,119.01685397777779,1.4773363
28672,14,632,0.6288164854049683,0.045410156,3.6373513,28672,-0.0023887693,581.9130434782609,43.811986446380615,0.0038221653,120.65391736956522,1.472472
30720,15,613,0.1327851414680481,0.026806641,3.7291846,30720,-0.0015264293,613.1276595744681,47.051204442977905,0.0028343333,128.4137119787234,1.4742309
32768,16,623,0.3532797694206238,0.033691406,2.824394,32768,-0.0029637762,643.0416666666666,50.388097286224365,0.003087938,136.32645560416665,1.4788916
34816,17,611,-0.11081588268280029,0.059326172,2.7645903,34816,-0.004578527,671.734693877551,53.67312955856323,0.005062448,143.41512634693876,1.4814388
36864,18,625,0.04249840974807739,0.01821289,2.2184682,36864,-0.0012524837,699.28,57.024085998535156,0.0024145762,150.57589399999998,1.4637035
38912,19,637,0.13469934463500977,0.013623047,1.7987759,38912,2.664654e-05,725.7450980392157,60.29840874671936,0.002011631,157.05712445098038,1.4472427
40960,20,637,0.017708957195281982,0.041796874,1.4355322,40960,-0.0012532922,751.1923076923077,63.511547565460205,0.0036485041,163.08002498076922,1.4522532
43008,21,648,0.0768621563911438,0.042236328,1.4905255,43008,-0.0012556076,775.6792452830189,66.72388029098511,0.0038615447,168.5980146981132,1.4686028
45056,22,636,0.11433953046798706,0.048095703,1.3424289,45056,-0.0034968175,799.2592592592592,69.88160395622253,0.0039877193,174.26510946296295,1.4812319
47104,23,625,0.09771901369094849,0.08383789,1.314268,47104,-0.00444372,821.9818181818182,73.09772205352783,0.006543511,179.6730186,1.4881096
49152,24,632,0.14369738101959229,0.037744142,1.5745136,49152,-0.0013784652,843.8928571428571,76.37203478813171,0.0035162554,184.98383344642858,1.4927222
51200,25,611,0.06771403551101685,0.035742186,1.8173813,51200,-0.0021867251,865.0350877192982,79.61089777946472,0.0033552751,190.59597192982457,1.490535
53248,26,604,0.02536165714263916,0.07451172,1.5011677,53248,-0.0039212075,885.448275862069,82.97184038162231,0.005549508,196.42585531034484,1.4925897
55296,27,612,0.15544015169143677,0.041503906,1.8115451,55296,-0.0012833795,905.1694915254237,86.35932350158691,0.0036585634,201.6912183898305,1.4933447
57344,28,627,0.09893906116485596,0.02841797,1.671922,57344,-0.0009194089,924.2333333333333,89.70587253570557,0.0029584798,207.34136080000002,1.4985175
59392,29,593,0.000583350658416748,0.05883789,1.6466663,59392,-0.0009720288,942.672131147541,92.96861696243286,0.0051429635,212.6275386393443,1.4958484
61440,30,619,0.0015386343002319336,0.027246093,1.4567553,61440,-0.0012199545,960.516129032258,96.42097163200378,0.0027948746,217.7249905322581,1.493232
63488,31,610,0.05487722158432007,0.087451175,1.8820509,63488,-0.003476336,977.7936507936508,99.72903156280518,0.0066358955,222.44422307936512,1.4927536
65536,32,621,0.0942227840423584,0.05678711,1.4449017,65536,-0.0019627179,994.53125,103.08421635627747,0.004788462,227.75095885937498,1.4976902
67584,33,634,0.070218026638031,0.038623046,1.6137937,67584,-6.156689e-05,1010.7538461538461,106.3823549747467,0.0035231062,232.47997641538458,1.5087694
69632,34,601,-0.049535512924194336,0.025878906,1.5735198,69632,0.0014113801,1026.4848484848485,109.61277294158936,0.0027300431,237.25338189393938,1.5091178
71680,35,596,0.004400849342346191,0.09038086,1.6147865,71680,-0.006360299,1041.7462686567164,113.01756644248962,0.006923931,241.81813198507461,1.516342
73728,36,612,0.057631075382232666,0.047558594,2.0174108,73728,-0.0048189834,1056.5588235294117,116.45285940170288,0.0043604863,246.41365117647055,1.5206759
75776,37,616,0.08978843688964844,0.04663086,1.3281945,75776,-0.0010216077,1070.9420289855072,119.79843711853027,0.0040761665,251.4506545217391,1.5253088
77824,38,613,0.012236237525939941,0.042285156,1.4579322,77824,-0.00030558644,1084.9142857142858,123.11838603019714,0.003792084,255.62847037142856,1.537451
79872,39,604,0.03592878580093384,0.048046876,1.5777715,79872,-0.0005296514,1098.4929577464789,126.45700526237488,0.004306701,260.0121099295775,1.5504125
81920,40,606,0.10311001539230347,0.054052733,1.2676544,81920,-0.0013981877,1111.6944444444443,129.8463590145111,0.0045037493,264.42835787499996,1.5610573
83968,41,599,0.19083213806152344,0.047753908,2.0860324,83968,-0.000460609,1112.3513513513512,133.22378396987915,0.0040208427,265.405718,1.5715406
86016,42,601,0.028998613357543945,0.05258789,1.516773,86016,-0.0015397912,1124.84,136.638286113739,0.004506459,269.6268027333333,1.583953
88064,43,598,0.07891154289245605,0.05029297,1.2945144,88064,-0.0023598927,1137.0,140.0459749698639,0.004434033,273.6716937105263,1.5841725
90112,44,598,0.05851525068283081,0.072070315,1.2955707,90112,-0.005684381,1148.844155844156,143.46599626541138,0.005980893,277.4212430909091,1.5938351
92160,45,600,0.03352159261703491,0.03769531,1.667084,92160,-1.0895199e-05,1160.3846153846155,146.88758540153503,0.0034481045,281.14725162820514,1.6150663
94208,46,602,0.07621359825134277,0.040234376,1.5776377,94208,-0.0009555702,1171.632911392405,150.30053758621216,0.0037040063,285.2289032405064,1.6144097
96256,47,602,0.11090755462646484,0.05253906,1.3343767,96256,-0.002205943,1182.6,153.70151162147522,0.004469998,289.0031976625,1.6151657
98304,48,609,-0.005141854286193848,0.054345705,1.3790052,98304,-0.0033293203,1193.2962962962963,157.09984040260315,0.0047637783,292.4727090493827,1.6307583
100352,49,611,0.014476954936981201,0.0421875,1.427597,100352,0.0017596033,1203.7317073170732,160.45991444587708,0.0035148137,295.92250320731705,1.6451794
102400,50,611,0.025174438953399658,0.0390625,1.3236433,102400,-0.0021267142,1213.9156626506024,163.81110620498657,0.0033466867,299.43810301204815,1.6532892
104448,51,597,0.04584115743637085,0.044189453,1.4290181,104448,-0.0019005738,1223.857142857143,167.16372799873352,0.0039509786,302.5467267738095,1.6738636
106496,52,579,0.11153662204742432,0.0421875,1.3572605,106496,-0.0013974768,1233.5647058823529,170.59087538719177,0.003668407,305.9636465764705,1.6857971
108544,53,579,0.03924590349197388,0.057177734,1.4724652,108544,-0.0020481595,1243.046511627907,174.12466859817505,0.00494182,309.2521285348837,1.6980989
110592,54,596,0.02671152353286743,0.05698242,1.4692689,110592,-0.0007832716,1252.3103448275863,177.65965223312378,0.004484525,312.51107717241376,1.7177632
112640,55,598,0.10455769300460815,0.054101564,2.8851383,112640,-0.004281955,1260.3370786516855,181.09300708770752,0.0045561064,316.4439736741573,1.7200731
114688,56,586,0.009923815727233887,0.095947266,1.708634,114688,-0.0068732416,1269.1,184.51272535324097,0.0072996123,320.04411443333333,1.7278723
116736,57,611,0.21930640935897827,0.056396484,4.7100835,116736,-0.0021964642,1240.340425531915,188.00552916526794,0.004800114,313.08868178723407,1.7534281
118784,58,612,0.12850534915924072,0.046728514,1.4400259,118784,-0.0022306927,1248.8526315789475,191.35728931427002,0.0040742722,315.91801640000006,1.7680771
120832,59,586,0.08808392286300659,0.04873047,1.4509676,120832,-0.002095377,1257.1875,194.70194292068481,0.004039998,318.94058336458335,1.7857621
122880,60,596,0.24666345119476318,0.041650392,4.184623,122880,-0.0025877766,1233.919191919192,198.19472074508667,0.003722785,313.2187532020202,1.8170321
124928,61,572,0.13424360752105713,0.046484374,1.6906122,124928,-0.0032893517,1242.07,201.63037252426147,0.0041268403,316.88167266999994,1.8374312
126976,62,582,0.47506195306777954,0.038916014,1.3068475,126976,-0.0043308106,1255.16,205.21088695526123,0.0035980088,320.871863,1.8516334
129024,63,605,0.13198137283325195,0.042089842,1.6391668,129024,-0.001787236,1268.07,208.72764110565186,0.0036867182,325.77162111,1.8693907
131072,64,598,0.1568571925163269,0.06591797,1.4886938,131072,-0.0030820272,1282.61,212.11377906799316,0.0050079683,330.695207,1.8831861
133120,65,582,0.1581486463546753,0.027734375,1.7224655,133120,-0.0007970127,1294.71,215.53657603263855,0.0027210694,335.17459356,1.8932585
135168,66,595,0.03295069932937622,0.039111327,1.6235176,135168,-0.0016173566,1300.4,219.0549831390381,0.0036121793,338.37583854999997,1.899943
137216,67,599,0.1407489776611328,0.062304687,1.6129625,137216,-0.00257471,1317.02,222.49259233474731,0.0052020513,343.67175043000003,1.9078915
139264,68,561,0.10240739583969116,0.046679687,1.9697151,139264,-0.0023069566,1336.06,225.91065883636475,0.0043895654,350.01258798,1.9226481
141312,69,578,0.12785595655441284,0.050488282,1.7286813,141312,-0.0029606482,1353.01,229.5556263923645,0.0041835182,356.0664586,1.94152
143360,70,566,0.18293124437332153,0.06982422,2.2421021,143360,-0.0074710846,1371.4,233.09487748146057,0.0055613793,362.57025307,1.9519405
145408,71,576,0.09328430891036987,0.054589845,1.8609247,145408,-0.0031806952,1389.64,236.7087950706482,0.004573527,368.97354561,1.9512026
147456,72,588,0.16391205787658691,0.03017578,1.9182097,147456,-0.0008171199,1408.24,240.2603394985199,0.0027370178,375.09463683,1.9550047
149504,73,583,0.10501289367675781,0.029248048,2.598907,149504,-0.0025010137,1425.69,243.7388937473297,0.0032538031,381.62626406000004,1.9571953
151552,74,584,0.22033125162124634,0.0496582,2.390519,151552,-0.0028976281,1443.38,247.2493188381195,0.004312607,388.5876377700001,1.9604105
153600,75,591,0.08210974931716919,0.062646486,2.1161625,153600,-0.00402732,1460.41,250.7522838115692,0.0051607755,394.90297147999996,1.9658123
155648,76,584,0.1264246106147766,0.02421875,2.048031,155648,-0.00070010667,1478.99,254.21689867973328,0.0025907634,401.61296771,1.9691088
157696,77,566,0.13091963529586792,0.05205078,2.2385716,157696,-0.0022974894,1497.32,257.72021770477295,0.004325389,408.50878995,1.9821965
159744,78,552,0.21011245250701904,0.059375,2.663888,159744,-0.0030229082,1516.09,261.3377513885498,0.004921182,415.79676615999995,1.9917681
161792,79,578,0.20727717876434326,0.04453125,5.4343295,161792,-0.0025336524,1535.77,265.04784631729126,0.00399992,425.32614021999996,1.9994831
163840,80,602,0.1753132939338684,0.031152343,6.9525948,163840,-0.0023021535,1554.73,268.59454679489136,0.0030290731,434.85303608999993,2.0111701
165888,81,603,0.0944182276725769,0.054394532,3.980664,165888,-0.0028002053,1573.81,271.991557598114,0.004281535,443.39100633999993,2.0185206
167936,82,600,0.18175262212753296,0.037060548,3.8148339,167936,-0.004328166,1588.63,275.3876631259918,0.0034856996,450.38027460999996,2.016908
169984,83,598,0.3408380150794983,0.03310547,3.5790462,169984,-0.0026885625,1607.54,278.7987844944,0.0032699716,458.85403347000005,2.0106034
172032,84,617,0.3624352216720581,0.045214843,3.8776336,172032,-0.0032836874,1622.78,282.2184910774231,0.004100549,463.7083977799999,2.0247009
174080,85,578,0.23000448942184448,0.027246093,4.290558,174080,-0.005274426,1641.43,285.5362057685852,0.0028254525,472.42339121,2.027052
176128,86,601,0.2965797185897827,0.041796874,5.1659994,176128,-0.0022719868,1656.77,289.0772650241852,0.0038325146,479.93478461,2.026203
178176,87,593,0.23099160194396973,0.03696289,4.057085,178176,-0.00198002,1675.76,292.4841673374176,0.0031841341,488.72127801000005,2.0390825
180224,88,584,0.419617235660553,0.048339844,3.5592034,180224,-0.0037781107,1694.72,295.93658924102783,0.0041746823,497.2474474300001,2.0480945
182272,89,599,0.22442567348480225,0.07299805,2.2567143,182272,-0.0038165287,1713.84,299.438006401062,0.005755423,503.6795942300001,2.0456402
184320,90,575,0.352918803691864,0.06196289,3.054596,184320,-0.0042613745,1732.6,302.85447692871094,0.0050769662,511.48024086000004,2.0438473
186368,91,581,0.2436056137084961,0.039941408,2.8792899,186368,-0.0027825325,1751.21,306.41435265541077,0.0036981683,519.43680799,2.0463161
188416,92,610,0.25595927238464355,0.053515624,3.4435086,188416,-0.0050909542,1770.14,309.9346122741699,0.0046886704,527.94903694,2.0380654
