#{"t_start": 1747246502.577895, "env_id": null}
r,l,t
75.658513,231,1.049348
84.607764,241,1.464058
1373.185403,2049,5.310229
283.872894,589,6.311502
179.408199,389,6.953514
164.255133,369,7.532634
808.094986,1306,10.046936
1342.753214,2049,13.902164
95.035562,257,14.310543
109.196783,282,14.838548
108.544567,271,15.323164
97.988111,261,16.097523
89.813008,248,16.513325
98.48058,260,16.950636
86.539867,238,17.331361
96.042537,251,17.76313
184.260537,395,18.564356
87.381221,261,19.079876
94.378675,255,19.57712
78.796562,231,20.30816
1313.06688,2049,24.415056
101.954013,274,24.888189
87.54616,246,25.388364
84.810785,240,25.794066
1380.745233,2049,29.628869
322.062984,631,30.644276
99.179947,257,31.218567
325.612848,639,32.609502
759.007641,1218,34.606767
89.273594,253,35.05659
97.846256,265,35.916006
85.500418,247,36.427653
390.829092,790,37.761191
80.002321,235,38.176765
84.835698,246,38.624868
83.281044,237,39.052069
98.972396,272,39.976493
1165.527735,1767,42.889485
676.901185,1073,45.052893
300.296024,626,46.094395
83.088965,244,46.560583
651.448884,1041,48.679003
1386.471517,2017,52.393794
370.062867,684,53.503525
86.971147,244,53.914275
71.932446,231,54.305492
220.890741,455,55.392924
1028.122616,1545,58.139601
713.795399,1167,60.443361
428.114546,776,61.779296
79.665627,233,62.15668
348.503856,666,63.578066
287.123741,603,64.569008
233.156276,550,65.549588
504.611349,886,67.35072
402.892029,765,68.697509
78.497697,228,69.1975
482.814026,873,71.10981
531.885131,910,72.570393
353.386047,758,74.454708
1486.673131,2049,78.365793
84.062292,240,78.837066
1422.228395,2049,82.584816
397.077077,746,83.848674
388.408323,760,85.074442
1381.470167,2049,88.805134
480.450015,871,90.681443
551.085209,973,92.330941
70.212033,232,92.706755
82.923643,252,93.129348
75.63734,232,93.864462
267.188841,581,94.92253
281.98006,600,95.910745
79.800931,241,96.321955
1451.213967,2049,100.194129
1395.994757,2049,104.014877
1387.43237,2049,107.982308
324.949662,638,109.38565
1419.61878,2049,113.124379
284.23357,610,114.150263
1441.170892,2049,117.973677
81.148892,252,118.396904
87.902202,266,118.853764
93.196723,255,119.273829
1378.146108,2049,123.117157
102.87424,278,123.584001
850.105124,1352,126.282571
348.510702,665,127.304039
1404.268425,2049,131.088388
252.05876,575,132.429438
90.666023,261,132.876392
1369.406327,2049,136.708435
1416.340522,2049,140.492807
81.104977,253,141.023446
293.170729,616,142.048529
83.753659,236,142.448618
1452.027054,2049,146.307949
84.740123,242,146.707899
95.757655,266,147.50829
91.779292,263,147.946416
1444.05242,2049,151.769703
279.126137,599,152.729238
84.777327,247,153.227264
1443.37946,2049,156.964467
208.603133,432,157.769774
1388.354784,2049,161.41883
282.850541,601,162.779753
1421.737462,2049,166.535712
1391.301285,2049,170.30647
831.922985,1327,172.430372
174.636868,397,173.343798
263.814101,581,174.421189
1431.737771,2049,178.213054
440.23623,790,179.555983
300.138507,565,180.560011
85.669611,247,181.310519
88.958411,248,181.727342
365.089482,687,182.909791
1387.536463,2049,186.790326
1413.100883,2049,190.571582
285.188755,610,191.554636
92.872343,257,191.981928
1453.605103,2049,195.785429
742.002725,1144,198.100017
1168.307816,1712,201.302623
1419.276694,2049,205.107334
390.006735,755,206.32003
82.46662,241,206.751331
281.643227,598,208.124554
653.781539,1039,209.823597
96.535185,260,210.276138
184.226681,464,211.202746
