total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,ep_reward_mean,ep_len_mean,approxkl,n_updates,policy_entropy,explained_variance
2048,0.0362793,-0.004878829,489,2.1457672119140625e-06,2048,4.194614,470.300463,739.0,0.0031935417,1,5.0927095,0.981128916144371
4096,0.043066405,-0.0019815378,514,4.18154764175415,4096,19.846935,1149.613677,1394.0,0.0037912752,2,5.0883474,0.869139775633812
6144,0.028320312,0.00037651864,498,8.165981769561768,6144,19.555264,1361.571162,1612.3333333333333,0.0027719645,3,5.0782247,0.87673619389534
8192,0.026708985,-0.00016145493,533,12.273242712020874,8192,25.534628,1246.6933808,1508.6,0.0028503549,4,5.085685,0.8938998058438301
10240,0.06064453,-0.0082586715,514,16.10896348953247,10240,19.447884,1343.4779356666668,1598.6666666666667,0.0049906583,5,5.1009893,0.8815819695591927
12288,0.013330078,-0.0019228754,516,20.08932614326477,12288,29.208393,1258.026914125,1524.0,0.0015288626,6,5.1140394,0.8751909509301186
14336,0.024853516,-0.0009927338,514,24.057470560073853,14336,19.95728,1313.5615353333333,1582.3333333333333,0.0024814238,7,5.1143165,0.8759706988930702
16384,0.033837892,-0.0016851274,542,28.036016941070557,16384,8.448999,1217.3261142000001,1489.4,0.0034301605,8,5.1040077,0.9554434344172478
18432,0.059326172,-0.0012377521,513,31.81373691558838,18432,19.614887,1266.0889112727275,1540.2727272727273,0.0047101565,9,5.089227,0.8613435924053192
20480,0.051464844,-0.003351568,544,35.800830364227295,20480,27.529282,1230.7763356153848,1500.3076923076924,0.004537114,10,5.0802727,0.8878540620207787
22528,0.04575195,-0.00041528288,526,39.559115171432495,22528,20.436405,1273.082801714286,1539.5,0.004022042,11,5.0842295,0.8685318380594254
24576,0.084667966,-0.0018482007,549,43.45164513587952,24576,13.600243,1270.5182616666668,1573.4666666666667,0.007437554,12,5.088412,0.675912469625473
26624,0.082617186,-0.0023134924,569,47.18034505844116,26624,14.256119,1269.7095596875,1603.1875,0.0077638873,13,5.09305,0.8411474227905273
28672,0.025830079,-0.0008519724,503,50.77482986450195,28672,20.125475,1296.795742,1629.4117647058824,0.0026405167,14,5.1035423,0.8791879042983055
30720,0.038427733,-0.0017382205,507,54.842389822006226,30720,20.337757,1322.1891997777775,1652.7222222222222,0.0034189918,15,5.1019278,0.8600141853094101
32768,0.030566406,-0.001950341,509,58.874555349349976,32768,20.68739,1348.553795473684,1673.578947368421,0.00266685,16,5.111022,0.866607055068016
34816,0.07055664,-0.006910874,538,62.89631009101868,34816,20.981804,1299.077821142857,1645.6666666666667,0.0067047477,17,5.1174436,0.7426455616950989
36864,0.06782226,-0.002973732,507,66.70014238357544,36864,19.940634,1323.1733017727272,1664.0,0.005358602,18,5.116027,0.8633453547954559
38912,0.03666992,-0.0015692295,491,70.73628687858582,38912,19.876472,1345.0804644782606,1680.7391304347825,0.0033879336,19,5.107138,0.858352854847908
