Logging to logs/SimOpt/QubeSwingupEnv/sim2sim_double_mass_stochastic_rollouts_1814/seed-28/iter-0
Training RL agent on env with p_phi~N([0.024], [[2.5e-05]])
Loading model from None
-------------------------------------
| approxkl           | 0.0052392487 |
| clipfrac           | 0.066748045  |
| explained_variance | 0.936        |
| fps                | 420          |
| n_updates          | 1            |
| policy_entropy     | 4.556617     |
| policy_loss        | -0.007178843 |
| serial_timesteps   | 2048         |
| time_elapsed       | 1.67e-06     |
| total_timesteps    | 2048         |
| value_loss         | 0.0035423369 |
-------------------------------------
Training complete. Starting rollouts...
Real rollout complete. | SimOpt Iteration: 0 | Real rollout episode reward: 2042.2008056640625 | Time: 14.17s
CMA-ES Initialization Complete. Starting search...
Generation:    1 | Population size: 8.0 Fitness: 1.773036e+02 | Mean: 0.0240 | Cov: [[0.811291]] | Time: 47.76527976989746s
Generation:    2 | Population size: 8.0 Fitness: 1.563534e+02 | Mean: 0.0240 | Cov: [[0.8731866]] | Time: 50.3303427696228s
Generation:    3 | Population size: 8.0 Fitness: 1.516271e+02 | Mean: 0.0240 | Cov: [[0.5314564]] | Time: 50.77185273170471s
Generation:    4 | Population size: 8.0 Fitness: 1.652016e+02 | Mean: 0.0240 | Cov: [[0.4749012]] | Time: 50.69154977798462s
Generation:    5 | Population size: 8.0 Fitness: 1.729461e+02 | Mean: 0.0240 | Cov: [[0.36466417]] | Time: 50.328852891922s
Generation:    6 | Population size: 8.0 Fitness: 1.506607e+02 | Mean: 0.0240 | Cov: [[0.40369806]] | Time: 51.43565106391907s
Generation:    7 | Population size: 8.0 Fitness: 1.653844e+02 | Mean: 0.0240 | Cov: [[0.44046417]] | Time: 47.30634355545044s
Generation:    8 | Population size: 8.0 Fitness: 1.922118e+02 | Mean: 0.0240 | Cov: [[0.49425173]] | Time: 49.43354845046997s
Generation:    9 | Population size: 8.0 Fitness: 1.599306e+02 | Mean: 0.0240 | Cov: [[0.561815]] | Time: 50.8404061794281s
Generation:   10 | Population size: 8.0 Fitness: 1.630557e+02 | Mean: 0.0240 | Cov: [[0.6887502]] | Time: 49.44413113594055s
Generation:   11 | Population size: 8.0 Fitness: 1.681723e+02 | Mean: 0.0240 | Cov: [[1.075941]] | Time: 51.71099400520325s
Generation:   12 | Population size: 8.0 Fitness: 1.367428e+02 | Mean: 0.0239 | Cov: [[1.4787672]] | Time: 54.130173444747925s
Generation:   13 | Population size: 8.0 Fitness: 1.902838e+02 | Mean: 0.0239 | Cov: [[1.0077138]] | Time: 45.95127820968628s
Generation:   14 | Population size: 8.0 Fitness: 1.736597e+02 | Mean: 0.0240 | Cov: [[1.1657193]] | Time: 44.361838817596436s
Generation:   15 | Population size: 8.0 Fitness: 1.696391e+02 | Mean: 0.0239 | Cov: [[1.1510175]] | Time: 40.795196533203125s
Generation:   16 | Population size: 8.0 Fitness: 1.621585e+02 | Mean: 0.0239 | Cov: [[0.6934417]] | Time: 40.54404616355896s
Generation:   17 | Population size: 8.0 Fitness: 1.673526e+02 | Mean: 0.0239 | Cov: [[0.60845745]] | Time: 46.08891940116882s
Generation:   18 | Population size: 8.0 Fitness: 1.953409e+02 | Mean: 0.0239 | Cov: [[0.5424782]] | Time: 49.16537952423096s
Generation:   19 | Population size: 8.0 Fitness: 1.666452e+02 | Mean: 0.0239 | Cov: [[1.1463975]] | Time: 49.343839168548584s
