Logging to logs/SimOpt/QubeSwingupEnv/sim2sim_double_mass_stochastic_rollouts_1814/seed-407/iter-0
Training RL agent on env with p_phi~N([0.024], [[2.5e-05]])
Loading model from None
-------------------------------------
| approxkl           | 0.0038834072 |
| clipfrac           | 0.04345703   |
| explained_variance | 0.952        |
| fps                | 334          |
| n_updates          | 1            |
| policy_entropy     | 4.5547843    |
| policy_loss        | -0.008870253 |
| serial_timesteps   | 2048         |
| time_elapsed       | 2.15e-06     |
| total_timesteps    | 2048         |
| value_loss         | 0.0053543965 |
-------------------------------------
Training complete. Starting rollouts...
Real rollout complete. | SimOpt Iteration: 0 | Real rollout episode reward: 2039.46630859375 | Time: 15.92s
CMA-ES Initialization Complete. Starting search...
Generation:    1 | Population size: 8.0 Fitness: 1.923440e+02 | Mean: 0.0240 | Cov: [[0.8317821]] | Time: 50.748801946640015s
Generation:    2 | Population size: 8.0 Fitness: 1.400382e+02 | Mean: 0.0240 | Cov: [[0.6541467]] | Time: 49.799466371536255s
Generation:    3 | Population size: 8.0 Fitness: 1.379171e+02 | Mean: 0.0240 | Cov: [[0.42852885]] | Time: 50.838988304138184s
Generation:    4 | Population size: 8.0 Fitness: 1.906977e+02 | Mean: 0.0240 | Cov: [[0.40257442]] | Time: 49.79863882064819s
Generation:    5 | Population size: 8.0 Fitness: 1.514466e+02 | Mean: 0.0240 | Cov: [[0.33997667]] | Time: 49.75185751914978s
Generation:    6 | Population size: 8.0 Fitness: 1.399034e+02 | Mean: 0.0240 | Cov: [[0.25915417]] | Time: 48.65165162086487s
Generation:    7 | Population size: 8.0 Fitness: 1.241269e+02 | Mean: 0.0240 | Cov: [[0.46522835]] | Time: 48.23656892776489s
Generation:    8 | Population size: 8.0 Fitness: 1.591859e+02 | Mean: 0.0240 | Cov: [[0.31689453]] | Time: 49.776803970336914s
Generation:    9 | Population size: 8.0 Fitness: 1.651429e+02 | Mean: 0.0240 | Cov: [[0.27781728]] | Time: 51.39921569824219s
Generation:   10 | Population size: 8.0 Fitness: 1.591906e+02 | Mean: 0.0240 | Cov: [[0.20645186]] | Time: 50.52890133857727s
Generation:   11 | Population size: 8.0 Fitness: 1.566185e+02 | Mean: 0.0240 | Cov: [[0.44965982]] | Time: 51.70606279373169s
Generation:   12 | Population size: 8.0 Fitness: 2.306621e+02 | Mean: 0.0240 | Cov: [[0.49842286]] | Time: 49.97982430458069s
