n_updates,fps,explained_variance,approxkl,policy_entropy,clipfrac,policy_loss,time_elapsed,serial_timesteps,total_timesteps,value_loss,ep_len_mean,ep_reward_mean
1,326,0.039952874183654785,0.0071974574,3.7611442,0.0881836,-0.009798973,2.384185791015625e-06,2048,2048,0.0007487495,,
2,347,0.001467585563659668,0.0051943203,3.7373462,0.05644531,-0.007788745,6.27704119682312,4096,4096,2.342818,2049.0,2039.19119
3,339,-0.001369476318359375,0.009537921,3.7177505,0.12778321,-0.011932642,12.180433511734009,6144,6144,4.4235177,2049.0,2036.1884185
4,432,0.0004215240478515625,0.0028263011,3.6931405,0.017919922,-0.0021002903,18.22088932991028,8192,8192,6.2656884,2049.0,2034.7458216666666
5,421,0.7786448150873184,0.0021718529,3.6791184,0.01484375,-0.0034527276,22.95762014389038,10240,10240,23.962685,1375.3333333333333,1365.9889421666667
6,400,-0.0006574392318725586,0.0015091527,3.6870263,0.007519531,-0.00039311108,27.81884217262268,12288,12288,20.257915,1471.5714285714287,1462.111495857143
7,433,0.5030914843082428,0.0026003546,3.6921108,0.021679688,-0.0030543054,32.938924074172974,14336,14336,26.855703,1375.2222222222222,1366.7087191111111
8,400,0.729314386844635,0.0030507457,3.7004573,0.031201173,-0.0021694864,37.66567516326904,16384,16384,31.800152,1206.6666666666667,1199.1855889166666
9,350,0.794948160648346,0.0047898265,3.7061207,0.061914064,-0.0021821256,42.77877640724182,18432,18432,40.807655,978.7058823529412,972.2756904705883
10,378,0.7573724985122681,0.0025275196,3.7020798,0.023779297,-0.00036616327,48.62194204330444,20480,20480,28.063217,937.05,930.7802268000002
11,328,-0.01867043972015381,0.0035361343,3.7022152,0.041650392,-0.0027702793,54.03871440887451,22528,22528,20.127972,990.0,983.412993857143
12,291,0.03100430965423584,0.0023446553,3.708707,0.020654297,-3.6904938e-05,60.271841287612915,24576,24576,19.670498,1038.1363636363637,1030.7705547727273
13,283,0.7577812820672989,0.0026850482,3.7164981,0.026123047,-0.0007371387,67.29314756393433,26624,26624,28.00831,997.68,990.71797952
14,303,0.5999668538570404,0.005802906,3.7146332,0.07338867,-0.0024450053,74.51889753341675,28672,28672,24.138084,1000.6666666666666,993.8157168148147
15,372,0.8082164824008942,0.0016742492,3.7167506,0.012646484,0.00037274123,81.27318215370178,30720,30720,30.784367,940.2903225806451,933.9851409032258
16,341,0.007836103439331055,0.003981457,3.72144,0.04584961,6.8031026e-05,86.76701474189758,32768,32768,19.83978,974.9375,968.61122334375
17,379,0.6633878946304321,0.0032277126,3.7215526,0.029003907,-0.0006363463,92.77088022232056,34816,34816,23.120659,978.6470588235294,972.3419237058823
18,363,0.6530487537384033,0.002471135,3.7209656,0.021728516,-0.0012793888,98.16932415962219,36864,36864,24.36648,982.0,975.6864121666666
19,364,0.7460319399833679,0.0016700912,3.7222118,0.013134765,-0.004027155,103.80226922035217,38912,38912,26.920822,960.3589743589744,954.1641979230769
