n_updates,fps,explained_variance,approxkl,ep_reward_mean,policy_entropy,policy_loss,clipfrac,time_elapsed,serial_timesteps,ep_len_mean,total_timesteps,value_loss
1,396,0.9421379789710045,0.0013326909,1190.885999,6.553801,-0.00094272976,0.010351563,2.1457672119140625e-06,2048,1243.0,2048,9.231375
2,437,-0.005038142204284668,0.0050668838,1613.512225,6.5593696,-0.0015310103,0.06572266,5.160419464111328,4096,1646.0,4096,20.186163
3,481,0.8101553618907928,0.00031320774,1617.7203353333334,6.5674973,-0.0007175483,0.0024902343,9.838942527770996,6144,1726.0,6144,67.58442
4,444,0.9166666865348816,0.0021890663,1462.85194825,6.563779,-0.0015594421,0.021337891,14.092662811279297,8192,1615.5,8192,16.304213
5,398,0.0010668635368347168,0.0015971971,1576.8230808,6.5530715,-0.00015604042,0.015380859,18.698665380477905,10240,1702.2,10240,20.025856
6,478,0.8002634942531586,0.0016804453,1549.5173504285717,6.5557013,-0.0013840862,0.020751953,23.838179111480713,12288,1687.0,12288,75.96677
7,424,0.9058657437562943,0.00073522853,1456.964025125,6.5466523,-0.0008221781,0.006689453,28.123117446899414,14336,1602.125,14336,26.163733
8,446,0.25786834955215454,0.002622639,1519.6646827777777,6.542552,-0.0030084765,0.026513672,32.94831442832947,16384,1651.7777777777778,16384,16.621517
9,460,-0.002467036247253418,0.0034368436,1571.156289,6.5448136,-0.0023079969,0.044042967,37.5398736000061,18432,1691.5,18432,20.092857
10,392,0.03982961177825928,0.0022563194,1612.4172948181817,6.539388,-0.0018763716,0.029101562,41.98692584037781,20480,1724.0,20480,19.324688
11,343,0.059584081172943115,0.0009905093,1647.14392175,6.5350504,-7.809465e-06,0.004199219,47.21073007583618,22528,1751.0833333333333,22528,19.140903
12,307,0.8565506786108017,0.00083500164,1289.0823024117647,6.5344086,-0.0005952277,0.0044921874,53.17992377281189,24576,1363.2941176470588,24576,28.50505
13,412,0.8476640731096268,0.000912573,1174.1214093809522,6.5455256,-0.001642762,0.008837891,59.84480309486389,26624,1243.3809523809523,26624,62.222557
14,386,0.00654369592666626,0.0016268954,1213.4498876363634,6.5485024,-0.0019841315,0.015527343,64.81462860107422,28672,1280.0,28672,19.694557
15,390,0.8810831680893898,0.0007553856,1122.4004860384614,6.563941,-0.0013031815,0.004199219,70.10786151885986,30720,1181.0384615384614,30720,32.541836
16,419,0.9383631832897663,0.0008435099,1019.8438013103448,6.5638337,-0.0012934075,0.00546875,75.34845352172852,32768,1075.551724137931,32768,16.170887
17,440,0.8525140285491943,0.0025208606,1002.8403534687501,6.5474153,-0.0015952882,0.03173828,80.23471879959106,34816,1057.6875,34816,42.581154
18,431,0.8730272352695465,0.0013033289,957.7868538055559,6.553663,-0.0014117701,0.009619141,84.88864350318909,36864,1009.25,36864,35.63564
19,424,0.7821239829063416,0.0022123675,937.9226242051287,6.567682,0.0006741131,0.021191407,89.63774824142456,38912,985.6666666666666,38912,24.738138
20,419,0.7804185748100281,0.0033434131,965.46122015,6.5720377,-0.00128552,0.03779297,94.46729278564453,40960,1012.25,40960,38.92417
21,443,0.9831167347729206,0.0027067398,956.9848632195122,6.570638,-0.0014164255,0.028955078,99.35538077354431,43008,1007.1463414634146,43008,5.0489707
22,402,0.0025658607482910156,0.0024558306,982.7279906666666,6.5717278,0.0005213093,0.026367188,103.9700255393982,45056,1031.952380952381,45056,19.63633
23,339,-0.007104396820068359,0.0014123817,1007.3000191627906,6.5842896,-7.1407376e-05,0.013085937,109.05554509162903,47104,1055.6046511627908,47104,19.704075
24,309,0.8035202920436859,0.00079528464,987.2565638695652,6.5955024,1.7520419e-05,0.007910157,115.08676862716675,49152,1032.6739130434783,49152,22.98268
25,359,0.0166398286819458,0.0034527504,1009.517528361702,6.599756,-0.00036740262,0.038134765,121.71251726150513,51200,1054.2978723404256,51200,19.402668
26,376,0.9420231990516186,0.00027425517,1030.87639425,6.595605,0.00016333265,4.8828126e-05,127.4168848991394,53248,1075.0208333333333,53248,3.7608666
27,360,0.6799193620681763,0.0018650806,1031.04717794,6.599645,0.00013990242,0.012158203,132.85287761688232,55296,1073.58,55296,21.729935
28,345,0.944458357989788,0.0018907085,1048.5234941568626,6.5937867,-0.0020836857,0.020361328,138.5373888015747,57344,1091.921568627451,57344,11.356002
29,424,0.6835076808929443,0.001632333,1047.9598236415095,6.589534,-0.00038792728,0.014550781,144.47260451316833,59392,1089.9056603773586,59392,21.287321
30,464,0.8722312301397324,0.0018921839,1028.9552491929826,6.5890303,-0.002462576,0.020898437,149.30201196670532,61440,1072.0526315789473,61440,52.40682
31,421,-0.0036450624465942383,0.0033348943,1046.4700024310346,6.5725965,-0.00096145086,0.038623046,153.70741891860962,63488,1088.896551724138,63488,19.728237
32,463,0.9477592259645462,0.0007978366,1017.7236051147542,6.5589476,-0.0007659914,0.0045410157,158.56688594818115,65536,1060.8196721311476,65536,20.195436
33,426,0.8164013177156448,0.0017663699,1002.9481771093749,6.546837,0.00051212223,0.0125,162.981614112854,67584,1044.125,67584,22.911318
34,431,0.9464096501469612,0.0015375242,994.0448240454544,6.551722,-0.0017830696,0.016064454,167.78638195991516,69632,1036.8181818181818,69632,19.57722
35,444,0.8269464075565338,0.001726086,1007.657710867647,6.564878,-0.0016502496,0.016455078,172.5331916809082,71680,1053.9264705882354,71680,57.888245
36,437,0.34741657972335815,0.0047378177,1022.636496637681,6.5705156,6.216159e-06,0.057763673,177.14371418952942,73728,1068.3478260869565,73728,22.586685
37,442,0.9986238414421678,0.004647241,1008.4533925999999,6.5734696,-0.0022120285,0.054736327,181.82616305351257,75776,1053.5285714285715,75776,0.040348507
38,470,0.8808448240160942,0.0029884346,1019.2998660972221,6.579835,-0.0026170458,0.03461914,186.45018076896667,77824,1066.8194444444443,77824,44.018837
39,456,0.8580577373504639,0.0019284068,1010.2293695866666,6.58536,-0.00030138023,0.016503906,190.80274510383606,79872,1057.12,79872,35.1081
40,446,0.9138267859816551,0.0011719296,1023.6493704473684,6.5946016,-0.00020804035,0.006152344,195.29040479660034,81920,1070.171052631579,81920,5.137567
41,431,0.0012137889862060547,0.0042434926,1036.8100045064934,6.6029587,-0.0005135814,0.05292969,199.8775293827057,83968,1082.8831168831168,83968,19.72223
42,423,0.0079803466796875,0.0024506769,1049.6207780897435,6.6042976,-0.00042709368,0.027636718,204.61930465698242,86016,1095.2692307692307,86016,19.588081
