n_updates,serial_timesteps,value_loss,explained_variance,fps,approxkl,total_timesteps,policy_loss,policy_entropy,clipfrac,time_elapsed,ep_reward_mean,ep_len_mean
1,2048,0.0008871385,0.9811811838299036,346,0.012149299,2048,-0.022706445,2.5547726,0.16547851,2.86102294921875e-06,,
2,4096,2.368178,0.6338841915130615,351,0.0071575954,4096,-0.009313179,2.5272424,0.096142575,5.9082887172698975,2035.777333,2049.0
3,6144,3.1950202,0.28777819871902466,368,0.005091043,6144,-0.00899809,2.5236285,0.06430664,11.742794513702393,2020.4358465,2049.0
4,8192,6.2620173,0.005671024322509766,383,0.005176374,8192,-0.0056194738,2.5111156,0.05732422,17.294073820114136,2025.4791186666669,2049.0
5,10240,7.9338255,-0.009148955345153809,385,0.0065872697,10240,-0.0063460157,2.496603,0.08725586,22.641544103622437,2029.71554375,2049.0
6,12288,9.320215,0.2288151979446411,380,0.0050660153,12288,-0.005872326,2.4935203,0.061914064,27.9600830078125,2029.347722,2049.0
7,14336,8.451175,0.2197306752204895,390,0.007138534,14336,-0.01034595,2.488909,0.09438477,33.33958458900452,2026.5663193333332,2049.0
8,16384,11.696283,0.0048032402992248535,346,0.002798612,16384,-0.0033452422,2.4696727,0.018310547,38.57933568954468,2028.428045857143,2049.0
9,18432,18.282787,0.7079375088214874,380,0.0030416355,18432,-7.682377e-05,2.4631636,0.023144532,44.49748206138611,1809.3220587777778,1826.2222222222222
10,20480,29.2302,0.7879405468702316,362,0.0025885548,20480,-0.0026042573,2.4704018,0.024853516,49.876227140426636,1534.73043875,1548.25
11,22528,39.68609,0.8232586830854416,325,0.001805469,22528,-0.002821276,2.4836543,0.0147949215,55.533823013305664,1211.493789,1221.9411764705883
12,24576,31.781734,0.7669489234685898,334,0.0018530088,24576,-0.0024833432,2.5043483,0.017431641,61.83205533027649,1136.4491083,1145.8
13,26624,20.227108,-0.010613799095153809,341,0.005572528,26624,-0.0028952188,2.5335338,0.06347656,67.95101165771484,1179.5336756666668,1188.8095238095239
14,28672,18.560623,0.11091142892837524,350,0.0037993595,28672,-0.00081844645,2.558847,0.045947265,73.95750951766968,1217.9173843636365,1227.909090909091
15,30720,28.897507,0.7807620763778687,330,0.0022878046,30720,-0.0017972251,2.567019,0.01586914,79.80666089057922,1156.0778456,1165.52
16,32768,24.347475,0.7037918865680695,322,0.0033852947,32768,-0.0015751064,2.5701356,0.040966798,86.00690579414368,1147.393606851852,1156.5555555555557
17,34816,29.776821,0.8780600130558014,307,0.0027099177,34816,-0.0029825552,2.5712485,0.026220703,92.36271047592163,1070.6249238064515,1079.0967741935483
18,36864,19.89329,0.0022745728492736816,346,0.0044707777,36864,-0.0017953776,2.582355,0.05283203,99.02192997932434,1100.88975921875,1109.40625
19,38912,22.222614,0.7783697098493576,333,0.0041731745,38912,-0.0023976078,2.5796866,0.043603517,104.9255805015564,1097.4225707941175,1106.1176470588234
20,40960,26.745844,0.7253925502300262,309,0.0041495664,40960,-0.0042132777,2.569179,0.049072266,111.07633185386658,1096.3814455555555,1104.9166666666667
21,43008,11.518415,0.9591513685882092,275,0.0028424843,43008,-0.0027197339,2.5636616,0.029736329,117.69973134994507,1066.0358948974358,1075.0
22,45056,19.836508,0.0010116100311279297,348,0.0036700524,45056,-0.0020370542,2.5661404,0.045410156,125.13796663284302,1090.093057,1099.35
23,47104,19.932941,0.0014289021492004395,388,0.005127322,47104,-0.0017162533,2.575296,0.06508789,131.01832628250122,1112.9927885853658,1122.5121951219512
24,49152,20.11486,-0.029964089393615723,321,0.004505052,49152,-0.0038064953,2.5858128,0.05317383,136.28565526008606,1135.0035574285714,1144.5714285714287
25,51200,34.592728,0.8947962075471878,254,0.0037886247,51200,-0.005699782,2.5937903,0.046142578,142.66566228866577,1064.094204106383,1073.4468085106382
26,53248,19.892046,-0.0006620883941650391,342,0.0038084188,53248,-0.0003320769,2.5934649,0.042626955,150.733717918396,1084.3135037291668,1093.7708333333333
27,55296,22.088516,0.7987073510885239,311,0.0033950768,55296,-0.002822448,2.5976627,0.03569336,156.70763158798218,1083.54104888,1093.12
28,57344,24.969805,0.86915023624897,293,0.0015914126,57344,-0.002658074,2.6015258,0.008105469,163.28458905220032,1064.1270977924528,1073.6603773584907
29,59392,19.743235,0.007774174213409424,342,0.003344388,59392,0.0002212412,2.6048036,0.029638672,170.26126074790955,1082.063446333333,1091.7222222222222
30,61440,19.841736,0.013166189193725586,380,0.004121595,61440,-0.0030435328,2.604044,0.047851562,176.24206352233887,1099.443147781818,1109.1272727272728
31,63488,25.111858,0.8805486038327217,352,0.0042319233,63488,-0.0027639852,2.6141145,0.048291016,181.62871170043945,1081.0456823793104,1090.5862068965516
32,65536,19.670942,0.022159874439239502,409,0.005166477,65536,0.00078069017,2.615605,0.061914064,187.44596076011658,1097.195859542373,1106.8305084745762
33,67584,22.061193,0.8173670917749405,373,0.004017843,67584,-0.00022635504,2.6185699,0.046923827,192.4462194442749,1096.2143607868852,1105.704918032787
34,69632,23.150723,0.8240568935871124,340,0.0040380354,69632,-0.0037530754,2.6274796,0.049853515,197.9370174407959,1095.201277111111,1104.857142857143
35,71680,1.153504,0.9879006277769804,347,0.008693142,71680,-0.005028109,2.624464,0.12250976,203.9508147239685,1079.973698015625,1089.5625
36,73728,19.964931,0.009653985500335693,384,0.003149767,73728,-0.0014928727,2.6486669,0.032324217,209.84574723243713,1094.6438390615383,1104.323076923077
37,75776,25.98779,0.9072724208235741,323,0.0028610376,75776,-0.0019740644,2.6812148,0.030957032,215.17585563659668,1109.0232316515148,1118.6363636363637
38,77824,1.3568261,0.9909176751971245,301,0.0033190395,77824,-0.0024624066,2.6846168,0.032080077,221.50660061836243,1120.7506320597013,1131.0
39,79872,0.27061492,0.9415943920612335,275,0.009999827,79872,-0.017432984,2.6689641,0.15180664,228.2945761680603,1133.698306867647,1144.5
40,81920,7.4312105,0.9390911310911179,291,0.0039511244,81920,-0.0050289035,2.6617634,0.036376953,235.72239422798157,1132.0980479,1143.0285714285715
41,83968,20.095512,-0.025589942932128906,371,0.0016044087,83968,-0.0008778529,2.6676123,0.01118164,242.73761010169983,1144.8756233943661,1155.7887323943662
42,86016,19.883736,0.005212068557739258,357,0.0019990765,86016,-0.00060248,2.6804154,0.015917968,248.24744367599487,1157.2785037777778,1168.1944444444443
43,88064,18.657736,0.0748947262763977,384,0.0047987145,88064,-0.0020658977,2.6871073,0.053271484,253.98159289360046,1169.3253358630136,1180.2602739726028
44,90112,21.017117,0.8141391277313232,343,0.0022845503,90112,-0.00135643,2.6986423,0.019580077,259.3047409057617,1166.68197792,1177.6
45,92160,19.7921,0.022056162357330322,363,0.003361985,92160,-0.0010067323,2.7039957,0.03378906,265.2637207508087,1178.2076055657897,1189.0657894736842
46,94208,22.24828,0.8266272246837616,300,0.0033824567,94208,-0.0032611247,2.702142,0.038623046,270.89732003211975,1175.946011474359,1186.7307692307693
47,96256,23.473005,0.8118705153465271,313,0.0029171202,96256,-0.0020135543,2.706875,0.029345702,277.72364139556885,1173.6033971875,1184.3125
48,98304,19.951038,0.011279404163360596,318,0.0023881875,98304,-0.0009052342,2.7115903,0.023242187,284.26461815834045,1184.1285534320987,1194.9876543209878
49,100352,20.132055,0.003157377243041992,375,0.0045837546,100352,-0.0013536033,2.7160487,0.049609374,290.6896724700928,1194.589245097561,1205.4024390243903
50,102400,28.218182,0.908164843916893,261,0.0021249542,102400,-0.0025318195,2.7222407,0.019921875,296.1393804550171,1167.215112232558,1177.7906976744187
51,104448,20.183392,-0.005646347999572754,358,0.002617639,104448,-0.0019340145,2.735646,0.02861328,303.96387243270874,1177.2715737701149,1187.8045977011495
52,106496,23.182758,0.8163903057575226,304,0.007416663,106496,-0.0054937587,2.7457836,0.103125,309.6850154399872,1175.3531800561798,1185.808988764045
53,108544,18.232403,0.14429843425750732,350,0.0016797396,108544,-0.0007002208,2.7504866,0.013769532,316.4167866706848,1184.815918522222,1195.4
54,110592,3.5373032,0.9845797847956419,351,0.0029266682,110592,-0.0006079289,2.7332187,0.026416015,322.2587683200836,1193.6629230109888,1204.7802197802198
55,112640,29.492123,0.9149943217635155,189,0.004472817,112640,-0.005054608,2.718535,0.05317383,328.08976769447327,1160.34829003125,1171.4583333333333
56,114688,20.208467,-0.005295395851135254,359,0.0027094397,114688,-0.00045930658,2.7180243,0.024951171,338.9221498966217,1169.4333102371133,1180.5051546391753
57,116736,12.958878,0.5703125596046448,334,0.0050098123,116736,-0.0064940127,2.7248347,0.061865233,344.6261191368103,1178.0893933265306,1189.3673469387754
58,118784,20.22231,-0.018659472465515137,346,0.0031731552,118784,-0.0008487754,2.73691,0.039160155,350.7436349391937,1186.7521170202021,1198.050505050505
59,120832,22.127132,0.8284408003091812,324,0.0027254475,120832,-0.0030434183,2.7485242,0.029101562,356.649108171463,1176.30983681,1187.63
60,122880,3.62053,0.9871481750160456,265,0.0024046036,122880,-0.00345471,2.7631085,0.023095703,362.96544790267944,1119.81246192,1130.7
61,124928,18.392044,0.17500245571136475,376,0.0033960273,124928,-0.0019415334,2.779219,0.036865234,370.68645906448364,1119.80124055,1130.7
62,126976,20.237812,-0.033049941062927246,391,0.0037207678,126976,-0.00064705283,2.8186557,0.038769532,376.12658071517944,1120.09489903,1130.7
63,129024,19.37611,0.05908036231994629,416,0.0041170497,129024,-0.0014559994,2.8407385,0.04609375,381.3601679801941,1119.90955907,1130.7
64,131072,19.933071,0.016404807567596436,413,0.0024835882,131072,-0.0013400532,2.85636,0.025439452,386.2837965488434,1119.84281575,1130.7
65,133120,20.210167,-0.020626187324523926,339,0.0031264224,133120,-4.158589e-05,2.8695626,0.036474608,391.2381067276001,1139.81869745,1150.75
66,135168,22.34537,0.8211907148361206,320,0.0026592084,135168,-0.0032982428,2.8772626,0.028320312,397.2627623081207,1140.95446326,1152.09
67,137216,19.613657,0.03395646810531616,372,0.004653332,137216,-0.0018238617,2.8874474,0.057958983,403.6619942188263,1160.8277385200001,1172.11
68,139264,20.055727,0.01389014720916748,430,0.0021491328,139264,-0.0010774166,2.9043438,0.022558594,409.1582260131836,1160.78213424,1172.11
69,141312,2.283622,0.9800027795135975,421,0.0021151693,141312,-0.0018142376,2.9286242,0.021533202,413.9126057624817,1177.3210128800001,1189.0
70,143360,19.889528,0.02572476863861084,407,0.0029932787,143360,-0.00071406306,2.9540465,0.031640626,418.7682011127472,1197.24496131,1209.08
71,145408,20.228065,-0.0127716064453125,392,0.0036697872,145408,-0.0018214176,2.9569273,0.043554686,423.8000638484955,1217.32821796,1229.23
72,147456,22.431057,0.8008144795894623,346,0.0012063803,147456,-0.0010129248,2.9564984,0.0105957035,429.01734471321106,1218.86702901,1230.93
73,149504,20.098629,-0.002306342124938965,392,0.0029598607,149504,-0.0013375772,2.961023,0.029101562,434.9210698604584,1238.70126285,1250.91
74,151552,20.003622,0.003016531467437744,327,0.0063900454,151552,-0.0015367232,2.9732432,0.080029294,440.13345313072205,1258.5454872999999,1270.97
75,153600,21.688263,0.8306844383478165,287,0.0025781838,153600,-0.0021757812,2.9866614,0.023925781,446.3831431865692,1240.17853458,1252.65
76,155648,22.599812,0.8520819991827011,306,0.0032092244,155648,-0.0037272298,2.9895005,0.035205077,453.5138294696808,1242.66075646,1255.23
77,157696,20.002352,0.00390470027923584,430,0.0022090347,157696,0.0005316981,2.9883988,0.017382812,460.1855387687683,1262.64047543,1275.32
78,159744,25.153582,0.8869600594043732,289,0.0042779823,159744,-0.0027905968,2.9946203,0.05258789,464.9413421154022,1246.12095548,1258.92
79,161792,23.511106,0.9043761044740677,257,0.0032562304,161792,-0.006698632,2.9919624,0.03491211,472.00457787513733,1269.2154793399998,1282.37
80,163840,10.605731,0.7829978317022324,338,0.0022581746,163840,-0.0022556814,2.98765,0.019628907,479.9706950187683,1268.87915675,1282.37
81,165888,7.720015,0.975196048617363,265,0.004088746,165888,-0.0057811467,2.9787126,0.04399414,486.0251805782318,1253.52749024,1267.13
82,167936,20.338001,0.8826621621847153,290,0.0017840278,167936,-0.0016722914,2.9675176,0.016015625,493.7433383464813,1256.7559486599998,1270.57
83,169984,12.360367,0.9571270793676376,244,0.0019427541,169984,-0.0025971506,2.9698608,0.016308594,500.78729820251465,1261.73029173,1275.83
84,172032,20.790226,0.08456069231033325,274,0.0084542995,172032,-0.0068119415,2.961018,0.118457034,509.1601815223694,1281.2265519100001,1295.45
85,174080,7.465042,0.9723386093974113,262,0.0038431622,174080,-0.0056496346,2.9494562,0.038916014,516.6160206794739,1272.3251315,1286.75
86,176128,12.991409,0.9342624098062515,343,0.004234577,176128,-0.0024984113,2.9452434,0.04941406,524.4288201332092,1263.9831842700003,1278.83
87,178176,30.661596,0.75013567507267,140,0.0059712795,178176,-0.01123118,2.94362,0.08271484,530.3864696025848,1263.4350925,1278.83
88,180224,2.4013462,0.9900510916486382,400,0.0064690197,180224,-0.0038106707,2.9531007,0.08115234,545.0130310058594,1277.5550493399999,1293.29
89,182272,2.6362662,0.9748685043305159,400,0.0062606833,182272,-0.003143205,2.9732075,0.07929687,550.1327168941498,1296.8446940000001,1312.85
90,184320,11.80467,0.9327695742249489,145,0.0043840585,184320,-0.005754868,2.982469,0.05229492,555.2527418136597,1306.0906189500001,1322.4
91,186368,47.942,0.6571085155010223,127,0.0046427725,186368,-0.007893729,2.9797766,0.057373047,569.2866668701172,1325.2599663200003,1342.02
92,188416,13.587149,0.9589496664702892,276,0.0009698636,188416,-0.0020977966,2.9768207,0.0053710938,585.3119356632233,1314.2003587,1332.22
93,190464,1.2609127,0.9954195385798812,267,0.006731714,190464,-0.0046411715,2.9757442,0.08881836,592.7075741291046,1315.04093018,1333.49
94,192512,18.200583,0.47683626413345337,145,0.005211906,192512,-0.0037958338,2.9768233,0.06850586,600.3639876842499,1334.2633603800004,1352.97
95,194560,12.228598,0.9429575279355049,190,0.004966007,194560,-0.0070830183,2.9759398,0.06523438,614.4381787776947,1304.83933919,1323.8
96,196608,26.925644,0.8736252337694168,162,0.005038876,196608,-0.0033873196,2.971336,0.06533203,625.2057402133942,1307.48974225,1327.35
97,198656,19.832657,0.010094404220581055,180,0.0052455207,198656,-0.001824759,2.9642596,0.06748047,637.8002185821533,1307.3616356200002,1327.35
98,200704,0.8267497,0.9933542408980429,151,0.003034276,200704,-0.0014387008,2.9513927,0.029248048,649.1768622398376,1295.19128882,1315.44
99,202752,21.670097,0.9186852350831032,196,0.0028816015,202752,-0.0018041553,2.9463956,0.027441407,662.7304539680481,1301.45048672,1322.04
100,204800,20.610857,0.8688274025917053,194,0.0073418715,204800,-0.0035083357,2.9389465,0.10258789,673.1446573734283,1306.9943285999998,1328.0
101,206848,0.5879829,0.9976331465877593,445,0.006509273,206848,-0.0047861347,2.9356415,0.07973633,683.6653275489807,1284.0118816499999,1305.08
102,208896,0.8055994,0.9964364734478295,181,0.00647908,208896,-0.00793857,2.938386,0.08320312,688.264395236969,1255.60200514,1276.5
103,210944,20.74419,-0.004039645195007324,140,0.008924594,210944,-0.008768933,2.9361174,0.115185544,699.552074432373,1274.6497767100002,1295.62
104,212992,20.250729,-0.08249008655548096,142,0.007348557,212992,-0.006107345,2.9302564,0.103710935,714.1270275115967,1274.37527568,1295.62
105,215040,20.727064,0.9109867587685585,239,0.0013887081,215040,-0.00097298657,2.9232762,0.006640625,728.4819297790527,1246.26333388,1267.98
106,217088,2.3584476,0.9908584831282496,430,0.0029464294,217088,-0.0016219266,2.9277542,0.029589843,737.044105052948,1241.01938398,1263.19
107,219136,2.924259,0.993134431540966,364,0.00413685,219136,-0.006039274,2.9470725,0.045654297,741.8005692958832,1215.07860862,1237.93
108,221184,1.6210855,0.9840458203107119,145,0.012872775,221184,-0.016223721,2.9743042,0.184375,747.4261195659637,1201.28796376,1224.2
109,223232,19.366669,0.018571555614471436,138,0.008610931,223232,-0.0059614927,2.9860997,0.11601563,761.5035321712494,1201.0686936099999,1224.2
110,225280,21.021091,0.9390512183308601,375,0.0017586449,225280,-0.0010467472,2.9860206,0.012304688,776.3109879493713,1213.3638818200002,1237.18
111,227328,0.5979835,0.997149576433003,220,0.0021144461,227328,-0.0024284353,2.9948268,0.01796875,781.7587127685547,1186.115511,1210.34
112,229376,20.589907,-0.01885855197906494,140,0.0029278393,229376,-0.0023908028,2.9969163,0.030615235,791.0655338764191,1205.04410444,1229.34
113,231424,19.578285,-0.013563871383666992,141,0.0059998026,231424,-0.0015950411,2.9975142,0.07509766,805.6133348941803,1205.17968092,1229.34
114,233472,20.540714,0.8866189792752266,184,0.002368598,233472,-0.00066790543,2.9962182,0.020410156,820.1100788116455,1188.67883749,1212.41
115,235520,0.05564977,0.9994850846705958,139,0.011022856,235520,-0.012563726,2.990426,0.120947264,831.2002580165863,1192.60266678,1216.55
116,237568,21.35859,0.9132723659276962,175,0.0017639501,237568,-0.001341725,2.9921832,0.016796876,845.879093170166,1215.4483584,1239.79
117,239616,20.10902,0.9194933921098709,153,0.0038639563,239616,-0.0039935065,3.0011005,0.042041015,857.5309216976166,1184.34883204,1208.74
118,241664,19.643711,-0.0033475160598754883,119,0.001315701,241664,-0.0002401624,2.9951503,0.0072265626,870.8592660427094,1184.4532950700002,1208.74
119,243712,1.1985576,0.9972378402017057,298,0.0050953547,243712,-0.0047381823,2.9868479,0.06333008,887.9837386608124,1196.95748476,1222.07
120,245760,19.741543,-0.007219433784484863,121,0.004986738,245760,-0.0028264113,2.979035,0.061621092,894.8526270389557,1197.0550051500002,1222.07
121,247808,20.013695,0.10506290197372437,117,0.0035693906,247808,-0.0022442895,2.969726,0.033691406,911.7726039886475,1197.0068539,1222.07
122,249856,3.361013,0.994065176229924,383,0.0043433104,249856,-0.0039311247,2.9905925,0.05126953,929.1626255512238,1132.05001831,1157.62
123,251904,0.6774829,0.9978566956706345,213,0.0039646192,251904,-0.005193533,3.0280309,0.048339844,934.5033020973206,1089.0900294199998,1114.83
124,253952,20.121899,0.8811169043183327,155,0.0031825893,253952,-0.0013547656,3.0467474,0.032958984,944.1019177436829,1073.6232356300002,1099.54
125,256000,20.63381,0.7457294464111328,149,0.0026653265,256000,-0.0012066392,3.0463805,0.022509765,957.2714309692383,1073.56323872,1099.54
126,258048,0.5084384,0.9864486958831549,143,0.0041666413,258048,-0.006299989,3.0351148,0.046875,970.9823579788208,1075.0232515199998,1101.07
127,260096,18.841894,0.9268736094236374,176,0.0027565083,260096,-0.0030327465,3.02105,0.030908203,985.266884803772,1044.47781368,1070.53
128,262144,19.979374,0.8759205639362335,139,0.0026359167,262144,-0.0009317867,3.0233598,0.02861328,996.8975739479065,1046.8074376499999,1073.03
129,264192,19.775867,0.0017827153205871582,129,0.005384348,264192,-0.0019197538,3.0306652,0.07197265,1011.6171181201935,1064.35196907,1090.59
130,266240,19.761133,0.007548630237579346,172,0.0034817185,266240,-0.0006186704,3.0360963,0.03540039,1027.4580390453339,1064.35171681,1090.59
131,268288,0.2748839,0.9985649742884561,205,0.0047253473,268288,-0.0036015764,3.0460002,0.05493164,1039.334697008133,1055.57911274,1082.11
132,270336,20.055157,-0.009746670722961426,145,0.004595461,270336,-0.0020146742,3.0473511,0.051855467,1049.2978756427765,1073.9988346499997,1100.53
133,272384,20.35763,0.8654660731554031,159,0.0039176503,272384,-0.002408205,3.0347471,0.044873048,1063.3825016021729,1075.17469399,1101.78
134,274432,19.39185,0.8745183646678925,191,0.0052147,274432,-0.003884452,3.024343,0.06269531,1076.2498104572296,1079.42169116,1105.96
135,276480,0.16960587,0.9982949898112565,164,0.0047367895,276480,-0.003393914,3.0308893,0.053125,1086.939143896103,1079.06527418,1105.49
