policy_entropy,approxkl,ep_len_mean,ep_reward_mean,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps
1.4205161,0.0016171539,472.5,269.36396875,2048,1,0.017672598361968994,0.008447265,45.97126,-0.0007579642,2048,3.0994415283203125e-06,412
1.4258573,0.0026938177,489.42857142857144,273.7965572857143,4096,2,0.030225098133087158,0.0265625,36.98406,-0.0021235975,4096,4.9627697467803955,433
1.426563,0.0026672208,570.0,298.88138069999997,6144,3,0.04165464639663696,0.026171874,31.806767,-0.0017662023,6144,9.68620228767395,451
1.4173487,0.004368798,588.4166666666666,305.52693316666665,8192,4,0.08204019069671631,0.050585937,27.29511,-0.0039624493,8192,14.222794771194458,452
1.4161087,0.0018487364,612.4375,312.08032537500003,10240,5,0.10704046487808228,0.014453125,37.289494,-0.0021129071,10240,18.748676538467407,412
1.4163563,0.0028171611,696.9411764705883,331.3572814117647,12288,6,0.08386695384979248,0.023486327,13.678215,-0.0012452863,12288,23.71811866760254,429
1.4232687,0.0035436433,729.8888888888889,337.5616865555555,14336,7,0.07316595315933228,0.039208986,15.118248,-0.0032910008,14336,28.484688758850098,406
1.437232,0.003568881,788.0,348.3782687894737,16384,8,-0.033180952072143555,0.035888672,10.291776,-0.0025126538,16384,33.52327036857605,436
1.4466898,0.0033671898,787.7727272727273,344.3478914090909,18432,9,0.1220209002494812,0.039648436,29.655361,-0.0026223245,18432,38.21500539779663,452
1.4439275,0.002781374,842.6086956521739,352.99342952173913,20480,10,0.09684950113296509,0.025097657,10.481267,-0.002521072,20480,42.73786425590515,457
1.4427395,0.0025256048,864.92,355.04017616,22528,11,0.17556482553482056,0.025097657,22.776716,-0.0021451686,22528,47.211538553237915,454
1.4479007,0.0032692074,811.9,345.7453668333333,24576,12,0.24256783723831177,0.027978515,38.347954,-0.001601172,24576,51.72050404548645,449
1.4519131,0.0030378036,818.96875,352.81970146875,26624,13,0.2672826647758484,0.029345702,25.49429,-0.0010509014,26624,56.27305054664612,439
1.4570553,0.0016911955,806.8857142857142,352.7109542571429,28672,14,0.3545955419540405,0.009960937,27.11622,-0.00039159058,28672,60.929742097854614,450
1.461886,0.003675025,753.125,337.083716125,30720,15,0.3851814866065979,0.045800783,36.325935,-0.0027575984,30720,65.48109126091003,418
1.4728001,0.000772334,755.2790697674419,342.5441982558139,32768,16,0.47335076332092285,0.002783203,27.701029,-0.00034408475,32768,70.38109302520752,430
1.471844,0.0035481788,736.4893617021277,337.7468686382978,34816,17,0.48340409994125366,0.039990235,24.905315,-0.003230711,34816,75.13765954971313,445
1.4720118,0.0045404853,707.8461538461538,329.3572764230769,36864,18,0.5709640979766846,0.056005858,27.644693,-0.0053020287,36864,79.73509979248047,452
1.4715006,0.002158064,700.377358490566,326.6538300566037,38912,19,0.22676819562911987,0.017382812,9.678682,-0.0014486591,38912,84.26149606704712,447
1.4540365,0.003057758,725.3518518518518,331.70110446296286,40960,20,-0.01799607276916504,0.028515626,6.687017,-0.004217074,40960,88.84349417686462,450
1.4397336,0.0031696532,749.4181818181818,336.63109103636356,43008,21,0.31154078245162964,0.03203125,7.247617,-0.003961826,43008,93.39212822914124,460
1.4207942,0.0013507961,772.625,341.5323528035715,45056,22,0.3960672616958618,0.005859375,6.4169374,-0.0012109147,45056,97.84304141998291,463
1.4041753,0.002285879,786.7068965517242,343.262508,47104,23,0.29855167865753174,0.01586914,10.405213,-0.0009518087,47104,102.25843048095703,474
1.408717,0.005990902,808.1016949152543,347.48331203389836,49152,24,0.32904475927352905,0.07895508,5.6734614,-0.0048828623,49152,106.57764172554016,453
1.4201739,0.004202763,828.7833333333333,351.9393350166667,51200,25,0.45104581117630005,0.050097656,5.0380945,-0.0031555383,51200,111.09677505493164,467
1.4189464,0.0022446073,848.7868852459017,356.1403408196722,53248,26,0.48971182107925415,0.018066406,7.259156,-0.0019696425,53248,115.49121332168579,477
1.4223652,0.0021325457,868.1451612903226,360.23845769354847,55296,27,0.5451536476612091,0.019433593,4.7813945,-0.0010240964,55296,119.78437280654907,470
1.4275917,0.002073643,876.40625,360.51879678125,57344,28,0.5073927342891693,0.01850586,11.26868,-0.0015535407,57344,124.14184880256653,469
1.4245039,0.0056958497,894.4461538461538,364.8228114,59392,29,0.5856707692146301,0.072705075,5.4284368,-0.005377893,59392,128.5058410167694,475
1.4053004,0.0016884503,911.939393939394,369.0055163030303,61440,30,0.509964644908905,0.010205078,5.821103,-0.0014566727,61440,132.81366729736328,472
1.3891346,0.004178857,928.9104477611941,373.6215038208955,63488,31,0.5291127562522888,0.044970702,5.859376,-0.0021939008,63488,137.14530611038208,464
1.3982157,0.0026723475,945.3823529411765,378.4932466323529,65536,32,0.5244517028331757,0.02866211,6.394934,-0.0026717596,65536,141.5516164302826,457
