policy_entropy,approxkl,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps,ep_len_mean,ep_reward_mean
5.553382,0.0039076298,2048,1,0.8599468767642975,0.040966798,0.00983222,-0.0030568936,2048,3.0994415283203125e-06,397,,
5.539044,0.0023798873,4096,2,0.026041746139526367,0.01845703,2.3122542,-0.0018087843,4096,5.151489019393921,418,2049.0,2034.634337
5.51182,0.0057805916,6144,3,0.02156078815460205,0.06621094,4.32504,-0.007953965,6144,10.042155981063843,414,2049.0,2033.856802
5.474919,0.007695912,8192,4,0.015355408191680908,0.087695315,6.165695,-0.007914391,8192,14.981151819229126,401,2049.0,2034.4407
5.4550676,0.010079061,10240,5,0.008779048919677734,0.14238282,7.8388987,-0.0094945785,10240,20.08612370491028,414,2049.0,2035.393287
5.4378476,0.009319519,12288,6,0.013624191284179688,0.1265625,9.266375,-0.009712678,12288,25.02406096458435,428,2049.0,2036.3501482
5.410451,0.0074866265,14336,7,0.006537079811096191,0.09257813,10.604447,-0.009669153,14336,29.801217794418335,419,2049.0,2037.6086231666668
5.3852396,0.005568271,16384,8,0.003556370735168457,0.064648435,11.799693,-0.0065121586,16384,34.680492877960205,404,2049.0,2038.8368252857144
5.3743734,0.005066414,18432,9,0.0013097524642944336,0.0609375,12.860634,-0.004954756,18432,39.740171909332275,408,2049.0,2039.4775882499998
5.365973,0.0045756507,20480,10,0.0030693411827087402,0.051855467,13.7080765,-0.0034784947,20480,44.74848508834839,414,2049.0,2039.9369456666666
5.357637,0.0052799033,22528,11,-0.0011943578720092773,0.06621094,14.553444,-0.0052482774,22528,49.68737721443176,402,2049.0,2040.0609591
5.3446836,0.0046300376,24576,12,2.7358531951904297e-05,0.05415039,15.224963,-0.0015483767,24576,54.7753427028656,397,2049.0,2039.8983027272727
5.3366127,0.0020974213,26624,13,-0.0026901960372924805,0.01875,15.763231,-0.0018769704,26624,59.92372179031372,405,2049.0,2039.7023797499999
5.3360863,0.0026015246,28672,14,0.8214097023010254,0.023388673,21.45461,-0.001378599,28672,64.9689884185791,396,1779.8,1771.1511956666666
5.336674,0.0027387654,30720,15,-0.0061959028244018555,0.030957032,20.29113,-0.00021689192,30720,70.13019394874573,381,1796.625,1787.5369150625
5.3384533,0.005578648,32768,16,0.011875152587890625,0.070214845,20.083132,-0.002785549,32768,75.50312089920044,397,1811.4705882352941,1801.7798680588235
5.336875,0.0031115457,34816,17,0.004389464855194092,0.0362793,20.059294,-0.00028671656,34816,80.65606331825256,396,1824.6666666666667,1814.6350921666665
5.338849,0.005163858,36864,18,0.6815887987613678,0.061523438,22.006413,-0.0015814283,36864,85.81718802452087,424,1746.0,1735.8913213
5.3450117,0.0019691281,38912,19,0.01001197099685669,0.015332031,19.901875,-0.00013415964,38912,90.63848543167114,420,1760.4285714285713,1749.891879238095
5.358882,0.0022540742,40960,20,0.035182833671569824,0.020458985,19.564913,0.00010327671,40960,95.51442170143127,396,1773.5454545454545,1762.4884233636365
5.365039,0.0030056976,43008,21,0.6661265194416046,0.030078124,22.419882,-0.0016482718,43008,100.67671537399292,407,1712.25,1701.135127875
5.3580284,0.0048415223,45056,22,0.04907733201980591,0.057666015,19.409157,-0.0020362646,45056,105.70773124694824,413,1725.72,1714.21137492
5.3616776,0.004155866,47104,23,0.6797129511833191,0.04550781,21.843025,-0.0009732024,47104,110.65860724449158,384,1674.7777777777778,1663.3105449259263
5.366475,0.0027410334,49152,24,0.04157364368438721,0.022558594,19.313217,-0.00040305158,49152,115.9789764881134,379,1688.142857142857,1676.2774476428574
5.361692,0.004113778,51200,25,0.09988188743591309,0.046777345,18.71035,-0.001052288,51200,121.37508249282837,408,1700.5862068965516,1688.1669370689658
5.3623295,0.0024027568,53248,26,0.043408215045928955,0.024121094,19.350273,0.00055231823,53248,126.40415573120117,409,1712.2,1699.469992366667
5.3639402,0.003003458,55296,27,0.0658159852027893,0.029785156,19.06207,0.00036668548,55296,131.40894484519958,428,1723.0645161290322,1709.9081931612905
5.361182,0.0026423633,57344,28,0.022459089756011963,0.020703126,19.420858,0.00026776246,57344,136.18875646591187,408,1733.25,1719.84971421875
5.357104,0.0033407193,59392,29,0.058733344078063965,0.03803711,19.131594,-0.0016614108,59392,141.19773864746094,405,1742.8181818181818,1729.0341235151516
5.3495474,0.004063095,61440,30,0.06717872619628906,0.041796874,18.968256,-0.0015571103,61440,146.24580454826355,412,1751.8235294117646,1737.7969790000002
5.338414,0.0049047708,63488,31,0.674210399389267,0.06367187,21.912245,-0.0032301794,63488,151.2102119922638,410,1712.1666666666667,1698.207169277778
5.3364706,0.006991298,65536,32,0.799348458647728,0.09462891,24.749157,-0.0029275191,65536,156.19796061515808,392,1634.6153846153845,1621.079919051282
5.3416553,0.0049480717,67584,33,0.11002141237258911,0.057617188,18.342918,-0.0026896317,67584,161.41878175735474,414,1644.975,1631.112482025
5.3440676,0.0039148447,69632,34,0.10995215177536011,0.041796874,18.572166,-8.1579805e-05,69632,166.36498141288757,402,1654.8292682926829,1640.711491609756
5.350127,0.003315722,71680,35,0.029886841773986816,0.034960937,19.515755,0.00074336334,71680,171.45850372314453,426,1664.2142857142858,1649.9240632619046
5.3649893,0.0016072167,73728,36,0.056149840354919434,0.009960937,19.271694,0.0002506008,73728,176.26324772834778,402,1673.1627906976744,1658.6728823023254
5.360018,0.0026818076,75776,37,0.7024582922458649,0.026855469,21.119736,-0.0007410823,75776,181.35121059417725,408,1645.0,1630.5740991999996
5.3457313,0.0037643462,77824,38,0.0651739239692688,0.0390625,19.100138,-0.001102783,77824,186.36748909950256,403,1653.7826086956522,1639.1490278043475
5.339208,0.0035467178,79872,39,0.041520535945892334,0.038183592,19.465235,-0.00086879096,79872,191.44439673423767,413,1662.1914893617022,1647.4001366382975
5.345842,0.0040366948,81920,40,0.0633382797241211,0.048193358,19.305563,-0.0012052859,81920,196.3920202255249,417,1670.25,1655.3051588125
5.3539724,0.0076601417,83968,41,0.6794469356536865,0.10478516,21.935091,-0.0039360235,83968,201.30339670181274,403,1644.96,1630.2218983199998
5.3647304,0.0044030976,86016,42,0.01563096046447754,0.0546875,19.87176,-0.00062340184,86016,206.37496185302734,395,1652.8823529411766,1638.061314823529
5.3769484,0.0027892957,88064,43,0.018624186515808105,0.029882813,19.797367,-0.0010198597,88064,211.55567121505737,410,1660.5,1645.627492634615
5.3792906,0.0039393017,90112,44,0.012634873390197754,0.045410156,19.964022,-0.0004902047,90112,216.5486159324646,406,1667.8301886792453,1652.9068916226413
5.379063,0.0025664805,92160,45,0.011649370193481445,0.026660156,19.959965,0.0007959146,92160,221.58274388313293,410,1674.888888888889,1659.9670129629626
5.386951,0.0057376768,94208,46,0.02075403928756714,0.06967773,19.870459,-0.0029573168,94208,226.5775785446167,409,1681.6909090909091,1666.7789661454542
5.380677,0.0035560955,96256,47,0.004435300827026367,0.039941408,20.056925,-0.0013695576,96256,231.57559490203857,420,1688.25,1673.384675160714
5.379607,0.0047149276,98304,48,0.017871856689453125,0.062353514,20.007572,-0.0028108945,98304,236.45227527618408,404,1694.578947368421,1679.7385515263156
5.3882275,0.0029416548,100352,49,0.003069579601287842,0.031103516,20.22791,-0.0007259535,100352,241.51761531829834,400,1700.6896551724137,1685.9601682241378
