#{"t_start": 1747766032.0824823, "env_id": null}
r,l,t
2040.524849,2049,5.610809
2042.759546,2049,10.553134
2045.741662,2049,15.527977
2043.911355,2049,20.400502
26.953826,28,20.502644
26.961022,28,20.64136
2043.430331,2049,25.724621
2040.523277,2049,30.810028
25.947312,27,30.922059
2039.819861,2049,35.792179
26.857649,28,35.905516
25.938074,27,36.000731
2038.246961,2049,41.101155
26.935064,28,41.219627
27.913877,29,41.345929
26.95317,28,41.448272
26.976063,28,41.588836
2038.553295,2049,46.390838
28.846085,30,46.524986
25.969354,27,46.620537
2040.256501,2049,51.551564
29.897344,31,51.670533
2036.915033,2049,56.882665
25.961728,27,56.975085
25.898481,27,57.071409
2040.499813,2049,62.214276
26.061688,27,62.327348
2042.833843,2049,67.462044
25.973901,27,67.550125
25.942835,27,67.643674
25.910521,27,67.736215
2043.620827,2049,72.760574
2040.806348,2049,78.018281
26.881216,28,78.146486
2044.482293,2049,83.127084
25.900552,27,83.277628
2042.526528,2049,88.461545
25.902162,27,88.562407
25.952691,27,88.668986
2044.356009,2049,93.856279
2044.723769,2049,98.950145
2043.672686,2049,104.329554
2040.98922,2049,109.331533
25.051043,26,109.446036
26.001267,27,109.546297
25.928013,27,109.638154
25.923898,27,109.729235
2044.568637,2049,114.698148
2042.717415,2049,119.859708
25.886251,27,119.959535
2044.217326,2049,125.169691
27.953193,29,125.328548
25.888935,27,125.454008
2044.068487,2049,130.624814
2044.736246,2049,135.655638
2045.002744,2049,140.63232
27.943653,29,140.764543
26.914741,28,140.964458
2042.413535,2049,145.913802
2043.3256,2049,151.002717
27.025552,28,151.1244
2024.014773,2049,156.966868
27.962057,29,157.15936
25.930964,27,157.303333
2039.844646,2049,162.401324
2040.826963,2049,167.215574
2037.235923,2049,172.386415
2032.418071,2049,177.48405
2030.510837,2049,182.659111
25.967788,27,182.74983
2033.562259,2049,187.764889
2038.402529,2049,192.823378
2036.26721,2049,198.019949
2041.0761,2049,202.946998
26.908287,28,203.042701
2042.322896,2049,208.042059
2037.283215,2049,213.309466
26.933856,28,213.417819
2038.938187,2049,219.008455
28.887668,30,219.143298
26.850974,28,219.249683
2044.469398,2049,224.219114
2045.215577,2049,229.020442
27.821361,29,229.141497
32.711437,34,229.282704
27.855698,29,229.391565
2044.65167,2049,234.546505
2040.668858,2049,239.384572
27.921985,29,239.499723
2042.069114,2049,244.386765
2035.28921,2049,249.438103
2037.589914,2049,254.592276
32.730531,34,254.73948
25.954102,27,254.872193
27.82529,29,255.066364
27.819362,29,255.219933
2034.784316,2049,260.36397
2037.142565,2049,265.401455
2038.75195,2049,270.521842
27.9424,29,270.629982
27.870243,29,270.751761
43.601652,45,271.085233
35.816739,37,271.308728
29.783118,31,271.525549
2030.135814,2049,276.607135
2039.761834,2049,281.648041
2040.885785,2049,286.363447
2038.190323,2049,291.363159
2042.491855,2049,296.315447
2037.484319,2049,301.402493
30.775825,32,301.557018
2037.664509,2049,306.575907
2038.847115,2049,311.703956
2042.431063,2049,316.605145
749.581151,796,319.053619
2044.402856,2049,324.036861
2036.439828,2049,329.159611
37.691501,39,329.419907
2041.135186,2049,334.432285
2041.199705,2049,339.700192
2042.747814,2049,344.718234
30.835706,32,344.836144
2042.453795,2049,349.944493
40.676894,42,350.210707
2041.702372,2049,355.185111
2038.950833,2049,360.006739
28.729633,30,360.133312
41.457453,43,360.409043
2042.097398,2049,365.241214
33.716973,35,365.435149
29.870485,31,365.658403
2038.230062,2049,370.560909
39.742955,41,370.794213
2038.290309,2049,375.812714
44.140061,46,376.087363
2039.864568,2049,380.961906
70.200462,73,381.337602
43.758016,46,381.585624
2038.132818,2049,386.376328
96.554728,100,386.952933
2035.215428,2049,391.761765
2039.281512,2049,396.807213
51.498085,54,397.069211
2034.482773,2049,402.129568
2039.117452,2049,407.188451
2037.277056,2049,412.081329
102.976286,107,412.73532
44.867732,47,413.059474
2039.187341,2049,418.052547
2039.193393,2049,423.048912
2038.057599,2049,427.965288
2035.865731,2049,432.853593
97.79972,102,433.594976
2037.671058,2049,438.500191
2036.720278,2049,443.512272
100.691955,106,444.205733
2034.221596,2049,449.18663
2035.476284,2049,454.288898
114.315739,120,455.062863
2034.320979,2049,460.204175
68.179363,71,460.690477
2031.84752,2049,465.61747
2029.060136,2049,470.382413
102.289441,107,470.962081
1674.360388,1707,475.013612
2026.951504,2049,480.005106
2023.569851,2049,484.714969
756.513126,808,486.767792
105.734066,109,487.551275
87.277094,92,488.097593
80.612407,84,488.704121
48.927094,51,489.002238
2024.231874,2049,493.946209
2028.831943,2049,498.740728
2031.529459,2049,503.638532
2030.075914,2049,508.626017
2025.627724,2049,513.775961
2039.46915,2049,518.768893
77.100852,81,519.176265
2035.549475,2049,523.951628
2033.23951,2049,528.999916
85.164546,88,529.512275
78.285185,82,529.913573
2036.653652,2049,534.822039
105.414214,108,535.380595
2037.947769,2049,540.213841
2033.990036,2049,545.158833
2028.671639,2049,550.005345
102.053603,106,550.64213
106.22078,110,551.460851
92.306734,95,552.048088
2035.81971,2049,557.034101
2036.160976,2049,561.839085
110.606126,115,562.47898
2036.000591,2049,567.444795
2031.363785,2049,572.377601
90.949726,96,572.889815
2034.156323,2049,577.868311
2037.995349,2049,582.741338
101.036165,104,583.331285
2037.739973,2049,588.326534
2038.588811,2049,593.238621
2026.06119,2049,597.971786
2043.046428,2049,602.782837
176.988072,184,604.018003
144.225265,151,604.859862
1634.839952,1669,608.800079
2043.652929,2049,613.609203
2039.84598,2049,618.217997
1554.35244,2049,622.41378
2040.643569,2049,627.357986
2040.24573,2049,632.314015
2039.420639,2049,637.35365
2039.429851,2049,642.324251
70.811051,75,642.701751
2040.812539,2049,647.609851
175.566605,182,648.621126
112.941403,118,649.460529
91.020323,95,649.973398
2035.86153,2049,654.731266
2038.894284,2049,659.550873
85.678705,90,660.087318
2038.179908,2049,665.077092
169.816776,176,666.435164
127.153793,133,667.20712
2040.255033,2049,672.06967
2029.973175,2049,677.146057
112.084296,118,677.875885
123.633281,130,678.839934
2035.591039,2049,683.910325
152.681795,160,684.842002
2033.059049,2049,689.780372
2024.665003,2049,694.515407
108.057548,113,695.097096
2028.264103,2049,700.310381
2030.614299,2049,705.181893
117.44679,124,705.899811
2018.7196,2049,710.794711
142.183755,150,711.640331
2022.946423,2049,716.624538
211.866527,219,717.938522
2010.483058,2049,722.936168
2017.463999,2049,727.610554
2025.24827,2049,732.471893
