fps,ep_reward_mean,approxkl,serial_timesteps,policy_loss,value_loss,clipfrac,total_timesteps,n_updates,time_elapsed,policy_entropy,ep_len_mean,explained_variance
423,547.506729,0.0023185438,2048,-0.0020043196,2.7427247,0.027050782,2048,1,2.1457672119140625e-06,6.524316,585.0,0.977857194840908
435,987.4815339999999,0.0029768804,4096,-0.0029305078,26.851267,0.032080077,4096,2,4.839256048202515,6.5186257,1021.0,0.86910080909729
435,1011.3455686,0.0013644046,6144,-0.0020417436,3.9764397,0.01118164,6144,3,9.546730995178223,6.518715,1045.2,0.9321649521589279
416,1177.9393721666665,0.0009467901,8192,-0.000562246,19.287033,0.006787109,8192,4,14.253638982772827,6.5318174,1212.5,0.059022605419158936
424,1154.2709366249999,0.0011320343,10240,-0.0007072985,8.490984,0.011572266,10240,5,19.171472787857056,6.5410357,1188.75,0.9307309463620186
433,1249.989075,0.0023054867,12288,-0.0022893213,19.491488,0.022753906,12288,6,23.994465827941895,6.5489454,1284.3333333333333,0.025954484939575195
417,1266.1867198,0.0012138903,14336,-0.0013154307,2.10461,0.010839844,14336,7,28.71514582633972,6.559059,1301.8,0.973419850692153
414,1333.4958659090908,0.0016450714,16384,-0.0001578427,19.746216,0.012402344,16384,8,33.61802577972412,6.561303,1369.7272727272727,0.0053612589836120605
415,1389.8090155833333,0.001241117,18432,-0.000101659985,19.532509,0.008984375,18432,9,38.555440187454224,6.557041,1426.3333333333333,0.01887047290802002
213,1437.7727586153846,0.0023062376,20480,-0.0019370678,19.941301,0.026123047,20480,10,43.489388942718506,6.5547333,1474.2307692307693,-0.007701277732849121
168,1480.355528642857,0.0035845586,22528,-0.0010798167,20.024864,0.044287108,22528,11,53.07026958465576,6.5596223,1515.2857142857142,-0.005546689033508301
274,1517.3439074666667,0.0015168107,24576,0.00023382269,19.87331,0.01640625,24576,12,65.25451731681824,6.5622916,1550.8666666666666,-0.007222414016723633
436,1548.830489375,0.002350968,26624,-0.0020600916,19.732811,0.023388673,26624,13,72.72853207588196,6.5713587,1582.0,0.007651150226593018
