explained_variance,time_elapsed,value_loss,ep_len_mean,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy
0.8685013353824615,1.6689300537109375e-06,12.052612,555.5,2048,527,273.4081325,-0.0066087386,2048,1,0.004561864,0.052099608,3.5308437
0.8725270181894302,3.8859031200408936,13.728045,800.25,4096,539,448.81426650000003,-0.0035981543,4096,2,0.0024782517,0.02578125,3.5144432
0.8488795608282089,7.684322357177734,21.815302,840.5714285714286,6144,541,496.36204499999997,-0.0042390116,6144,3,0.004589485,0.053515624,3.5075061
0.9184873849153519,11.469837665557861,6.3915358,854.0,8192,541,501.579565,-0.003013096,8192,4,0.0032386214,0.035498045,3.5026283
0.820372685790062,15.2489173412323,21.23174,873.5454545454545,10240,530,517.4065590909091,-0.005432482,10240,5,0.0035215348,0.038330078,3.4926429
0.8458108603954315,19.1095073223114,16.049955,849.2857142857143,12288,436,494.6805007857143,-0.00019336713,12288,6,0.0019299344,0.020898437,3.4936223
0.8280974328517914,23.80091691017151,15.537456,818.1764705882352,14336,531,469.55608929411767,-0.0037558288,14336,7,0.0029453835,0.03461914,3.5001922
0.8826452195644379,27.651999711990356,11.0891695,832.0526315789474,16384,556,478.52679089473685,-0.0031485178,16384,8,0.0031308334,0.03540039,3.509299
0.8591492772102356,31.332305431365967,15.515863,869.9047619047619,18432,528,503.37276895238097,-0.001873867,18432,9,0.0040882835,0.043603517,3.5080159
0.8630110025405884,35.204278230667114,8.977089,923.5,20480,559,542.5119858636364,-0.0034036716,20480,10,0.0041843145,0.046875,3.4934993
0.7994036376476288,38.86249804496765,9.380354,972.4347826086956,22528,525,573.0216094347827,-0.004433587,22528,11,0.005661376,0.066748045,3.4875965
0.7820903658866882,42.760796308517456,8.147267,1017.2916666666666,24576,524,598.9695372916667,-0.0027996723,24576,12,0.004027439,0.047070313,3.4956214
0.7949984967708588,46.66547656059265,11.21708,1058.56,26624,544,627.5636914800001,-0.0028961364,26624,13,0.0036821116,0.04375,3.498701
0.8196413367986679,50.42784094810486,13.164327,1043.2222222222222,28672,544,616.1353288888889,-0.0045473315,28672,14,0.0036103386,0.041259766,3.5016346
0.8197638243436813,54.18971824645996,16.257442,997.6666666666666,30720,545,584.9934178666666,-0.0037511014,30720,15,0.0035785183,0.043359376,3.5054193
0.8891386538743973,57.942811012268066,10.040403,1031.5806451612902,32768,555,611.300884,-0.00078768644,32768,16,0.00336282,0.037841797,3.5016732
0.876750998198986,61.63093304634094,18.676664,1022.0294117647059,34816,567,608.3896369411766,-0.0013231796,34816,17,0.0038933898,0.040380858,3.4997013
0.6635329127311707,65.24102854728699,20.960423,930.4871794871794,36864,552,545.3369590256411,-0.0031667803,36864,18,0.0044877203,0.049365234,3.5112839
0.732649564743042,68.9467442035675,16.280458,948.3170731707318,38912,513,554.368646512195,-0.0039481656,38912,19,0.004330275,0.04838867,3.5232239
0.34068942070007324,72.9381742477417,30.792542,869.2765957446809,40960,529,500.18124248936164,-0.003406731,40960,20,0.0030832782,0.03125,3.5314136
0.35432374477386475,76.80805540084839,26.54419,793.4814814814815,43008,421,448.5624095925926,-0.008131778,43008,21,0.0049271323,0.05683594,3.5487266
0.5041298270225525,81.66784977912903,30.27505,760.8135593220339,45056,530,425.6886801694916,-0.010179822,45056,22,0.00386636,0.047460936,3.5662632
0.43733346462249756,85.53071546554565,25.24054,711.060606060606,47104,479,391.86913612121214,-0.0023717429,47104,23,0.002518379,0.026171874,3.5682244
0.3940492272377014,89.80353999137878,26.798294,671.8493150684932,49152,441,364.96584546575343,-0.0056611868,49152,24,0.0030669456,0.032080077,3.5635738
