n_updates,explained_variance,fps,ep_reward_mean,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,ep_len_mean,policy_entropy,value_loss
1,-0.33081769943237305,537,81.7193755,2048,1.6689300537109375e-06,0.0030029672,-0.0025099707,0.030810546,2048,436.5,1.4135371,4.606731
2,-0.0969153642654419,552,103.00568314285714,4096,3.811995506286621,0.0020884795,-0.0020425385,0.016210938,4096,524.8571428571429,1.4107984,5.386498
3,-0.5157657861709595,489,120.66932579999998,6144,7.520282030105591,0.0022934591,-0.0015588446,0.02084961,6144,587.1,1.4135565,5.7106676
4,0.026418447494506836,518,103.85440081249999,8192,11.706305027008057,0.003580407,-0.0039793802,0.040478516,8192,509.4375,1.423905,4.3235035
5,-0.10749125480651855,562,105.50758784210525,10240,15.65441370010376,0.0021941601,-0.0027530545,0.018115234,10240,507.36842105263156,1.4321641,5.8980722
6,-0.2866274118423462,536,124.76471409523808,12288,19.29374074935913,0.0040920535,-0.003938441,0.044287108,12288,578.9047619047619,1.4323714,7.0756555
7,0.3821191191673279,561,103.92654851724139,14336,23.113051176071167,0.0028835763,-0.0038751974,0.03022461,14336,490.51724137931035,1.4277743,3.0104544
8,0.10533452033996582,549,99.72362054545454,16384,26.75986647605896,0.0024502783,-0.0015458842,0.02446289,16384,472.5151515151515,1.4351981,4.2319818
9,0.1766412854194641,541,102.70361899999999,18432,30.48617458343506,0.0029925355,-0.0018511241,0.030810546,18432,483.97222222222223,1.4458181,4.322699
10,0.21508604288101196,563,110.25526413157894,20480,34.26854491233826,0.004197611,-0.005999093,0.04814453,20480,518.4473684210526,1.449053,3.9969203
11,0.25046777725219727,566,112.82325492499999,22528,37.90420913696289,0.0030697105,-0.0014759607,0.031835936,22528,530.575,1.4401591,3.8644054
12,0.3041118383407593,564,119.27523999999998,24576,41.517008781433105,0.0040445565,-0.002357333,0.042236328,24576,560.5952380952381,1.4277624,3.0735936
13,0.040084004402160645,567,126.65675720930231,26624,45.14582133293152,0.0029969732,-0.00086512667,0.031640626,26624,595.2093023255813,1.4293017,3.974369
