n_updates,explained_variance,fps,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,policy_entropy,value_loss,ep_len_mean,ep_reward_mean
1,0.9378465861082077,606,2048,2.1457672119140625e-06,0.0039527207,-0.0015934488,0.043164063,2048,6.3340855,3.3844628,,
2,0.9532552435994148,630,4096,3.376053810119629,0.0030911244,-0.0050697913,0.036035158,4096,6.351415,3.5601058,2049.0,1226.074851
3,0.9860011469572783,531,6144,6.625742673873901,0.007960634,-0.0032466513,0.10834961,6144,6.349632,2.7083695,2049.0,1249.1718705
4,0.9661310911178589,542,8192,10.482088804244995,0.0045607593,-0.0017444423,0.043701172,8192,6.343164,6.7512145,2049.0,1423.2438173333333
5,0.8412890434265137,620,10240,14.260343313217163,0.0027043358,-0.0027394206,0.027832031,10240,6.340516,9.513973,2049.0,1509.618864
6,0.88813865929842,622,12288,17.561551809310913,0.0017969988,-0.00050804974,0.017871093,12288,6.343793,5.78115,2049.0,1454.7781
7,0.8864796981215477,634,14336,20.850307941436768,0.0041261134,-0.0030402252,0.046484374,14336,6.338401,6.2420783,2049.0,1416.2601305
8,0.8593298196792603,628,16384,24.0776629447937,0.0022399812,-0.00079070247,0.023828125,16384,6.3290596,9.304508,2049.0,1390.9449561428573
9,0.8624430745840073,629,18432,27.338664054870605,0.0036138936,-3.8138358e-05,0.038232423,18432,6.3302174,7.932762,2049.0,1369.781155125
10,0.852343276143074,626,20480,30.589959383010864,0.0038251928,-0.0034302506,0.042675782,20480,6.3244314,8.844171,2049.0,1354.2559614444444
11,0.8389253318309784,632,22528,33.85834860801697,0.0032779046,0.00026850653,0.037402343,22528,6.3213043,7.5053,2049.0,1342.1424438999998
12,0.9580493234097958,538,24576,37.09845209121704,0.0072099315,-0.008367193,0.09047852,24576,6.3174605,7.9967813,2049.0,1332.3290582727273
13,0.7644856870174408,637,26624,40.9018919467926,0.0026801068,-0.000857876,0.028857421,26624,6.3123803,15.535645,2049.0,1367.6538858333333
14,0.8209291845560074,630,28672,44.11711835861206,0.0030178842,-0.004382967,0.02993164,28672,6.3084226,8.699131,2049.0,1357.0373306153847
15,0.8189294040203094,621,30720,47.36542820930481,0.0031218247,-0.0018216632,0.0390625,30720,6.299322,8.25303,2049.0,1347.5548809285715
16,0.830791637301445,630,32768,50.65869092941284,0.0033193622,-0.00209265,0.033447266,32768,6.3019056,9.617708,2049.0,1338.5616928666668
17,0.7702616155147552,634,34816,53.909605979919434,0.0034900066,-0.0043853894,0.04057617,34816,6.309048,9.584058,2049.0,1331.0852105625
18,0.8539010137319565,626,36864,57.135716915130615,0.0025804709,-0.0013036442,0.028808594,36864,6.321152,8.23165,2049.0,1325.1192684117648
19,0.7600793987512589,640,38912,60.40648031234741,0.002805636,-0.002414162,0.031201173,38912,6.339984,8.8113575,2049.0,1320.3428897222223
20,0.844755008816719,640,40960,63.606223583221436,0.0028663126,-0.004754345,0.03300781,40960,6.356332,7.952845,2049.0,1315.6820867368422
21,0.8016519695520401,628,43008,66.8039927482605,0.005183162,-0.005710359,0.060595702,43008,6.3711877,9.5819435,2049.0,1311.745773
