n_updates,fps,clipfrac,explained_variance,total_timesteps,ep_len_mean,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean
1,548,0.014892578,-0.7214007377624512,2048,917.5,4.6017184,2.1457672119140625e-06,-0.0024256844,0.0015876514,2048,1.4345639,172.11822750000002
2,567,0.018994141,-0.47802817821502686,4096,896.0,4.1421223,3.7327628135681152,-0.0026799946,0.0021941175,4096,1.4481859,163.63890375
3,507,0.047802735,-0.08873963356018066,6144,986.8333333333334,3.2702584,7.344112396240234,-0.005212678,0.004379143,6144,1.4604654,175.28850133333333
4,482,0.06923828,-0.23352575302124023,8192,670.25,3.384922,11.383589029312134,-0.0029956915,0.005401347,8192,1.4741025,119.22441966666666
5,529,0.024658203,0.1693325638771057,10240,459.54545454545456,2.9109578,15.62697696685791,-0.0030751212,0.002912181,10240,1.4732043,82.07843604545457
6,536,0.046826173,0.5514198243618011,12288,348.0857142857143,2.148709,19.493042945861816,-0.0041212365,0.004531309,12288,1.4565346,62.3078662
7,534,0.010351563,0.6640829741954803,14336,291.3061224489796,1.9101508,23.311877250671387,-0.0007898219,0.001630136,14336,1.4310951,52.401152897959186
8,529,0.016113281,0.7988469302654266,16384,255.734375,1.3433405,27.141637563705444,-0.0016326879,0.0020908467,16384,1.4144529,46.21569609375
9,530,0.023535157,0.856422021985054,18432,235.92307692307693,1.1331604,31.007702589035034,-0.0027542447,0.0023099359,18432,1.4230287,42.69830815384615
10,527,0.08569336,0.894134595990181,20480,222.30434782608697,0.9103044,34.87045073509216,-0.006500478,0.0063873045,20480,1.4458299,40.34551738043478
11,504,0.06508789,0.9165509417653084,22528,189.4,0.818488,38.75657796859741,-0.004597313,0.0055138674,22528,1.470823,34.26590909000001
12,535,0.095019534,0.9442912004888058,24576,160.07,0.6726728,42.81705975532532,-0.0060466276,0.0067291,24576,1.4867319,29.101823430000003
13,539,0.03930664,0.9574984610080719,26624,166.85,0.8905349,46.64356231689453,-0.004491288,0.003629607,26624,1.4857819,29.855851610000006
14,535,0.05805664,0.957497663795948,28672,177.54,0.64760417,50.4413902759552,-0.005601569,0.0048996867,28672,1.494907,31.289466599999997
15,537,0.029638672,0.9612466134130955,30720,188.44,0.7554711,54.26516032218933,-0.001006972,0.0027765424,30720,1.504653,32.72468654
16,555,0.024267578,0.9645808450877666,32768,203.87,0.7566627,58.079110860824585,-0.0013743411,0.0028068218,32768,1.4975892,34.84471655
17,552,0.07299805,0.9686314240098,34816,220.2,0.6501287,61.76896023750305,-0.0051250877,0.0055468185,34816,1.5019538,37.15586057
18,547,0.043261718,0.9595011509954929,36864,233.22,0.7709218,65.47918176651001,-0.0019628028,0.0037371353,36864,1.5102144,38.787844029999995
19,549,0.03203125,0.9564051292836666,38912,252.43,0.8057429,69.22152805328369,-0.0021055292,0.0033535503,38912,1.5047557,41.32196168
20,560,0.071582034,0.9288057684898376,40960,271.16,0.7705594,72.94578003883362,-0.005749537,0.005459363,40960,1.492629,43.94148164
21,565,0.050488282,0.9319595098495483,43008,289.82,0.70886576,76.60069966316223,-0.0014843799,0.004269607,43008,1.4851568,46.53215227999999
22,555,0.061621092,0.9349323287606239,45056,309.01,0.6011497,80.22194790840149,-0.002501516,0.0049996465,45056,1.4835567,49.2243931
23,543,0.050439455,0.9124835580587387,47104,328.14,0.60979,83.9102554321289,-0.0038591982,0.0043988572,47104,1.4709799,52.04926842999999
24,563,0.040722657,0.8919886648654938,49152,347.36,0.5818466,87.67751121520996,-0.0014920899,0.0036754864,49152,1.4515734,55.019902949999995
25,573,0.031103516,0.7815151512622833,51200,366.27,0.61052936,91.31022763252258,-0.002432574,0.0034673284,51200,1.4272192,58.07313578000001
26,586,0.039404295,0.6735793948173523,53248,385.49,0.6231561,94.8945803642273,-0.0026377994,0.003660059,53248,1.4169655,61.28794397000001
27,581,0.066992186,0.6914181411266327,55296,404.32,0.62493557,98.38877010345459,-0.0028314707,0.0054379683,55296,1.4169086,64.56581116000001
28,597,0.03100586,0.5455321669578552,57344,423.38,0.7786323,101.91398119926453,-0.0010157456,0.0030130958,57344,1.4073964,68.07828240999999
29,590,0.035742186,0.44115209579467773,59392,442.14,0.77362734,105.34414267539978,-0.000103816004,0.0034075167,59392,1.4039327,71.52417495
30,598,0.02836914,0.4483010768890381,61440,461.16,0.68630946,108.81154775619507,0.00020217006,0.0028609133,61440,1.4120119,75.04814203
31,597,0.046240233,0.42981916666030884,63488,480.41,0.62011826,112.23145270347595,-0.0026883658,0.004157801,63488,1.4067981,78.75199176
32,602,0.064404294,0.17315739393234253,65536,499.62,0.8393265,115.65887260437012,-0.0015117523,0.005414954,65536,1.3996223,82.51877988
33,592,0.06318359,0.38194793462753296,67584,518.7,0.8141395,119.06072854995728,-0.005397628,0.0050315196,67584,1.3950207,86.35572288000002
34,591,0.101904295,0.25428664684295654,69632,537.64,0.7170419,122.5171012878418,-0.007252182,0.007873587,69632,1.4031384,90.35267560000003
35,596,0.11420898,0.09660273790359497,71680,556.69,0.8274387,125.97843718528748,-0.0051053506,0.008397975,71680,1.4212348,94.43042512
36,600,0.07324219,0.18110215663909912,73728,575.74,0.80579484,129.41456747055054,-0.0038935982,0.005797618,73728,1.4402963,98.57129176000001
37,594,0.06254883,0.05884599685668945,75776,595.03,0.88217723,132.82823586463928,-0.00068820687,0.004867873,75776,1.4463763,102.91779114
38,579,0.050878905,0.22478115558624268,77824,614.05,0.86843413,136.27472257614136,-0.0030369635,0.0043770834,77824,1.4412115,107.33302711
39,571,0.04008789,0.22827816009521484,79872,633.35,0.81788176,139.8094973564148,-5.585538e-05,0.0036366333,79872,1.4344546,111.84398063000002
40,572,0.06313477,0.04808926582336426,81920,652.45,0.9573482,143.39580655097961,-0.0026793364,0.005235298,81920,1.4325376,116.35469799999998
41,541,0.06533203,0.06090801954269409,83968,671.7,0.97986203,146.9719433784485,-0.0015246711,0.0055889464,83968,1.421571,120.96225278999998
42,590,0.06923828,0.09749102592468262,86016,690.7,0.97941625,150.75335502624512,-0.0011821042,0.005390297,86016,1.4204077,125.65017815000002
43,594,0.070654295,0.006790518760681152,88064,709.8,1.0161973,154.22042989730835,-0.0030440832,0.0053924723,88064,1.4353944,130.42743484000002
44,561,0.06923828,0.038909852504730225,90112,728.83,1.0451419,157.66795134544373,-0.0026674613,0.0054859505,90112,1.4468392,135.27819937
45,585,0.0171875,0.10188496112823486,92160,747.83,0.99723166,161.31279230117798,0.00054344314,0.0018953048,92160,1.4635911,140.11872542999998
46,497,0.04482422,0.14387094974517822,94208,766.85,0.9642666,164.80825185775757,-0.0030592547,0.0041983677,94208,1.4672558,144.89259307999998
47,536,0.09072266,-0.014241456985473633,96256,786.09,1.0639775,168.92860579490662,-0.0050950292,0.006706345,96256,1.4670831,149.71711519999997
48,523,0.08227539,0.03785771131515503,98304,805.27,1.059292,172.74739241600037,-0.0019767764,0.006416741,98304,1.4706142,154.54006265
49,585,0.030859375,0.07134872674942017,100352,824.03,1.0401826,176.66103839874268,0.0002090476,0.0030280002,100352,1.4835607,159.14258900000002
50,582,0.05356445,0.05704319477081299,102400,843.18,0.9936162,180.16253113746643,-0.0011732975,0.004705959,102400,1.492513,163.88458241000004
51,596,0.107666016,-0.0052411556243896484,104448,861.85,1.063283,183.67813277244568,-0.0065954626,0.008443231,104448,1.5054793,168.55722419999998
52,597,0.049365234,0.12167870998382568,106496,880.37,1.0350127,187.1095654964447,-0.0012785018,0.004233225,106496,1.5150392,173.36509921999996
53,595,0.07392578,0.04439657926559448,108544,899.58,1.1054151,190.5371696949005,-0.0012789875,0.0055328785,108544,1.5329947,178.21320386999997
54,598,0.068603516,0.042216956615448,110592,918.69,1.1009492,193.97464084625244,-0.0023683116,0.0054897787,110592,1.5564022,182.98584801
55,601,0.06743164,0.046505510807037354,112640,938.03,1.0936573,197.39463686943054,-0.0045675263,0.005452614,112640,1.5730579,187.82216212
56,578,0.039208986,0.07210791110992432,114688,957.08,1.0808069,200.8009946346283,-0.0009011032,0.003505387,114688,1.579484,192.43535946000003
57,589,0.070410155,0.05584019422531128,116736,976.31,1.0971946,204.34442234039307,-0.001654475,0.005453398,116736,1.5872574,197.06426362000002
58,588,0.05366211,0.015370726585388184,118784,995.03,1.1659024,207.81622004508972,-0.0015893106,0.004743642,118784,1.584265,201.53131209
59,603,0.04160156,-0.011919617652893066,120832,1014.02,1.1289486,211.29532551765442,0.00023886099,0.003765652,120832,1.5900689,206.11465514
60,602,0.06279297,-0.00028836727142333984,122880,1032.98,1.1304287,214.68798828125,-0.0029296046,0.0050362004,122880,1.6068071,210.68518981999998
61,596,0.06801758,0.018356263637542725,124928,1051.94,1.143017,218.0896716117859,-0.001327624,0.005454917,124928,1.6258875,215.30502525
62,600,0.054980468,0.09939122200012207,126976,1071.06,1.0963271,221.5230052471161,-0.0010813834,0.0045913425,126976,1.6295469,219.89816313
63,594,0.043945312,0.07131707668304443,129024,1090.06,1.1464278,224.93174529075623,-0.0010270543,0.0038920469,129024,1.6334531,224.56252203
64,603,0.040625,0.06362879276275635,131072,1109.37,1.1556035,228.37790203094482,-0.00045446836,0.0034224794,131072,1.6401207,229.36148989999998
65,595,0.049951173,0.026592671871185303,133120,1128.51,1.176046,231.77105379104614,-0.0009570021,0.0043246928,133120,1.6399977,234.14261657000003
66,604,0.04140625,0.09146195650100708,135168,1147.3,1.1797149,235.21308851242065,-6.2902094e-05,0.0035244934,135168,1.6390165,238.98382171
67,590,0.047802735,0.14350605010986328,137216,1166.32,1.1819082,238.6035351753235,-0.0006829472,0.004022868,137216,1.6474237,243.84581886000004
68,598,0.05683594,0.01796036958694458,139264,1185.19,1.1965137,242.06949520111084,-0.0028648158,0.005044788,139264,1.6492252,248.60956232000004
69,590,0.04868164,0.04811793565750122,141312,1204.38,1.243188,245.49107670783997,-0.0016942434,0.0041442765,141312,1.6516979,253.38086628000008
70,599,0.047167968,0.08355897665023804,143360,1223.73,1.224458,248.96137762069702,0.0004451721,0.004094119,143360,1.6645882,258.11613111
71,608,0.03515625,0.07721233367919922,145408,1242.67,1.2057164,252.37890243530273,-0.0005820229,0.0031443373,145408,1.6797125,262.72718652000003
72,596,0.06123047,0.020942091941833496,147456,1261.06,1.1851821,255.74656224250793,-0.0018706324,0.0049711843,147456,1.6833622,267.2288454
73,602,0.043310545,0.06598633527755737,149504,1279.8,1.1607839,259.178414106369,-0.0019614908,0.003955636,149504,1.686047,271.75475497
74,603,0.042138673,0.03463089466094971,151552,1298.85,1.1143637,262.5787351131439,-0.0023852238,0.003872164,151552,1.7004368,276.44930680000004
75,579,0.02421875,0.05772674083709717,153600,1317.65,1.1175702,265.9702560901642,-0.00043108346,0.0026165652,153600,1.7158451,281.05699363
76,599,0.03461914,0.07868081331253052,155648,1335.85,1.1077763,269.5063786506653,-0.00037028553,0.0034671878,155648,1.723563,285.58778165
77,588,0.0362793,0.08306622505187988,157696,1354.97,1.1507276,272.9219741821289,-0.0015830562,0.0033548176,157696,1.7211783,290.26496237000003
78,600,0.02758789,0.10484647750854492,159744,1374.05,1.1500447,276.4012699127197,0.00014373835,0.0027014904,159744,1.7194992,294.93716073
79,604,0.06010742,0.0517619252204895,161792,1392.92,1.1387718,279.8108661174774,-0.0022149882,0.004670069,161792,1.7260649,299.60542449999997
80,599,0.08105469,0.027286946773529053,163840,1411.79,1.1113747,283.19967126846313,-0.004611115,0.006368374,163840,1.7453915,304.24446599
81,606,0.04951172,0.0455242395401001,165888,1430.4,1.1402571,286.61478972435,-0.0017530776,0.0045563118,165888,1.759011,308.72932751999997
82,596,0.078125,0.04944777488708496,167936,1449.01,1.1092784,289.9901354312897,-0.0023799348,0.0059127337,167936,1.7670844,313.25729579999995
83,589,0.049121093,0.07154965400695801,169984,1467.83,1.1409332,293.4255311489105,-0.0011629406,0.0043393974,169984,1.766971,317.93087219999995
84,605,0.03276367,0.010277152061462402,172032,1486.62,1.1437141,296.89935970306396,-0.002634322,0.0032472208,172032,1.7656386,322.79584289999997
85,605,0.059423827,0.03317523002624512,174080,1505.52,1.1990366,300.2808840274811,-0.0020194023,0.004736754,174080,1.7718809,327.75741339
86,598,0.056005858,0.02304863929748535,176128,1523.74,1.2530957,303.66635966300964,-0.0028965347,0.0046713734,176128,1.7826653,332.62764567
