n_updates,fps,clipfrac,explained_variance,total_timesteps,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
1,512,0.03666992,0.9880609586834908,2048,1.2941808,2.1457672119140625e-06,-0.00410848,0.0035829064,2048,4.2748966,,
2,543,0.02998047,0.9392836652696133,4096,8.100836,3.993119955062866,-0.0039919727,0.00288156,4096,4.270817,1473.8616164999999,1917.5
3,561,0.029248048,0.824142336845398,6144,13.155728,7.760139226913452,-0.0036220036,0.002767096,6144,4.2737722,1460.4296943333331,1961.3333333333333
4,543,0.046728514,0.9430704452097416,8192,7.464177,11.408993482589722,-0.0057409434,0.003862821,8192,4.2712226,1248.5302212499998,1692.75
5,560,0.022216797,0.8689442276954651,10240,15.850006,15.175091028213501,-0.003560926,0.002109962,10240,4.2654943,1176.1422464999998,1589.5
6,547,0.019433593,0.844453364610672,12288,9.625715,18.83096480369568,-0.0021591675,0.0019760828,12288,4.2605557,1102.2938437142857,1497.5714285714287
7,569,0.01977539,0.8112708330154419,14336,28.12674,22.574382305145264,-0.0012506418,0.002123925,14336,4.2603917,1097.4324807777778,1524.3333333333333
8,554,0.041894533,0.927791453897953,16384,15.072556,26.172135591506958,-0.0065239347,0.0038578939,16384,4.279546,1062.2570799999999,1458.7272727272727
9,561,0.08164062,0.9018597081303596,18432,11.897067,29.86739158630371,-0.0038749385,0.0063492516,18432,4.2942033,1113.1647704166664,1507.9166666666667
10,542,0.027734375,0.8854258581995964,20480,18.257809,33.51375889778137,-0.0011522896,0.002908104,20480,4.2844543,1159.9064154615385,1549.5384615384614
11,571,0.019677734,0.800725907087326,22528,17.633984,37.2914617061615,-0.002194629,0.0020665166,22528,4.2785196,1087.7618624,1475.9333333333334
12,543,0.019824218,0.8178264945745468,24576,11.679804,40.87771558761597,-0.001519949,0.002358337,24576,4.272928,1102.7949723124998,1511.75
13,526,0.047265626,0.8707506209611893,26624,18.22007,44.64294147491455,-0.004323021,0.0043994365,26624,4.2553544,1143.1079540588235,1543.3529411764705
14,577,0.030957032,0.7557151466608047,28672,13.721542,48.53413796424866,-0.0016733505,0.0030262643,28672,4.245274,1151.8062049444443,1571.4444444444443
15,524,0.06035156,0.9167109876871109,30720,8.645561,52.08182406425476,-0.0074473456,0.0049037207,30720,4.255128,1141.2386699473682,1553.0
16,572,0.057421874,0.7400187849998474,32768,13.2730055,55.98972177505493,-0.005417009,0.0054721506,32768,4.267181,1147.9803001999996,1577.8
17,554,0.020703126,0.8508470356464386,34816,18.296087,59.569467544555664,-0.0018247297,0.0022345071,34816,4.264982,1165.8402739047615,1600.2380952380952
18,534,0.03652344,0.8423033207654953,36864,13.79899,63.26262426376343,-0.0035894848,0.0034827695,36864,4.265434,1182.4407469545451,1620.6363636363637
19,531,0.03227539,0.9197183772921562,38912,10.027167,67.0945782661438,-0.0032180962,0.0030797129,38912,4.263014,1197.0259822608693,1639.2608695652175
20,545,0.030078124,0.8485031872987747,40960,19.573915,70.95044112205505,-0.0012859565,0.0031385652,40960,4.2618456,1221.9398773333335,1656.3333333333333
21,547,0.0125,0.8179246634244919,43008,25.092587,74.7063307762146,-0.0015407309,0.0013095646,43008,4.2614985,1220.0380898076924,1653.076923076923
22,536,0.020117188,0.8367050439119339,45056,17.407366,78.44624376296997,-0.0009931882,0.0021137637,45056,4.2585325,1242.9548425185187,1667.7407407407406
23,535,0.047705077,0.8458142727613449,47104,17.776411,82.2634871006012,-0.0028718745,0.0038650935,47104,4.254871,1258.196636857143,1681.357142857143
24,548,0.064013675,0.7473801374435425,49152,11.99756,86.08951926231384,-0.0016908133,0.0049047708,49152,4.258851,1259.6096123103448,1694.0344827586207
25,535,0.051855467,0.8669845014810562,51200,18.562614,89.82564997673035,-0.006646242,0.0046929875,51200,4.2640452,1277.5260357333332,1705.8666666666666
26,539,0.052978516,0.9648458063602448,53248,6.518885,93.66678643226624,-0.005151556,0.0047069527,53248,4.2564673,1241.6785945806453,1662.8709677419354
27,567,0.031640626,0.8668629825115204,55296,19.8535,97.46431565284729,-0.0024226664,0.003050676,55296,4.241036,1212.5452996764707,1622.8529411764705
28,578,0.053222656,0.9414540715515614,57344,6.3880873,101.07413053512573,-0.002030625,0.004703273,57344,4.2257233,1196.7757895428572,1605.142857142857
29,597,0.03618164,0.8086249381303787,59392,20.681244,104.61375784873962,-0.0046741827,0.0037924002,59392,4.2170553,1151.1744419210524,1552.421052631579
30,586,0.040039062,0.8686680793762207,61440,15.530553,108.03939867019653,-0.004795329,0.003286494,61440,4.224217,1126.3957796250002,1528.625
31,528,0.09794922,0.8550528734922409,63488,18.966091,111.53213238716125,-0.004555988,0.0076554804,63488,4.220275,1144.3827972682927,1541.3170731707316
32,557,0.03652344,0.9623469337821007,65536,5.4177356,115.41102027893066,-0.003196799,0.0035018115,65536,4.214569,1122.5337542857144,1515.9761904761904
