#{"t_start": 1748386027.3029478, "env_id": null}
r,l,t
1227.653765,2049,4.570938
14.246538,51,4.659498
14.356934,50,4.7482
1240.921657,2049,8.619386
1796.323549,2049,12.333901
13.158484,46,12.415233
1244.390463,2049,16.207315
1256.569701,2049,20.022329
1816.491581,2049,23.728529
154.024836,307,24.200645
1260.656727,2049,28.004996
1286.872201,2049,31.828039
112.972216,265,32.247949
1258.819111,2049,36.048681
1266.470621,2049,39.876687
1273.338236,2049,43.693233
1358.013856,2049,47.469541
14.876722,52,47.559842
74.249728,186,47.856334
1273.239291,2049,51.658278
1836.263674,2049,55.406768
119.469492,276,55.842746
94.274406,235,56.213767
1329.562222,2049,59.934679
1766.870565,2049,63.596555
59.240203,165,63.868794
1662.855763,2049,67.62619
468.145644,776,69.173998
211.081216,369,69.75085
1884.097861,2049,73.431903
158.19709,309,73.924525
147.449912,278,74.357186
1869.896048,2049,78.031466
221.32418,461,78.727805
1143.392867,1424,81.357801
1268.317147,2049,85.170946
1749.993362,2049,88.843146
1276.162828,2049,92.649654
1352.840043,2049,96.433475
1285.001782,2049,100.194985
1286.161781,2049,103.99518
133.909154,278,104.423927
1299.659348,2049,108.238692
1316.057637,2049,111.97205
1694.354316,2049,115.639403
1119.437829,1697,118.738209
1422.82773,2049,122.458318
1297.805381,2049,126.196549
132.656711,274,126.614836
1887.365983,2049,130.518837
1895.66262,2049,134.197718
133.654124,280,134.647583
1868.654787,2049,138.287181
1815.887074,2049,141.968703
119.588602,277,142.406714
1888.528014,2049,146.089439
1885.725354,2049,149.791825
108.939267,271,150.513209
97.470043,243,150.896776
82.933664,201,151.224476
1895.345113,2049,154.908817
133.841356,279,155.366248
1899.382287,2049,159.039441
1847.212442,2049,162.685766
1883.475924,2049,166.391346
139.227724,293,166.857174
486.591502,800,168.134024
1898.194392,2049,171.781545
143.403076,320,172.561617
111.129164,264,172.986019
1877.424003,2049,176.735065
1423.545552,2049,180.370947
1830.145971,2049,184.037629
129.328537,269,184.470243
1885.97882,2049,188.233946
580.089782,936,189.802499
1808.215943,2049,193.486623
1510.34101,2049,197.144795
1853.999619,2049,200.863618
1813.695199,2049,204.54816
482.690834,846,206.180933
1833.961628,2049,209.848279
697.807461,1148,211.684352
233.855596,474,212.708109
176.885015,383,213.302581
96.870044,263,213.713011
1653.578234,2049,217.372086
1879.802826,2049,221.030963
15.124791,55,221.124342
1843.156158,2049,224.777969
1885.85326,2049,228.411651
137.616504,358,228.954171
292.477466,532,229.782727
136.615102,312,230.271552
45.126716,120,230.750132
221.015346,467,231.465555
1762.03962,2049,235.136481
1892.876909,2049,238.809382
1767.064156,2049,242.481513
1897.478404,2049,246.193616
144.485458,298,246.658079
1848.453872,2049,250.34227
253.719047,427,251.007875
178.436892,332,251.526782
147.47593,292,251.983352
1298.205338,2048,255.759425
1807.96655,2049,259.397621
1315.454807,2049,263.14124
733.155054,1166,265.264168
344.360584,552,266.141456
1808.327099,2049,269.756642
302.150702,582,270.94111
350.460674,625,271.93153
127.099002,274,272.363259
1691.172631,2049,275.93627
228.160696,480,276.68078
146.938579,296,277.157391
1285.43686,2049,280.957287
170.661147,303,281.717565
63.715929,174,281.998597
117.179926,259,282.398932
1883.422281,2049,286.001892
109.572189,256,286.40166
150.82329,301,286.874095
1888.863725,2049,290.519051
1556.910813,2049,294.224414
1835.954399,2049,297.852559
159.357618,356,298.407797
273.756528,510,299.197896
1780.52167,2049,302.838904
213.046876,381,303.735428
1842.813737,2049,307.481683
270.933723,488,308.276979
1661.718726,2049,311.95847
170.460953,370,312.534752
365.151043,628,313.527279
1838.393731,2049,317.206777
54.090217,159,317.472396
1482.084498,2049,321.18341
1856.620703,2049,324.919428
1835.896171,2049,328.603218
751.017947,1186,330.83542
1811.191191,2049,334.577685
1883.465369,2049,338.355303
1635.389906,2049,342.030434
1469.5048,2049,345.64701
1857.248708,2049,349.308769
1830.327655,2049,353.025583
292.801114,521,353.858415
126.846461,284,354.313663
117.374561,273,355.037167
1849.658232,2049,358.789006
501.135664,852,360.153084
1672.651621,2049,363.810317
266.13155,494,364.608159
1878.287429,2049,368.34215
1879.415268,2049,372.125547
1876.159658,2049,375.851777
166.194132,299,376.339189
1644.314959,2049,380.044136
147.782574,293,380.496043
167.738582,322,381.294823
148.573695,293,381.752762
182.160631,375,382.345874
153.785527,312,382.818408
428.706703,671,383.899399
259.58265,483,384.937635
312.136163,521,385.762981
1875.751122,2049,389.54089
1841.21056,2049,393.307447
1846.340024,2049,397.031466
1536.303038,2049,400.758504
1873.201337,2049,404.502506
1850.249004,2049,408.308215
1880.20839,2049,412.104567
135.938792,287,412.545835
191.657274,371,413.115561
120.992342,271,413.536306
1825.003649,2049,417.303485
1886.422467,2049,421.099291
331.106191,540,422.256509
106.920917,263,422.667676
104.290089,248,423.058821
110.261535,267,423.480673
124.025216,289,423.927975
140.176641,289,424.382194
123.252649,275,424.81364
1894.272444,2049,428.728316
1839.487397,2049,432.524263
320.494083,546,433.69053
222.30366,468,434.41357
251.799834,495,435.203665
140.877946,290,435.659053
126.637198,278,436.100595
344.254478,619,437.336539
1823.402976,2049,441.018386
1855.118223,2049,444.718226
204.322742,400,445.344573
1833.739983,2049,449.022112
1838.89193,2049,452.732501
1670.05973,2049,456.386258
1887.078206,2049,460.103403
1862.691261,2049,463.778429
1891.879481,2049,467.537547
142.705584,307,468.018141
57.606646,143,468.249551
1858.098459,2049,471.938613
127.275505,287,472.39236
112.227389,264,472.802542
1620.390649,2049,476.482841
1385.858221,2049,480.194648
1862.215159,2049,483.859178
304.328935,540,485.011896
170.445434,374,485.590255
674.109033,1087,487.376447
1641.738767,2049,491.033927
127.97771,291,491.77411
1815.143767,2049,495.462565
1703.517341,2049,499.187662
112.541399,268,499.606782
1853.157261,2049,503.33412
144.340872,294,503.805288
199.713341,401,504.438181
153.997918,290,504.893463
202.169587,399,505.513257
371.228644,664,506.846034
267.690539,509,507.644542
182.872613,382,508.252733
1615.380656,2049,511.977376
195.336467,329,512.51601
1807.02844,2049,516.241467
120.824541,277,516.679174
1879.81858,2049,520.422776
729.613606,958,522.256778
257.002887,496,523.028695
1787.095072,2049,526.728967
92.427037,236,527.101015
132.482209,305,527.581792
1847.575907,2049,531.274225
16.477694,59,531.373672
140.833171,289,532.121377
1299.709619,2049,535.858354
118.588925,280,536.311345
1704.952968,2049,539.97988
1853.151528,2049,543.75122
15.187126,57,543.845241
1303.715169,2049,547.63677
1850.18874,2049,551.470812
1841.221854,2049,555.186359
427.743279,712,556.363613
1705.237773,2049,560.084583
1899.726248,2049,563.785512
1815.595511,2049,567.549302
1875.887267,2049,571.298724
271.7,502,572.077046
274.070078,499,573.136054
121.902708,271,573.55434
209.890403,394,574.181243
300.571376,529,574.991385
1813.040071,2049,578.696924
260.67478,444,579.383817
282.782557,523,580.488993
1850.092559,2049,584.198544
1843.784174,2049,587.969975
1802.987571,2049,591.769484
15.241262,54,591.864657
17.028413,63,591.998392
1666.689845,1933,595.596405
1743.59123,2049,599.319081
187.885904,378,599.904575
222.739051,452,600.610301
1897.73739,2049,604.337634
374.551548,643,605.357095
1820.984636,2049,609.087691
453.803506,706,610.502425
108.840292,265,610.916384
1836.154519,2049,614.632523
1803.165405,2049,618.305335
1885.49951,2049,622.059302
1464.18652,2049,625.748804
1859.549539,2049,629.518075
1894.10038,2049,633.293833
759.272515,1229,635.31235
1891.624765,2049,639.056779
1681.267059,2049,642.762224
13.557624,49,642.845583
1841.331978,2049,646.618312
132.572722,279,647.35245
76.1006,195,647.665955
45.251225,122,647.863807
1833.050331,2049,651.632838
1831.988413,2049,655.367741
51.872863,158,655.628878
200.737642,382,656.235469
119.186169,264,656.643711
111.474609,261,657.060639
1855.264328,2049,660.804975
94.488586,248,661.220706
309.706874,543,662.359084
1851.502514,2049,666.099661
115.172519,273,666.52427
1868.838336,2049,670.286182
120.242166,271,670.706286
120.572258,280,671.146436
1890.40502,2049,674.907664
1894.676641,2049,678.655406
1862.054179,2049,682.33758
378.340405,616,683.343796
134.81308,288,684.076092
189.263379,381,684.668496
606.319589,1006,686.297023
15.385465,55,686.394276
246.975032,435,687.064638
13.807971,49,687.150699
1899.864562,2049,690.868269
1895.605556,2049,694.562537
730.067324,1217,696.861505
981.815487,1603,699.850694
283.454969,521,700.688246
188.220249,337,701.205273
150.046271,304,701.686319
165.008689,319,702.478538
1890.77589,2049,706.130576
168.675837,341,706.666085
143.301023,298,707.129893
14.353705,52,707.223154
14.671237,53,707.314744
690.663675,1183,709.612037
138.351246,293,710.071579
