fps,explained_variance,total_timesteps,serial_timesteps,policy_loss,clipfrac,n_updates,time_elapsed,value_loss,approxkl,policy_entropy,ep_len_mean,ep_reward_mean
384,0.9803200587630272,2048,2048,-0.0058269687,0.04741211,1,1.6689300537109375e-06,2.0759215,0.004424783,5.1329556,,
390,0.9618156291544437,4096,4096,-0.006003866,0.034814455,2,5.323037624359131,4.338662,0.0035723045,5.123563,2049.0,1668.454431
409,0.9514493234455585,6144,6144,-0.0045365365,0.035058595,3,10.566009998321533,6.462828,0.0034351728,5.1189594,2049.0,1693.9911825
398,0.9392977878451347,8192,8192,-0.005040779,0.03300781,4,15.5676908493042,7.0620813,0.0035123613,5.116827,2049.0,1644.8565336666668
446,0.6320415735244751,10240,10240,-0.004960975,0.044384766,5,20.70185351371765,37.831,0.0043118424,5.1222234,1446.2857142857142,1112.8550227142857
379,0.8173584938049316,12288,12288,-0.0021642293,0.031835936,6,25.290493726730347,19.996685,0.0031841155,5.118994,1521.625,1208.5939443749999
459,0.8443187177181244,14336,14336,-0.0040519307,0.021386718,7,30.683703660964966,26.342136,0.002168421,5.1172404,1248.4545454545455,951.7696940000001
403,0.8304712027311325,16384,16384,-0.0060032126,0.08544922,8,35.14460325241089,20.13445,0.006860835,5.1173716,1315.1666666666667,1029.4156555833333
393,0.8484341949224472,18432,18432,-0.002333717,0.02265625,9,40.223976135253906,21.213634,0.002280749,5.117486,1371.6153846153845,1078.1995903076922
378,0.8425483852624893,20480,20480,-0.0032971546,0.05961914,10,45.42952919006348,20.780487,0.0055556865,5.1138563,1420.0,1119.911283857143
378,0.8454677760601044,22528,22528,-0.002771412,0.09267578,11,50.847156286239624,20.000402,0.0068840506,5.105886,1461.9333333333334,1168.3696012666667
410,0.8725440800189972,24576,24576,-0.0026122434,0.058251955,12,56.26034760475159,26.84759,0.0052197585,5.110157,1439.0,1152.3756999411764
390,0.7993157804012299,26624,26624,-0.002908933,0.08964844,13,61.248722314834595,20.008284,0.0068888343,5.121238,1472.888888888889,1193.4067589444446
396,0.820917084813118,28672,28672,-0.0032089222,0.080322266,14,66.49361896514893,19.910772,0.006085649,5.136695,1503.2105263157894,1229.4197885263159
403,0.8547171205282211,30720,30720,-0.0022521042,0.039453126,15,71.66151595115662,21.132257,0.0039368765,5.1341014,1530.5,1255.3112528000001
397,0.8337726444005966,32768,32768,-0.0050673625,0.113134764,16,76.74039816856384,20.300123,0.008526579,5.131836,1555.1904761904761,1280.0321295238095
407,0.8170842379331589,34816,34816,-0.0042868666,0.093603514,17,81.89788436889648,21.406185,0.0068172617,5.1286297,1577.6363636363637,1302.7207214545456
426,0.9539419189095497,36864,36864,-0.004548518,0.024902344,18,86.91918730735779,6.477587,0.0026608652,5.126332,1529.304347826087,1256.677184652174
