approxkl,serial_timesteps,explained_variance,policy_entropy,n_updates,ep_len_mean,value_loss,fps,clipfrac,ep_reward_mean,total_timesteps,policy_loss,time_elapsed
0.001986435,2048,-0.3085380792617798,1.4216602,1,1272.0,5.566437,446,0.013671875,274.434586,2048,-0.0019505592,3.337860107421875e-06
0.0033439952,4096,-0.018595576286315918,1.4333433,2,1168.5,5.518678,509,0.03286133,234.78079150000002,4096,-0.0031309486,4.5895609855651855
0.0018606592,6144,0.12156879901885986,1.4467905,3,1152.4,5.632646,479,0.01484375,243.2587934,6144,-0.00122456,8.61359453201294
0.0035479267,8192,0.0897793173789978,1.4508629,4,807.8,4.312775,422,0.03276367,168.46695449999999,8192,-0.0020696227,12.882737398147583
0.0014499071,10240,0.06025964021682739,1.4491498,5,562.5,4.0342903,390,0.0075683594,116.85569661111111,10240,-0.00068593514,17.729571104049683
0.0029077672,12288,-0.01960575580596924,1.443343,6,570.0,6.698867,383,0.026367188,120.2120332,12288,-0.0019241469,22.970572471618652
0.001540597,14336,-0.18406200408935547,1.4429988,7,606.2608695652174,8.326628,383,0.010986328,134.92960347826084,14336,-0.0020390034,28.311102151870728
0.004540071,16384,0.17962616682052612,1.4530691,8,626.4166666666666,7.10678,393,0.055517577,140.51474983333333,16384,-0.0032408112,33.65844464302063
0.0037618098,18432,0.4339854121208191,1.4651499,9,645.5357142857143,4.130426,421,0.044921875,146.07873439285714,18432,-0.008112818,38.86127805709839
0.0034287956,20480,-0.015042304992675781,1.4837266,10,639.625,3.2632117,393,0.042822264,143.84772681249999,20480,-0.004593144,43.71783089637756
0.0042957007,22528,0.38346755504608154,1.4955466,11,682.3333333333334,3.409602,429,0.052441407,153.0530263939394,22528,-0.0031013612,48.91713333129883
0.0050626337,24576,0.33140695095062256,1.4931587,12,722.5294117647059,2.694718,427,0.065625,161.02215079411764,24576,-0.0066055306,53.68455934524536
0.0028699334,26624,0.31368881464004517,1.4868606,13,760.4285714285714,2.59449,427,0.027978515,168.79182117142855,26624,-0.0016212708,58.473310470581055
0.004650902,28672,0.07703155279159546,1.4855254,14,796.2222222222222,2.536137,426,0.055126954,176.62537758333332,28672,-0.004671094,63.26163125038147
0.0058730613,30720,-0.15546929836273193,1.4889265,15,830.081081081081,2.5193145,420,0.07304688,184.4872811081081,30720,-0.002651088,68.06176853179932
0.0033733216,32768,0.08871620893478394,1.4892247,16,862.1578947368421,2.5983338,421,0.033691406,191.99931757894737,32768,-0.0010361334,72.93255472183228
0.0021507847,34816,-0.208257794380188,1.4818227,17,892.5897435897435,2.621546,429,0.015332031,199.24278205128206,34816,0.000114171475,77.78804230690002
0.0054420065,36864,0.007886290550231934,1.4787877,18,921.5,3.2024376,446,0.072460935,206.89419830000003,36864,-0.0027600667,82.5523886680603
0.0026658762,38912,-0.045609235763549805,1.4789574,19,949.0,2.8994036,444,0.024169922,214.00493548780491,38912,-0.0012909475,87.14249277114868
0.0034058795,40960,0.12733495235443115,1.4614382,20,975.1904761904761,2.4857383,431,0.03022461,220.58640238095242,40960,-0.0024856715,91.74912977218628
0.002098637,43008,0.21773308515548706,1.4547608,21,1000.1627906976744,2.9820094,442,0.017431641,227.47414127906978,43008,-0.0006155729,96.4914174079895
0.002843637,45056,0.21011513471603394,1.4569074,22,1024.0,2.9974444,438,0.028515626,234.39060061363637,45056,-0.000719471,101.1198217868805
0.004237731,47104,0.01633840799331665,1.4454291,23,1024.0,2.3207667,394,0.049365234,234.39060061363637,47104,-0.0018502362,105.78613352775574
0.0036611464,49152,0.002194523811340332,1.4340347,24,1046.7777777777778,1.9155852,410,0.037597656,240.27305635555555,49152,-0.0031326972,110.98449110984802
0.004299163,51200,-0.08015596866607666,1.4324843,25,1068.5652173913043,2.051412,424,0.051855467,245.60446795652175,51200,-0.0014605492,115.97881364822388
0.0053328015,53248,-0.06162118911743164,1.4278347,26,1089.4255319148936,2.1186697,419,0.06381836,250.79619659574468,53248,-0.0033805664,120.81254649162292
0.0034870896,55296,0.09948700666427612,1.4270407,27,1109.4166666666667,1.5412529,422,0.039160155,255.77731979166666,55296,-0.0017951501,125.69663000106812
0.004911227,57344,0.18160009384155273,1.4383676,28,1128.591836734694,1.5065389,425,0.062841795,260.37748963265307,57344,-0.0017653747,130.54917001724243
0.0027058027,59392,0.2678009271621704,1.4380875,29,1147.0,1.5654101,429,0.02451172,264.71920698,59392,-0.00055884046,135.35897207260132
0.0032839607,61440,0.2619500160217285,1.4428207,30,1164.686274509804,1.3734722,444,0.034228515,269.28254019607846,61440,-0.00178158,140.12743425369263
0.0020344686,63488,0.04718053340911865,1.4557545,31,1181.6923076923076,1.5926727,430,0.015966797,273.42399725,63488,0.00086691603,144.73757243156433
0.0036362526,65536,0.2867470383644104,1.4584998,32,1198.0566037735848,1.2589453,430,0.035742186,277.1673954528302,65536,-0.0011576277,149.49315476417542
0.005341505,67584,0.3586573600769043,1.4486651,33,1213.8148148148148,1.208195,317,0.062060546,280.99076085185186,67584,-0.004553488,154.249178647995
0.0037381635,69632,0.1014472246170044,1.432824,34,1229.0,1.1418002,418,0.040625,284.62792403636365,69632,-0.0036864164,160.70038628578186
0.004719344,71680,0.12785238027572632,1.4277054,35,1243.642857142857,0.84841317,391,0.056884766,287.87584350000003,71680,-0.0037490744,165.60006856918335
0.0036278155,73728,0.09794890880584717,1.4279104,36,1257.7719298245613,1.1926178,367,0.039208986,290.58819108771934,73728,-0.0026712308,170.8301043510437
0.0049478575,75776,0.0402522087097168,1.4282833,37,1271.4137931034484,1.0538765,402,0.061181642,294.0704796724138,75776,-0.0009365723,176.4020323753357
0.0041792556,77824,0.12945199012756348,1.4361303,38,1284.593220338983,1.0135492,417,0.046923827,297.47326042372885,77824,-0.0016622441,181.49582505226135
0.0050646868,79872,-0.020532965660095215,1.438411,39,1297.3333333333333,0.91198236,414,0.061816406,300.8149736000001,79872,-0.0031951603,186.39991784095764
0.0037454776,81920,0.08490568399429321,1.43785,40,1309.655737704918,0.81290233,420,0.042089842,303.69894591803285,81920,-0.0011670236,191.34515690803528
0.00310279,83968,0.1532096266746521,1.4353989,41,1321.5806451612902,0.8313328,375,0.034423828,306.33786330645165,83968,-0.00084826665,196.2145392894745
0.0034783613,86016,0.14606177806854248,1.4325014,42,1333.126984126984,0.8456556,376,0.035351563,309.05178298412704,86016,-0.000849746,201.67087984085083
0.0042337864,88064,0.07501852512359619,1.4446527,43,1344.3125,0.79172266,367,0.046240233,311.62829489062506,88064,-0.0012905376,207.10923767089844
0.0030007712,90112,0.05372023582458496,1.449769,44,1355.1538461538462,1.0146593,357,0.026904296,313.9624030615385,90112,0.00074739684,212.6814968585968
0.0036535978,92160,0.18166309595108032,1.4497632,45,1365.6666666666667,0.9087411,379,0.039941408,316.8707617424243,92160,-0.001666269,218.41320061683655
0.0038062173,94208,0.10488754510879517,1.4509777,46,1375.865671641791,0.9736376,405,0.044287108,319.5709721343284,94208,-0.0041848915,223.81110548973083
0.003426589,96256,0.04200315475463867,1.4530028,47,1385.764705882353,1.0560063,345,0.040136717,322.41254766176473,96256,-0.0021835293,228.8671910762787
0.0055818153,98304,0.05811351537704468,1.4525468,48,1395.376811594203,1.0706761,328,0.07026367,325.2563035942029,98304,-0.0013670399,234.79375886917114
0.0040775826,100352,0.12259453535079956,1.4445567,49,1404.7142857142858,0.9765027,417,0.046923827,328.0712076857143,100352,-0.0016771562,241.0240261554718
