approxkl,serial_timesteps,explained_variance,policy_entropy,n_updates,value_loss,fps,clipfrac,total_timesteps,policy_loss,time_elapsed,ep_reward_mean,ep_len_mean
0.009331037,2048,0.9762796424329281,4.1965284,1,1.8246177,358,0.13168946,2048,-0.005425149,2.1457672119140625e-06,,
0.0014291899,4096,0.8149518966674805,4.185876,2,25.74816,374,0.013916016,4096,-0.0028071573,5.71412205696106,363.61948200000006,500.14285714285717
0.0017319394,6144,0.9178722277283669,4.1848555,3,32.284283,380,0.018798828,6144,-0.004387294,11.182417631149292,272.1365877333334,406.06666666666666
0.0026788278,8192,0.9616893045604229,4.1864963,4,11.671021,484,0.030566406,8192,-0.006105837,16.565747499465942,254.90360763157892,389.3157894736842
0.0034418427,10240,0.9281418398022652,4.192114,5,26.48313,471,0.037353516,10240,-0.0052177324,20.789246320724487,314.862665,454.3181818181818
0.0055115456,12288,0.9493845589458942,4.2084455,6,0.8006815,417,0.06733398,12288,-0.005496944,25.134246826171875,305.96449665217386,445.82608695652175
0.0042145504,14336,0.9144240319728851,4.208538,7,12.53545,475,0.04111328,14336,-0.0072507514,30.042633295059204,342.37031774999997,512.625
0.0025636877,16384,0.7933391183614731,4.2083178,8,26.984165,491,0.025292968,16384,-0.0044547236,34.354140281677246,384.35880034482756,562.8965517241379
0.0021182676,18432,0.7648385614156723,4.209716,9,14.728566,333,0.021826172,18432,-0.005536885,38.517823934555054,360.15089959375007,535.28125
0.0019356955,20480,0.5250070691108704,4.2138247,10,19.569586,424,0.017236328,20480,-0.0026031858,44.65597748756409,383.03136671428575,583.2571428571429
0.008508421,22528,0.8571951240301132,4.2181444,11,19.675901,470,0.115039065,22528,-0.006116773,49.47880005836487,422.78697194444453,623.9722222222222
0.0046049077,24576,0.9716857634484768,4.222018,12,6.082646,497,0.05649414,24576,-0.008512182,53.83080196380615,415.76536808108114,616.972972972973
0.0037843138,26624,0.9080528616905212,4.213977,13,27.00022,481,0.041894533,26624,-0.00089342956,57.94729447364807,433.7375900999999,633.425
0.0038552291,28672,0.8868918120861053,4.2167506,14,27.80363,471,0.04472656,28672,-0.0031593058,62.20250368118286,463.19348216279064,665.4186046511628
0.001886081,30720,0.8769864961504936,4.225154,15,16.486675,512,0.016503906,30720,-0.002688764,66.54444122314453,458.0258573555555,662.8
0.004656986,32768,0.8039363324642181,4.219545,16,20.660994,454,0.05654297,32768,-0.004235977,70.54422163963318,485.72045641304345,692.9347826086956
0.0054536643,34816,0.8030174672603607,4.210853,17,19.606886,467,0.064013675,34816,-0.004731602,75.05539393424988,515.272220680851,721.7872340425532
0.005562133,36864,0.8535376489162445,4.2046676,18,23.348639,451,0.07114258,36864,-0.0054473723,79.4334785938263,543.4886460833333,749.4375
0.003467209,38912,0.9503187090158463,4.206604,19,12.444193,487,0.033154298,38912,-0.0052604284,83.97047114372253,544.1559510392157,750.0196078431372
0.005154249,40960,0.5643441677093506,4.216318,20,16.150764,460,0.060009766,40960,-0.004790007,88.17140698432922,548.734547245283,765.8867924528302
0.0019619283,43008,0.8358752429485321,4.2318487,21,22.756172,509,0.019189453,43008,-0.0035702859,92.62086796760559,522.7718270517242,739.6551724137931
0.002513106,45056,0.8873882368206978,4.2345724,22,16.35192,484,0.025537109,45056,-0.0050166165,96.64201283454895,527.3618537833333,748.8
0.003882097,47104,0.7649818360805511,4.236228,23,16.7418,493,0.04863281,47104,-0.0042336946,100.87134385108948,529.1292742419355,756.4193548387096
0.0036431756,49152,0.8439113646745682,4.2437205,24,21.19048,482,0.04145508,49152,-0.0035035387,105.02188205718994,549.1135436825398,776.936507936508
0.003146543,51200,0.9187127947807312,4.2444954,25,9.347521,490,0.03466797,51200,-0.0031710856,109.26482939720154,552.3449720461539,786.0615384615385
0.0046110195,53248,0.8150347173213959,4.2522507,26,9.096371,471,0.054980468,53248,-0.005622233,113.45792078971863,552.9066275373134,792.5373134328358
