policy_entropy,time_elapsed,value_loss,approxkl,clipfrac,explained_variance,serial_timesteps,policy_loss,fps,total_timesteps,n_updates,ep_reward_mean,ep_len_mean
4.495059,2.1457672119140625e-06,4.6520753,0.004158648,0.042822264,0.8625330179929733,2048,-0.004865804,442,2048,1,,
4.480461,4.626064300537109,13.742869,0.0037031653,0.03666992,0.9024123698472977,4096,-0.0072706738,482,4096,2,540.2639047499999,908.25
4.4798765,8.867650985717773,24.605185,0.004912357,0.05673828,0.8856557011604309,6144,-0.005871066,442,6144,3,691.4535156666667,999.1666666666666
4.48832,13.494985580444336,20.159359,0.007214033,0.09443359,0.8332411199808121,8192,-0.0046302625,437,8192,4,856.6155567142858,1149.142857142857
4.482024,18.173270225524902,10.071147,0.003767515,0.038964845,0.955255251377821,10240,-0.008754732,479,10240,5,765.314723,1054.2222222222222
4.470458,22.445878744125366,26.40025,0.003275654,0.03413086,0.8781298846006393,12288,-0.0036033443,439,12288,6,800.5625219090908,1056.3636363636363
4.467295,27.10897946357727,20.225285,0.0025111851,0.02758789,0.8538080900907516,14336,-0.0024042102,430,14336,7,873.7356995833334,1139.0833333333333
4.4791265,31.863078355789185,9.631187,0.0031572883,0.03515625,0.7292681634426117,16384,-0.003759083,425,16384,8,900.9011250000001,1209.076923076923
4.478552,36.68027353286743,20.566282,0.0044298926,0.0546875,0.8525146245956421,18432,-0.003872545,412,18432,9,961.3024561428572,1269.0714285714287
4.480195,41.64504051208496,19.997442,0.0027884624,0.02709961,0.886008694767952,20480,-0.0016222727,438,20480,10,1014.4823912666667,1321.0666666666666
4.490068,46.320977210998535,21.430994,0.002618839,0.02866211,0.8617424517869949,22528,-0.0020597156,447,22528,11,1051.940271375,1366.5625
4.4935145,50.89850854873657,19.533047,0.0030241038,0.032226562,0.8260771781206131,24576,-0.0032044153,445,24576,12,1093.2594911764706,1406.7058823529412
4.5018144,55.50074505805969,19.437193,0.003059167,0.03237305,0.8562160581350327,26624,-0.003928258,427,26624,13,1132.423851666667,1442.388888888889
4.510227,60.28797507286072,19.27596,0.005329111,0.06113281,0.6734494864940643,28672,-0.0056447694,435,28672,14,1092.5322701000002,1421.15
4.5217924,64.99076843261719,17.37299,0.0029706056,0.031591795,0.7749030888080597,30720,-0.0059338706,437,30720,15,965.0765263043482,1269.4347826086957
4.525479,69.67249774932861,10.076517,0.002886242,0.030761719,0.6526259779930115,32768,-0.0031389892,458,32768,16,976.9891216249999,1301.9166666666667
4.524812,74.14262580871582,11.976039,0.0016668548,0.016113281,0.9147476255893707,34816,-0.002687978,444,34816,17,988.53423404,1331.8
4.524652,78.74683499336243,24.706581,0.0040482176,0.046972655,0.8444688469171524,36864,-0.005532374,411,36864,18,979.6208215185185,1312.0
4.5266056,83.72477698326111,9.322119,0.0036348603,0.041259766,0.9382423907518387,38912,-0.0030622676,428,38912,19,989.3404355714285,1338.3214285714287
4.517208,88.50907874107361,26.068737,0.004733555,0.048095703,0.8366550952196121,40960,-0.0050689145,435,40960,20,982.7803463,1319.8
4.511819,93.21043634414673,9.573568,0.0021754133,0.023144532,0.9413049146533012,43008,-0.002127628,445,43008,21,993.0026684838709,1343.3225806451612
4.5145597,97.80711030960083,31.671566,0.003608467,0.046875,0.8143493235111237,45056,-0.0041684755,431,45056,22,997.5530841515151,1339.5151515151515
4.518183,102.54913091659546,11.613652,0.0024917116,0.026171874,0.8554206341505051,47104,-0.0020581093,444,47104,23,1005.1684474117646,1360.3823529411766
4.513187,107.15884065628052,11.20059,0.0046061943,0.052783202,0.8897324129939079,49152,-0.002643694,434,49152,24,1014.4614891142857,1380.057142857143
4.497617,111.87172484397888,19.391827,0.0071308278,0.08588867,0.8604314625263214,51200,-0.0033459694,424,51200,25,1036.7185131944443,1398.638888888889
4.490586,116.71275019645691,26.505047,0.0036602593,0.04169922,0.8955227509140968,53248,-0.0031049808,454,53248,26,1035.1643686315788,1389.2368421052631
4.5015254,121.2162446975708,12.578721,0.0070669083,0.08618164,0.6915047764778137,55296,-0.007174405,453,55296,27,1040.7227743589742,1406.1538461538462
4.4969807,125.72859239578247,20.548748,0.0046319366,0.053857423,0.8653847724199295,57344,-0.005519977,424,57344,28,1059.64525725,1422.225
4.4842443,130.55645036697388,21.085537,0.003406175,0.036035158,0.8563662171363831,59392,-0.0017024206,441,59392,29,1071.9218583414633,1437.5121951219512
4.4843235,135.19079184532166,20.385292,0.005042915,0.063085936,0.8603852391242981,61440,-0.004566855,427,61440,30,1087.8282068333333,1452.0714285714287
4.4913034,139.97871112823486,10.490737,0.0048107104,0.05708008,0.7790759950876236,63488,-0.0028096093,447,63488,31,1092.2903628139536,1465.953488372093
4.488228,144.55795574188232,20.649311,0.0042687645,0.051123045,0.8437023311853409,65536,-0.0059584817,416,65536,32,1109.7825458636364,1479.2045454545455
4.488576,149.48133325576782,20.438047,0.00281159,0.031445313,0.8583865016698837,67584,-0.0031310725,432,67584,33,1121.818311511111,1491.8666666666666
4.489104,154.21247911453247,19.693861,0.003940589,0.045166016,0.8425304591655731,69632,-0.002270592,419,69632,34,1136.9624264782608,1503.9782608695652
4.4922514,159.09779691696167,24.766205,0.0023104348,0.02084961,0.8394137024879456,71680,-0.0013046105,413,71680,35,1132.1450316666667,1493.1458333333333
4.4994617,164.05683612823486,19.408752,0.006277903,0.078125,0.834149643778801,73728,-0.0029305269,419,73728,36,1146.6266831428572,1504.4897959183672
4.4987807,168.93984699249268,19.783445,0.0036146776,0.037060548,0.8429124355316162,75776,-0.003107782,431,75776,37,1159.1922767400001,1515.38
4.501028,173.69157433509827,11.974644,0.0034869164,0.040478516,0.5493066012859344,77824,-0.0034821674,430,77824,38,1161.6848403333333,1525.8431372549019
4.5079355,178.45292329788208,12.82749,0.002800525,0.028125,0.9463123828172684,79872,-0.0037090306,407,79872,39,1109.3957540370372,1464.2037037037037
4.517005,183.4765682220459,24.572104,0.0038349037,0.046777345,0.909148246049881,81920,-0.0032030668,350,81920,40,1106.1680791964286,1455.8214285714287
4.5188265,189.3164734840393,20.616497,0.0066574765,0.08759765,0.8626745641231537,83968,-0.0040795803,338,83968,41,1117.7595568070176,1466.2280701754387
4.515645,195.36351680755615,21.106853,0.0018475044,0.019482423,0.8347628861665726,86016,-0.0016554613,419,86016,42,1125.2789174655172,1476.2758620689656
4.5131884,200.24179458618164,20.72694,0.004642739,0.054345705,0.832785964012146,88064,-0.004305773,398,88064,43,1135.026513220339,1485.9830508474577
4.511607,205.3866629600525,19.439983,0.003258982,0.035302736,0.6033084988594055,90112,-0.0015948486,403,90112,44,1120.872542622951,1475.5573770491803
4.5304193,210.45815443992615,20.521866,0.0054314462,0.070898436,0.8506485670804977,92160,-0.007261117,392,92160,45,1131.0455620645162,1484.8064516129032
4.539802,215.68173718452454,21.549496,0.0036675297,0.041015625,0.8096391260623932,94208,-0.00367579,416,94208,46,1136.786381015873,1493.7619047619048
