n_updates,ep_reward_mean,time_elapsed,policy_loss,serial_timesteps,explained_variance,clipfrac,ep_len_mean,approxkl,value_loss,policy_entropy,total_timesteps,fps
1,109.2430615,2.384185791015625e-06,-0.0050888117,2048,-0.24446606636047363,0.024658203,551.0,0.0024505088,4.838154,1.4298632,2048,286
2,203.26750566666666,7.139710426330566,-0.000893062,4096,-0.36006438732147217,0.015917968,1050.3333333333333,0.002687001,4.473145,1.4413683,4096,270
3,233.79475080000003,14.718348264694214,-0.003960277,6144,-0.13126075267791748,0.03569336,1199.0,0.0036631327,4.531115,1.435035,6144,286
4,211.2764476666667,21.867419719696045,-0.0027421596,8192,-0.0867307186126709,0.031591795,1080.5,0.0029578353,4.4752975,1.4355907,8192,274
5,198.47526980000004,29.339709281921387,-0.0052534654,10240,-0.012842059135437012,0.04243164,1019.0,0.003933473,3.499421,1.4449737,10240,278
6,215.42985200000004,36.69873905181885,-0.000906968,12288,0.008453369140625,0.023242187,1112.6363636363637,0.0026426923,3.3495152,1.4569697,12288,297
7,234.3625126666667,43.59248757362366,-0.0026073374,14336,-0.44530022144317627,0.03730469,1190.6666666666667,0.003368664,4.559919,1.4577167,14336,291
8,252.45338130769233,50.62585234642029,-0.0013504351,16384,-0.22758126258850098,0.023925781,1256.6923076923076,0.002668697,4.9756536,1.4605582,16384,297
9,269.6378482857143,57.50079536437988,-0.002687949,18432,-0.5026692152023315,0.037597656,1313.2857142857142,0.0037271231,5.3112617,1.4562768,18432,292
10,282.78558193333333,64.51115107536316,-0.0012655939,20480,-0.7705384492874146,0.030615235,1362.3333333333333,0.0029335064,4.3141966,1.4666882,20480,249
11,292.728250875,72.73153352737427,-0.0010359787,22528,0.026027977466583252,0.02236328,1405.25,0.002296295,3.3353572,1.48711,22528,284
12,300.83417264705884,79.92694664001465,-0.000261701,24576,-0.175537109375,0.010986328,1443.1176470588234,0.0018273061,2.9969065,1.4864275,24576,283
13,309.77674083333335,87.15327882766724,-0.0036479067,26624,-0.48230791091918945,0.055517577,1476.7777777777778,0.004431663,3.672533,1.4836376,26624,275
14,319.00667115789474,94.59085512161255,-0.005413628,28672,-0.03871285915374756,0.070458986,1506.8947368421052,0.0056575863,3.8560963,1.50323,28672,284
15,324.48310705,101.77832698822021,-0.0015465756,30720,-0.0017584562301635742,0.016113281,1534.0,0.0018274762,2.5228279,1.5233418,30720,270
16,330.51379661904764,109.35342955589294,-0.0023127827,32768,-0.26733219623565674,0.029296875,1558.5238095238096,0.003220228,2.7895703,1.5192044,32768,277
17,337.70371827272726,116.7446129322052,-0.0010596418,34816,-0.42369890213012695,0.022802735,1580.8181818181818,0.0023697172,3.5569057,1.5139854,34816,277
18,345.32012947826087,124.11503911018372,-0.002334831,36864,-0.12930452823638916,0.030859375,1601.1739130434783,0.0029505752,3.9736152,1.5256455,36864,268
19,350.4908422916667,131.7472767829895,-0.003284651,38912,-0.12154257297515869,0.043310545,1619.8333333333333,0.003813063,2.7398846,1.5354626,38912,266
20,353.93087796,139.42465376853943,-0.0019405497,40960,-0.08056843280792236,0.026855469,1637.0,0.0027720479,2.0342326,1.542212,40960,280
21,355.5292005384615,146.72462391853333,-0.00092544704,43008,-0.08179676532745361,0.022998046,1631.076923076923,0.0025851622,3.9545937,1.5349159,43008,255
22,349.33178125925923,154.74778628349304,-0.0011298045,45056,0.2159339189529419,0.025830079,1601.851851851852,0.0029528942,1.6254501,1.5243784,45056,288
23,345.5098719310345,161.84832382202148,-0.0024528336,47104,0.2131306529045105,0.029882813,1586.1724137931035,0.003301603,2.3943973,1.5179169,47104,285
24,350.4966708666667,169.0333333015442,-0.0025387094,49152,0.013370633125305176,0.052246094,1601.6,0.004516937,2.6439283,1.5121381,49152,278
25,355.86844280645164,176.38418197631836,-0.001766058,51200,0.22764796018600464,0.037353516,1616.032258064516,0.0035871281,2.853247,1.5011885,51200,242
