#{"t_start": 1750959015.8942204, "env_id": null}
r,l,t
203.70657,1117,4.744105
66.125638,378,6.128705
70.053509,435,7.767594
78.875575,400,9.867703
130.21326,657,12.195917
240.717796,1205,16.961128
29.645752,158,17.530091
62.824348,294,18.466214
146.016432,749,21.16359
48.016139,264,22.0378
52.283616,268,22.968526
22.184187,115,23.33887
65.445855,310,24.830818
31.872624,177,25.448496
41.842306,222,26.306212
59.852592,332,27.393197
29.26694,162,28.026352
40.523286,216,28.786328
85.315031,413,30.101012
57.758679,301,30.994458
45.186473,231,32.278071
23.839726,113,32.654476
39.81109,214,33.485147
22.451803,111,33.852978
59.104159,288,34.715599
55.30661,270,35.723296
41.56942,196,36.463295
57.063411,332,37.567869
27.486418,142,38.044752
30.241572,159,38.531116
38.850821,204,39.739293
44.506994,243,40.607419
42.829599,233,41.435916
36.938032,201,42.171389
58.127728,313,43.307874
45.5304,242,44.106045
48.572149,277,45.011513
27.891797,135,45.420129
30.700331,164,45.930049
41.48018,204,47.185994
25.712631,142,47.756539
36.804982,195,48.415845
33.046683,164,48.909902
25.716355,126,49.363346
35.90726,198,50.08036
31.969028,177,50.760532
29.527219,145,51.250196
47.448209,250,52.188301
38.482388,210,53.029319
50.049802,292,54.955731
34.291629,180,55.700187
45.438669,251,56.552426
28.435501,148,57.123833
22.729526,125,57.665679
40.293,218,58.589107
43.086518,235,59.583266
60.86966,367,60.897067
25.278518,142,61.395826
31.673663,168,61.967424
35.214015,172,62.552321
52.879989,260,64.073078
36.735008,209,64.850292
40.429377,233,65.688112
45.185764,257,66.607143
54.448281,292,67.681487
45.069152,246,68.474864
30.078839,149,68.956873
38.908806,196,69.591402
43.364567,228,70.405115
37.02986,209,71.809525
40.863791,208,72.525034
42.675031,220,73.314518
60.635298,326,74.381618
34.282884,171,74.993024
27.987017,136,75.422769
35.989103,202,76.057538
46.13835,250,76.874787
41.077178,208,77.622064
43.631836,250,79.14613
37.559925,210,79.861554
47.060268,259,80.731637
44.523387,244,81.509784
41.134516,210,82.231437
57.963035,316,83.346164
46.719645,257,84.189403
32.380968,169,84.799812
37.277541,199,85.526307
39.552509,213,86.873489
60.143362,344,88.066581
44.121731,232,88.804689
