total_timesteps,serial_timesteps,time_elapsed,approxkl,policy_loss,ep_reward_mean,n_updates,ep_len_mean,explained_variance,clipfrac,fps,policy_entropy,value_loss
2048,2048,3.5762786865234375e-06,0.0037654736,-0.0030314499,113.295239,1,643.3333333333334,0.22747701406478882,0.031933594,258,1.4097433,3.855597
4096,4096,7.919283151626587,0.00223368,-0.002357238,109.7949104,2,597.4,-0.3820056915283203,0.020263672,266,1.4153799,4.857053
6144,6144,15.618244647979736,0.0009986482,-2.6898284e-05,95.8885685,3,503.3333333333333,-0.2105954885482788,0.0053710938,272,1.4279047,4.062861
8192,8192,23.131787300109863,0.0027653081,-0.0020917638,78.12700675,4,408.65,-0.08978641033172607,0.027490234,276,1.4386941,3.7100456
10240,10240,30.5400710105896,0.0034178768,-0.004339611,65.4866939,5,340.96666666666664,0.20139789581298828,0.039355468,270,1.4569093,3.4417965
12288,12288,38.101096630096436,0.002826523,-0.002888991,59.96278635897437,6,313.87179487179486,0.4622144103050232,0.027490234,272,1.4715798,2.7033267
14336,14336,45.621663093566895,0.0028289766,-0.0041234633,54.788644959183664,7,286.7755102040816,0.6668791770935059,0.028564453,248,1.4794388,2.311094
16384,16384,53.88040089607239,0.0033500057,-0.002622199,51.7000684,8,272.5,0.7747007012367249,0.035205077,244,1.4797685,1.8380063
18432,18432,62.249141454696655,0.002584713,-0.0011811059,50.566722999999996,9,266.95652173913044,0.84868024289608,0.024609376,261,1.4853699,1.6839682
20480,20480,70.07510304450989,0.0046487413,-0.0035565756,49.43310767948718,10,260.8974358974359,0.870871052145958,0.054052733,269,1.496831,1.487365
22528,22528,77.68720388412476,0.0050345585,-0.0041889697,48.781994482758634,11,258.2068965517241,0.9259968921542168,0.06147461,270,1.5047491,1.1033212
24576,24576,85.25870418548584,0.00555956,-0.0056767967,49.09441003191489,12,261.1170212765957,0.960175234824419,0.070654295,247,1.5131818,0.96507215
26624,26624,93.52842712402344,0.004642493,-0.0054829093,49.8687662121212,13,266.26262626262627,0.9562365785241127,0.06010742,258,1.5270998,1.0484593
28672,28672,101.43804693222046,0.0054681404,-0.005968181,47.63047366000001,14,254.44,0.9651215821504593,0.07192383,279,1.5440134,0.9336653
30720,30720,108.76250672340393,0.005183284,-0.003094809,46.644191000000006,15,252.0,0.9632072821259499,0.06088867,276,1.5587378,1.1947623
32768,32768,116.18381690979004,0.0032111243,-0.001797244,48.58024179,16,263.96,0.9087890982627869,0.028759766,266,1.547869,1.5838344
34816,34816,123.86219358444214,0.0027805471,-0.0011740789,51.59005843,17,281.77,0.8920541256666183,0.02626953,278,1.5314502,1.4115396
36864,36864,131.2099323272705,0.0027957165,-0.0022604128,54.741264799999996,18,301.11,0.8174832463264465,0.023046875,271,1.5213499,1.3405068
38912,38912,138.74426198005676,0.0036311927,-0.0022747542,57.602239090000005,19,318.5,0.9114672392606735,0.038330078,278,1.5142248,1.3698334
40960,40960,146.10996413230896,0.0041125966,-0.0047517023,59.52703771,20,329.5,0.8874469250440598,0.04790039,276,1.5211264,1.0696197
43008,43008,153.52050518989563,0.005440721,-0.005124454,61.83790016,21,343.63,0.9303467869758606,0.06347656,284,1.5401751,0.9996215
45056,45056,160.7270004749298,0.0057768878,-0.0030645304,64.75857300000001,22,360.8,0.8350254446268082,0.07446289,246,1.5515672,0.74988997
47104,47104,169.0487208366394,0.007246335,-0.0049559316,68.03086169,23,379.67,0.7987916320562363,0.09541015,268,1.5564492,0.6658961
49152,49152,176.68382835388184,0.002263331,-0.00041712943,71.43735554999999,24,398.0,0.684295654296875,0.021728516,269,1.5577419,0.83016217
51200,51200,184.2954204082489,0.0053237295,-0.0023798204,74.86677496,25,414.36,0.5760327875614166,0.0659668,263,1.5598159,0.7579136
