#{"t_start": 1750958184.4126184, "env_id": null}
r,l,t
232.663043,1311,3.179569
66.72793,373,3.879822
67.286312,384,4.995355
94.649013,447,5.853567
112.260623,511,6.698634
44.162448,236,7.090669
39.975714,231,7.614709
94.967801,465,8.382885
174.475515,773,10.227543
98.453117,467,11.07462
73.026262,352,11.769484
35.786511,195,12.196524
255.629914,1110,14.797493
97.648907,401,15.527422
48.515187,261,16.056696
495.003538,2049,20.935523
99.135175,479,22.172668
200.991963,899,24.599499
517.659308,2049,29.366634
74.062155,378,30.100049
47.577441,251,30.593887
570.078533,2049,35.616382
244.432573,955,37.905017
32.666281,174,38.35565
644.96151,2049,43.327356
160.036601,671,44.594162
279.688549,1072,47.315071
172.666978,751,48.812713
690.321221,2049,53.685319
650.812511,2049,58.545056
769.431596,2049,63.269832
746.471009,2049,67.989575
846.92096,2049,73.369558
760.374965,2049,78.352212
743.459533,2049,83.409703
580.110885,2049,88.713767
599.302039,2049,93.42708
296.350771,1050,95.726675
592.18282,2045,100.479095
610.359869,2049,105.433104
343.246103,1295,108.733072
493.751205,2047,113.572593
182.039568,806,115.273626
472.451382,2049,119.9549
512.013836,2049,124.347559
442.062572,2049,128.891623
507.388162,2049,133.487085
530.753246,2049,138.144214
570.880717,2049,142.893573
629.015419,2049,147.547612
622.535854,2049,152.492799
680.626025,2049,157.628978
757.674416,2049,162.802118
719.305037,2049,167.714794
770.665994,2049,172.376329
858.865547,2049,177.575761
819.933723,2049,182.336187
793.888246,2049,186.979883
793.957969,2049,192.553419
854.751567,2049,197.998625
698.479292,2049,203.442857
745.631297,2049,208.266143
890.784016,2049,213.278249
769.77278,2049,218.090195
789.888275,2049,223.152516
830.566707,2049,227.840612
893.576392,2049,232.64716
958.620475,2049,237.459339
772.973406,2049,242.08511
1004.072143,2049,246.645118
569.610129,1242,249.686844
581.340435,1262,252.668871
815.612301,1686,256.64408
394.585422,964,258.72397
422.530538,942,260.572562
284.785339,706,262.478279
584.297223,1289,265.300424
91.785021,326,266.391184
604.599118,1307,269.196762
637.393187,1298,272.125891
439.843288,1121,274.501824
254.79093,694,276.117233
785.690529,1426,279.119473
590.307395,1264,282.308931
657.603243,1422,285.865372
484.660891,1106,288.476924
779.289624,1673,292.293896
1000.45582,2049,296.796298
564.296676,1279,299.729636
1019.143136,2049,304.109576
501.50197,1131,306.51394
373.464808,921,308.694935
315.796994,786,310.331568
461.477872,978,312.751341
153.282001,432,313.647623
519.15014,1095,315.747027
309.508529,763,317.656831
513.215895,1095,319.789097
609.572229,1295,323.683714
1029.36477,2049,331.031708
366.098362,909,333.722692
289.292786,719,336.400661
253.082403,677,338.193332
229.937329,629,339.749437
360.567304,764,341.776382
519.659064,1129,344.221826
338.400949,804,346.330756
233.05671,647,347.609334
242.937797,675,349.014359
508.127372,1125,351.759671
300.782536,730,353.279953
412.51181,978,355.735916
370.175566,831,357.411645
287.496955,712,359.044175
451.502961,967,361.262192
343.007348,767,362.784777
447.78174,980,365.215856
304.434729,710,366.624524
677.72692,1341,369.902124
397.539721,868,371.835628
443.202467,965,374.818999
178.53816,477,375.767565
389.12777,855,377.735744
459.354433,969,380.125767
251.269349,672,381.565805
428.042136,925,384.5651
229.002767,585,385.850912
