fps,n_updates,explained_variance,value_loss,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,approxkl,clipfrac,serial_timesteps
469,1,-0.24130403995513916,3.922665,149.6954865,-0.0024830443,842.0,1.9073486328125e-06,1.4182911,2048,0.0027751108,0.023730468,2048
510,2,-0.03371274471282959,4.865617,94.08661049999999,-0.0028509728,494.75,4.361450910568237,1.4193631,4096,0.003226659,0.028515626,4096
460,3,-0.037602901458740234,5.3494864,94.53619075,-0.0039677685,478.75,8.374582290649414,1.4215147,6144,0.003935338,0.041259766,6144
455,4,-0.019606590270996094,5.9759364,102.4152198,-0.0042629885,501.1333333333333,12.819170236587524,1.4279903,8192,0.0032199952,0.030664062,8192
404,5,0.07905828952789307,6.290447,125.31570647058822,-0.005836169,590.8823529411765,17.31294083595276,1.4281695,10240,0.0059256377,0.07539062,10240
420,6,-0.055510640144348145,6.1688223,129.51994294444444,-0.0018493704,608.0,22.377763509750366,1.4236279,12288,0.0032100372,0.032714844,12288
434,7,0.009461641311645508,5.1640635,141.4598989047619,-0.00027009804,648.6666666666666,27.246416807174683,1.4259782,14336,0.0021187898,0.017138671,14336
434,8,0.04305589199066162,8.476126,160.94256409090906,-0.0016311795,712.3181818181819,31.964645862579346,1.4247352,16384,0.0030460912,0.026220703,16384
420,9,0.043479323387145996,8.948858,159.07646933333334,-0.0003741485,700.0,36.67708992958069,1.4190319,18432,0.0016994493,0.009326172,18432
426,10,0.08214211463928223,6.2836733,177.80128365384616,-0.0030157994,750.7692307692307,41.552850008010864,1.4263202,20480,0.0028250508,0.025244141,20480
428,11,0.21555620431900024,6.4260583,181.25674650000002,-0.0049094046,762.25,46.35558032989502,1.4369601,22528,0.0034354343,0.035449218,22528
424,12,0.12268853187561035,10.25295,198.81069389655175,-0.0037169936,806.6206896551724,51.130882024765015,1.4351788,24576,0.0032614549,0.03466797,24576
425,13,-0.0416945219039917,9.141581,213.87742113333337,-0.0015308646,848.0333333333333,55.956175327301025,1.4399889,26624,0.002403418,0.024121094,26624
425,14,-0.11496341228485107,13.256905,231.79852354838715,-0.0026565236,886.7741935483871,60.76702117919922,1.4467437,28672,0.0035183807,0.037744142,28672
405,15,-0.02399909496307373,13.737091,247.88203871874998,-0.0011884964,923.09375,65.58337187767029,1.448461,30720,0.0027994781,0.025683593,30720
388,16,-0.2926234006881714,13.366015,266.0347333030303,-0.0031502538,957.2121212121212,70.63725543022156,1.4444647,32768,0.0033150713,0.033984374,32768
415,17,0.04099160432815552,10.608431,280.5741518823529,-0.0042737075,989.3235294117648,75.90733766555786,1.4333098,34816,0.003961086,0.04111328,34816
384,18,-0.18482494354248047,7.302987,293.7994484857142,-0.0023002427,1019.6,80.8348126411438,1.4302092,36864,0.002786973,0.02734375,36864
433,19,0.02824193239212036,4.1571646,301.75254394444437,-0.0033481386,1048.1944444444443,86.1567587852478,1.428786,38912,0.004552853,0.04941406,38912
426,20,0.10890966653823853,4.5109777,309.44064189473676,-0.001279294,1074.578947368421,90.88721036911011,1.4299042,40960,0.0022352072,0.016455078,40960
425,21,0.1447017788887024,3.9633968,316.69044133333324,-0.0036849007,1099.4615384615386,95.69137644767761,1.4374866,43008,0.0030483545,0.03276367,43008
411,22,0.04414403438568115,3.8914638,324.03217702499995,-0.00483824,1123.2,100.50270509719849,1.4550358,45056,0.0038610313,0.046435546,45056
443,23,0.03731721639633179,2.156082,324.5008093658536,-0.0014552679,1127.3902439024391,105.47906637191772,1.4627273,47104,0.0025400957,0.024560547,47104
401,24,0.188792884349823,1.681501,325.12381295348837,-0.0014802568,1141.3023255813953,110.10041642189026,1.4651439,49152,0.00299058,0.031103516,49152
443,25,0.20971357822418213,1.2689776,328.4721667954545,-0.0016471148,1161.9318181818182,115.20807647705078,1.468084,51200,0.0024653184,0.023583984,51200
466,26,0.1842171549797058,1.502311,332.5508705555555,-0.00082172593,1181.6444444444444,119.83630204200745,1.4615474,53248,0.0023890652,0.021777343,53248
448,27,0.2860575318336487,0.8748587,334.9315597173913,-0.0006850285,1200.5,124.22763657569885,1.4591562,55296,0.0036081392,0.036035158,55296
443,28,0.45614486932754517,1.2183056,338.60084912765956,-0.0024318171,1218.5531914893618,128.79692244529724,1.4626558,57344,0.004280966,0.04633789,57344
434,29,0.44340652227401733,1.6117346,342.60402406249995,-0.0041754,1235.8541666666667,133.41857433319092,1.4649705,59392,0.004321757,0.049365234,59392
438,30,0.17946040630340576,1.8528368,347.2627320816326,-0.0034990546,1252.4489795918366,138.13622665405273,1.4681242,61440,0.0046639103,0.054785155,61440
439,31,0.19473505020141602,2.414597,352.8977858199999,-0.0024050092,1268.38,142.80399179458618,1.4654438,63488,0.0040350184,0.042041015,63488
414,32,0.07824486494064331,2.4512067,358.18480676470585,-0.0022114962,1283.686274509804,147.4600818157196,1.4605193,65536,0.004150747,0.049609374,65536
399,33,0.10176414251327515,3.4080281,364.3855994230769,-0.004678777,1298.4038461538462,152.3980073928833,1.4653313,67584,0.0052007968,0.06757812,67584
396,34,0.153395414352417,5.20499,371.8061431320755,-0.0011692167,1312.566037735849,157.53117442131042,1.4653908,69632,0.003410702,0.039892577,69632
421,35,0.021380841732025146,4.094281,378.24130783333334,-0.00086907455,1326.2037037037037,162.70211696624756,1.4700257,71680,0.0027716495,0.0265625,71680
420,36,-0.02131950855255127,5.7659817,385.3763021272727,-0.0026783887,1339.3454545454545,167.56668972969055,1.4664088,73728,0.003989456,0.04711914,73728
408,37,0.11062997579574585,8.452779,393.8314672142857,-0.0012839392,1352.017857142857,172.43800902366638,1.4566787,75776,0.0022450357,0.017382812,75776
431,38,-0.19140875339508057,7.2068377,401.30694538596487,-0.0014747208,1364.2456140350878,177.4547700881958,1.4471817,77824,0.0028336544,0.027001953,77824
440,39,0.10820293426513672,6.005189,408.0755884999999,-0.000349837,1376.051724137931,182.20079517364502,1.4465058,79872,0.0016524378,0.012158203,79872
