total_timesteps,policy_entropy,time_elapsed,explained_variance,ep_len_mean,serial_timesteps,value_loss,ep_reward_mean,approxkl,fps,n_updates,policy_loss,clipfrac
2048,1.4199215,2.1457672119140625e-06,-0.42249488830566406,500.3333333333333,2048,4.393588,91.74884066666668,0.0035144773,527,1,-0.0019648257,0.037158202
4096,1.4328823,3.8798129558563232,0.03335559368133545,370.9,4096,4.0463805,69.44035790000001,0.0042795874,559,2,-0.0037537788,0.047021486
6144,1.4486438,7.540754079818726,-0.004732370376586914,366.4375,6144,3.7628493,68.5427929375,0.004930406,555,3,-0.005766292,0.06088867
8192,1.4559783,11.226405620574951,0.2629958987236023,318.68,8192,3.310264,59.41881596000001,0.003763185,494,4,-0.0030885239,0.03754883
10240,1.4511364,15.371587991714478,0.3705785870552063,280.44444444444446,10240,3.1212227,52.576023555555565,0.0028769937,474,5,-0.0014659454,0.024658203
12288,1.444239,19.685222864151,0.6102476418018341,240.0392156862745,12288,2.520124,45.169576431372555,0.0027343198,501,6,-0.001845517,0.022070313
14336,1.4415133,23.765899896621704,0.7607349753379822,213.16417910447763,14336,1.86833,40.207645149253736,0.0021432163,487,7,-0.002421412,0.017773438
16384,1.4587069,27.968759775161743,0.809667631983757,199.20731707317074,16384,1.6842897,37.70032717073171,0.0030276119,496,8,-0.0023975181,0.029101562
18432,1.4691951,32.09043097496033,0.8816904053092003,186.13131313131314,18432,1.1779004,35.388299333333336,0.004647349,486,9,-0.004213401,0.05366211
20480,1.4665229,36.30340504646301,0.883455902338028,155.92,20480,1.0530983,29.83555861,0.0027106307,506,10,-0.0044925576,0.024414062
22528,1.461168,40.350926637649536,0.9263349622488022,135.76,22528,0.7419656,26.170910969999994,0.001655569,507,11,-0.0004806777,0.011425781
24576,1.4627144,44.3845272064209,0.938257023692131,132.45,24576,0.63193655,25.46339306999999,0.0036353604,474,12,-0.0022697796,0.0390625
26624,1.4677441,48.69793701171875,0.9528663717210293,133.61,26624,0.549971,25.68595663,0.005411892,512,13,-0.006130267,0.07026367
28672,1.4755005,52.69382834434509,0.9606059491634369,138.21,28672,0.51187146,26.45459398,0.006467881,456,14,-0.0063065267,0.08222656
30720,1.4820023,57.177804708480835,0.9699135087430477,144.89,30720,0.5050279,27.39069154,0.007287357,407,15,-0.008008043,0.09838867
32768,1.4729679,62.20953845977783,0.9706356395035982,157.63,32768,0.758049,29.231326990000003,0.0063660643,396,16,-0.0065049725,0.07299805
34816,1.4588575,67.38087892532349,0.9666881561279297,170.37,34816,0.7512162,30.9899241,0.006860532,381,17,-0.005561544,0.08754883
36864,1.4505017,72.7521402835846,0.9238307625055313,174.7,36864,1.1937727,31.6214251,0.004386998,380,18,-0.0061396486,0.048876952
38912,1.4224783,78.12878465652466,0.9654860980808735,199.78,38912,0.81990564,34.996443680000006,0.004663688,418,19,-0.004628199,0.044628907
40960,1.3967091,83.01854133605957,0.9586233496665955,225.29,40960,0.9070941,38.462397610000004,0.0054887473,435,20,-0.004712502,0.068847656
43008,1.3837619,87.7231035232544,0.9600217826664448,239.14,43008,0.8250737,40.211759040000004,0.0034182244,405,21,-0.0010931669,0.034960937
45056,1.3779342,92.76943850517273,0.9537683017551899,258.1,45056,0.8641384,42.80916959,0.0042505213,431,22,-0.003121151,0.045214843
47104,1.3655647,97.51928615570068,0.9494658857584,266.3,47104,0.68927175,43.955967660000006,0.0029955255,409,23,-0.0008000769,0.028222656
49152,1.3609014,102.52410101890564,0.9383946917951107,285.29,49152,0.9345172,46.53058998,0.006517046,443,24,-0.0056205112,0.08325195
51200,1.3654029,107.13773584365845,0.9638905934989452,304.23,51200,0.393542,49.294736270000016,0.0049964897,395,25,-0.006836023,0.06196289
53248,1.3665618,112.33249545097351,0.9449302926659584,323.47,53248,0.44198626,51.93716949,0.006310691,416,26,-0.0020698782,0.07978515
55296,1.3581026,117.24734687805176,0.9026056304574013,341.97,55296,0.36289597,54.613186999999996,0.005574961,395,27,-0.0027453261,0.06850586
57344,1.3428788,122.42879891395569,0.8865212425589561,361.01,57344,0.2831444,57.54756972000001,0.0041357814,415,28,-0.0020657245,0.042871095
59392,1.3284438,127.35811758041382,0.8308406323194504,380.22,59392,0.3126374,60.52698923,0.003943668,366,29,-0.0028043273,0.039794922
61440,1.3158072,132.95399522781372,0.8205421566963196,399.44,61440,0.2503359,63.57053679000001,0.00730177,422,30,-0.0074166073,0.10175781
63488,1.3126371,137.8052318096161,0.7070885598659515,418.67,63488,0.3003388,66.68999409000001,0.007997776,431,31,-0.005880849,0.10898437
65536,1.3089558,142.54736018180847,0.6166821718215942,437.88,65536,0.32225195,69.92447520000002,0.010162403,423,32,-0.009097532,0.14580078
67584,1.296241,147.37978172302246,0.4858284592628479,457.33,67584,0.35228878,73.39322385000001,0.00813257,387,33,-0.007978823,0.11230469
69632,1.2942212,152.67012906074524,0.37062424421310425,476.57,69632,0.39442593,76.83767761000001,0.0069519663,388,34,-0.003439899,0.09418945
71680,1.302484,157.9457619190216,0.29360657930374146,495.82,71680,0.43653435,80.51732718,0.006595704,386,35,-0.003369088,0.08657227
73728,1.3117843,163.2469093799591,0.13232415914535522,514.81,73728,0.53950834,84.16978789000001,0.007930005,413,36,-0.0058305324,0.108789064
75776,1.3158501,168.20119547843933,0.17192363739013672,533.85,75776,0.5637125,87.87133544,0.0072277784,388,37,-0.0033918272,0.09243164
77824,1.3098363,173.47990441322327,0.1295120120048523,552.93,77824,0.60403174,91.69253664999998,0.008071029,403,38,-0.0047172257,0.11689453
79872,1.308943,178.5539264678955,0.13176041841506958,572.2,79872,0.6435487,95.56866615999999,0.0077369167,398,39,-0.0034303665,0.10688476
81920,1.3090001,183.6950604915619,0.08674925565719604,591.55,81920,0.7048863,99.48996459,0.0068201097,398,40,-0.0033344082,0.083789065
83968,1.313872,188.84003853797913,0.027140378952026367,610.73,83968,0.785579,103.36535369999997,0.0059114033,403,41,-0.0021895873,0.07744141
86016,1.319899,193.91012597084045,0.0016121864318847656,629.9,86016,0.8133556,107.13140714,0.0066191405,400,42,-0.0043401616,0.08867188
88064,1.32293,199.02216410636902,0.0011906623840332031,649.1,88064,0.81599,110.92983158999999,0.003289042,398,43,0.0008023206,0.034228515
90112,1.3193095,204.16076922416687,-0.007154107093811035,668.3,90112,0.81286144,114.65786173999999,0.00330525,383,44,0.00016171075,0.03334961
