#{"t_start": 1745520767.976537, "env_id": null}
r,l,t
256.694141,441,3.03302
1634.416406,1895,12.894225
910.707227,1198,20.211215
267.454883,505,23.928066
294.550781,625,28.460009
1220.390234,1481,36.817782
1865.496094,2049,47.622712
270.688281,485,51.602883
1402.517578,1562,59.908417
384.815234,695,64.95213
336.833789,622,69.406165
413.431055,825,74.75017
310.881445,579,78.874093
168.361523,319,82.208816
236.586719,429,86.503503
195.742578,385,90.170862
111.045703,242,93.228911
1617.328711,2049,103.629517
489.187305,847,109.043899
915.745117,1200,115.741178
185.237109,404,119.515867
308.802148,582,122.89783
377.939453,679,128.350178
251.400195,383,132.070776
1787.760156,2049,143.171508
377.50332,689,147.740124
262.246484,427,151.22179
493.366797,825,156.841636
31.091797,107,159.806407
557.074805,849,165.822874
983.673633,1198,173.467925
348.134766,595,178.427079
314.664258,596,182.964832
624.670508,944,188.881179
1739.006641,2049,199.11905
1122.983789,1283,205.616946
478.540625,677,210.988298
1646.688086,2048,221.794838
224.600586,423,225.629017
673.926563,1099,232.105458
914.894336,1666,240.523198
581.151953,1022,246.727016
1733.600391,1934,256.097759
1597.020117,2049,266.926268
1715.668555,2049,277.854547
1571.563477,2049,288.770248
1672.558789,2049,299.639254
1676.555273,2049,310.499308
1848.106445,2049,321.471214
1705.888477,2042,332.350418
1868.819141,2048,343.134583
1725.7125,2048,353.916411
1892.951758,2048,364.987643
1899.321875,2049,375.81209
1815.508398,2047,386.262354
1685.683008,2049,397.328106
1876.208984,2049,408.247974
1900.222852,2049,419.12006
1891.112109,2049,429.741188
1899.167578,2049,440.65708
1820.455469,2043,451.55906
1808.925,2048,462.383532
1780.221289,2049,473.210932
1497.011133,2047,483.209331
1707.84668,2049,494.338781
1685.063867,2047,505.43457
1855.663672,2048,516.554117
1895.431641,2049,527.335882
1733.904102,2047,538.299688
1894.558789,2049,549.146777
1798.834766,2047,560.056079
1854.775,2049,570.767721
1861.876758,2049,581.291745
1894.144531,2049,592.245971
1822.532227,2045,602.778696
1764.518945,2049,613.577612
1813.886328,2049,624.54989
1874.985937,2049,635.513666
1889.369922,2045,646.396703
1898.118164,2049,657.169619
1870.936523,2047,667.699082
1903.216211,2049,678.799602
1897.751367,2049,689.72348
1681.153711,2046,700.647388
1870.373438,2048,711.491552
1896.330273,2048,722.570096
1884.042773,2049,733.683468
1887.917578,2049,744.244918
1903.347461,2049,755.138484
1894.369727,2049,766.02659
1899.865625,2049,776.960518
1897.667578,2049,787.845387
1903.697461,2049,798.853504
1722.770898,2049,809.615399
1858.113477,2040,820.495795
1897.935742,2048,831.302425
1895.162305,2048,842.077672
254.788672,488,846.329902
1378.600781,1560,854.587758
1901.52168,2049,865.431233
1863.811133,2047,876.02797
1896.056641,2048,886.793092
1904.534375,2049,897.543191
1844.909375,2049,908.541211
238.659375,488,912.86948
1400.69668,1558,920.65065
1893.352148,2048,931.466304
1899.008008,2048,942.177491
472.505469,899,948.047575
1005.374023,1149,954.321804
1901.180469,2048,965.431721
1904.145508,2049,976.527042
1899.229102,2047,987.439636
1888.095117,2049,998.522037
1899.266016,2047,1009.465021
181.097266,371,1013.254614
1538.94043,1677,1021.965598
1903.064453,2048,1033.084846
1236.001758,2049,1044.160021
1244.559766,2047,1054.352025
1872.900781,2049,1065.076977
1897.788867,2047,1075.651358
1901.811523,2049,1086.476937
1903.95332,2049,1097.369508
1813.322266,2046,1108.267757
1899.267773,2049,1119.088716
1903.109961,2049,1129.652748
1258.532617,2049,1140.213524
1896.155859,2045,1150.560988
1905.458789,2048,1161.73995
1907.062695,2048,1172.568927
1683.107813,2049,1183.313674
1498.519141,2049,1194.301641
1844.082812,2049,1205.257718
1866.710742,2049,1216.237783
452.260938,758,1221.585915
