approxkl,total_timesteps,n_updates,fps,clipfrac,policy_entropy,value_loss,explained_variance,policy_loss,serial_timesteps,time_elapsed,ep_reward_mean,ep_len_mean
0.004648532,2048,1,234,0.06098633,4.8124037,0.80193913,0.9919425826519728,-0.0060684513,2048,8.344650268554688e-06,,
0.0037440346,4096,2,204,0.040722657,4.8065743,2.8528638,0.9629450477659702,-0.0035560634,4096,8.751176834106445,1788.075586,2049.0
0.004853671,6144,3,188,0.05673828,4.8023386,3.3082466,0.9614262580871582,-0.004023613,6144,18.791032552719116,1829.736621,2049.0
0.004610986,8192,4,187,0.050683595,4.790995,2.5286992,0.9711547009646893,-0.0064411,8192,29.638901233673096,1836.8516276666667,2048.3333333333335
0.0027652625,10240,5,162,0.026953125,4.7696137,15.934219,0.9046260192990303,-0.0026792488,10240,40.53591704368591,1509.4261327999998,1702.0
0.0023403144,12288,6,198,0.026171874,4.767986,4.8961186,0.9718203898519278,-0.006512671,12288,53.14907646179199,1528.8103515,1729.3333333333333
0.0043648267,14336,7,162,0.05205078,4.7688975,2.4636192,0.9702590256929398,-0.005587793,14336,63.4925754070282,1544.6119977142857,1755.5714285714287
0.0028766918,16384,8,153,0.025,4.7699013,10.158738,0.9455541633069515,-0.004212655,16384,76.0762255191803,1424.3582464444444,1624.5555555555557
0.005536901,18432,9,186,0.06782226,4.7814674,2.7403097,0.9648600183427334,-0.0050938777,18432,89.40324330329895,1438.5726171,1638.5
0.0035129408,20480,10,186,0.03022461,4.77428,2.9154713,0.9655791968107224,-0.0067859814,20480,100.36623501777649,1479.1508167272725,1675.7272727272727
0.0033016517,22528,11,189,0.033740234,4.7624364,2.8794265,0.9715757202357054,-0.0040179156,22528,111.32269430160522,1509.7841959166665,1706.75
0.0036918882,24576,12,192,0.038476564,4.735308,2.4938037,0.9678757935762405,-0.00554432,24576,122.11170101165771,1534.6839693076922,1733.0
0.002398942,26624,13,189,0.017480468,4.7107635,3.1032093,0.9625147730112076,-0.0040294426,26624,132.7586271762848,1559.4603375714285,1755.5
0.0029098496,28672,14,107,0.032666016,4.7004585,39.16636,0.7112146615982056,-0.004101982,28672,143.58574271202087,1298.6144839473684,1495.7894736842106
0.0034825313,30720,15,189,0.03261719,4.7040343,1.1045206,0.9867974035441875,-0.0046218294,30720,162.71644043922424,1239.386875,1433.65
0.0032261326,32768,16,192,0.034082033,4.693727,2.650467,0.9683893620967865,-0.0037039362,32768,173.53720831871033,1267.9164155714284,1462.904761904762
0.0045640385,34816,17,193,0.051123045,4.6801724,2.6057062,0.9638859033584595,-0.0046651065,34816,184.19005370140076,1294.393998590909,1489.5
