n_updates,serial_timesteps,fps,approxkl,explained_variance,policy_entropy,time_elapsed,value_loss,policy_loss,total_timesteps,ep_reward_mean,clipfrac,ep_len_mean
1,2048,114,0.0049686655,0.7361504435539246,4.563154,6.4373016357421875e-06,15.891289,-0.0036544893,2048,218.76835949999997,0.050097656,417.5
2,4096,169,0.0044495272,0.9672146327793598,4.5754876,17.82666015625,3.9188094,-0.0060467655,4096,380.7210936666667,0.052441407,683.0
3,6144,180,0.0035188403,0.9697038736194372,4.5707874,29.901593923568726,3.1811538,-0.0065368414,6144,675.92875975,0.039355468,1024.25
4,8192,161,0.0043873005,0.9312482327222824,4.567341,41.21744084358215,8.36046,-0.007595625,8192,778.6684570000001,0.04902344,1126.8333333333333
5,10240,172,0.0058560017,0.9578494913876057,4.5641637,53.92630314826965,2.6227942,-0.005664282,10240,842.9024832857143,0.07060547,1170.4285714285713
6,12288,175,0.0040617986,0.9552862793207169,4.5509005,65.81908988952637,2.7797282,-0.0052464055,12288,970.9159179999999,0.043554686,1280.125
7,14336,145,0.002906307,0.7574651688337326,4.546546,77.50682950019836,8.3892975,-0.0058112675,14336,980.1535155999998,0.03491211,1262.9
8,16384,83,0.003046183,0.7881826013326645,4.548759,91.55438876152039,20.538008,-0.0043422175,16384,756.225872333333,0.03178711,1043.1333333333334
9,18432,171,0.0027600857,0.7672024518251419,4.5450754,116.21635437011719,2.5454583,-0.001960848,18432,735.256689375,0.029052734,1024.0625
10,20480,162,0.006079613,0.9784467276185751,4.5441103,128.14919567108154,1.7886254,-0.00756279,20480,763.3237131764705,0.06660156,1084.2941176470588
11,22528,179,0.0026789738,0.9592404738068581,4.5227757,140.7359700202942,2.7406096,-0.002955112,22528,823.6484699999999,0.024023438,1137.8333333333333
12,24576,171,0.006273431,0.962390661239624,4.485265,152.15102458000183,3.0794988,-0.004454661,24576,880.6217927368419,0.0725586,1185.7368421052631
13,26624,53,0.0030492162,0.6640347540378571,4.4782767,164.06984782218933,41.43853,-0.0067624673,26624,722.9303964444445,0.036474608,985.6296296296297
14,28672,159,0.0041555455,0.9649030379951,4.495194,202.3594708442688,5.908551,-0.0047745677,28672,677.4207233793104,0.035888672,927.6206896551724
15,30720,148,0.0030357977,0.9617145769298077,4.5059695,215.17821407318115,7.0928106,-0.0020824305,30720,688.9250252580645,0.031591795,932.9032258064516
16,32768,175,0.0046303864,0.9619134478271008,4.5076694,228.9869682788849,3.1716564,-0.003828189,32768,718.556903125,0.059912108,960.03125
17,34816,82,0.0024716335,0.9147845134139061,4.506887,240.67131114006042,19.30886,-0.0028061268,34816,688.8377375945946,0.025341798,924.7297297297297
18,36864,142,0.0028960572,0.9267754331231117,4.5260572,265.6452178955078,11.515174,-0.0067204656,36864,669.7178486153846,0.03413086,902.3076923076923
19,38912,198,0.0039630127,0.9607709012925625,4.535472,280.0665900707245,2.4689481,-0.0016536731,38912,690.15432135,0.04375,921.625
20,40960,175,0.004184236,0.7135485112667084,4.5274997,290.3853106498718,3.4771602,-0.0041343803,40960,719.5824314634147,0.05078125,949.0975609756098
21,43008,120,0.0015456107,0.8860334530472755,4.5330167,302.05537271499634,5.74925,-0.0017048744,43008,717.9078216279071,0.014697266,960.6976744186046
22,45056,150,0.005746889,0.9829860106110573,4.5166655,319.0028154850006,1.421116,-0.0081853885,45056,725.1692516363637,0.07080078,977.4772727272727
23,47104,156,0.0016433016,0.945297934114933,4.501024,332.6132974624634,9.548788,-0.0028527062,47104,738.1491635869567,0.0125,987.9130434782609
24,49152,180,0.004220874,0.5563050210475922,4.504887,345.69569301605225,4.068398,-0.00443968,49152,754.7946975106385,0.049853515,1002.2340425531914
25,51200,63,0.0030058748,0.7617629170417786,4.5100203,357.04065108299255,30.466284,-0.004916654,51200,697.0652235740739,0.033154298,947.425925925926
26,53248,197,0.0041600345,0.9890010915696621,4.507469,389.39744305610657,0.93350613,-0.0067797117,53248,684.5875000545453,0.042626955,930.9272727272727
27,55296,198,0.0023754314,0.5883637070655823,4.4920125,399.77694153785706,4.868152,-0.001705445,55296,705.5758405892857,0.024023438,950.875
28,57344,127,0.0022030591,0.8332419544458389,4.489744,410.10225009918213,9.650367,-0.0033501282,57344,705.9302162413793,0.022900391,959.8275862068965
29,59392,159,0.0048764953,0.9835203047841787,4.4903493,426.1279282569885,1.3202808,-0.0065793237,59392,711.5609143728814,0.055566408,971.9491525423729
30,61440,142,0.0019282881,0.945515189319849,4.501288,438.9407732486725,9.269545,-0.004175989,61440,721.5543641639345,0.02236328,979.8032786885246
31,63488,139,0.0032373227,0.9552933722734451,4.5209875,453.2801043987274,8.140201,-0.0063760863,63488,725.4693173809524,0.034082033,980.984126984127
32,65536,137,0.004305047,0.9550419673323631,4.5440907,467.9277515411377,7.7154207,-0.0019904964,65536,729.0640956,0.042626955,982.8461538461538
33,67584,83,0.0015588317,0.7332458794116974,4.5594835,482.8509454727173,26.34827,-0.0021417132,67584,709.8270842999999,0.016455078,959.0571428571428
34,69632,127,0.0026392862,0.9289762005209923,4.556622,507.35383200645447,11.559291,-0.0044999686,69632,695.007788125,0.026611328,942.2361111111111
35,71680,133,0.0016647807,0.9695986434817314,4.547427,523.4123015403748,5.3854575,-0.0015185,71680,697.9763329054055,0.01689453,946.081081081081
36,73728,198,0.005237314,0.9592486172914505,4.5339613,538.7489001750946,2.599152,-0.0035789707,73728,705.5615885733333,0.06293945,955.7466666666667
37,75776,199,0.0025630891,0.961944654583931,4.5262923,549.0922620296478,3.7544777,-0.005847787,75776,721.3001670789474,0.0265625,970.1184210526316
38,77824,138,0.0017355252,0.9608482383191586,4.52691,559.3481366634369,8.056502,-0.00054983626,77824,727.5536558846154,0.016601562,976.2692307692307
39,79872,78,0.0015223813,0.7523465901613235,4.5283394,574.1728665828705,23.028101,-0.002469852,79872,709.9827772409639,0.014257813,955.6626506024096
40,81920,58,0.0009765716,0.7917621582746506,4.526223,600.2190456390381,29.24026,-0.0021191197,81920,675.3649403370787,0.009082031,919.7752808988764
41,83968,79,0.0016091783,0.7946822345256805,4.532567,635.1416192054749,27.189676,-0.002766373,83968,643.1450678736843,0.01665039,882.8
42,86016,75,0.001345522,0.7725847363471985,4.5359015,660.8589839935303,29.428558,-0.002226506,86016,617.98672464,0.013525391,852.62
