#{"t_start": 1745857427.4232948, "env_id": null}
r,l,t
112.493555,288,2.392651
138.654883,310,8.992456
109.52832,273,12.088319
985.176563,1178,20.521557
1808.506641,2048,30.587756
1281.87793,2048,40.818737
134.572266,307,46.185665
131.889062,305,49.705252
946.668555,1436,57.65163
513.33418,825,64.31078
156.844922,321,71.47074
347.975586,598,75.666843
145.594336,304,79.188793
317.049023,550,84.600635
1278.939648,1498,96.310136
227.413867,463,100.688461
110.345703,266,104.934063
526.736328,913,114.732259
128.420898,288,119.198793
33.230469,118,125.333864
237.923633,449,129.462645
1156.208594,1599,139.44835
1020.892969,1460,147.094446
360.458789,588,154.172709
409.085742,724,162.076998
1045.009961,1324,172.397504
466.330273,725,176.235774
1060.427734,1323,186.038563
726.39707,1081,192.590312
667.003906,967,199.949987
1815.09707,2048,211.969074
1797.616797,2048,223.676793
199.115234,351,228.588003
142.738281,295,233.797926
851.058789,1402,243.390801
1805.791602,2048,256.323051
223.598242,436,261.298036
975.159766,1612,273.449519
1230.980078,1434,280.567514
157.168555,320,288.136085
147.963477,294,292.022928
1769.883008,2048,303.363903
1851.830469,2048,315.984081
1319.424414,2048,327.645838
1815.110742,2048,337.607558
116.978516,261,341.561678
1601.263477,1787,351.608118
1841.775781,2048,363.59675
1851.874023,2048,373.858645
172.845312,334,378.647852
1530.501563,1714,392.032841
1070.563086,1672,401.62842
205.161328,376,409.273643
128.869141,286,412.009554
1586.846289,1762,424.013032
191.32832,354,428.720285
1521.120508,1694,439.619467
123.803125,278,442.66152
1564.482227,1770,453.782947
275.211914,589,459.302283
158.33125,305,464.985953
188.533789,400,469.123851
162.057422,325,472.805962
235.347656,429,478.466525
1287.041992,2048,489.577109
1290.105273,2048,503.045042
1867.500977,2049,513.541627
146.699023,300,518.666255
159.839258,305,522.280296
142.854492,303,525.903281
702.221875,1139,533.307647
1885.174219,2048,544.863272
1850.878906,2048,555.73965
127.623633,279,560.141867
1609.863672,1769,570.219183
1845.360938,2048,581.687958
1875.692188,2048,593.533249
1903.235352,2048,605.881262
1881.517383,2048,618.196311
1194.414453,1417,625.608381
423.680859,631,634.783396
1863.708594,2049,645.269829
1887.097461,2047,655.44257
1867.378125,2048,667.797194
1278.977734,2049,679.287798
1283.223242,2047,689.253158
1888.904492,2048,701.969395
175.399023,331,706.225377
1076.42832,1717,717.0814
144.545508,292,721.59825
1099.126563,1756,730.49306
1281.509961,2048,740.403624
1890.821094,2048,750.612938
1902.525391,2048,761.036262
1832.203516,2048,772.928012
1874.444336,2048,784.41152
1900.598242,2048,795.93776
334.918555,559,801.432715
1324.774023,1489,812.077045
1294.919727,2048,823.563759
1292.339453,2048,834.666887
6.950195,37,837.705332
1846.273828,2011,849.206795
1860.029687,2048,861.627848
1903.536328,2048,872.665589
1881.711914,2048,884.82378
1273.254687,2048,897.07542
1904.186914,2048,907.778787
1314.417578,2048,918.00913
1293.210352,2048,927.766431
1318.795117,2048,937.886769
478.787695,637,946.146574
217.437305,397,951.390694
616.133789,1014,960.401062
194.982227,346,964.070188
1534.091211,1702,974.884201
286.497656,470,980.036625
156.813867,306,986.496546
1103.887695,1272,997.669368
1880.070898,2048,1009.008764
152.612305,296,1013.548265
1597.833203,1752,1027.310632
1280.49707,2048,1039.553339
1286.771484,2048,1050.685557
1880.071094,2048,1061.882273
1830.375977,2049,1073.970758
1303.265625,2047,1087.079705
1258.417578,2049,1096.743
1306.988086,2047,1110.748483
209.22793,377,1113.948963
1531.863867,1671,1127.341983
1666.8,2048,1138.664732
1902.250781,2048,1151.167118
1258.566211,2048,1163.309641
234.822461,418,1167.427455
912.42207,1392,1174.918325
117.997656,238,1177.856316
1291.431055,2048,1187.53546
1424.783398,2049,1199.491497
1609.801758,2047,1210.513458
1558.702734,1783,1222.141311
143.989258,265,1230.037447
392.011523,630,1236.298021
901.978125,1418,1245.099757
1265.438672,1504,1255.745163
417.669141,544,1264.733051
1814.700391,2048,1277.119651
1290.708203,2048,1287.561031
1289.28457,2048,1297.515761
1287.166406,2048,1307.88266
691.291797,892,1313.122958
1015.587305,1156,1324.625138
226.881641,391,1328.090549
1454.254883,1657,1337.594831
331.805664,559,1342.810935
1298.029297,1489,1351.492052
829.619141,1043,1360.068746
866.146094,1005,1371.171882
1363.651758,1554,1380.761988
365.852148,496,1385.845071
1746.775977,1999,1398.303188
11.299023,47,1405.473343
404.864453,628,1410.13965
1221.732227,1420,1418.898961
246.421484,425,1425.119355
1406.044727,1623,1437.809543
159.644727,284,1441.114641
255.45332,423,1444.534397
1175.49707,1350,1452.747098
169.612109,315,1457.779369
1537.384766,1724,1471.744235
326.225586,511,1476.533627
1357.073828,1537,1486.900188
172.019531,297,1492.553336
1564.835156,1751,1505.644167
1873.869727,2048,1516.934103
1854.010547,2048,1528.634961
200.097461,328,1531.851084
164.245703,306,1539.659075
158.308984,305,1547.703982
259.069727,476,1551.508496
160.883594,303,1555.898371
155.293164,304,1558.92031
5.806836,26,1562.14622
1845.566992,2048,1572.464323
137.210352,293,1577.011456
137.36875,287,1584.283386
1289.164258,1468,1597.042278
1870.429492,2048,1608.859624
328.350781,522,1613.801111
163.720703,309,1618.230598
141.443555,288,1625.983364
790.979492,929,1632.226867
161.744141,307,1636.615243
152.791406,300,1644.443222
1234.110547,1441,1652.992498
162.813867,292,1657.9572
1594.937305,1756,1671.089587
168.583398,311,1674.236243
242.643945,438,1682.750285
1156.348828,1299,1692.169832
405.723047,621,1696.459284
1185.121289,1427,1705.201499
1832.707031,2048,1715.468614
1860.9875,2048,1726.871625
675.771094,1012,1733.332979
796.857227,1036,1740.609509
1897.063672,2048,1750.894275
1796.405859,2048,1761.313765
1831.692383,2048,1773.232302
1811.38457,2048,1785.856349
1884.532617,2048,1797.635486
677.173438,958,1804.786309
809.605469,1090,1812.541549
1616.692188,2048,1822.762048
1906.71875,2048,1832.63619
1515.163086,2049,1845.081838
1718.598828,2047,1856.437098
413.313672,679,1862.260266
1175.143555,1369,1871.04806
1627.182617,2048,1882.743055
1669.646289,2048,1892.576792
1758.570508,2048,1904.987413
1682.127344,2048,1917.410184
1887.398633,2048,1929.835097
171.246484,320,1933.971922
1583.598633,1728,1944.028529
1892.525195,2048,1956.217566
1870.519727,2048,1967.660288
168.839062,320,1972.792075
1176.682031,1728,1986.906847
1899.887695,2048,1998.801936
1899.341992,2048,2010.489722
157.689063,304,2014.507335
1563.020312,1744,2028.394581
1896.030859,2048,2039.404243
1901.912109,2048,2049.742094
149.417773,294,2052.655885
18.363086,63,2054.894032
143.869336,294,2058.62817
320.607813,547,2064.546951
639.329102,850,2071.951359
1822.608594,2048,2084.332696
1894.163086,2048,2094.558324
1900.714844,2048,2107.010141
1323.789258,2048,2119.424959
1804.844727,2048,2131.850306
22.89707,73,2135.710337
1829.597461,1975,2145.887126
1860.302344,2048,2156.599248
1838.599609,2048,2166.790998
1188.827734,1778,2177.077661
144.007227,270,2180.434487
230.182422,387,2185.033126
151.536328,301,2188.93476
294.233398,518,2193.671102
666.412695,842,2199.481026
1853.062305,2048,2209.57209
1900.583594,2048,2221.272923
1705.895117,2048,2233.209548
1898.95957,2048,2243.45109
175.812695,315,2246.448048
1592.79043,1733,2260.737553
1823.943164,2048,2272.181131
1876.941602,2048,2282.421185
23.041211,73,2285.859015
1799.095703,1975,2296.040822
1842.04707,2048,2307.403983
