policy_entropy,n_updates,value_loss,serial_timesteps,total_timesteps,ep_len_mean,fps,clipfrac,ep_reward_mean,explained_variance,time_elapsed,approxkl,policy_loss
5.256749,1,14.549748,2048,2048,290.3333333333333,106,0.03251953,120.225586,0.9543156698346138,3.0994415283203125e-06,0.0028221966,-0.0058923317
5.257415,2,3.4745808,4096,4096,512.25,203,0.06953125,336.46333025,0.970408845692873,19.299028635025024,0.005437425,-0.004120845
5.2532797,3,4.1709523,6144,6144,819.4,200,0.043896485,630.8719924,0.8370502889156342,29.364736080169678,0.0040457053,-0.0054190634
5.2499957,4,13.863917,8192,8192,844.625,121,0.013574218,587.8374024999999,0.886078380048275,39.596211433410645,0.0014977496,-0.0024334067
5.252838,5,21.047195,10240,10240,828.0833333333334,95,0.016308594,555.6268719166666,0.8249059170484543,56.42911386489868,0.0016818542,-0.00354878
5.251933,6,11.213452,12288,12288,770.7857142857143,119,0.025732422,509.2975587142856,0.9322641417384148,77.96636915206909,0.0023806596,-0.0042343796
5.256528,7,20.614735,14336,14336,748.3684210526316,70,0.021679688,494.84327715789493,0.8186210840940475,95.08728957176208,0.0020367266,-0.004040186
5.2571845,8,9.711293,16384,16384,704.0952380952381,145,0.03793945,460.62744609523827,0.9366413578391075,124.1114296913147,0.0033782173,-0.0048579844
5.2515492,9,12.404846,18432,18432,775.8695652173913,139,0.0125488285,515.2294752608698,0.9014013707637787,138.22579908370972,0.0013366413,-0.0024639503
5.2463036,10,9.438784,20480,20480,766.28,112,0.026953125,504.79289848,0.9431362599134445,152.95029020309448,0.0030584242,-0.003668217
5.2426953,11,8.916071,22528,22528,785.4074074074074,150,0.030615235,523.3763961481482,0.9396335147321224,171.17495155334473,0.0026922314,-0.003573931
5.2414327,12,7.981398,24576,24576,814.1379310344828,147,0.037890624,548.8961206896552,0.9375928416848183,184.8161425590515,0.0032122754,-0.0056003085
5.2194953,13,2.673451,26624,26624,819.2333333333333,170,0.07138672,552.8330468666667,0.975389027968049,198.72737526893616,0.0063835518,-0.005616325
5.195689,14,3.2925124,28672,28672,858.8709677419355,174,0.043310545,593.5512411612904,0.965730506926775,210.74651956558228,0.0038150158,-0.0049699233
5.194813,15,14.544896,30720,30720,862.3235294117648,103,0.03286133,604.1046702352942,0.7956618666648865,222.45429849624634,0.003134386,-0.0031738258
5.1936655,16,1.7309773,32768,32768,877.7428571428571,158,0.09975586,611.1605022,0.9796659648418427,242.1683087348938,0.007485772,-0.009935929
5.1795435,17,11.379767,34816,34816,897.4324324324324,119,0.04584961,632.9731735405406,0.7597410678863525,255.10054874420166,0.0040921103,-0.0022282044
5.1740274,18,16.447704,36864,36864,914.275,110,0.015722657,644.5828955,0.9079877361655235,272.22686862945557,0.0017074852,-0.002035377
5.156873,19,3.769053,38912,38912,899.1463414634146,180,0.095751956,632.4702267560975,0.9622379764914513,290.8005132675171,0.0072712684,-0.009326556
5.1320486,20,1.9795147,40960,40960,926.5,162,0.046142578,659.551483452381,0.9774306546896696,302.1413869857788,0.00479196,-0.0035049948
5.118415,21,2.7068264,43008,43008,952.5813953488372,175,0.0147949215,687.2789017209303,0.8199032098054886,314.7616069316864,0.0020146784,-0.0034483797
5.1065245,22,1.9735256,45056,45056,977.4772727272727,205,0.090185545,701.6458451818182,0.978502107784152,326.4233229160309,0.007151918,-0.008688477
5.0991364,23,7.2031555,47104,47104,985.1739130434783,146,0.023632813,713.1414444782611,0.96221774071455,336.38499188423157,0.0023383466,-0.002428781
5.0954423,24,3.320657,49152,49152,1002.2340425531914,170,0.03618164,732.0376579361704,0.9654073156416416,350.3856074810028,0.0033497221,-0.004455193
5.073453,25,2.6184611,51200,51200,1024.0208333333333,199,0.03696289,755.1572021666667,0.9720331784337759,362.3741669654846,0.004225972,-0.004745768
5.0618963,26,5.6691484,53248,53248,1030.7,112,0.04741211,765.4453007799999,0.9721685368567705,372.6357054710388,0.0055078715,-0.010036027
5.0596,27,16.675722,55296,55296,1056.173076923077,118,0.034228515,786.0255709230769,0.6860369741916656,390.81039118766785,0.0032020614,-0.00345488
5.063584,28,6.5489335,57344,57344,1029.3148148148148,138,0.02836914,763.0992621666667,0.9637071192264557,408.0510585308075,0.002765628,-0.0013865945
