approxkl,serial_timesteps,explained_variance,ep_len_mean,policy_loss,time_elapsed,ep_reward_mean,total_timesteps,clipfrac,n_updates,value_loss,policy_entropy,fps
0.0031603083,2048,0.8599202781915665,1344.0,-0.006042038,7.62939453125e-06,878.120898,2048,0.03413086,1,12.206642,4.5459294,171
0.0021869128,4096,0.7455507814884186,627.8333333333334,-0.0038051405,11.941038846969604,369.73349583333334,4096,0.021826172,2,32.818607,4.557931,107
0.0021476462,6144,0.9016371592879295,567.3333333333334,-0.004795094,30.988200187683105,318.3445745555556,6144,0.02265625,3,22.034246,4.5711436,102
0.0027522175,8192,0.9559451900422573,614.0909090909091,-0.0034134537,50.995185136795044,369.2370915454546,8192,0.028515626,4,9.863653,4.5724154,147
0.0027369861,10240,0.9343457147479057,776.0769230769231,-0.007387561,64.83911895751953,517.4284855384615,10240,0.030126953,5,11.2711,4.560089,146
0.0019384219,12288,0.8963204324245453,764.375,-0.004902796,78.86152029037476,498.44481199999996,12288,0.023583984,6,11.7640085,4.5515194,111
0.0027635656,14336,0.9179390519857407,716.45,-0.0061600255,97.27555680274963,460.47010745,14336,0.031445313,7,15.1419115,4.5483027,128
0.0019222986,16384,0.9293613657355309,721.3181818181819,-0.0025228555,113.16183257102966,470.10520240909085,16384,0.018603515,8,11.341793,4.54021,152
0.0030295993,18432,0.9251547306776047,699.2916666666666,-0.0049284613,126.6129400730133,452.017740875,18432,0.034277342,9,9.664311,4.535775,146
0.0018984254,20480,0.7954575419425964,702.2413793103449,-0.0030237848,140.56850719451904,445.9963227241379,20480,0.01821289,10,22.165537,4.5323772,81
0.003397864,22528,0.9391934722661972,671.28125,-0.007837562,165.59509301185608,424.56534421875,22528,0.041259766,11,13.504019,4.536162,123
0.0021920037,24576,0.9561594799160957,662.9428571428572,-0.004857414,182.2236385345459,421.7384542,24576,0.023974609,12,10.779154,4.5618353,111
0.0030861124,26624,0.8037080615758896,648.609756097561,-0.0071120337,200.5861611366272,412.73971031707316,26624,0.035742186,13,23.0141,4.577568,90
