#{"t_start": 1743156907.637688, "env_id": null}
r,l,t
54.152816,56,0.762293
77.889239,80,0.887921
35.837625,37,0.938536
51.286557,53,1.016247
42.188879,44,1.08601
52.347762,54,1.174131
48.376204,50,1.26103
52.298084,54,1.336495
52.47157,54,1.411337
50.575732,52,1.48684
44.363504,46,1.552056
54.200793,56,1.631526
41.454035,43,1.689221
40.519792,42,1.746551
81.147016,83,1.86499
41.286457,43,1.922316
75.016943,77,2.035079
57.242665,59,2.129985
53.313597,55,2.216612
83.954645,86,2.362045
39.542585,41,2.421131
43.203951,45,2.483594
41.662815,43,2.546527
58.6008,60,2.633965
38.448218,40,2.6928
47.358203,49,2.7637
58.464647,60,2.849333
56.229917,58,2.930819
55.350379,57,3.016599
37.493922,39,3.071483
61.496106,63,3.161019
87.210941,89,3.29924
104.065471,106,3.45486
84.340207,86,3.600689
85.794664,88,3.731334
86.264283,88,4.340354
46.324197,48,4.405252
64.943949,67,4.504569
71.757984,74,4.611145
44.695003,46,4.675385
42.581758,44,4.745439
54.192137,56,4.831807
89.218897,91,4.965612
65.963012,68,5.070222
87.087502,89,5.204148
43.450573,45,5.266936
65.076677,67,5.370605
39.275198,41,5.425062
72.41646,74,5.54425
65.203164,67,5.655659
65.140523,67,5.761691
37.591672,39,5.816262
78.902569,81,5.937464
68.832958,71,6.055401
52.295784,54,6.128422
64.427267,66,6.226594
35.636417,37,6.27631
96.021437,98,6.431338
52.868937,55,6.511486
46.297637,48,6.578362
45.411083,47,6.643578
79.165606,81,6.764995
66.271539,68,6.863485
77.984889,80,6.983732
61.940062,64,7.072389
47.451216,49,7.148228
53.311405,55,7.224588
45.397016,47,7.624275
58.190609,60,7.709466
94.778561,97,7.853719
96.354614,98,8.000748
84.392045,87,8.128211
85.008422,87,8.258491
66.767807,69,8.354134
80.224135,82,8.472545
93.744821,96,8.620891
83.054454,85,8.74864
59.032818,61,8.843312
105.786389,108,9.020826
65.013898,67,9.118937
60.173339,62,9.208163
41.070254,43,9.265906
110.805434,113,9.436465
70.145597,72,9.542575
88.99138,91,9.672626
83.127338,85,9.812299
55.843139,58,9.892361
44.158736,46,9.952193
75.71633,78,10.070201
65.340454,67,10.169727
85.704025,88,10.317852
71.219508,73,10.423429
79.051699,81,10.540876
37.37072,39,10.591999
69.78928,72,11.03909
78.976549,81,11.155784
90.995894,93,11.292305
67.864244,70,11.39032
65.944877,68,11.483641
91.600689,94,11.622957
57.254208,59,11.702533
85.905191,88,11.827059
127.829985,130,12.030534
77.475064,80,12.163883
51.14657,53,12.237117
103.159936,105,12.393024
90.921558,93,12.56618
108.546788,111,12.742232
64.863417,67,12.837469
