total_timesteps,serial_timesteps,fps,approxkl,n_updates,ep_reward_mean,time_elapsed,explained_variance,policy_entropy,clipfrac,ep_len_mean,value_loss,policy_loss
2048,2048,576,0.005520194,1,56.83390688571428,2.384185791015625e-06,0.05638617277145386,1.438914,0.064453125,58.51428571428571,79.38473,-0.006242247
4096,4096,608,0.003950203,2,59.06251546268657,3.5568244457244873,-0.009250044822692871,1.4587471,0.04902344,60.791044776119406,80.64485,-0.0035131206
6144,6144,605,0.0023022525,3,63.230341255319146,6.927044868469238,0.04199439287185669,1.45577,0.017919922,65.03191489361703,86.26402,-0.0018062212
8192,8192,608,0.0026216207,4,69.47550546000001,10.308420181274414,0.033342957496643066,1.4599488,0.025292968,71.38,87.01067,-0.0017065551
10240,10240,613,0.0015285809,5,75.32254535999999,13.678349733352661,0.056559205055236816,1.4687159,0.010253906,77.38,87.140236,-0.0012203917
12288,12288,585,0.0029620982,6,79.27046247,17.020812511444092,0.09671252965927124,1.4756942,0.029296875,81.41,82.28978,-0.0021875466
14336,14336,581,0.002394625,7,83.86474241999998,20.52285122871399,0.12230372428894043,1.4743798,0.022949219,86.07,89.21971,-0.00234386
16384,16384,603,0.0043597342,8,90.43536599,24.046744108200073,0.18020784854888916,1.4804988,0.054638673,92.78,88.73531,-0.004536175
18432,18432,596,0.0034380301,9,95.98984426999998,27.44114899635315,0.242611825466156,1.4977186,0.041259766,98.45,88.03763,-0.003581283
20480,20480,581,0.0045763976,10,104.61338969,30.873159646987915,0.3134050965309143,1.5237172,0.053271484,107.29,92.22981,-0.0063316696
22528,22528,593,0.004355832,11,114.91744718,34.396825075149536,0.36673247814178467,1.5525275,0.050830077,117.93,93.48122,-0.0032557964
24576,24576,593,0.0020718244,12,126.76380378999998,37.84717345237732,0.43865424394607544,1.5690043,0.017285157,130.27,90.54712,-0.0009237013
26624,26624,597,0.0043568267,13,138.84876442,41.29735350608826,0.479388952255249,1.5870936,0.056347657,142.84,87.80639,-0.0056382394
28672,28672,594,0.0020180398,14,150.09354839,44.72505736351013,0.5108555257320404,1.600742,0.01875,154.58,89.481514,-0.0013907263
30720,30720,579,0.003270321,15,162.32135879,48.17313551902771,0.5240136981010437,1.6150658,0.036865234,167.41,83.823395,-0.0025726545
32768,32768,580,0.0034457496,16,172.78016189000004,51.70566463470459,0.4729604125022888,1.6377516,0.03881836,178.46,81.481064,-0.0033343937
34816,34816,583,0.0020296061,17,180.75626764,55.23552584648132,0.4439219832420349,1.6400009,0.015771484,186.84,83.813324,-0.0018487204
36864,36864,584,0.003292149,18,194.43172562999996,58.749733686447144,0.5565739870071411,1.646364,0.03354492,201.21,79.59326,-0.0035435823
38912,38912,556,0.0021783742,19,213.32371335,62.252620697021484,0.4384276270866394,1.6463115,0.016845703,220.73,87.71154,-0.0025863596
40960,40960,489,0.0035114288,20,223.21790504,65.93614983558655,0.4764953851699829,1.6424706,0.035107423,231.02,81.40271,-0.0020541952
43008,43008,487,0.00247256,21,239.940003,70.12513303756714,0.4283066391944885,1.6528839,0.024023438,248.27,80.744446,-0.0004245365
45056,45056,489,0.0025370885,22,254.01169285,74.32597613334656,0.48590338230133057,1.6599833,0.0265625,262.87,77.51438,-0.0017136153
47104,47104,525,0.0018972494,23,268.37445986,78.51033735275269,0.35127776861190796,1.6729057,0.020214844,277.84,75.795746,-0.003488198
49152,49152,524,0.0024860553,24,279.97213487,82.41155576705933,0.5030663311481476,1.6795734,0.018994141,289.87,75.87012,-0.000988698
51200,51200,539,0.0033061863,25,293.88335774,86.3166618347168,0.33636248111724854,1.6844889,0.033837892,304.29,72.1723,-0.003201456
53248,53248,530,0.002585652,26,301.66514032,90.12382340431213,0.3095058798789978,1.7038803,0.025878906,312.49,70.05182,-0.0016638513
55296,55296,510,0.0016439598,27,312.34205534,93.98314189910889,0.4141496419906616,1.718252,0.014892578,323.55,70.64554,-0.0023841867
57344,57344,537,0.003259601,28,327.00355176,97.99580121040344,0.5216538608074188,1.7309179,0.037158202,338.95,63.74688,-0.0013703131
59392,59392,529,0.0036275785,29,335.64945955999997,101.80530858039856,0.41385316848754883,1.7343855,0.0421875,347.94,65.11525,-0.002263637
61440,61440,511,0.0021971406,30,348.1006224000001,105.67576003074646,0.535883218050003,1.7476108,0.021240234,360.81,63.219177,-0.00091354334
63488,63488,525,0.0031424016,31,357.86206527,109.6841938495636,0.6121776103973389,1.7747291,0.033984374,371.03,62.762634,-0.0026689027
65536,65536,520,0.0010863657,32,375.5638769700001,113.58140397071838,0.5600345730781555,1.7872598,0.007714844,389.25,62.934265,-0.0015627336
67584,67584,515,0.0028899047,33,390.82945313999994,117.5155143737793,0.7624642103910446,1.7780558,0.028515626,405.06,58.28916,-0.0017537844
69632,69632,533,0.0020369396,34,400.2897970900001,121.48615717887878,0.5000640153884888,1.7894347,0.019677734,414.89,58.51369,-0.0013786063
71680,71680,514,0.0021867496,35,411.8216545900001,125.32312202453613,0.5883333683013916,1.8069979,0.018017579,426.85,55.60679,-0.00039539937
73728,73728,568,0.0012325138,36,422.0103114,129.30179047584534,0.646302729845047,1.8088642,0.009277344,437.42,52.0503,-0.0014542971
75776,75776,563,0.002293429,37,431.43513464999995,132.90210628509521,0.6532897055149078,1.8135122,0.024902344,447.15,51.979027,-0.0038406204
77824,77824,561,0.0026283155,38,443.25067454,136.535174369812,0.6477524936199188,1.8266509,0.025097657,459.45,51.28028,-0.0006081221
79872,79872,545,0.0014427842,39,454.05662401000006,140.18559622764587,0.6741716861724854,1.8481834,0.011669922,470.53,46.701256,-0.00031507137
81920,81920,545,0.0015144839,40,460.68662079000006,143.9413447380066,0.6508012413978577,1.8529398,0.013574218,477.36,48.485893,0.0008340815
83968,83968,525,0.0029868453,41,470.7352862799999,147.69957733154297,0.6394161283969879,1.8518293,0.02890625,487.9,43.672325,-0.000665418
86016,86016,535,0.0024837225,42,473.69539542999996,151.59740781784058,0.7252843976020813,1.8562729,0.027001953,491.03,40.23014,-0.0022741884
88064,88064,541,0.0017548781,43,460.62045470000004,155.42080664634705,0.8047850728034973,1.8574374,0.016748047,477.71,36.316174,-0.00032206057
90112,90112,517,0.0029249913,44,455.87684600000006,159.2036657333374,0.8419080972671509,1.8634794,0.032958984,473.16,33.687115,-0.0017335558
92160,92160,479,0.0025861147,45,444.90432045,163.16117334365845,0.8238358795642853,1.8651441,0.024951171,461.95,33.517822,-0.00022230661
94208,94208,493,0.0015821925,46,435.57268205,167.43762755393982,0.8467355221509933,1.8648379,0.009423828,452.52,30.77525,-0.0003171197
96256,96256,515,0.0040464806,47,431.6608732600001,171.59167575836182,0.877817913889885,1.8720697,0.04423828,448.74,29.711624,-0.003343864
98304,98304,493,0.0025254772,48,430.1126471399999,175.56841945648193,0.8204814344644547,1.8872391,0.025,447.18,31.841534,-0.0024665077
100352,100352,509,0.0023981459,49,420.01896149999993,179.7167887687683,0.8422904312610626,1.8942719,0.022851562,436.92,29.771662,-0.0024072682
102400,102400,495,0.0006104456,50,414.66582381,183.74061250686646,0.8560613095760345,1.8979254,0.0023925782,431.45,29.777737,0.00011554954
104448,104448,527,0.0030675305,51,409.70700039,187.88066935539246,0.8863745778799057,1.9039034,0.031982422,426.42,27.498348,-0.0018360689
106496,106496,561,0.0017232569,52,392.5721374000001,191.7644190788269,0.8356702029705048,1.9108928,0.014599609,408.93,28.903324,-0.0007029308
108544,108544,534,0.0024618735,53,379.96056219999997,195.41022419929504,0.9042531549930573,1.9164531,0.024072265,395.89,26.207478,-0.0023868592
110592,110592,483,0.0037177156,54,372.40346955999996,199.24489212036133,0.4261173605918884,1.9342277,0.044287108,388.02,37.8873,-0.004290742
112640,112640,458,0.0018488318,55,373.69287167999994,203.48126363754272,0.8490656167268753,1.9587618,0.014746094,389.46,28.50352,-0.00048445258
114688,114688,524,0.001499245,56,379.10883442,207.9497640132904,0.8997691124677658,1.9631153,0.013378906,395.08,27.165842,-0.001725523
116736,116736,537,0.0012537192,57,378.3870064499999,211.85362768173218,0.8997295945882797,1.9707985,0.0107421875,394.33,24.775778,-0.0006996825
118784,118784,457,0.0043032677,58,382.90684432999996,215.66300177574158,0.9397690482437611,1.9794031,0.050878905,399.17,25.13518,-0.0050374563
120832,120832,403,0.0031178314,59,388.04959391999995,220.14584732055664,0.5168094336986542,1.9986836,0.031152343,404.55,31.704971,-0.0037928142
122880,122880,486,0.002013069,60,393.23438608,225.2178213596344,0.5127744972705841,2.0111375,0.018847656,409.95,29.671276,-0.0010594856
124928,124928,513,0.0023603062,61,401.24542508999997,229.42870092391968,0.8543946743011475,2.0176191,0.02319336,418.21,26.171955,-0.001582475
126976,126976,544,0.002628622,62,408.80597533,233.4190821647644,0.7248446643352509,2.018742,0.026367188,426.04,28.375772,-0.0022747281
129024,129024,559,0.0022031725,63,415.64304636,237.17791748046875,0.8071037232875824,2.0378623,0.02236328,433.08,24.622192,-0.0027250985
131072,131072,522,0.0021173041,64,423.8849927499999,240.84180092811584,0.614700436592102,2.0631897,0.021484375,441.47,29.96935,-0.0014825482
133120,133120,578,0.0028860616,65,430.43737772000003,244.76160788536072,0.623518705368042,2.074866,0.02861328,448.08,30.414394,-0.0028258003
135168,135168,556,0.001591995,66,433.78175539000006,248.30588626861572,0.7707036584615707,2.085221,0.009912109,451.54,24.00976,-0.0007344419
137216,137216,574,0.0012706729,67,440.25239466,251.98541593551636,0.7108505964279175,2.0942566,0.009033203,458.26,25.108654,-0.00047533136
139264,139264,576,0.0013205947,68,447.6136575,255.55023741722107,0.7084845304489136,2.1057436,0.009667968,465.73,25.687073,-0.001986776
141312,141312,568,0.0029589864,69,456.66453542999994,259.10372853279114,0.483284056186676,2.1258035,0.032128908,475.0,30.028112,-0.0013875904
143360,143360,565,0.0011686599,70,469.08312209,262.70666551589966,0.5682558119297028,2.1322792,0.007470703,487.69,29.658985,-0.0005395034
145408,145408,578,0.0008170892,71,483.7579630299999,266.3294439315796,0.8004807829856873,2.1397295,0.0033203126,502.7,23.602785,-1.4891714e-05
147456,147456,570,0.0025390713,72,491.75727008999996,269.867778301239,0.9015389978885651,2.1437137,0.02602539,510.86,18.382195,-0.0028347922
149504,149504,565,0.0015316838,73,504.7493495000001,273.45757150650024,0.9490208998322487,2.1525714,0.014990235,524.26,16.3874,-0.0009040027
151552,151552,564,0.0015438923,74,512.5121333400001,277.0772349834442,0.9381765052676201,2.1573443,0.012060547,532.32,16.391294,-0.0010630715
153600,153600,572,0.004235682,75,525.52877404,280.70762872695923,0.4747544527053833,2.1514611,0.053125,545.66,27.74461,-0.00493415
155648,155648,574,0.00079987606,76,536.99139721,284.2862329483032,0.8973191827535629,2.1506422,0.0048828125,557.51,17.307531,-0.0005045042
157696,157696,549,0.0030193962,77,553.4618671299999,287.8528289794922,0.1999809741973877,2.155415,0.034521483,574.49,21.510374,-0.0033316067
159744,159744,570,0.002424926,78,569.6079353199999,291.577760219574,0.7872305512428284,2.1639962,0.022753906,591.21,16.600779,-0.0009961237
161792,161792,561,0.0027149334,79,578.56084864,295.1663625240326,0.7644951939582825,2.1731844,0.025537109,600.46,16.402302,-0.0021082158
163840,163840,556,0.0025981227,80,597.61649219,298.8172869682312,0.8682777881622314,2.191133,0.02470703,620.32,15.169818,-0.004334882
165888,165888,553,0.003511212,81,614.08089434,302.49838495254517,0.06638544797897339,2.2134871,0.039941408,637.17,20.622023,-0.0011128131
