total_timesteps,approxkl,n_updates,ep_len_mean,serial_timesteps,policy_entropy,clipfrac,policy_loss,value_loss,time_elapsed,fps,explained_variance,ep_reward_mean
2048,0.0037945763,1,59.55882352941177,2048,1.426532,0.04194336,-0.002805341,79.60185,1.9073486328125e-06,597,0.0037357211112976074,57.84340879411765
4096,0.0041711694,2,60.47761194029851,4096,1.4380234,0.04916992,-0.0038106963,79.3388,3.4322400093078613,639,0.018145203590393066,58.73677037313433
6144,0.0036402817,3,67.05494505494505,6144,1.4487617,0.04140625,-0.0036858737,90.943306,6.635176181793213,632,0.030443847179412842,65.18985345054946
8192,0.0030226037,4,73.03,8192,1.461745,0.033154298,-0.004620008,89.681335,9.873739242553711,615,0.05573755502700806,71.02323467000001
10240,0.005848974,5,81.74,10240,1.4836396,0.07338867,-0.00740226,96.99507,13.204131841659546,618,0.09280973672866821,79.49550122000001
12288,0.0054617105,6,94.2,12288,1.5185922,0.07695313,-0.010123924,95.93695,16.51945686340332,602,0.14051049947738647,91.62113756999999
14336,0.0021424869,7,105.69,14336,1.5459921,0.023046875,-0.0018910583,96.13211,19.918030261993408,599,0.21745353937149048,102.6990957
16384,0.0040199207,8,114.93,16384,1.5599271,0.04951172,-0.0034938932,95.57045,23.33399724960327,615,0.2740240693092346,111.50867698
18432,0.0038444516,9,126.26,18432,1.5784545,0.04321289,-0.0058464333,97.14754,26.664571523666382,577,0.2606545686721802,122.27320367
20480,0.002390358,10,139.11,20480,1.6057465,0.024365235,-0.00093576685,94.790405,30.212469816207886,603,0.3173002600669861,134.423403
22528,0.0022379379,11,150.82,22528,1.632542,0.02236328,-0.0009215571,92.28641,33.6064031124115,606,0.33972400426864624,145.55409562
24576,0.0018010536,12,163.84,24576,1.6579268,0.01640625,-0.0014229314,94.431725,36.982892990112305,603,0.38320082426071167,157.97915066
26624,0.0024579973,13,173.87,26624,1.6781836,0.02709961,-0.0021152513,90.563896,40.37788772583008,593,0.4255800247192383,167.55204585000004
28672,0.0019478204,14,185.11,28672,1.6886469,0.012109375,-0.0012014562,88.36525,43.82890343666077,596,0.46603477001190186,178.20445711000005
30720,0.0020162573,15,194.64,30720,1.6864462,0.018603515,-0.0019753138,88.22541,47.26533055305481,541,0.4725233316421509,187.30555159
32768,0.0043236907,16,204.57,32768,1.7015893,0.051464844,-0.0040539866,87.79817,51.048155784606934,579,0.4969298243522644,196.81905509999996
34816,0.0033707186,17,214.0,34816,1.7150047,0.03730469,-0.0010570495,87.7085,54.58491611480713,561,0.43214648962020874,205.87697122000006
36864,0.001716155,18,223.54,36864,1.7258368,0.012597656,-0.0019217962,85.68372,58.231284856796265,565,0.568199872970581,215.02648451999997
38912,0.0012119359,19,232.69,38912,1.7280829,0.005566406,-0.00075629354,84.00295,61.85304069519043,558,0.566594809293747,223.82312298000005
40960,0.0016955525,20,244.83,40960,1.7283525,0.015429688,-0.0008135877,85.50941,65.51910948753357,566,0.5578048527240753,235.46845728000005
43008,0.0016128905,21,252.76,43008,1.7424948,0.013574218,0.0001612175,74.09394,69.13516402244568,546,0.6469580233097076,243.18259007999998
45056,0.0023449785,22,254.18,45056,1.7380902,0.019628907,-0.0023390932,75.12285,72.88697290420532,553,0.680262416601181,244.55271359999998
47104,0.003257371,23,258.95,47104,1.7421179,0.03461914,-0.001827638,74.39863,76.58814740180969,565,0.6667527854442596,249.01790325999994
49152,0.001724131,24,265.59,49152,1.7412869,0.012011719,-0.0020966902,67.513565,80.20965528488159,548,0.7210609912872314,255.36324117999996
51200,0.0031020662,25,267.71,51200,1.750474,0.037158202,-0.0037642145,68.02082,83.94197845458984,573,0.7822392284870148,257.4250109
53248,0.0011761503,26,271.33,53248,1.7628635,0.008691406,-0.00030206837,67.11087,87.52125954627991,554,0.7719735503196716,261.00730842999997
55296,0.0018311475,27,277.46,55296,1.7576956,0.014746094,-0.0010499822,63.005634,91.21763134002686,528,0.7914678752422333,267.00283901
57344,0.0020217022,28,281.15,57344,1.7727346,0.017919922,-0.0020034143,60.75714,95.09684729576111,576,0.7959321290254593,270.59252399
59392,0.0017348224,29,282.69,59392,1.7887739,0.014404297,-0.0016796099,59.07367,98.65121984481812,596,0.7783147990703583,272.04539484
61440,0.000911324,30,283.98,61440,1.7961909,0.006689453,0.0002634668,59.062653,102.08543419837952,564,0.8084519058465958,273.18444124999996
63488,0.0016724613,31,281.07,63488,1.8087221,0.013427734,-0.0010173179,54.21753,105.71357750892639,573,0.7597213536500931,270.35109925000006
65536,0.0006216032,32,273.2,65536,1.8098017,0.0038085938,-0.00038270134,51.18134,109.28820705413818,589,0.5919302999973297,262.88054689000006
67584,0.0030670695,33,263.34,67584,1.8156363,0.03237305,-0.004077322,53.03015,112.76393961906433,585,0.7145915627479553,253.38111953999996
69632,0.0009661795,34,266.29,69632,1.8235648,0.0063964846,-0.00031446174,53.961597,116.2628173828125,581,0.6946665942668915,256.34551279
71680,0.0011776527,35,267.75,71680,1.8343846,0.010449219,-0.00073527824,50.665413,119.78470277786255,587,0.7046943306922913,257.86302066999997
73728,0.0017423143,36,265.25,73728,1.8389212,0.013720703,-0.0011397045,47.840694,123.27262544631958,562,0.7776050716638565,255.571432
