n_updates,total_timesteps,policy_entropy,clipfrac,time_elapsed,approxkl,explained_variance,policy_loss,serial_timesteps,fps,value_loss,ep_len_mean,ep_reward_mean
1,2048,4.548365,0.044433594,2.1457672119140625e-06,0.0037770395,0.892180323600769,-0.005404177,2048,482,3.0426328,,
2,4096,4.543268,0.03173828,4.241339206695557,0.0028390163,0.4911709427833557,-0.0034412318,4096,574,42.418274,406.7,193.3536376
3,6144,4.549153,0.024414062,7.804521560668945,0.0023108837,0.5953419804573059,-0.0017217979,6144,575,37.15883,319.4736842105263,139.40352968421053
4,8192,4.5670986,0.049072266,11.3646399974823,0.009362034,0.6815301477909088,-0.005206231,8192,577,31.305338,288.5,119.65405096428572
5,10240,4.5720363,0.031689454,14.910378456115723,0.0030456153,0.742396742105484,-0.002065647,10240,510,27.989605,272.8378378378378,109.9021785135135
6,12288,4.561851,0.038134765,18.9268536567688,0.0035320006,0.7416810989379883,-0.00388805,12288,526,26.44495,263.17391304347825,104.10585691304347
7,14336,4.5755453,0.041015625,22.818649291992188,0.0044281604,0.7970107346773148,-0.004452747,14336,563,25.252377,255.39285714285714,99.32568478571429
8,16384,4.5964565,0.036865234,26.45732045173645,0.0029969472,0.8446717113256454,-0.0047294656,16384,561,19.908644,250.35384615384615,96.14826676923077
9,18432,4.6091127,0.029443359,30.103970050811768,0.0030166244,0.851076528429985,-0.0019602724,18432,531,19.500965,246.36486486486487,93.79377512162162
10,20480,4.6103835,0.011376953,33.956746101379395,0.0013806409,0.7662354856729507,-0.0016069593,20480,497,22.367752,243.67857142857142,91.94498011904763
11,22528,4.606709,0.019921875,38.072805404663086,0.0019499023,0.8185057491064072,-0.0006209179,22528,569,18.737206,241.5268817204301,90.67452981720433
12,24576,4.6066165,0.027929688,41.6710045337677,0.0026540044,0.8702877163887024,-0.0041126898,24576,578,14.470039,221.79,78.37945865
13,26624,4.6093516,0.013574218,45.21137738227844,0.0013581252,0.820040687918663,-0.003943589,26624,563,17.06736,225.4,80.52139022
14,28672,4.6008034,0.017480468,48.847963094711304,0.0016046797,0.8560593873262405,-0.0028818096,28672,592,18.23499,229.34,82.79250897
15,30720,4.604741,0.01826172,52.30765223503113,0.0019373235,0.825509786605835,-0.0048145233,30720,589,16.048494,230.34,83.3698261
16,32768,4.6039762,0.04042969,55.78557515144348,0.0035666246,0.8949034214019775,-0.003965926,32768,578,11.378233,230.05,83.22455335000001
17,34816,4.6036406,0.036865234,59.3243191242218,0.0032985744,0.910689502954483,-0.003811426,34816,579,10.524096,229.82,83.04894738000003
18,36864,4.601265,0.016162109,62.86284303665161,0.0017672118,0.8477583676576614,-0.0025544513,36864,579,12.484168,230.71,83.23955719000001
19,38912,4.597638,0.03881836,66.3957006931305,0.003302812,0.7454692125320435,-0.0037238882,38912,579,21.597853,247.71,93.92326793999999
20,40960,4.5924916,0.039111327,69.93361067771912,0.003452735,0.8196248710155487,-0.002791533,40960,558,13.201014,248.08,94.09301144999999
21,43008,4.584415,0.026953125,73.59899950027466,0.0023337125,0.8806234523653984,-0.004529923,43008,486,15.075106,267.03,105.78695192
22,45056,4.5887446,0.047167968,77.80876183509827,0.0040532295,0.9127744436264038,-0.006005217,45056,496,8.742732,267.61,105.75909427
23,47104,4.5890026,0.034375,81.93601775169373,0.0030431969,0.8549463152885437,-0.004254859,47104,534,10.9144945,267.99,106.01677061999999
