total_timesteps,fps,clipfrac,approxkl,n_updates,policy_entropy,serial_timesteps,policy_loss,value_loss,explained_variance,time_elapsed,ep_len_mean,ep_reward_mean
2048,543,0.041894533,0.003737143,1,4.8149385,2048,-0.004376975,4.2006035,0.9467904977500439,2.384185791015625e-06,,
4096,591,0.048828125,0.004738493,2,4.811124,4096,-0.005206647,14.830333,0.9312547743320465,3.7709312438964844,903.0,545.3026610000001
6144,557,0.056933593,0.0045919316,3,4.8160257,6144,-0.0042725457,19.849873,0.8635873049497604,7.232668161392212,1189.5,818.6168984999999
8192,539,0.03852539,0.0032489127,4,4.8171606,8192,-0.005641829,20.498915,0.8729248940944672,10.906760931015015,1361.4,992.0400996000001
10240,523,0.035107423,0.0031960662,5,4.808446,10240,-0.00087824545,19.408142,0.8716611266136169,14.706241130828857,1476.0,1113.2720503333333
12288,544,0.046679687,0.0039554313,6,4.810324,12288,-0.00089108583,19.44025,0.8856226876378059,18.620691537857056,1557.857142857143,1211.1020744285713
14336,574,0.019238282,0.0022731677,7,4.8130937,14336,-0.0016780343,20.691702,0.880302906036377,22.384074687957764,1619.25,1273.6048007499999
16384,554,0.041308593,0.00398253,8,4.8058953,16384,-0.003998795,19.299469,0.8817922621965408,25.95090365409851,1667.0,1317.8075675555554
18432,567,0.046923827,0.0041739615,9,4.8080482,18432,-0.003119817,20.748287,0.8776074051856995,29.6468985080719,1705.2,1360.7809364
20480,570,0.048535157,0.0041101645,10,4.8060102,20480,-0.005114395,37.64818,0.8562205880880356,33.259406328201294,1543.8461538461538,1212.4175513076923
22528,606,0.019189453,0.0019434191,11,4.8057623,22528,-0.0022336487,25.413067,0.8266214728355408,36.850239515304565,1406.375,1069.5306839999998
24576,586,0.074804686,0.010795256,12,4.8137207,24576,-0.009760911,24.977133,0.5868266522884369,40.2272527217865,1219.2,897.5478320999998
26624,581,0.024365235,0.0023019745,13,4.8201346,26624,-0.0029962638,21.236065,0.8843876123428345,43.72207713127136,1075.9583333333333,773.699972625
28672,555,0.036474608,0.0033322934,14,4.8138633,28672,-0.0020826869,25.700588,0.9081916064023972,47.24417185783386,1091.5,790.3817951153846
30720,571,0.058642577,0.0058375252,15,4.832917,30720,-0.004260507,6.2884264,0.9674495421350002,50.93355941772461,1069.6296296296296,769.6920194444444
32768,570,0.03720703,0.0033988096,16,4.8483624,32768,-0.0029358305,26.49116,0.8877345770597458,54.515974044799805,1075.7931034482758,780.7184768620691
34816,572,0.03305664,0.0029625543,17,4.862878,34816,-0.0030359388,31.976486,0.8746258169412613,58.104816913604736,1046.2727272727273,752.0707651818182
36864,595,0.042773437,0.0038280138,18,4.875411,36864,-0.006089486,21.998104,0.6529884934425354,61.681867837905884,987.5945945945946,695.631011054054
38912,576,0.058544923,0.005302136,19,4.876242,38912,-0.005575196,6.784728,0.9657172970473766,65.11964344978333,974.578947368421,683.0934878947368
40960,552,0.03730469,0.0032031008,20,4.865187,40960,-0.0006142511,19.5305,0.8806971535086632,68.67131185531616,1002.1282051282051,709.8417849487179
43008,569,0.030664062,0.0028472198,21,4.8652396,43008,-0.005592582,33.45447,0.7947740256786346,72.37777495384216,998.9302325581396,706.5940568837209
45056,553,0.028027344,0.0029893569,22,4.876515,45056,-0.0014404973,9.634556,0.9747829716652632,75.9772276878357,943.6521739130435,663.2968184565217
47104,577,0.03339844,0.003369538,23,4.8904734,47104,-0.0050427946,34.05567,0.8582657277584076,79.67547845840454,938.96,659.63432812
49152,588,0.018164063,0.0019956827,24,4.8949995,49152,-0.0037911702,7.8079185,0.958844643086195,83.22186231613159,930.7647058823529,651.6519742745098
51200,563,0.036816407,0.0031515728,25,4.890772,51200,-0.0022294612,18.927189,0.8921051174402237,86.69998240470886,952.2692307692307,671.5401559807692
53248,552,0.056152344,0.0045441343,26,4.8940077,53248,-0.0032336973,19.961756,0.8933650553226471,90.34385943412781,972.9622641509434,691.2999480754715
55296,582,0.05419922,0.004513972,27,4.897771,55296,-0.0054725134,29.893589,0.8248105496168137,94.04911375045776,984.5818181818182,702.6000666727272
57344,586,0.051513672,0.004935405,28,4.9085855,57344,-0.0070074336,24.469414,0.7698510140180588,97.56803107261658,982.7586206896551,694.2990078793105
59392,534,0.09492187,0.0071623176,29,4.9137716,59392,-0.0041671447,19.581135,0.8837655931711197,101.0598132610321,1000.8305084745763,712.7239273898306
61440,532,0.074072264,0.005799359,30,4.9111323,61440,-0.0068289647,26.045563,0.8816088810563087,104.89389371871948,1005.8196721311475,718.5839842786886
63488,595,0.014355469,0.0015186806,31,4.9154215,63488,-0.0005824443,13.386879,0.9348133727908134,108.73835682868958,980.03125,694.03604078125
65536,571,0.02216797,0.002412498,32,4.919216,65536,-0.003108328,27.157978,0.9183911755681038,112.18103337287903,962.6764705882352,679.8634208529411
67584,603,0.011474609,0.0012067154,33,4.9139338,67584,-0.0009815015,18.719023,0.8911569565534592,115.76493430137634,939.9014084507043,659.0628226760564
69632,556,0.055371094,0.004815795,34,4.9090433,69632,-0.0052534444,17.046223,0.9042797014117241,119.15880990028381,955.3055555555555,673.0950845416667
71680,564,0.05307617,0.004537872,35,4.9073896,71680,-0.0037442863,19.72653,0.8778317719697952,122.84199404716492,970.2876712328767,687.2363425616438
73728,563,0.049707033,0.003954302,36,4.911998,73728,-0.0031838224,20.136635,0.8829423785209656,126.46980237960815,984.8648648648649,698.8200597162162
75776,551,0.041015625,0.0035819474,37,4.916121,75776,-0.0019257212,25.343855,0.9098155945539474,130.10304737091064,992.6447368421053,706.5348244999999
77824,555,0.022558594,0.0023799906,38,4.916132,77824,-0.0024090717,13.302542,0.9482090882956982,133.8204607963562,982.025641025641,695.7558572051281
79872,502,0.04448242,0.0036524285,39,4.9163985,79872,-0.0033926994,19.789886,0.8978555724024773,137.50659823417664,995.5316455696203,709.1095246835442
81920,536,0.014990235,0.0016944163,40,4.918418,81920,-0.0017911087,25.899567,0.9011985287070274,141.584645986557,1006.1975308641976,718.242991271605
83968,544,0.047070313,0.003966365,41,4.9216833,83968,-0.0029032247,18.75406,0.9007471650838852,145.40012526512146,1018.9146341463414,730.3986785853659
86016,585,0.029492188,0.0027831825,42,4.9232507,86016,-0.0038240445,33.876537,0.6287141442298889,149.16498970985413,966.123595505618,684.3497324382022
88064,586,0.01928711,0.0019469258,43,4.9238424,88064,-0.0034755364,27.083004,0.6901475787162781,152.66689944267273,933.5106382978723,656.1308798404256
90112,526,0.039355468,0.0034640017,44,4.9244556,90112,-0.004074263,18.905735,0.883742205798626,156.16276264190674,945.2526315789473,667.2645521052632
92160,506,0.038720705,0.0035069417,45,4.9171686,92160,-0.001211961,11.964724,0.8723243474960327,160.0531930923462,940.5520833333334,662.679662625
94208,527,0.031835936,0.0027428064,46,4.916157,94208,-0.0026113922,18.70203,0.7433499097824097,164.10137844085693,951.979381443299,669.2718863298969
96256,537,0.041796874,0.0035832364,47,4.9204917,96256,-0.0038934215,14.4570055,0.7946580499410629,167.98606395721436,963.1734693877551,675.5420333469388
98304,535,0.054980468,0.0050085126,48,4.921485,98304,-0.0075695254,29.600946,0.8516941517591476,171.79817628860474,970.83,678.15831668
100352,510,0.03466797,0.003403016,49,4.930453,100352,-0.0031093596,16.503859,0.8589673042297363,175.62259006500244,970.83,681.1392796299999
102400,532,0.03491211,0.002999667,50,4.9438252,102400,-0.0011442634,19.217031,0.8741510808467865,179.63821744918823,987.47,693.70816883
104448,566,0.035595704,0.0030561476,51,4.947151,104448,-0.00437631,32.82529,0.8337423801422119,183.48624897003174,934.23,644.50493595
106496,467,0.04448242,0.004479881,52,4.95788,106496,-0.0037542004,8.166704,0.9614558257162571,187.10158777236938,918.75,629.64217785
108544,559,0.026171874,0.0025040968,53,4.9725842,108544,-0.0054292497,27.765326,0.8833838179707527,191.48547744750977,884.38,597.69297325
110592,512,0.06337891,0.006758882,54,4.9789553,110592,-0.009949477,12.42232,0.9493300244212151,195.14698791503906,895.24,607.2602554199999
112640,561,0.03857422,0.0032792029,55,4.984729,112640,-0.004681165,22.917347,0.9166857674717903,199.14751744270325,901.35,615.15317991
114688,541,0.042041015,0.0035295323,56,4.9914083,114688,-0.0029209785,4.4267054,0.9761255793273449,202.79320621490479,914.51,626.8924955699999
116736,546,0.028320312,0.002845148,57,4.9807916,116736,-0.0042947284,23.069145,0.9271251037716866,206.5785665512085,930.96,641.5207325399999
118784,561,0.033447266,0.0032997462,58,4.9801054,118784,-0.0058624875,6.1355834,0.9784132968634367,210.32524371147156,927.7,639.5205411499999
120832,572,0.011962891,0.0014071894,59,4.989444,120832,-0.0032617915,18.347847,0.9265382066369057,213.97273230552673,941.29,650.4321011799999
122880,552,0.037109375,0.003242636,60,5.0060368,122880,-0.006744466,24.664177,0.9272387772798538,217.54886722564697,938.26,647.08818711
124928,530,0.027685547,0.0027349326,61,5.025382,124928,-0.004365071,14.330999,0.9623938463628292,221.25979804992676,901.02,613.96397613
126976,544,0.029785156,0.0028975266,62,5.0219126,126976,-0.0030286454,18.766506,0.8838158473372459,225.1236801147461,917.53,629.1082615800001
129024,552,0.025146484,0.002655639,63,5.017717,129024,-0.0014506605,20.3955,0.8985521569848061,228.88813829421997,933.15,644.34127348
131072,552,0.056933593,0.004925307,64,5.006293,131072,-0.0035778233,20.185837,0.9058585166931152,232.59787511825562,948.93,658.58953047
133120,565,0.021435548,0.0021130121,65,4.998287,133120,-0.0029834516,26.085453,0.9269680008292198,236.30586552619934,955.61,667.62377778
135168,574,0.055322267,0.0044323867,66,5.007506,135168,-0.006400718,18.537453,0.9393607378005981,239.92538571357727,931.02,643.28578566
137216,579,0.016308594,0.0016233008,67,5.0133066,137216,-0.0037278805,14.074015,0.9450408667325974,243.49400687217712,929.0,642.1856888100001
139264,552,0.03339844,0.0028370607,68,5.0182614,139264,-0.0030312901,19.434862,0.8971313163638115,247.0289740562439,947.96,657.5131322600001
141312,571,0.015429688,0.001642518,69,5.019863,141312,-0.0019767853,23.747486,0.8977558836340904,250.73660612106323,967.72,674.11562399
143360,558,0.04067383,0.0036886327,70,5.022583,143360,-0.0030692697,20.760078,0.8682771027088165,254.31856989860535,967.72,671.4791931100002
145408,557,0.035595704,0.0033486236,71,5.0114055,145408,-0.00095623976,23.869541,0.9242859482765198,257.9871926307678,980.91,683.6613228200002
147456,550,0.019970704,0.0022699363,72,4.9914165,147456,-0.0020182005,18.827393,0.9055340141057968,261.66439723968506,996.57,698.5439125600001
149504,512,0.05722656,0.004557395,73,4.98961,149504,-0.0032987923,19.12207,0.9028545692563057,265.38608264923096,1011.85,713.1671473700001
151552,519,0.0496582,0.004383971,74,4.98775,151552,-0.0042878287,25.45705,0.9137695655226707,269.3838632106781,993.81,695.7222763000001
153600,544,0.045556642,0.0037848067,75,4.9985228,153600,-0.00732183,25.390469,0.9300716668367386,273.3286144733429,972.93,680.9657512900001
155648,554,0.034082033,0.0027203597,76,5.0153937,155648,-0.004409977,15.597267,0.9279944077134132,277.0941185951233,956.64,664.57807926
