#{"t_start": 1746015819.583976, "env_id": null}
r,l,t
296.93552,560,1.642707
230.694532,494,2.485126
144.708063,372,3.061893
377.348162,700,4.767982
235.768224,520,5.569972
1718.737319,2049,9.675311
229.332724,508,10.431908
1628.86185,2049,14.212539
210.827616,478,14.945887
544.915241,933,16.74478
1681.703214,2049,20.806878
1688.844287,2049,24.687156
243.98169,513,25.582055
220.364263,494,26.333966
193.119946,470,27.034258
99.325546,272,27.796456
216.783332,497,28.540316
215.521526,506,29.311912
202.867163,468,30.024874
243.349409,510,31.131021
192.35493,484,31.873115
212.323928,496,32.652004
705.881975,1216,34.856316
713.259984,1186,36.618095
100.121289,271,37.034061
495.737609,899,38.760787
191.540379,475,39.495297
202.46443,479,40.237745
234.651106,504,40.993298
217.298755,501,42.109443
215.911749,483,42.839587
825.706373,1239,45.085902
195.174813,478,45.801279
100.648002,271,46.234784
94.724865,262,46.63285
215.924799,485,47.382753
145.67144,374,47.949094
1655.886563,2049,51.694279
533.514852,962,53.514923
921.875687,1583,56.201107
36.636363,137,56.418257
203.504352,489,57.165556
88.641947,256,57.569538
225.531783,495,58.314416
557.918378,1036,60.229926
177.308748,462,60.926966
92.396214,257,61.32039
185.90909,476,62.027891
185.504457,470,63.093699
186.698796,487,63.842482
1308.496285,2049,67.384897
49.707568,163,67.645231
1296.753851,1844,70.88974
46.02349,158,71.144456
214.036575,497,71.902927
197.968431,489,72.644641
1508.979471,2049,76.303677
202.125648,479,77.497061
209.21417,493,78.517214
89.180169,255,78.908989
201.178504,486,79.69682
205.098754,493,80.828038
773.099328,1264,82.785563
200.723805,481,83.545406
1574.188095,2049,87.323077
1230.396356,1775,90.454059
212.36842,498,91.612438
104.605413,270,92.027123
1605.170006,2049,95.726687
93.375163,260,96.134455
1634.13832,2049,99.944384
42.262196,153,100.193812
1672.47097,2049,104.007928
1520.216921,2049,107.621246
201.172641,489,108.381902
1363.584668,2049,111.841995
145.468128,383,112.465714
205.836106,503,113.660521
192.35387,477,114.40353
1491.976932,2049,118.025963
306.704553,631,119.015063
1062.564737,1586,121.847741
216.820813,495,122.610669
1591.583906,2049,126.29669
475.055171,829,127.94615
1668.260614,2049,131.893089
1703.388074,2049,135.943809
232.422132,514,136.717843
220.700166,514,137.508808
1256.212939,2049,141.065379
1609.476161,2049,144.767479
219.010105,495,145.508773
250.213374,524,146.62803
115.049081,281,147.068414
277.441296,585,147.954981
110.835033,274,148.410396
1768.465876,2049,152.145347
252.34052,527,152.924756
1728.270911,2049,156.624744
100.182345,269,157.050491
94.234857,254,157.848527
1221.323263,2049,161.515113
1643.60067,2049,165.218834
1768.359425,2049,169.093559
1539.599636,2049,172.757405
1231.623074,2049,176.44181
1264.84635,2049,180.14118
1779.87319,2049,184.098199
1706.584205,2049,187.931173
1239.929307,2049,191.774565
348.829099,608,192.711438
1263.169409,2049,196.285954
1254.501628,2049,199.771249
1804.987335,2049,203.535084
275.595488,539,204.347898
1498.864838,2049,207.914538
625.496837,1001,209.789948
1775.76198,2049,213.59819
1772.486852,2049,217.72745
1638.126363,2049,221.742731
295.958075,558,222.633
382.313588,663,223.703981
1784.840176,2049,227.760497
1499.590038,2049,231.657638
1654.272109,2049,235.626767
1704.259559,2049,239.445346
287.899587,594,240.730497
96.936652,259,241.137233
287.817576,614,242.074078
98.739199,262,242.486279
1697.594923,2049,246.328958
1626.809725,2049,250.202952
200.218498,467,250.931603
285.576654,613,252.336316
1521.278563,2049,256.393324
1616.553087,2049,260.347383
1620.341132,2049,264.250405
1246.875422,1959,267.610031
607.356575,1001,269.184802
1542.203496,2049,273.068298
418.191556,764,274.353053
227.660213,522,275.577118
538.183185,958,277.213091
1700.337447,2049,281.398145
1694.691583,2049,285.424747
1703.812813,2049,289.501207
231.179809,504,290.33138
175.542206,407,291.330637
757.130763,1252,293.347569
296.637274,605,294.634253
1404.071069,2049,298.405619
1451.091655,2049,302.225387
1779.811089,2049,306.225416
116.810651,289,306.709329
109.331792,269,307.179299
113.969901,291,307.675451
103.762539,264,308.106558
174.581124,398,308.747308
109.909825,286,309.247143
100.504597,265,310.152947
