#{"t_start": 1745839341.530977, "env_id": null}
r,l,t
89.12506,486,1.464476
275.835115,1391,3.705004
92.276999,446,5.084369
146.787014,702,6.085189
46.872119,270,6.557867
82.351825,401,7.186036
63.245833,339,7.736525
37.77161,198,8.469765
35.614496,194,8.757467
29.680948,154,8.967885
40.677951,224,9.303312
75.048336,384,9.85215
32.769098,183,10.12726
40.224353,211,10.478238
32.89488,176,10.761453
27.19316,145,10.973994
34.808735,172,11.266208
28.676982,150,11.850482
36.432266,185,12.120438
56.647341,258,12.573637
53.674735,264,12.951356
27.121848,142,13.166397
34.414768,183,13.450518
27.95364,134,13.632183
94.067843,406,14.202
26.717333,136,14.391719
29.655592,153,14.605111
33.966312,183,15.258304
32.040437,161,15.482336
29.534074,138,15.669874
88.881463,396,16.214871
36.220954,193,16.502148
80.917781,358,17.03459
29.770494,149,17.302834
34.120452,159,17.687339
53.361009,262,18.086304
22.978512,116,18.277935
110.24342,442,19.365563
44.447506,215,19.675298
107.613859,468,20.362708
27.851584,133,20.54965
29.267143,152,20.843571
67.674977,324,21.379542
57.169144,273,21.770511
38.934547,192,22.393028
25.482916,131,22.57489
34.015914,170,22.889068
27.933593,135,23.128974
53.481563,244,23.485645
27.755164,144,23.694933
31.431093,160,23.944934
29.693886,159,24.188808
25.153062,131,24.387039
39.0481,191,24.646959
52.74319,238,24.982711
22.631081,110,25.145041
151.516035,589,26.35637
42.466366,206,26.662253
59.432933,296,27.088245
46.242789,216,27.38294
29.509152,144,27.587676
92.780002,407,28.181392
51.050348,259,28.595883
53.096508,258,29.311732
31.34483,158,29.536507
36.175465,175,29.770391
71.638138,300,30.190575
29.041746,156,30.449286
88.727011,415,31.115928
51.838215,261,31.483532
47.879345,229,31.824711
52.065317,259,32.562456
83.039169,453,33.20422
34.020487,174,33.560918
61.244926,315,34.168876
35.41362,174,34.425652
34.898537,175,34.746684
34.225079,179,35.027168
31.834685,163,35.253562
67.272591,325,36.066019
51.436788,264,36.434932
125.150462,645,37.342902
71.924326,416,37.949717
71.813212,381,38.475557
143.091492,762,39.877818
101.839719,539,40.644201
402.317735,2049,43.811623
464.656077,2049,46.999142
462.77499,2049,50.205697
485.01463,2049,53.431149
496.933248,2049,56.62328
471.45798,2049,59.846456
470.871929,2049,63.059547
483.120658,2049,66.27535
501.25212,2049,69.600051
460.858581,2049,72.826092
496.013666,2049,76.148347
476.598349,2049,80.180904
381.40574,1794,83.442147
253.059605,1183,85.377702
366.379383,1674,88.160623
434.53388,2049,91.404606
448.866477,2049,94.65941
452.589013,2049,97.912939
478.727743,2049,101.092118
469.219613,2049,104.406405
467.161333,2049,108.231865
489.405711,2049,111.45172
501.62583,2049,114.686833
518.987864,2049,118.27878
512.089886,2049,121.671289
517.470225,2049,125.050354
499.391933,2049,128.50818
507.06443,2049,131.808236
518.78572,2049,135.240521
520.540263,2049,138.406951
520.385078,2049,141.616572
537.309299,2049,144.833397
550.585399,2049,148.180041
555.812191,2049,151.729017
574.379875,2049,155.475458
574.076727,2049,159.058045
599.113534,2049,162.380105
607.378593,2049,165.722474
612.832374,2049,169.052594
632.738882,2049,172.486219
616.461096,2049,175.909776
625.89578,2049,179.263341
640.38429,2049,182.698764
631.910877,2049,186.081347
674.599837,2049,189.572716
671.179275,2049,193.062231
681.463767,2049,196.594514
677.779281,2049,200.050201
738.407067,2049,203.720394
663.495963,2049,207.281533
727.315305,2049,210.81382
590.110706,2049,214.224012
563.308727,2049,217.647612
580.808507,2049,220.939658
597.954727,2049,224.534966
595.804442,2049,227.890116
596.193342,2049,231.229267
542.49673,2049,234.626955
555.355396,2049,237.892137
640.080857,2049,241.332763
851.003971,2049,245.009689
756.370065,2049,248.488934
879.578163,2049,251.82968
925.396003,2049,255.15723
584.901498,1446,257.650931
444.841171,1094,259.655688
911.569339,2049,263.197093
980.890139,2049,266.566535
1006.634194,2049,269.866415
970.394985,2049,273.186188
465.909175,1046,274.705577
975.594333,1991,278.023613
451.693074,1103,279.949834
733.100582,1582,282.242685
477.919179,1123,284.228308
260.962141,643,285.162659
1015.794919,2049,288.441073
777.102435,1611,291.150578
848.833647,1801,294.191368
939.646919,1879,297.268374
622.414911,1351,299.211162
601.143083,1340,301.497881
714.446481,1492,304.00462
440.338289,1109,305.625612
586.192991,1281,307.852481
668.539124,1415,310.286808
829.94786,1675,312.684184
642.467125,1303,314.937537
514.037761,1115,316.971828
428.291008,944,318.494071
782.619146,1583,321.168211
584.081573,1239,322.974974
1023.496725,2049,326.466784
413.290602,1006,328.381051
455.827073,1090,330.30327
969.311311,1985,333.189136
566.361775,1220,335.384849
685.455161,1422,337.791682
589.952509,1238,339.66808
311.712407,734,341.189691
841.281204,1720,344.067224
518.485358,1122,345.739577
574.43578,1228,347.859674
464.714036,1024,349.363081
291.997299,721,350.793824
750.531733,1499,352.984017
268.66667,644,354.274282
262.423631,636,355.270026
752.719819,1504,357.922884
566.443384,1179,359.707901
596.159529,1251,361.930988
721.307635,1438,364.53706
479.493414,999,366.01908
510.732865,1073,367.881533
425.48546,903,369.171615
795.146955,1559,371.701749
502.937377,1028,373.126091
362.601637,792,374.630601
520.289405,1087,376.201751
521.190527,1090,378.336167
316.537389,687,379.359477
243.362191,581,380.248646
178.541506,457,381.263706
355.694623,778,382.368558
326.014913,701,383.353675
285.290596,660,384.674106
305.125654,677,385.640865
309.692915,686,386.626704
255.212089,589,387.831071
270.033084,606,388.72019
271.151308,603,389.610288
317.269875,687,390.624834
222.386351,506,391.672052
243.769264,573,392.550257
298.902681,681,393.53284
196.396628,477,394.561638
220.898335,502,395.281201
260.724875,591,396.099902
210.676148,491,396.808527
259.309487,588,398.042274
144.785146,378,398.606799
253.843681,581,399.465682
253.85853,582,400.384903
311.551735,683,401.710423
261.898634,589,402.562644
703.356765,1413,404.864227
318.502881,696,405.908321
290.295617,622,406.842498
377.282886,802,408.389825
309.083756,680,409.385521
431.911502,902,410.991856
151.31572,388,411.564725
279.82704,610,412.449473
439.3455,907,413.720155
258.526553,586,414.949026
233.643282,553,415.7872
202.39086,479,416.545878
370.764793,796,418.068136
718.389984,1429,420.133952
491.994815,1016,422.022188
292.17952,664,422.960007
423.498366,892,424.595095
426.084285,898,425.893679
244.832473,573,426.726909
564.730901,1175,428.755563
564.50873,1179,430.457078
354.155165,777,431.893897
280.500874,650,432.824377
904.095684,1765,435.648803
616.020269,1242,437.76693
492.516527,1005,439.201713
382.419201,802,440.413505
308.09388,686,441.885588
268.341776,598,442.763027
463.764188,933,444.412463
305.164811,682,445.443836
566.43865,1133,447.095225
814.500205,1590,449.784409
609.263876,1224,451.880767
1052.10296,2049,455.276323
1025.154135,2049,458.546811
1031.256483,2049,461.829897
364.449112,785,462.988488
709.991226,1421,465.410809
1017.262295,2049,468.740091
490.038561,1052,470.334514
1021.129778,2049,473.677312
464.650252,984,475.484369
454.756327,933,476.826701
507.848198,1035,478.736702
856.112829,1628,481.518678
439.214634,878,482.851288
1077.130771,2049,486.211991
494.385343,1013,488.110869
1049.898289,2049,491.450663
1048.264595,2049,494.722928
1067.175396,2049,497.988164
1119.957938,2033,501.316469
371.515522,764,502.41906
443.269776,860,503.714188
1087.412081,1980,506.85421
373.262261,736,508.253844
609.814294,1144,509.859828
688.962991,1262,511.992122
270.334656,563,512.836397
907.824506,1637,515.528712
577.332567,1123,517.475724
289.3846,592,518.363205
324.533905,671,519.305244
737.545131,1373,521.527415
346.730278,624,522.402902
471.815549,891,523.989542
317.406256,593,524.829717
575.388006,1009,526.216143
257.123292,520,527.30505
409.24705,696,528.338294
728.611082,1344,530.966825
430.734753,803,532.145472
353.499893,702,533.185597
330.935951,648,534.463813
408.624432,800,535.576183
425.754917,825,536.711154
1104.526157,2049,539.858649
447.538925,879,541.517554
355.60804,707,542.51336
689.542392,1279,544.659336
222.576909,471,545.320999
374.279798,728,546.341572
1000.085939,1845,549.382946
422.10305,793,550.900485
374.910498,717,551.938337
1116.017956,2049,555.239547
233.325348,475,555.943352
471.136177,911,557.631224
644.296561,1183,559.378022
472.973601,897,560.9873
235.091867,461,561.680053
252.532163,483,562.38187
228.623225,455,563.055433
584.36744,1066,565.180202
322.561438,621,566.118939
262.866446,494,566.854961
257.180092,487,567.906714
253.119884,480,568.596037
272.552698,521,569.329173
251.111354,494,570.069892
540.179153,1011,571.868596
526.687965,970,573.266479
538.534385,969,575.129892
405.997925,778,576.250767
593.160653,1073,578.171374
409.829189,781,579.341647
432.439517,805,580.886193
356.772566,677,581.907699
253.102954,509,582.676887
274.0667,520,583.458538
291.067104,543,584.620222
595.374743,1077,586.160003
431.155974,805,587.730047
406.768059,756,588.827533
628.859108,1147,590.843904
217.949105,438,591.483328
253.429322,483,592.172591
352.332368,677,593.13543
224.854598,443,594.122126
374.31786,685,595.144955
254.125641,485,595.847485
226.496035,452,596.504894
251.514077,508,597.549448
342.086055,629,598.497721
261.529136,513,599.22926
266.387502,502,599.949103
243.938704,473,600.95803
393.316517,723,601.954624
335.768901,580,602.769038
246.928688,477,603.456905
305.45404,582,604.65839
303.352497,550,605.475776
265.82077,505,606.223127
284.2915,553,607.340923
288.201197,559,608.174828
255.338395,510,608.89157
282.645603,553,609.725889
387.191953,714,611.107377
301.593645,576,611.926616
289.449407,526,612.680222
414.388693,753,614.061461
552.648801,981,615.477527
292.008229,532,616.21803
315.878316,557,617.354053
255.075916,488,618.044082
358.948938,608,618.91848
267.992806,515,619.651247
256.063545,510,620.749654
312.191784,592,621.630893
